SA3_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
50502,3017,4051,7073,7166,9552,16719,0,0,0,1279,1474,2753,11,4,14,22692,26258,48948,214,325,539,3058,3279,6339,372,523,903,143,179,323,165,240,402,230,229,457,524,676,1200,706,937,1639,819,1006,1828,71,108,182,115,155,270,1125,1747,2870,2767,3451,6218,67,91,159,41522,50235,91754,2807,2492,5298,4210,3904,8116,1281,1393,2670,3,10,15,883,790,1671,466,583,1039,1345,1376,2724,39262,36893,76158,338,251,590,166,247,412,39769,37387,77161,7092,6270,13361,101037,107110,208149
50503,2234,2948,5179,9384,11673,21057,12,8,19,2116,2312,4430,10,10,16,17543,20082,37625,199,251,452,1599,1639,3233,454,577,1031,452,507,962,152,156,310,323,326,651,659,803,1461,1700,1963,3660,1151,1316,2467,77,116,198,185,240,429,888,1228,2114,4151,4828,8977,113,122,231,41161,48161,89322,2590,2505,5093,3120,3093,6213,77,85,167,0,3,5,588,537,1130,337,470,796,926,1006,1929,45165,42291,87458,291,219,515,110,180,284,45571,42691,88260,6847,5494,12341,102522,105984,208506
50601,913,1219,2132,3677,4494,8173,0,0,0,1082,1154,2240,110,113,221,6708,7436,14153,87,103,187,111,131,243,175,224,399,102,117,224,85,86,170,117,95,215,293,320,611,833,980,1813,1065,1190,2262,38,53,98,255,284,544,394,521,914,2186,2494,4687,78,93,169,17415,19898,37306,2185,2146,4334,1355,1359,2713,16,16,37,5,0,10,1130,1011,2141,170,266,443,1304,1280,2587,19690,18520,38214,156,100,251,63,82,144,19906,18705,38611,3506,2954,6461,46604,47583,94184
50602,1242,1602,2846,2345,2741,5082,0,0,0,374,382,751,0,3,4,7077,7827,14904,74,82,159,242,261,500,130,147,280,63,76,139,64,91,155,51,57,105,186,225,410,287,371,656,354,388,745,26,57,81,84,105,184,431,524,953,1048,1278,2327,23,31,61,12867,14629,27498,1373,1122,2501,2405,2133,4537,21,27,48,7,0,7,324,229,547,132,176,306,456,401,860,16140,14259,30396,165,134,306,45,62,100,16348,14449,30802,3448,2775,6220,38172,37142,75312
50603,2858,3358,6217,2893,3692,6586,0,0,0,905,1045,1954,95,89,182,7836,8831,16669,125,164,290,199,235,437,114,171,282,69,76,140,75,92,168,118,113,232,419,450,870,631,747,1379,894,962,1858,20,54,78,124,194,321,700,954,1651,1942,2195,4137,64,78,139,17225,20135,37364,3216,2879,6092,3740,3190,6928,24,19,44,3,0,5,1378,1204,2583,189,220,403,1571,1423,2991,17393,15693,33088,143,102,244,56,76,134,17591,15875,33460,3171,2864,6035,49396,49742,99139
50604,2072,2564,4634,4186,5237,9418,0,3,4,1361,1524,2891,30,38,69,10235,11154,21386,143,161,309,243,265,512,196,271,465,148,150,299,105,121,223,189,186,369,422,498,920,986,1108,2099,809,877,1686,69,94,166,247,278,525,599,813,1416,2458,2780,5239,93,131,228,22522,25694,48214,2837,2737,5577,7052,6689,13744,24,25,44,4,5,12,1615,1435,3049,194,308,498,1814,1748,3563,21598,19289,40889,130,90,225,61,104,166,21796,19485,41279,5371,3955,9324,63485,62887,126376
50605,255,449,699,3022,3648,6671,0,0,0,430,504,927,124,102,231,5350,5947,11297,72,112,182,114,123,240,76,101,177,48,53,98,72,89,162,13,26,41,127,148,273,212,236,451,359,450,810,30,33,59,239,290,536,428,642,1069,1033,1204,2234,101,99,209,11852,13817,25669,478,449,928,634,608,1240,16,16,39,0,3,3,124,115,237,73,129,202,195,242,443,13607,12355,25966,95,79,170,28,54,78,13726,12483,26212,1947,1588,3537,29108,29654,58762
50606,129,139,266,1526,1863,3389,0,0,0,228,293,520,4,3,10,2069,2239,4305,17,22,43,49,32,78,44,60,105,42,46,91,19,39,60,8,4,14,78,84,163,211,231,441,466,480,947,12,16,28,32,58,94,155,215,372,730,798,1532,16,18,37,5708,6514,12219,227,247,469,204,189,392,0,3,7,0,0,0,259,245,501,38,77,115,297,325,618,8027,7800,15831,46,33,82,17,20,33,8090,7853,15941,1455,867,2320,16103,16138,32242
50607,576,776,1357,1842,2394,4237,0,0,0,213,291,506,26,22,48,4493,4949,9437,67,74,147,236,244,478,54,64,118,32,33,59,37,77,115,30,23,58,113,122,237,160,195,352,304,355,665,9,13,23,32,41,71,480,661,1138,516,665,1180,16,17,33,8659,10238,18896,435,412,846,584,486,1070,50,39,89,3,3,8,47,64,109,96,126,218,148,189,335,9223,8481,17703,101,67,164,29,44,77,9355,8591,17944,1474,1441,2913,21275,22177,43448
50701,800,1191,1988,4186,5180,9368,0,0,0,782,909,1690,34,40,74,14398,15965,30365,61,75,134,591,651,1237,171,212,381,63,59,121,93,112,202,49,53,101,317,381,697,647,721,1370,672,722,1394,41,50,91,71,90,165,520,781,1298,1746,2057,3807,55,58,113,24488,28119,52605,1030,1024,2054,840,878,1717,37,69,105,6,0,6,225,179,407,209,266,475,436,449,887,25415,23668,49085,189,137,320,93,153,247,25694,23957,49654,3732,3079,6812,57054,58771,115824
50702,184,297,480,1507,1930,3434,0,0,0,123,171,288,0,0,0,3752,4464,8214,19,23,43,111,131,238,39,53,87,5,12,12,29,46,78,4,0,8,56,55,106,47,70,116,185,212,398,4,6,15,10,6,19,194,292,491,287,358,645,8,14,25,6381,7832,14215,66,61,125,117,94,215,49,52,103,0,3,3,11,10,18,81,110,193,96,122,216,10613,10534,21140,92,90,176,58,83,145,10758,10700,21458,1674,1427,3098,19324,20592,39910
50703,221,406,628,1501,1841,3338,0,0,0,270,309,579,0,0,0,3822,4166,7989,41,54,95,124,135,261,161,211,367,82,84,164,25,38,64,16,20,36,213,212,433,310,346,652,240,232,474,30,64,89,82,96,172,181,233,418,979,1161,2140,52,62,110,8133,9253,17386,685,667,1350,365,353,724,20,0,19,0,3,3,513,440,947,67,124,189,579,559,1142,10367,9573,19941,79,64,137,32,69,102,10480,9700,20180,3014,1437,4443,23482,22379,45867
50704,1182,1740,2925,4999,6393,11398,0,0,0,897,1093,1984,87,98,181,11422,13521,24942,80,121,204,390,458,846,108,130,235,34,43,78,107,139,251,34,36,70,308,337,644,537,636,1181,1037,1190,2229,23,40,58,50,66,113,1060,1494,2557,1450,1826,3276,26,34,58,22648,27659,50307,868,876,1745,714,721,1433,49,45,99,0,4,3,179,188,374,233,279,509,411,473,880,21984,20813,42803,174,128,299,77,117,199,22240,21065,43302,2804,2620,5428,50918,55210,106127
50705,422,816,1245,7342,9049,16392,0,0,0,958,1109,2061,0,0,0,9507,10827,20329,193,247,441,309,352,656,343,451,790,270,275,540,171,248,421,32,40,68,298,342,638,595,680,1271,1002,1078,2079,104,145,256,122,127,250,822,1118,1939,2243,2545,4785,82,100,182,24398,28724,53124,402,377,781,446,441,887,16,26,44,5,11,18,190,169,359,224,331,555,424,507,933,34891,33062,67947,206,161,362,101,202,304,35191,33424,68611,5781,4277,10061,67085,68591,135678
50901,191,310,506,3367,4055,7418,0,0,0,1095,1130,2217,100,90,185,3010,3396,6407,97,114,213,51,45,101,134,202,332,57,50,110,109,148,258,3,0,6,147,181,330,150,184,338,559,616,1178,37,60,102,121,115,238,684,930,1609,1156,1346,2502,26,29,51,10907,12697,23602,94,71,159,302,273,574,18,18,31,6,0,6,24,17,43,99,177,282,128,195,327,15674,14635,30312,100,68,165,52,102,154,15825,14804,30629,3364,2683,6050,30830,31049,61880
50902,106,196,299,4013,4437,8451,0,0,0,304,336,643,174,178,354,4092,4315,8404,177,183,360,64,71,135,157,177,331,25,35,62,65,89,155,11,19,26,104,116,218,91,94,186,334,355,693,65,87,146,149,165,303,768,884,1647,709,829,1536,37,26,61,11325,12381,23715,69,52,118,87,63,151,11,7,15,13,9,20,16,6,29,71,123,190,102,144,243,12908,10973,23877,67,43,103,43,65,107,13012,11083,24092,4171,3129,7298,28873,27059,55937
50903,26,54,84,1483,1579,3061,0,0,0,204,247,456,0,0,0,1233,1440,2675,18,14,31,7,15,21,58,86,138,11,15,28,21,46,65,0,0,0,19,19,41,42,36,72,141,144,279,16,23,46,40,44,82,370,392,761,252,269,526,4,8,12,3915,4375,8293,18,27,45,22,9,32,4,3,3,0,0,0,5,4,15,26,32,57,33,36,72,4608,3798,8402,20,10,25,17,13,36,4646,3821,8467,1252,1114,2362,9908,9448,19357
51001,82,206,294,765,857,1617,0,0,0,142,164,309,0,0,0,3420,3963,7379,21,23,42,23,20,41,37,32,75,8,10,19,22,32,60,3,0,9,579,666,1244,263,344,610,107,107,210,9,12,18,38,52,85,247,342,592,576,651,1222,3,9,11,6266,7273,13542,68,43,106,81,61,142,7,8,11,158,165,325,12,11,27,41,35,77,210,212,423,6807,6455,13265,37,30,64,10,23,33,6853,6510,13366,3737,3471,7203,17306,17780,35092
51002,124,200,327,706,616,1330,0,0,0,206,210,414,0,0,0,2121,1762,3883,28,31,60,53,47,104,44,59,108,41,41,87,89,95,185,10,0,11,55,41,99,113,136,258,103,61,158,4,3,8,88,107,200,138,115,255,435,425,864,6,6,18,4263,3766,8029,171,118,287,322,253,578,9,0,9,111,98,205,25,17,41,42,31,74,173,142,318,6023,4587,10610,36,11,51,19,18,36,6074,4627,10705,3349,1846,5197,14487,10955,25443
51003,176,264,436,913,858,1769,0,0,0,203,187,393,0,0,0,2377,2093,4467,16,22,39,60,49,110,37,42,78,39,37,81,34,28,63,0,0,3,51,49,99,48,45,98,102,83,181,8,15,21,29,39,70,149,150,300,344,360,705,20,22,35,4439,4078,8517,190,158,352,159,123,282,7,10,22,91,79,170,26,23,44,25,36,60,138,139,271,7628,6191,13822,29,27,55,8,17,25,7672,6230,13903,3551,2268,5816,16330,13262,29594
51101,36,69,101,824,915,1738,0,0,0,107,119,233,0,0,4,878,962,1841,15,29,44,4,11,20,52,75,121,4,8,8,88,99,185,4,4,7,44,50,91,49,57,107,107,131,240,8,13,21,33,35,74,207,258,473,357,373,725,15,4,19,2795,3146,5940,8,4,20,12,15,29,3,5,8,3,3,9,6,6,11,10,16,25,18,26,44,4138,3709,7850,13,15,31,8,12,22,4165,3737,7904,1051,872,1927,8093,7881,15970
51102,72,85,158,430,420,843,0,0,0,31,45,74,0,0,0,819,853,1674,51,59,112,13,11,26,14,23,36,0,0,3,6,11,17,0,0,0,16,29,46,16,18,34,47,55,98,4,4,7,13,8,24,50,60,115,118,113,228,0,3,4,1638,1703,3337,23,18,40,34,19,47,3,7,3,12,5,18,0,0,0,7,16,23,24,19,45,2310,2033,4341,11,4,17,5,3,13,2321,2041,4364,846,693,1536,4954,4578,9537
51103,150,237,385,1320,1251,2571,0,0,0,291,310,603,5,6,14,3129,3005,6131,154,204,354,50,46,96,72,82,151,126,143,269,94,81,174,10,3,12,144,153,303,142,153,292,216,208,417,26,29,56,76,93,170,228,287,519,847,933,1785,31,43,70,6957,7040,13993,218,181,402,194,129,319,12,5,15,82,91,176,47,49,93,49,53,103,175,193,373,9076,7331,16406,42,31,76,23,34,53,9145,7394,16538,3794,2447,6241,20641,17624,38267
51104,151,301,453,3307,3767,7078,0,0,0,228,223,454,0,0,0,5224,5883,11110,43,40,84,54,32,87,104,165,274,21,22,49,85,136,227,4,0,5,102,120,223,271,327,603,253,238,488,33,51,87,170,207,377,511,666,1185,587,716,1302,16,16,30,11033,12618,23653,100,86,186,282,314,596,9,9,21,13,11,26,17,9,30,65,95,167,101,118,221,11950,10283,22235,55,40,92,26,43,72,12036,10361,22395,4180,3280,7465,27893,27096,54981
59797,5,3,11,16,3,20,0,0,0,8,0,8,0,0,0,70,11,77,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,112,14,124,4,0,4,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,21,144,0,0,0,0,0,0,123,21,144,196,23,227,455,58,514
59999,27,16,48,212,179,396,0,0,0,25,26,50,0,0,0,306,315,617,0,5,4,3,4,8,3,7,10,8,9,9,8,10,20,0,0,0,17,10,25,21,21,45,30,28,62,6,5,10,6,9,10,37,49,92,88,89,178,3,0,7,772,780,1550,17,8,23,33,27,57,10,7,14,0,4,5,0,5,6,16,18,30,17,24,40,1412,1177,2591,21,11,30,9,9,23,1452,1197,2652,2311,1361,3674,4639,3416,8055
