SA3_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
50101,28080,29249,57332,1521,1488,3016,4106,3896,8006,1623,1450,3074,1002,857,1856,2701,2843,5544,3624,4193,7816,3940,4069,8001,3580,3979,7556,3640,3781,7420,1829,1877,3702,520,814,1332,24836,26928,51762,3244,2319,5565,512,477,986,13,11,22,13,3,19,530,497,1030,20568,21242,41814,5418,6196,11616,24535,25723,50256,1534,1806,3341,24324,25519,49840,395,395,788,3811,3576,7382,1127,1033,2164,174,198,370,435,1184,1615,10673,12783,23453,2542,2539,5080,5539,5362,10902,1096,946,2039,604,523,1127,78,51,131,24065,26038,50102,3023,3261,6282
50102,53276,54279,107549,3167,2935,6104,7610,7019,14629,3345,3289,6638,2693,2544,5246,6068,6350,12419,6713,6941,13649,6976,7348,14325,7002,7323,14330,5962,6023,11985,2880,3216,6102,857,1285,2133,48790,51236,100025,4485,3046,7534,1779,1793,3575,13,18,36,39,44,81,1838,1848,3689,40260,40866,81127,9639,10622,20259,45637,47124,92765,3762,4342,8102,45972,47624,93599,850,767,1621,7100,6569,13666,2249,2278,4520,402,559,966,804,1968,2772,15999,19937,35939,5351,5561,10908,13406,12173,25584,2798,2324,5125,1428,1361,2787,162,126,282,47143,49965,97109,4079,3086,7167
50103,11911,11949,23863,565,556,1116,1469,1355,2822,622,629,1248,473,379,851,985,1023,2006,1207,1359,2569,1601,1619,3216,1929,2061,3989,1900,1789,3684,942,903,1843,226,286,508,10799,11063,21856,1113,892,2003,293,287,575,15,17,29,4,7,8,306,301,611,8806,8767,17574,2034,2235,4266,10397,10500,20901,550,593,1148,10339,10422,20760,140,147,286,1320,1225,2542,385,427,807,53,62,110,110,312,420,3671,4593,8271,1102,1217,2323,3024,2506,5535,681,514,1189,382,308,689,57,37,98,10257,10521,20782,1474,1231,2703
50201,51979,55660,107641,2866,2800,5672,6601,6562,13159,3015,2971,5986,2623,2686,5306,5171,5715,10886,5653,6255,11904,6312,6833,13147,6760,7565,14327,7166,7731,14903,4504,4746,9248,1301,1794,3095,46784,52294,99072,5199,3363,8559,1450,1522,2967,36,36,73,18,31,52,1508,1590,3097,35488,37662,73150,12909,14969,27879,45485,48827,94318,2924,3793,6715,44688,48255,92950,791,772,1565,6175,6118,12299,2041,2180,4221,561,789,1350,808,1974,2781,16834,20086,36927,5080,5646,10720,12389,12996,25383,2921,2733,5658,1586,1507,3092,141,119,264,45947,51101,97049,2408,2875,5283
50301,34905,36829,71735,1518,1422,2941,4879,4588,9464,2969,2978,5947,2630,2595,5224,3489,3416,6900,3584,4147,7729,4747,5224,9973,4270,4597,8870,3601,3918,7515,2355,2621,4980,865,1314,2184,32922,35088,68010,1985,1737,3728,213,250,462,3,4,13,0,9,12,215,261,479,22575,23588,46159,10952,11874,22826,28781,29787,58567,4739,5660,10396,30226,31751,61977,564,516,1081,4721,4447,9163,2694,2755,5450,1776,1777,3554,1286,1723,3007,22605,23960,46564,1457,1554,3012,2053,2783,4831,743,793,1536,223,282,500,42,55,98,31485,33436,64921,2995,3446,6444
50302,55115,55410,110530,2716,2504,5222,4959,4816,9772,2058,2165,4225,3710,4333,8043,12067,12257,24325,9647,8827,18480,6826,6550,13375,5852,5719,11574,4417,4484,8897,2083,2302,4386,778,1452,2226,51726,52797,104528,3385,2614,5998,440,450,886,15,10,27,6,8,18,461,474,937,30734,30617,61351,20845,22138,42988,39188,38295,77482,12196,14195,26397,42324,42431,84758,833,702,1539,4751,4616,9362,1772,1867,3641,1801,2315,4118,3267,4310,7574,35202,36340,71545,2648,2457,5106,4057,4256,8315,977,870,1840,616,899,1512,194,292,486,48468,49843,98318,7344,6134,13475
50401,41790,42676,84462,2589,2428,5021,4578,4150,8733,2002,1859,3865,2554,2430,4982,6774,6920,13689,6481,6451,12929,5369,5460,10831,4775,4934,9712,3832,4302,8133,2142,2477,4621,698,1249,1949,39594,41089,80681,2196,1587,3781,677,688,1368,23,17,45,28,27,61,733,740,1472,25225,25312,50534,14505,15670,30179,29819,29820,59632,9814,11056,20869,35088,36050,71141,760,671,1437,4315,3929,8248,1550,1536,3085,1012,1017,2029,1640,2349,3991,21214,22674,43892,2909,2661,5568,5704,5809,11522,1306,1263,2573,1111,1469,2583,274,385,661,38835,40238,79069,1735,1731,3466
50402,22643,21152,43792,1121,1054,2177,2729,2507,5232,1369,1260,2630,1324,1002,2331,2763,2155,4921,2932,2600,5532,3173,3050,6223,3139,3073,6220,2451,2548,4995,1284,1386,2668,356,514,870,21013,20193,41207,1628,955,2582,1151,584,1732,24,6,28,37,5,41,1207,592,1802,16192,14910,31102,5277,5362,10639,18280,18576,36855,1333,1636,2963,18384,18833,37213,307,305,612,2567,2365,4927,978,954,1930,317,364,679,394,827,1226,8410,9570,17979,1945,1860,3808,5502,3927,9428,891,786,1673,485,440,924,158,49,199,18919,19940,38866,2561,812,3368
50403,73672,74650,148324,5705,5254,10956,11064,10330,21396,4885,4442,9326,4696,4559,9260,10820,11813,22634,11092,11189,22281,9382,9855,19239,7946,8263,16210,5074,5332,10400,2345,2605,4950,678,997,1678,69331,72124,141457,4342,2528,6868,2275,2425,4702,64,54,119,53,62,113,2392,2542,4939,45725,45787,91506,24204,25858,50066,52984,52964,105946,16659,18122,34780,62210,62776,124984,1637,1429,3062,10441,9703,20145,3526,3376,6898,1345,1570,2919,1878,3420,5299,29574,33125,62701,6288,6079,12365,12725,11936,24664,2675,2475,5151,1522,1749,3265,498,708,1208,68069,70573,138640,3401,3504,6904
50501,79502,81136,160641,4418,4166,8584,11018,10364,21390,5365,4953,10317,4822,4226,9052,8116,8275,16389,10457,10989,21444,11225,11604,22833,10433,11373,21801,8847,9311,18157,3747,4135,7877,1044,1750,2794,74792,78246,153042,4715,2885,7601,650,639,1288,34,24,59,23,21,41,706,682,1384,48075,48327,96402,28709,30794,59503,68849,69538,138390,7817,9460,17279,70259,71921,142177,1446,1350,2796,10683,10001,20688,4272,4199,8469,1986,2018,4000,1932,3182,5108,38916,42384,81305,6418,6245,12669,12351,12087,24446,2441,2257,4700,897,1131,2033,144,184,330,74430,77636,152061,2124,2391,4518
