SA3_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
50101,995,678,2137,3324,3366,2554,704,75,6,13844,381,114,508,638,482,1233,2864,1663,752,8631,76,60,196,229,216,197,212,143,61,1389,1450,857,2843,4193,4069,3979,3781,1877,814,23859,392,782,2464,3425,3797,2450,552,55,5,13933,1311,555,1405,2350,2237,2104,963,126,8,11061,122,72,303,384,347,401,136,21,4,1791,48,23,73,99,86,55,25,11,8,426,1868,1438,4245,6263,6464,5010,1672,216,27,27214,39,49,88,73,87,62,7,0,0,400,108,30,57,72,60,76,23,0,0,440,150,78,142,147,149,133,31,0,0,833,2020,1519,4395,6412,6609,5144,1704,218,27,28050,903,216,675,862,812,1976,5303,3201,1204,15165,156,122,467,550,573,432,413,279,108,3102,3074,1856,5544,7816,8001,7556,7420,3702,1332,46314
50102,2060,1942,4457,5349,5769,4317,967,101,4,24975,1082,448,1525,1285,1253,2673,4732,2842,1059,16900,149,158,366,301,324,340,316,273,216,2445,3289,2544,6350,6941,7348,7323,6023,3216,1285,44325,911,2383,5770,6490,7264,5289,924,71,5,29110,2259,1186,2533,3362,3154,2839,1228,173,13,16742,162,171,550,471,518,674,167,26,3,2741,70,100,180,181,157,103,37,15,11,847,3403,3843,9027,10494,11103,8901,2353,290,26,49439,176,194,322,248,244,232,31,0,0,1445,340,133,164,173,152,143,33,9,0,1141,515,321,493,419,393,372,71,9,0,2590,3921,4163,9518,10914,11494,9277,2424,297,26,52029,2391,753,2091,1954,1979,4261,8884,5329,1766,29408,320,325,817,783,851,797,668,475,345,5383,6638,5246,12419,13649,14325,14330,11985,6102,2133,86826
50103,330,261,711,1005,1234,1288,402,75,4,5309,245,82,257,236,263,637,1266,741,252,3968,50,34,59,112,125,143,120,89,32,761,629,379,1023,1359,1619,2061,1789,903,286,10042,206,384,863,1189,1501,1401,424,90,5,6064,362,160,458,617,746,916,473,98,3,3840,14,36,94,92,135,184,90,6,0,647,26,23,42,40,35,33,29,15,3,248,602,599,1457,1943,2422,2539,1016,214,16,10802,21,28,43,41,53,70,11,0,0,263,48,21,17,22,22,43,11,0,0,181,66,54,57,59,70,111,23,0,0,442,665,650,1516,2001,2490,2651,1043,213,16,11241,487,128,330,345,429,1061,2388,1463,441,7075,96,71,155,226,298,279,260,166,57,1610,1248,851,2006,2569,3216,3989,3684,1843,508,19922
50201,1807,2029,3862,4498,5108,4244,891,78,5,22518,1018,495,1532,1431,1381,3010,6520,4292,1452,21130,152,171,324,331,342,312,319,376,333,2648,2971,2686,5715,6255,6833,7565,7731,4746,1794,46298,601,1878,4481,5276,6233,4754,842,50,0,24125,2155,1575,2334,2707,2761,2837,1113,164,12,15656,118,173,520,442,498,635,150,13,5,2561,65,87,214,158,147,110,47,14,9,852,2941,3715,7544,8585,9639,8344,2152,250,22,43190,170,278,393,329,344,281,47,4,0,1848,415,136,205,167,159,207,61,7,0,1359,583,420,594,494,506,489,109,9,0,3206,3533,4133,8143,9078,10146,8830,2261,259,21,46404,2163,812,1995,1971,2120,4749,11937,8312,2563,36622,295,362,750,856,881,745,701,676,513,5785,5986,5306,10886,11904,13147,14327,14903,9248,3095,88811
50301,1512,2013,2717,3197,4161,2911,983,197,17,17697,1380,486,535,825,938,1553,2769,2280,1146,11912,84,100,165,125,129,142,160,149,157,1200,2978,2595,3416,4147,5224,4597,3918,2621,1314,30813,138,1022,3581,3987,5558,3731,972,139,11,19128,2152,2483,1430,1935,2361,2137,1445,384,34,14355,131,152,264,223,171,204,107,26,3,1280,21,42,65,67,70,32,23,19,5,336,2434,3692,5340,6210,8152,6104,2545,577,53,35109,20,82,137,102,176,114,23,3,0,659,411,181,91,74,89,89,37,8,0,975,432,262,234,174,263,202,63,6,0,1639,2865,3954,5572,6386,8422,6305,2608,581,53,36747,2924,1091,951,1043,1259,2269,4597,4126,1897,20163,157,182,373,303,293,296,309,269,236,2420,5947,5224,6900,7729,9973,8870,7515,4980,2184,59324
50302,1265,3467,10331,7175,5358,3795,1145,115,5,32651,820,581,1180,1220,920,1696,3091,2005,1276,12788,76,283,745,441,271,236,250,177,167,2650,2165,4333,12257,8827,6550,5719,4484,2302,1452,48092,201,2429,13842,10524,7537,4951,1039,83,0,40617,1701,3127,5041,3883,2814,2421,1418,234,14,20661,104,184,723,551,275,312,115,13,3,2277,38,117,292,169,83,60,20,7,0,782,2040,5864,19895,15126,10712,7748,2599,333,25,64338,29,164,407,335,293,271,41,8,0,1536,291,241,302,189,119,129,47,9,0,1334,322,405,714,519,409,392,91,19,0,2863,2361,6269,20604,15649,11122,8143,2686,349,25,67205,1725,1212,1937,1727,1511,2805,5665,3656,1935,22168,144,564,1780,1100,742,625,550,379,268,6164,4225,8043,24325,18480,13375,11574,8897,4386,2226,95536
50401,1074,2044,5668,5162,4418,3259,870,73,0,22576,714,299,943,1027,830,1517,3295,2228,1121,11968,69,96,305,269,212,161,135,173,130,1554,1859,2430,6920,6451,5460,4934,4302,2477,1249,36095,247,1667,7457,6876,5943,4056,830,47,0,27122,1447,1948,2927,3027,2279,2095,942,130,9,14805,56,125,486,412,230,273,90,13,0,1683,30,87,202,133,91,63,15,11,0,624,1782,3821,11080,10444,8546,6488,1869,193,12,44234,65,151,305,246,252,225,30,0,0,1270,289,139,183,148,144,128,48,0,0,1094,354,296,489,394,396,351,78,0,0,2366,2130,4113,11562,10840,8947,6844,1950,200,12,46597,1585,626,1408,1459,1392,2470,5893,4104,1742,20675,146,241,720,630,501,399,288,321,200,3440,3865,4982,13689,12929,10831,9712,8133,4621,1949,70713
50402,787,832,1628,2006,2455,2071,514,55,4,10355,431,124,414,485,485,901,1925,1229,398,6399,40,44,114,106,108,109,102,101,113,839,1260,1002,2155,2600,3050,3073,2548,1386,514,17590,292,938,2132,2521,3151,2541,499,39,0,12112,980,663,834,1137,1321,1346,616,103,8,7013,40,62,243,186,187,279,73,10,0,1079,22,37,77,45,76,51,18,6,3,328,1340,1699,3289,3896,4729,4222,1199,154,6,20535,49,75,112,68,99,89,15,0,0,494,155,53,56,56,66,66,29,4,0,481,202,127,167,123,162,154,47,4,0,979,1540,1821,3451,4019,4892,4377,1245,161,9,21517,996,413,1198,1222,1032,1550,3553,2322,687,12969,101,94,269,289,298,293,194,186,166,1895,2630,2331,4921,5532,6223,6220,4995,2668,870,36378
50403,2597,3606,8702,8528,7645,5251,1052,87,10,37472,1673,739,2558,2220,1824,2718,4034,2338,873,18987,173,213,554,440,386,292,245,186,119,2604,4442,4559,11813,11189,9855,8263,5332,2605,997,59069,876,3528,11237,11725,10393,6939,1235,67,8,46013,3211,2862,4631,4878,3877,3191,1178,169,13,24003,131,201,938,644,549,506,133,14,0,3113,87,211,404,278,194,118,35,10,6,1338,4309,6801,17213,17520,15008,10753,2582,257,24,74467,206,400,534,420,399,300,44,0,0,2314,681,256,289,269,181,172,50,5,0,1889,884,657,823,689,580,471,91,6,0,4202,5196,7457,18037,18204,15583,11223,2673,261,24,78663,3783,1354,3329,2965,2658,4269,7272,4355,1441,31417,354,444,1271,1103,997,716,460,336,208,5889,9326,9260,22634,22281,19239,16210,10400,4950,1678,115971
50501,3289,3678,6825,9112,9888,7867,1848,125,11,42648,1579,447,1147,1616,1468,3241,7223,3786,1575,22088,83,102,298,251,247,260,244,220,166,1869,4953,4226,8275,10989,11604,11373,9311,4135,1750,66606,858,3342,8751,11516,13269,9406,1671,69,4,48875,4362,3613,3634,5519,5478,5397,2368,255,17,30641,161,193,860,785,563,828,283,20,0,3696,45,97,192,207,163,132,37,13,3,878,5423,7248,13429,18030,19472,15765,4352,359,22,84100,133,248,365,317,344,323,44,0,0,1779,915,276,203,231,193,186,84,3,5,2091,1043,521,570,548,537,504,132,7,7,3871,6473,7771,14002,18575,20009,16269,4483,366,23,87970,3644,1014,1710,2125,2064,4885,13171,7145,2521,38281,199,265,686,739,760,648,502,367,243,4415,10317,9052,16389,21444,22833,21801,18157,7877,2794,130669
