SA3_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
50101,205,306,311,263,505,804,350,1008,45,3790,343,645,615,529,687,881,323,597,25,4642,336,361,402,336,803,1127,367,1016,67,4821,212,913,682,413,413,343,92,176,40,3284,147,552,521,275,483,334,97,136,16,2565,117,828,477,249,335,264,71,127,24,2484,211,153,140,83,171,196,105,662,25,1750,185,962,598,326,439,428,128,313,79,3455,24,62,30,31,37,55,16,62,104,422,1791,4780,3767,2515,3870,4431,1535,4097,426,27214
50102,192,297,290,252,677,1042,479,1455,40,4734,398,838,866,722,1338,1614,509,1011,41,7342,528,593,520,365,1496,2220,896,2568,143,9323,318,1300,1246,807,862,581,150,360,78,5700,280,879,846,526,1310,892,199,385,40,5359,201,1367,758,383,589,382,116,211,48,4054,431,305,290,170,623,1035,578,1903,102,5430,338,1595,841,530,1004,944,383,884,131,6648,54,69,56,38,106,139,42,121,225,849,2741,7243,5708,3791,8008,8847,3345,8900,847,49439
50103,103,174,193,140,185,415,137,772,57,2175,95,163,188,145,168,271,90,209,11,1346,98,146,93,94,210,334,151,426,33,1590,71,278,201,157,125,107,33,71,19,1056,43,199,175,114,182,165,34,66,9,982,19,214,119,68,106,77,29,50,10,691,107,59,76,34,147,192,68,396,25,1104,80,402,194,163,261,253,88,192,28,1668,29,23,9,9,10,26,6,21,59,184,647,1658,1260,916,1392,1840,629,2203,248,10802
50201,162,267,305,219,749,945,377,1159,35,4220,365,699,710,552,1148,1248,379,808,49,5961,491,535,556,431,1545,1663,665,2215,143,8240,312,1560,1281,711,871,548,153,361,90,5890,217,729,746,452,1058,679,177,341,40,4434,176,1509,780,351,555,331,85,185,59,4029,529,295,294,170,739,487,414,1892,118,4937,255,1343,678,345,542,571,193,707,86,4721,52,64,52,24,86,102,30,123,229,759,2561,7007,5388,3252,7297,6562,2474,7793,852,43190
50301,169,545,525,398,650,1529,657,2168,38,6687,531,1964,1787,1217,1887,3515,1156,2929,79,15059,62,249,167,103,277,377,127,290,12,1674,180,1709,618,261,236,229,76,144,33,3481,114,939,613,282,515,555,136,245,34,3430,99,1064,371,144,193,226,67,217,14,2386,33,179,62,29,53,64,22,106,7,557,68,657,190,77,84,84,16,105,16,1292,26,106,65,38,46,67,18,71,108,548,1280,7406,4403,2547,3952,6648,2271,6265,336,35109
50302,245,425,549,508,1619,2552,1068,2644,68,9670,976,2162,2246,1823,4800,7142,2153,4018,142,25457,196,461,526,331,1109,1279,428,1059,73,5465,238,1849,1430,714,910,746,194,412,87,6571,211,923,883,487,1889,1527,325,514,37,6798,120,1308,743,287,517,433,133,289,40,3869,115,217,213,107,282,272,97,482,35,1817,146,1158,862,296,455,373,95,390,70,3849,33,73,53,42,143,130,41,100,224,834,2277,8564,7499,4597,11717,14453,4542,9903,782,64338
50401,168,214,319,285,1068,1424,591,1219,36,5328,515,1104,1144,944,2596,3034,906,1461,67,11773,207,471,496,376,1240,1512,498,1177,70,6038,206,1237,1068,557,816,609,177,371,75,5117,218,665,820,473,1734,1220,302,381,33,5841,91,1062,595,272,530,376,130,172,45,3273,112,230,255,151,518,438,203,625,55,2598,138,1013,623,313,527,428,141,348,54,3586,33,57,37,22,148,104,30,63,183,681,1683,6060,5361,3388,9176,9148,2973,5822,624,44234
50402,94,117,147,123,419,587,271,749,14,2512,213,492,493,371,747,933,306,581,24,4154,191,246,227,186,665,817,294,890,64,3581,155,599,468,249,330,303,100,131,37,2375,113,425,392,259,648,454,133,200,12,2636,68,558,295,146,200,177,52,107,19,1614,138,126,98,65,219,284,129,523,31,1609,84,505,221,131,223,220,62,186,32,1662,31,47,21,20,55,59,13,49,100,394,1079,3125,2352,1541,3502,3842,1358,3414,328,20535
50403,205,320,436,341,1526,2046,780,1863,43,7563,534,1003,1080,895,2594,2744,795,1446,99,11188,508,807,822,615,2642,3129,1077,2880,180,12661,458,2048,1923,1199,1836,1245,325,699,160,9908,397,1148,1322,820,2956,2106,495,733,85,10060,228,2083,1269,527,1058,770,190,339,80,6536,415,484,461,369,1368,1394,609,2246,142,7494,308,1984,1161,619,1259,1029,306,880,150,7695,66,131,87,61,212,195,57,175,394,1368,3113,9996,8561,5446,15442,14663,4644,11265,1338,74467
50501,330,503,698,564,1876,3066,1291,3108,52,11484,1050,2267,2556,1886,4082,5064,1555,2711,94,21262,566,925,927,767,2219,3468,1094,2656,123,12744,488,2750,1957,1000,1217,1207,355,554,95,9617,475,1896,1995,1184,2789,2125,496,698,70,11721,234,2630,1341,458,803,747,195,363,52,6818,256,391,291,201,521,584,272,1022,49,3590,253,1992,777,412,661,686,194,604,76,5668,53,119,90,66,178,211,61,150,267,1191,3696,13471,10627,6549,14352,17152,5516,11864,878,84100
