SA3_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
50101,55,1449,118,1623,35,906,63,1002,116,2286,296,2701,247,3030,350,3624,375,3178,379,3940,464,2855,257,3580,355,3072,221,3640,207,1490,131,1829,56,402,60,520,1912,18661,1878,22448,66,1265,117,1450,35,748,70,857,206,2424,212,2843,512,3424,260,4193,706,3119,238,4069,829,2947,210,3979,570,2988,225,3781,230,1489,163,1877,50,679,80,814,3210,19084,1571,23859,122,2716,235,3074,69,1655,132,1856,318,4712,509,5544,761,6457,606,7816,1080,6301,620,8001,1295,5800,467,7556,926,6054,442,7420,433,2977,294,3702,112,1076,144,1332,5121,37746,3448,46314
50102,144,2984,221,3345,113,2366,225,2693,324,5075,671,6068,573,5424,706,6713,759,5568,656,6976,925,5553,526,7002,654,4891,417,5962,310,2344,225,2880,75,641,141,857,3863,34845,3792,42497,173,2918,200,3289,137,2237,173,2544,593,5347,403,6350,1058,5515,363,6941,1363,5624,359,7348,1668,5299,356,7323,968,4701,359,6023,372,2546,304,3216,56,987,238,1285,6387,35184,2757,44325,316,5898,419,6638,251,4597,396,5246,913,10426,1077,12419,1633,10947,1073,13649,2123,11193,1017,14325,2594,10856,885,14330,1619,9588,774,11985,675,4891,530,6102,130,1628,373,2133,10251,70032,6549,86826
50103,25,547,50,622,26,410,35,473,62,808,111,985,125,963,121,1207,189,1222,187,1601,241,1536,151,1929,201,1544,152,1900,87,763,93,942,24,183,23,226,977,7978,917,9879,34,524,72,629,31,312,37,379,109,850,67,1023,228,1020,113,1359,317,1168,137,1619,391,1519,156,2061,253,1411,125,1789,110,704,84,903,14,245,34,286,1476,7749,810,10042,62,1071,120,1248,54,722,75,851,173,1661,175,2006,352,1977,235,2569,506,2388,323,3216,625,3059,301,3989,453,2960,275,3684,198,1465,177,1843,38,420,53,508,2460,15729,1733,19922
50201,139,2686,192,3015,137,2278,208,2623,297,4396,484,5171,464,4599,588,5653,632,5111,573,6312,820,5487,461,6760,774,5968,424,7166,473,3694,332,4504,141,982,176,1301,3878,35200,3434,42513,146,2624,206,2971,190,2313,183,2686,557,4802,359,5715,919,4955,379,6255,1237,5222,376,6833,1611,5606,350,7565,1220,6146,364,7731,522,3810,413,4746,108,1358,329,1794,6516,36836,2946,46298,285,5311,395,5986,323,4590,394,5306,849,9197,837,10886,1388,9552,967,11904,1873,10332,947,13147,2434,11088,809,14327,1999,12116,788,14903,993,7508,745,9248,248,2340,506,3095,10395,72036,6380,88811
50301,105,2767,97,2969,131,2397,101,2630,164,3078,246,3489,279,3107,197,3584,587,3982,177,4747,767,3341,164,4270,500,2942,162,3601,248,1954,151,2355,97,684,91,865,2886,24247,1382,28511,143,2718,115,2978,154,2319,118,2595,249,2983,179,3416,493,3516,133,4147,1123,3955,152,5224,1341,3098,159,4597,832,2913,170,3918,396,2045,183,2621,94,1057,165,1314,4830,24605,1379,30813,249,5484,212,5947,288,4714,224,5224,419,6060,430,6900,769,6624,333,7729,1708,7933,330,9973,2109,6440,319,8870,1335,5853,329,7515,647,3998,328,4980,189,1737,255,2184,7718,48849,2756,59324
50302,92,1890,84,2058,139,3251,318,3710,460,10494,1114,12067,576,8365,700,9647,756,5569,504,6826,901,4533,419,5852,536,3557,323,4417,216,1666,208,2083,70,599,108,778,3744,39921,3776,47440,68,1997,98,2165,192,3817,326,4333,583,10864,803,12257,824,7539,471,8827,1148,5104,299,6550,1398,4068,253,5719,762,3451,276,4484,252,1854,196,2302,75,1201,182,1452,5299,39892,2898,48092,158,3893,177,4225,325,7069,648,8043,1042,21364,1922,24325,1399,15905,1175,18480,1902,10668,803,13375,2304,8604,671,11574,1300,7001,596,8897,468,3516,400,4386,145,1798,288,2226,9041,79817,6675,95536
50401,90,1828,93,2002,135,2255,163,2554,363,5944,470,6774,517,5558,406,6481,681,4372,317,5369,698,3812,268,4775,457,3194,172,3832,231,1772,141,2142,72,550,71,698,3232,29285,2107,34620,95,1679,87,1859,139,2166,125,2430,496,6075,353,6920,766,5381,308,6451,1050,4167,248,5460,1138,3612,187,4934,718,3439,146,4302,257,2038,177,2477,50,1071,137,1249,4712,29620,1764,36095,183,3508,177,3865,270,4418,290,4982,855,12014,819,13689,1281,10934,718,12929,1729,8541,561,10831,1834,7425,454,9712,1170,6635,325,8133,491,3809,320,4621,121,1618,211,1949,7940,58905,3875,70713
50402,66,1225,82,1369,67,1028,230,1324,119,1852,795,2763,195,1989,749,2932,346,2325,507,3173,420,2391,326,3139,283,2015,147,2451,158,1020,105,1284,36,259,58,356,1688,14098,3001,18784,66,1134,59,1260,66,890,46,1002,211,1819,119,2155,375,2106,115,2600,650,2276,121,3050,729,2221,123,3073,476,1956,111,2548,171,1112,100,1386,23,375,109,514,2775,13899,917,17590,125,2362,141,2630,133,1914,278,2331,331,3675,912,4921,569,4099,865,5532,992,4598,628,6223,1157,4612,451,6220,765,3973,258,4995,328,2132,210,2668,62,633,165,870,4468,27992,3921,36378
50403,209,4424,255,4885,191,4222,278,4696,605,9394,820,10820,893,9428,769,11092,1012,7696,671,9382,913,6559,479,7946,552,4266,250,5074,267,1914,159,2345,61,514,102,678,4704,48409,3793,56904,257,3956,234,4442,287,4000,274,4559,1047,10026,742,11813,1498,9092,601,11189,1672,7697,486,9855,1691,6239,339,8263,822,4242,275,5332,300,2100,209,2605,39,828,139,997,7598,48182,3291,59069,462,8376,487,9326,476,8226,553,9260,1655,19418,1562,22634,2386,18521,1368,22281,2679,15393,1165,19239,2603,12800,812,16210,1374,8507,521,10400,565,4015,371,4950,99,1336,237,1678,12304,96585,7084,115971
50501,183,5035,149,5365,193,4440,191,4822,377,7294,450,8116,750,9160,550,10457,1180,9478,575,11225,1461,8534,434,10433,1136,7416,290,8847,394,3165,188,3747,112,848,91,1044,5783,55363,2916,64062,187,4625,144,4953,239,3861,123,4226,530,7402,337,8275,1278,9394,313,10989,2080,9226,306,11604,2454,8628,287,11373,1566,7464,283,9311,461,3436,238,4135,88,1478,179,1750,8881,55510,2209,66606,368,9655,292,10317,430,8305,315,9052,907,14694,795,16389,2025,18556,857,21444,3261,18700,875,22833,3918,17166,724,21801,2708,14877,578,18157,853,6597,429,7877,195,2328,266,2794,14664,110874,5122,130669
50502,220,4864,225,5315,284,5227,401,5906,744,14433,1276,16452,1122,13504,1119,15746,1560,10539,759,12859,1591,8594,536,10723,1026,7011,374,8413,560,4362,334,5257,233,1661,205,2093,7333,70201,5229,82764,228,4475,245,4947,360,5441,337,6140,1146,15375,1053,17572,1755,13545,820,16124,2449,10207,542,13195,2684,8411,441,11536,1804,7818,478,10103,804,5494,459,6750,164,2945,314,3425,11387,73716,4687,89795,445,9344,472,10259,643,10668,740,12049,1886,29805,2329,34023,2876,27048,1942,31870,4011,20746,1301,26057,4275,17007,980,22258,2829,14834,854,18519,1362,9856,789,12003,389,4604,514,5514,18721,143912,9922,172558
50503,250,6484,362,7097,289,6132,422,6846,651,12229,968,13848,1100,12832,959,14889,1358,11770,906,14029,1125,8883,641,10647,732,5915,311,6962,406,2935,231,3570,102,778,150,1024,6020,67955,4941,78914,315,6111,335,6765,375,5876,311,6559,1294,13130,715,15137,2046,13196,677,15918,2283,11722,584,14585,2010,8657,402,11075,1133,6276,344,7753,392,3492,330,4214,73,1254,261,1592,9920,69712,3968,83602,568,12594,693,13859,666,12004,736,13403,1939,25364,1688,28995,3142,26028,1634,30810,3642,23491,1484,28617,3135,17538,1041,21721,1867,12190,653,14711,801,6423,560,7781,175,2035,411,2616,15937,137671,8903,162511
50601,129,2413,181,2721,102,2379,192,2667,379,5821,507,6711,682,6518,506,7707,569,4593,411,5572,535,3727,313,4577,382,2778,151,3306,157,1321,108,1589,50,324,59,426,2985,29869,2417,35273,134,2385,163,2684,169,2347,164,2680,723,6288,416,7429,1078,6345,392,7815,1018,4175,279,5471,931,3610,210,4755,571,2989,152,3710,188,1377,133,1703,28,467,89,581,4845,29970,2000,36821,254,4799,345,5404,270,4725,353,5350,1107,12108,920,14140,1762,12864,904,15526,1586,8759,690,11039,1472,7340,528,9336,949,5763,302,7019,352,2698,240,3289,79,784,142,1006,7829,59845,4422,72096
