SA3_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
50101,455,479,936,1665,1482,3147,489,452,945,443,434,874,2605,2375,4979,1263,1145,2404,395,439,838,355,365,723,2012,1950,3968,73,43,120,42,114,149,196,100,295,185,381,568,3,8,5,499,644,1147,53,132,184,48,156,205,16,42,58,92,357,454,0,4,4,215,684,897,715,1333,2048,59,55,112,91,200,289,0,3,8,152,254,412,2041,1761,3800,7988,8154,16143
50102,918,867,1788,3286,2949,6232,845,817,1667,625,536,1163,4768,4308,9076,2538,2471,5012,748,795,1550,593,636,1228,3878,3908,7789,193,200,398,98,253,346,442,243,687,299,645,940,11,0,8,1029,1346,2379,132,333,469,89,287,379,46,98,149,224,553,770,0,4,4,491,1278,1774,1525,2627,4155,105,118,224,209,326,528,3,5,10,316,445,760,4040,2981,7025,15452,15142,30594
50103,162,165,324,605,563,1167,243,224,463,44,43,87,889,822,1715,537,504,1041,111,150,264,44,65,112,695,719,1412,23,14,34,8,31,41,77,48,128,38,130,168,0,0,0,143,232,373,13,33,46,16,34,45,0,12,12,26,72,101,0,0,0,51,152,204,196,382,581,27,27,57,26,50,77,4,0,4,56,74,135,1007,890,1905,3010,3063,6064
50201,790,781,1571,2729,2782,5509,694,708,1402,749,714,1461,4177,4211,8391,1999,1849,3853,610,689,1304,800,803,1600,3410,3348,6758,189,225,414,84,251,335,375,229,603,277,598,872,5,0,10,934,1304,2235,361,724,1085,110,353,461,73,140,213,215,485,700,5,5,5,761,1701,2465,1699,3007,4706,97,141,238,209,365,575,8,0,8,317,507,816,3670,3141,6815,14070,14990,29061
50301,587,535,1115,1902,1770,3666,389,453,848,739,629,1369,3031,2856,5884,929,804,1728,526,653,1178,1862,1738,3601,3320,3191,6509,90,73,162,52,97,150,81,47,133,117,226,342,0,4,4,337,449,787,2344,2485,4824,641,617,1260,206,211,422,381,585,964,7,5,11,3575,3906,7481,3914,4356,8276,70,73,140,133,205,342,5,3,3,205,283,484,1396,1379,2776,12451,12605,25056
50302,867,703,1570,2533,2457,4996,426,390,814,292,343,632,3250,3192,6450,1515,1360,2871,534,483,1016,501,638,1146,2552,2485,5037,267,294,556,418,587,1006,167,134,305,433,664,1095,5,4,8,1286,1686,2975,1609,2162,3771,1097,1222,2320,252,334,584,956,1247,2211,10,13,18,3919,4980,8902,5210,6671,11885,196,268,471,346,487,835,7,9,11,549,765,1315,3661,2816,6473,16090,16641,32725
50401,769,686,1459,1878,1698,3576,762,739,1505,280,316,598,2930,2762,5687,1243,1067,2309,745,688,1433,402,378,785,2394,2143,4533,201,175,378,214,307,523,181,107,293,332,511,844,3,4,6,937,1107,2046,830,979,1807,423,492,914,156,182,336,454,701,1154,8,4,14,1876,2354,4228,2820,3463,6286,141,126,267,243,342,587,3,5,9,385,471,857,2158,1785,3944,11460,11305,22771
50402,343,300,646,1146,1045,2190,229,215,444,325,311,634,1699,1570,3273,698,680,1376,242,231,469,585,509,1095,1524,1420,2939,76,77,154,37,83,119,172,85,255,122,216,342,0,4,3,414,463,873,217,352,569,67,146,211,47,71,115,131,272,400,0,0,0,464,835,1299,875,1299,2173,42,62,108,82,155,245,0,0,4,129,226,353,3079,972,4053,7652,5787,13440
50403,1592,1403,2999,5130,4709,9837,1183,1164,2349,1046,966,2015,7381,6857,14236,3109,2843,5955,1174,1143,2316,1262,1150,2414,5550,5154,10699,324,346,676,249,476,723,487,302,783,519,909,1427,8,7,14,1583,2038,3622,1063,1407,2463,371,593,963,195,305,504,466,862,1329,9,4,15,2096,3181,5274,3691,5231,8921,232,269,492,401,635,1040,7,0,8,639,910,1541,3923,3501,7422,22774,23055,45831
50501,1386,1258,2640,5084,4654,9738,1208,1188,2398,951,951,1898,7247,6813,14060,3594,3258,6855,1260,1283,2546,1538,1500,3036,6392,6053,12442,334,317,656,158,289,445,596,235,832,426,681,1107,0,0,6,1519,1523,3044,1814,2210,4023,530,654,1187,299,375,676,592,1117,1712,9,5,16,3241,4365,7606,4770,5896,10662,159,181,335,384,576,963,5,3,7,544,758,1305,2856,2201,5058,23196,22972,46168
