SA3_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
50101,278,878,235,428,27,2009,237,192,984,492,685,75,2659,5,6,75,51,98,8,244,18,15,82,90,497,28,732,25,8,144,103,270,91,640,879,788,4845,3079,8336,714,18646
50102,458,1375,472,997,73,3610,392,263,1843,909,1960,158,5532,5,9,58,50,173,17,310,44,27,142,191,1023,31,1452,26,14,123,119,589,185,1050,1243,1089,6501,4589,17733,1210,32368
50103,85,299,83,169,16,715,53,52,257,175,316,28,885,5,8,14,17,35,0,76,0,3,20,18,205,12,264,19,0,29,23,109,39,222,253,235,1380,1051,3352,313,6589
50201,355,1211,434,811,86,3131,255,196,1321,952,1668,128,4527,17,6,56,61,152,24,310,25,14,100,201,852,44,1241,29,14,122,155,597,166,1081,1094,881,5110,4716,14757,1180,27731
50301,373,1327,230,176,56,3253,1681,410,3089,404,215,135,5935,69,32,224,50,64,9,450,93,26,227,97,173,14,631,257,57,511,104,111,92,1132,6684,1822,13941,2645,2514,683,28290
50302,719,2009,355,345,70,4920,2205,604,4331,898,733,212,8975,164,48,528,191,155,27,1122,160,50,424,249,506,29,1416,346,65,777,243,261,184,1865,10550,3140,23982,6427,7423,1364,52887
50401,511,1514,365,447,58,3525,675,347,2084,826,1011,138,5078,73,27,259,128,162,18,654,80,24,261,214,695,48,1323,132,35,405,182,399,150,1315,3757,1717,11640,5085,9043,976,32217
50402,215,664,238,331,38,1721,157,145,727,370,529,80,2006,13,4,53,30,82,11,195,21,16,77,113,498,14,736,25,6,103,86,297,75,598,910,673,3359,2331,6119,507,13890
50403,487,1607,590,1123,113,4358,628,378,2690,1662,2399,260,8012,29,16,159,115,293,17,630,62,33,275,380,1664,54,2471,113,21,398,344,1033,292,2189,3030,1605,11639,8563,21780,1859,48479
50501,1142,3523,1013,1252,138,8218,1023,621,3974,1722,1849,305,9500,57,26,343,158,287,30,895,108,65,392,441,1427,55,2494,147,49,551,338,870,229,2186,5402,3140,19687,10338,20576,1907,61046
50502,1251,3721,901,1040,164,8586,2149,873,6236,1995,2109,371,13738,118,67,568,261,343,37,1392,181,81,701,614,1529,115,3217,338,74,1033,510,896,388,3241,10345,4291,31333,12545,19479,2645,80641
50503,731,2663,1031,1595,184,6918,826,588,4000,2569,3398,372,11759,42,23,231,151,388,35,870,89,36,423,593,2263,116,3530,142,51,488,427,1385,436,2919,3984,2323,16894,12568,30138,2721,68636
50601,330,1187,370,713,58,3013,540,281,1962,1017,1479,160,5448,27,9,92,67,154,9,355,48,14,144,202,879,47,1331,75,26,276,245,650,228,1500,2515,1035,7949,5243,12480,1121,30346
50602,349,1103,256,342,50,2700,668,281,1943,746,801,124,4559,68,17,244,140,238,26,731,67,31,267,191,495,39,1103,139,18,348,186,324,206,1224,4101,1378,11144,4823,8093,1065,30604
50603,426,1594,370,514,59,3859,945,358,2793,970,925,173,6177,51,15,208,103,154,11,540,108,34,333,250,539,38,1301,281,34,541,235,460,235,1781,5924,1579,14218,5467,8285,1213,36690
50604,332,1283,464,812,87,3528,662,287,2473,1228,1663,223,6548,41,11,166,115,198,20,547,82,32,291,303,1058,59,1818,172,25,423,267,759,282,1927,3792,1181,11016,6540,14383,1514,38424
50605,261,882,297,469,42,2245,234,165,1055,558,718,71,2800,14,8,91,53,121,14,303,35,19,85,163,653,27,979,36,17,153,120,395,90,806,1328,792,4960,3263,8367,667,19375
50606,94,351,156,281,25,961,88,104,471,338,431,53,1491,0,0,21,24,78,6,131,10,3,46,78,464,11,614,12,3,63,61,267,74,480,400,334,1874,1789,5581,416,10395
50607,297,987,178,169,34,2263,630,204,1503,317,285,71,3015,41,14,147,41,69,7,325,58,21,153,83,207,19,544,119,23,249,94,117,84,685,3281,1102,8160,2234,2954,471,18207
50701,609,1987,578,922,97,4913,796,488,3118,1235,1565,211,7408,42,12,205,101,216,26,607,73,36,286,285,1204,42,1924,130,36,444,281,815,247,1957,3857,1886,13242,7020,16110,1540,43650
50702,385,912,187,167,34,2345,607,226,1398,325,287,62,2914,63,31,192,63,70,4,426,56,25,144,82,214,11,518,96,23,228,87,132,78,642,2792,1118,6657,2135,3222,448,16372
50703,142,412,172,281,26,1170,181,137,893,503,799,78,2589,15,5,44,30,79,10,173,18,12,65,109,422,16,635,39,10,97,89,335,84,657,944,459,3555,2320,6484,551,14317
50704,742,2405,507,543,88,5433,1228,565,3366,842,803,172,6983,57,22,262,102,154,24,625,89,42,337,223,563,36,1298,187,41,590,213,397,188,1614,6024,2529,17013,5487,8563,1167,40781
