SA3_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
50606,2687,4496,1103,80,8365,1422,193,9979,13,16,16,0,39,40,3,74,0,0,0,0,0,0,0,0,13,16,16,0,39,40,3,74,4,0,0,0,4,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,7,0,17,10,0,0,0,11,24,0,36,4,0,0,0,4,3,0,9,46,3,7,0,53,38,0,91,0,4,0,0,4,0,0,3,0,0,3,0,8,8,0,15,50,5,3,0,67,47,0,112,3,4,0,0,8,10,0,26,2766,4516,1129,78,8492,1542,200,10232
50607,2485,3378,742,157,6758,1577,373,8709,678,343,200,45,1277,1292,151,2717,1047,518,246,94,1901,1289,252,3450,1730,860,450,143,3175,2581,405,6163,186,104,42,19,355,482,59,895,188,44,23,17,276,464,45,781,185,49,27,20,275,263,34,580,161,46,22,5,227,270,28,529,0,0,0,0,0,3,0,9,717,245,118,65,1143,1477,175,2787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,4,3,0,11,10,0,24,4932,4478,1313,363,11092,5651,953,17690
50701,9207,14098,4029,387,27727,5911,1013,34655,896,549,476,48,1971,1930,162,4060,221,159,121,13,513,373,59,953,1120,713,603,56,2488,2304,217,5012,120,26,56,14,218,401,31,652,143,65,83,13,300,506,49,856,304,61,47,16,425,481,49,958,94,18,18,0,126,157,11,295,20,11,16,0,46,22,0,71,680,176,218,40,1115,1573,137,2826,0,0,0,0,0,7,0,5,60,3,6,0,73,122,4,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,3,6,4,78,125,3,206,4,6,0,0,14,22,0,39,11081,15000,4858,483,31427,9937,1377,42742
50702,2754,3412,1005,72,7240,2108,490,9837,396,228,177,21,817,795,97,1705,504,242,188,23,958,720,108,1786,892,467,361,40,1776,1517,205,3494,69,21,26,3,119,279,26,428,165,36,47,6,258,415,34,700,425,96,60,3,588,669,52,1314,22,7,7,0,37,42,6,89,16,6,4,0,27,23,3,51,699,168,142,11,1023,1433,121,2570,3,0,0,0,3,7,0,11,42,5,8,0,48,73,4,132,0,0,0,0,0,0,0,0,15,4,4,0,18,18,3,37,57,9,6,3,74,95,6,178,11,3,0,0,13,29,5,43,4411,4063,1517,129,10119,5179,827,16121
50703,3258,5614,2095,173,11141,2938,487,14566,97,48,45,4,191,257,16,462,11,8,18,0,37,48,9,87,106,53,61,3,228,304,22,552,26,9,29,10,77,216,19,308,35,20,27,0,81,113,8,201,0,0,4,0,4,3,0,7,0,0,0,0,0,0,0,0,3,5,0,0,11,7,0,15,60,32,55,13,164,344,23,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,9,4,0,0,0,5,0,0,7,3428,5698,2218,194,11540,3588,533,15666
50704,8751,12438,2778,305,24275,5122,732,30129,1227,917,644,69,2864,2808,209,5880,375,364,125,22,884,394,44,1321,1610,1286,771,87,3750,3202,249,7200,173,62,55,13,303,537,28,874,101,21,18,8,141,236,30,397,228,52,28,3,311,262,9,581,62,8,10,4,83,94,5,177,17,5,3,3,26,13,3,45,577,145,114,32,864,1138,72,2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,4,13,10,5,0,29,15,4,44,10944,13884,3665,428,28923,9477,1056,39453
50705,11695,16239,5969,389,34292,8426,1053,43771,442,114,208,25,788,1326,50,2168,116,53,55,8,234,327,22,578,558,164,260,34,1017,1653,74,2745,162,46,79,6,292,716,39,1046,29,12,20,0,64,125,10,190,94,16,9,5,122,147,5,275,17,0,3,0,17,11,0,27,4,14,5,0,21,15,5,40,303,87,112,13,518,1011,52,1582,40,0,8,0,50,83,3,139,12,0,4,0,20,62,0,82,0,0,0,0,5,4,0,6,17,0,0,0,22,27,0,44,73,8,12,0,94,172,10,271,15,17,3,0,30,30,0,56,12652,16513,6360,441,35958,11283,1183,48428
50901,7116,5812,2103,175,15195,5625,521,21343,245,112,112,8,473,847,31,1352,27,7,6,0,34,70,3,107,270,123,117,8,514,918,32,1462,9,7,9,0,19,43,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,14,13,4,21,13,11,11,0,26,52,3,83,32,8,0,0,41,82,3,132,40,3,5,0,43,94,0,137,6,0,0,0,3,7,0,14,4,0,0,0,8,8,0,17,80,11,13,0,97,197,3,292,18,17,5,0,41,31,5,76,7499,5964,2248,177,15882,6822,556,23262
50902,6805,4950,1714,151,13615,5285,451,19351,91,29,46,5,169,335,16,524,13,3,0,0,20,7,0,31,102,36,45,5,190,352,16,550,14,3,5,0,26,54,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,6,0,10,21,3,5,0,34,61,3,94,25,4,4,0,31,70,4,101,18,3,0,0,19,45,4,67,13,4,3,0,19,23,5,49,6,3,0,0,17,23,0,34,63,12,7,0,91,159,5,252,44,28,7,0,74,64,3,138,7030,5030,1774,163,14002,5914,482,20393
50903,2359,1765,560,55,4736,1952,144,6830,39,6,11,0,61,207,10,272,0,0,0,0,0,4,0,5,39,6,13,0,60,211,8,279,0,0,0,0,5,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,14,0,16,4,0,4,0,9,24,0,28,4,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,9,0,0,0,13,0,0,13,19,8,4,0,23,30,0,54,9,0,0,0,13,9,3,35,2433,1780,579,60,4842,2212,158,7212
51001,1720,2643,1367,190,5924,1562,294,7777,157,118,131,24,430,408,35,876,73,33,21,0,129,119,23,273,232,157,152,24,558,529,59,1147,51,42,38,0,128,94,22,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,51,44,36,0,133,99,22,253,157,32,15,0,215,249,16,477,5,0,0,0,5,8,0,16,11,11,0,3,25,28,3,48,34,15,8,6,59,17,5,84,211,57,28,6,298,298,23,627,73,32,16,5,121,112,6,242,2277,2929,1595,230,7035,2610,403,10043
51002,1179,2050,514,71,3806,969,135,4910,129,161,65,11,372,279,27,683,68,75,23,0,165,84,15,261,198,242,91,16,541,357,44,942,62,21,16,0,98,184,16,300,32,8,10,4,53,58,6,116,20,13,0,0,29,42,4,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,43,19,4,180,283,22,486,21,8,7,0,33,22,0,58,6,3,0,0,9,10,0,19,0,0,0,0,4,3,0,7,9,3,0,0,11,6,7,23,36,12,7,0,54,43,3,103,10,8,0,0,19,38,4,61,1537,2351,630,90,4604,1695,208,6508
51003,1531,3084,485,48,5145,1007,171,6325,204,154,76,11,452,336,30,814,41,26,5,0,70,75,13,155,248,179,85,12,523,415,34,972,34,3,3,0,44,75,10,125,18,5,0,0,22,34,0,58,13,7,0,0,19,19,0,40,32,10,5,0,40,85,6,137,0,0,0,0,0,0,0,3,96,26,5,0,131,216,17,362,54,5,3,0,64,48,6,126,6,0,0,0,7,9,0,22,0,0,0,0,4,0,0,10,0,3,0,0,3,0,0,0,67,13,4,7,83,66,12,154,15,6,0,0,26,42,5,70,1953,3303,578,62,5904,1738,243,7888
51101,1641,1475,480,44,3646,1297,136,5082,52,24,47,6,129,246,6,381,8,5,0,0,19,22,0,40,67,33,45,6,141,269,7,421,8,4,4,0,19,80,0,100,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,4,0,19,84,0,105,16,5,0,0,22,42,6,63,0,0,0,0,5,7,0,14,7,0,0,0,5,3,0,9,0,5,0,0,5,0,0,9,28,4,3,6,37,54,10,99,21,24,3,0,51,22,0,72,1763,1538,538,53,3894,1721,155,5777
51102,781,717,243,22,1759,594,127,2480,28,16,30,4,80,133,13,230,6,3,3,0,17,23,5,37,35,23,32,4,98,157,14,271,22,3,10,0,27,79,3,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,10,0,27,79,3,112,102,28,11,3,155,135,14,304,6,4,0,0,11,11,3,25,6,5,0,0,12,10,0,20,4,7,0,0,15,4,5,22,124,43,16,7,187,168,17,372,13,12,4,0,36,25,0,60,978,797,299,35,2104,1024,162,3291
51103,2642,3514,1147,136,7445,2355,311,10107,261,231,123,17,629,778,74,1477,64,48,18,3,131,75,18,229,324,278,138,22,760,854,92,1700,28,23,11,3,55,100,9,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,27,23,11,3,60,104,9,176,23,0,0,0,28,48,0,76,25,3,5,0,39,66,0,106,0,0,0,0,0,0,0,0,8,3,0,0,10,13,0,28,59,9,6,0,78,128,0,210,17,5,13,0,35,50,3,84,3069,3835,1314,162,8373,3489,420,12275
51104,5414,4783,1973,167,12333,4169,413,16914,250,85,148,28,508,865,47,1416,130,62,29,5,235,140,10,381,383,154,180,32,742,998,56,1796,41,13,21,3,81,174,8,264,0,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,3,0,12,45,15,23,3,86,199,10,296,84,8,8,3,103,113,0,212,16,3,6,0,14,40,0,59,9,5,3,0,13,14,0,30,12,4,0,0,17,12,0,34,113,21,15,5,149,181,0,329,42,21,8,0,75,89,6,163,5989,4986,2197,208,13382,5632,488,19497
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
59999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
