SA3_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
50101,277,265,210,224,92,12,1256,3,108,262,266,206,163,48,8,1061,106,1066,1675,1389,1047,877,361,89,6609,88,525,865,975,940,832,376,85,4690,703,1583,2088,1918,1677,1206,452,103,9724,283,114,114,118,86,73,25,5,821,50,79,143,200,205,188,79,18,964,1029,1775,2347,2239,1967,1467,557,125,11512,15,38,54,56,65,78,51,17,365,378,550,668,695,582,618,449,251,4196,1631,4223,6142,5883,5021,4259,1939,582,29681
50102,390,350,297,197,61,14,1569,23,202,302,337,312,182,54,9,1413,274,1655,2024,1809,1327,928,340,82,8438,215,912,1305,1397,1447,1009,392,105,6782,2277,4132,4196,3921,3429,2125,768,155,21007,787,415,260,204,170,102,27,11,1971,111,148,250,350,367,284,113,24,1645,3174,4693,4696,4474,3966,2504,919,186,24621,26,61,92,80,100,133,64,23,576,778,953,1014,1098,1111,1086,827,479,7354,4510,8722,9832,9551,8556,6044,2652,893,50756
50103,79,75,66,75,36,0,371,3,29,51,76,88,75,15,0,335,48,271,393,379,372,357,119,25,1967,30,146,257,282,385,366,126,17,1609,360,599,687,763,848,591,204,53,4087,160,81,47,38,48,35,12,0,419,24,30,48,69,93,86,42,7,403,532,708,779,873,985,711,254,55,4902,0,8,7,19,28,32,20,0,118,206,178,262,348,389,401,298,90,2176,830,1385,1832,2047,2309,2014,872,193,11480
50201,341,334,304,224,80,15,1505,20,154,228,297,273,219,72,19,1276,348,1336,1567,1432,1158,1063,459,94,7454,319,932,1318,1505,1654,1358,649,153,7875,1802,3442,3383,3504,3477,2686,1343,316,19957,645,290,209,153,169,149,52,10,1677,119,170,245,299,345,341,218,61,1794,2569,3898,3841,3961,3995,3170,1616,383,23430,33,56,88,80,123,165,133,36,716,798,913,1054,1105,1078,1266,1235,757,8204,4107,7478,8445,8709,8575,7455,4238,1441,50461
50301,1836,2130,1656,1100,519,168,8955,28,285,428,661,572,376,178,41,2563,1739,3121,3367,4220,3174,2454,1243,405,19723,233,364,541,863,1019,915,661,244,4844,499,452,425,470,485,379,234,92,3032,165,41,31,34,44,24,29,10,377,41,31,55,135,139,161,144,56,758,704,516,508,634,674,564,398,161,4157,43,51,71,85,71,109,103,58,591,413,434,394,400,420,465,483,358,3368,3316,6158,7155,8984,7574,5990,3589,1428,44200
50302,3555,2111,1384,910,303,57,12615,75,938,919,805,608,410,108,20,3880,2225,9785,7128,4339,3138,1990,695,214,29510,753,1932,1786,1445,1417,1022,468,157,8978,1109,2075,1520,1231,1196,732,321,145,8328,342,157,105,65,74,52,26,10,836,82,160,170,234,261,209,80,47,1233,1532,2391,1803,1526,1525,995,427,195,10399,62,187,152,117,100,116,80,24,842,797,2004,1260,899,823,796,581,397,7550,5670,21296,16601,11240,9004,6237,2653,1072,73773
50401,1461,774,471,264,84,14,4414,29,449,532,453,339,191,63,13,2066,853,4386,3818,2306,1418,955,317,71,14134,458,1383,1426,1324,1109,828,357,78,6960,992,2351,2048,1785,1687,1244,573,162,10839,359,183,123,115,94,74,14,4,979,74,127,192,226,250,216,102,34,1218,1426,2663,2370,2130,2028,1530,689,196,13035,34,77,112,74,79,86,64,21,554,462,892,789,639,590,537,519,292,4724,3358,11104,10513,7698,6044,4391,2098,691,45890
50402,266,283,255,174,71,11,1210,11,105,173,214,203,97,40,3,853,204,760,1036,1038,728,608,249,43,4662,133,372,570,730,723,599,253,57,3439,693,1392,1293,1389,1337,932,368,81,7479,230,102,76,73,45,44,19,4,595,46,49,97,127,176,137,65,13,713,965,1544,1460,1588,1562,1112,451,102,8783,14,33,37,33,51,55,39,6,271,239,326,373,394,436,343,323,212,2646,1577,3274,3919,4283,3951,2991,1435,431,21862
50403,1289,622,401,230,73,7,3651,54,430,536,420,280,131,42,11,1908,950,4083,4042,2522,1498,856,281,60,14285,630,2366,2821,2272,1722,866,325,57,11062,2694,5929,5069,4316,3511,1825,668,129,24148,839,459,341,246,161,84,27,3,2159,206,301,411,488,440,245,105,22,2221,3743,6688,5826,5043,4104,2153,806,157,28523,73,129,208,157,157,113,67,24,926,1014,1566,1429,1296,1040,777,612,378,8112,6526,16234,16153,12341,9198,5124,2206,691,68477
50501,1784,1697,1189,645,164,29,6627,57,537,957,1002,802,461,102,13,3937,1631,4721,6190,5321,3639,2371,720,124,24720,679,1584,2672,3277,3182,2335,773,166,14662,2276,3873,4501,4449,4534,3168,1158,246,24204,665,193,210,165,202,175,57,7,1670,150,191,369,599,612,541,241,48,2745,3085,4250,5080,5212,5345,3883,1458,302,28620,60,99,159,205,190,255,134,34,1139,633,855,1037,1109,1027,1001,736,534,6933,6236,13089,17868,17823,15375,10947,4088,1207,86636
