SA3_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
50101,11018,4932,5544,7816,8001,7556,7420,3702,1332,57332
50102,20733,11881,12419,13649,14325,14330,11985,6102,2133,107549
50103,3941,2098,2006,2569,3216,3989,3684,1843,508,23863
50201,18829,11296,10886,11904,13147,14327,14903,9248,3095,107641
50301,12411,11171,6900,7729,9973,8870,7515,4980,2184,71735
50302,14993,12269,24325,18480,13375,11574,8897,4386,2226,110530
50401,13748,8849,13689,12929,10831,9712,8133,4621,1949,84462
50402,7415,4959,4921,5532,6223,6220,4995,2668,870,43792
50403,32349,18584,22634,22281,19239,16210,10400,4950,1678,148324
50501,29972,19371,16389,21444,22833,21801,18157,7877,2794,160641
50502,35594,22308,34023,31870,26057,22258,18519,12003,5514,208149
50503,45994,27267,28995,30810,28617,21721,14711,7781,2616,208506
50601,22087,10747,14140,15526,11039,9336,7019,3289,1006,94184
50602,11524,8848,15720,12221,9070,7947,5790,2880,1318,75312
50603,17649,14178,15390,14301,11957,10281,8341,4849,2191,99139
50604,26265,16250,17620,19859,16225,12945,10175,5162,1869,126376
50605,11358,6770,6450,7970,7889,7218,6227,3593,1292,58762
50606,8027,3719,4898,4782,4076,3405,2133,955,249,32242
50607,6247,5938,6604,5723,5276,5155,4773,2503,1233,43448
50701,22586,13694,17653,18277,15520,12579,9066,4655,1782,115824
50702,5972,4136,5303,5448,5556,5531,4455,2407,1107,39910
50703,10410,5642,7857,7718,5670,4134,2717,1314,416,45867
50704,18363,13069,11181,13737,14104,13415,12123,6774,3363,106127
50705,29431,16896,18324,18382,17886,15559,10901,6210,2083,135678
50901,11111,6236,6315,6934,8013,9084,8126,4420,1644,61880
50902,9297,5065,5560,6125,7536,9141,8072,3947,1196,55937
50903,3498,1721,1943,2226,2586,2989,2561,1351,471,19357
51001,8213,4411,6066,5272,4658,3773,1958,607,139,35092
51002,5461,2682,5394,4851,3497,2645,716,157,39,25443
51003,7365,3005,5629,5841,4161,2611,775,186,19,29594
51101,3111,1632,1852,1905,2190,2219,1705,1039,315,15970
51102,1740,976,1432,1271,1335,1322,953,410,90,9537
51103,7982,4738,6379,5744,5261,4655,2404,871,236,38267
51104,10312,5883,6293,6665,7469,7731,6302,3224,1108,54981
59797,0,42,116,170,109,62,18,0,0,514
59999,772,820,1512,1543,1313,1144,758,155,30,8055
