SA3_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
50101,261,324,121,169,149,106,48,104,21,1305,314,217,264,364,237,129,55,162,16,1753,741,251,2855,914,589,397,587,741,115,7188,42,23,70,88,79,112,36,118,3,575,85,36,41,131,81,67,44,80,3,574,31,40,19,16,24,17,11,25,0,191,65,47,63,85,45,69,43,68,45,531,2653,4368,3767,2303,1662,1136,890,1605,260,18646
50102,266,379,224,276,195,75,87,84,17,1592,400,440,472,673,438,156,152,190,45,2965,1072,643,6015,2140,1489,779,1682,1394,244,15464,91,36,173,186,215,196,134,257,16,1291,82,54,95,202,200,101,102,121,16,981,26,55,37,30,32,16,31,62,3,297,96,88,95,102,77,73,113,146,120,919,3180,6923,7517,4251,3278,1591,2467,2638,509,32368
50103,114,93,65,64,42,28,16,35,0,452,131,83,59,118,79,39,27,44,3,583,429,102,952,368,240,115,287,295,57,2851,25,5,29,34,45,36,21,61,0,271,44,13,24,31,41,22,18,35,3,235,19,13,4,3,4,0,8,10,0,58,54,10,20,28,19,22,36,46,22,256,1256,1257,1223,774,577,305,443,641,110,6589
50201,282,342,229,302,246,83,84,64,25,1644,440,436,417,751,411,223,163,164,36,3035,1005,551,4903,1994,1063,689,1428,1065,217,12915,59,27,134,177,138,153,105,206,10,1011,68,60,89,174,150,89,98,95,9,836,43,55,49,41,40,26,22,24,5,302,74,76,108,130,100,77,94,112,95,871,2963,5502,6252,4224,2666,1574,2160,1931,447,27731
50301,322,448,101,157,215,106,23,30,13,1410,263,239,138,172,186,125,33,61,14,1232,368,129,584,331,198,146,67,135,33,1992,30,16,21,51,36,39,6,27,0,225,46,55,19,43,70,45,6,15,8,304,46,137,6,27,32,11,0,10,4,281,70,106,20,40,51,31,0,20,56,397,5855,14391,1306,1802,2495,1175,283,556,420,28290
50302,490,741,344,314,349,155,59,116,22,2587,615,638,584,733,493,275,131,283,37,3795,750,509,1993,947,688,386,331,441,95,6136,45,35,46,115,109,80,37,58,3,527,114,86,68,140,174,79,22,63,7,762,75,211,46,63,59,25,14,46,9,543,95,189,72,87,98,54,32,77,116,818,8229,24328,4473,4620,5074,2184,1075,2289,618,52887
50401,273,454,287,297,272,90,61,85,18,1833,480,511,503,651,500,198,138,185,44,3208,677,452,2901,1119,868,448,577,585,99,7718,58,31,58,107,136,97,46,106,0,645,68,65,71,138,161,57,45,56,12,681,37,73,36,39,46,21,16,27,8,298,58,110,62,98,91,53,60,62,94,684,4214,11039,4683,3707,3748,1569,1254,1560,444,32217
50402,146,277,117,122,162,54,29,29,12,956,223,225,199,274,224,86,52,60,20,1366,534,306,2132,710,544,233,430,338,93,5316,27,16,52,62,70,50,32,68,3,390,51,34,45,81,85,45,42,39,4,410,20,31,14,19,30,7,3,11,0,134,35,41,39,64,45,27,36,30,51,363,1822,3836,2801,1704,1566,614,675,641,228,13890
50403,366,543,395,457,455,152,202,127,28,2731,793,749,776,1390,907,400,358,315,71,5754,1600,890,6910,2801,2029,1020,1848,1401,282,18789,109,55,160,215,264,231,164,258,24,1480,148,86,167,337,311,157,135,155,27,1511,61,114,98,67,93,41,65,51,9,605,113,110,134,194,166,105,110,132,186,1257,5352,10196,9619,7236,6011,2774,3460,3022,806,48479
50501,767,1239,543,608,731,203,101,139,42,4370,1013,1063,808,1160,1055,389,151,201,59,5911,1854,1016,7264,2320,1921,950,1077,1216,266,17882,88,51,128,206,223,184,61,159,13,1106,201,141,169,273,462,149,64,108,19,1587,120,152,84,80,93,42,20,36,10,637,137,227,111,187,193,113,56,100,145,1271,9169,19877,10147,6704,7340,2843,1806,2371,797,61046
