SA3_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
50101,18648,46418,1347,2183,307,579,1649,2762,68,116,0,0,18,25,0,0,29,73,114,219,127,202,196,312,17,31,16,54,358,605,73,155,20841,50153,7343,..,28181,50153
50102,35163,89515,3158,4959,450,845,3611,5811,558,845,104,160,15,27,32,53,11,22,724,1111,244,351,118,183,20,34,31,59,408,621,77,142,39978,97201,4999,..,44974,97201
50103,8653,20096,305,415,5,16,318,429,43,60,0,0,0,0,0,0,7,13,53,68,33,65,12,20,17,28,7,15,69,131,53,81,9142,20806,2366,..,11516,20806
50201,35441,87222,3736,5693,1085,1836,4824,7532,431,616,189,361,197,365,155,297,39,72,1017,1710,230,319,156,218,16,52,8,13,415,597,45,79,41734,97135,8308,..,50047,97135
50301,17461,50585,1663,3384,1793,3744,3456,7131,1224,2099,1411,2113,1461,2428,399,656,17,41,4513,7327,0,0,0,0,0,0,5,10,5,12,18,42,25459,65100,2894,..,28353,65100
50302,17529,46462,2795,5379,4975,10136,7773,15516,3336,5495,5654,9221,7167,11646,5677,9903,18,34,21855,36302,0,4,0,0,0,0,75,139,70,144,73,113,47305,98533,7562,..,54866,98533
50401,24758,62588,4245,7995,2173,4120,6421,12114,1529,2372,594,911,444,635,269,437,22,40,2861,4386,0,0,0,0,0,0,9,20,9,20,35,75,34084,79179,3578,..,37658,79179
50402,14514,37660,705,1049,41,66,741,1119,9,10,0,0,0,0,0,0,18,44,31,52,15,23,0,0,0,3,4,10,19,38,16,32,15316,38900,1154,..,16471,38900
50403,45253,128697,3527,6601,849,1562,4374,8163,362,566,357,550,100,165,53,73,63,120,936,1480,61,91,142,190,10,20,27,53,234,354,68,160,50874,138850,3611,..,54486,138850
50501,51198,140608,3628,6384,1286,2633,4915,9013,464,672,469,751,471,786,0,0,83,151,1483,2361,88,126,11,19,0,0,21,54,120,190,32,57,57751,152230,3311,..,61065,152230
50502,49230,130596,21537,41389,5771,12305,27302,53690,4182,6526,779,1192,808,1308,159,291,39,79,5957,9398,46,75,7,10,6,3,8,10,58,99,56,105,82612,193890,7272,..,89879,193890
50503,65445,186402,4356,7975,697,1326,5051,9299,77,122,149,229,3,7,0,0,74,170,302,535,117,138,19,27,29,52,15,40,183,261,41,86,71023,196575,4548,..,75566,196575
50601,29258,82563,2760,5077,49,87,2807,5162,136,201,54,82,0,0,0,0,38,79,219,361,81,104,130,174,0,0,13,38,231,318,31,75,32549,88478,2329,..,34874,88478
50602,18681,46115,4155,8196,2721,5633,6877,13824,1261,2242,1203,1962,1446,2301,1377,2424,18,36,5308,8965,10,13,3,3,0,0,10,23,30,43,44,83,30940,69020,3900,..,34842,69020
50603,27167,76990,4948,11057,786,1893,5735,12949,1140,2242,127,209,297,470,108,158,46,103,1716,3175,16,27,0,0,0,0,15,56,38,86,61,111,34710,93311,2833,..,37543,93311
50604,37916,109344,3252,6318,491,967,3746,7284,479,922,268,458,0,0,0,0,54,115,801,1493,107,147,0,0,9,8,62,120,176,272,40,72,42675,118465,2725,..,45398,118465
50605,19923,52789,975,1589,80,144,1048,1726,44,75,0,0,0,0,0,0,38,81,86,152,23,49,95,136,11,31,36,96,165,318,20,44,21248,55035,1374,..,22627,55035
50606,9979,29425,74,152,0,0,74,152,15,20,0,0,0,0,0,0,17,40,36,55,9,11,91,146,3,11,15,24,112,192,26,47,10232,29880,676,..,10905,29880
50607,8709,23368,2717,4870,3450,6662,6163,11531,895,1529,781,1188,580,991,529,865,9,9,2787,4577,0,0,0,0,0,0,4,4,4,4,24,35,17690,39516,2401,..,20090,39516
50701,34655,94862,4060,7478,953,1870,5012,9350,652,933,856,1310,958,1540,295,450,71,142,2826,4379,5,6,200,294,0,8,5,5,206,316,39,62,42742,108965,3136,..,45879,108965
50702,9837,25023,1705,3124,1786,3404,3494,6531,428,598,700,1071,1314,2109,89,140,51,95,2570,4020,11,14,132,195,0,0,37,72,178,277,43,69,16121,35917,2039,..,18161,35917
50703,14566,39958,462,796,87,159,552,945,308,426,201,334,7,12,0,0,15,26,529,798,0,4,0,0,0,5,3,4,9,12,7,22,15666,41735,1242,..,16910,41735
50704,30129,82606,5880,10839,1321,3042,7200,13881,874,1321,397,595,581,1009,177,278,45,92,2069,3294,0,0,0,3,0,0,4,14,4,15,44,93,39453,99896,3328,..,42786,99896
50705,43771,117471,2168,3288,578,937,2745,4233,1046,1501,190,279,275,426,27,49,40,95,1582,2340,139,199,82,112,6,10,44,68,271,393,56,119,48428,124560,4486,..,52917,124560
50901,21343,51353,1352,2158,107,174,1462,2333,62,88,0,6,0,0,0,0,21,42,83,140,132,194,137,196,14,20,17,24,292,434,76,149,23262,54410,5113,..,28368,54410
50902,19351,45105,524,863,31,61,550,920,85,130,0,0,0,0,5,4,10,7,94,144,101,152,67,99,49,81,34,62,252,401,138,260,20393,46825,7260,..,27661,46825
50903,6830,15681,272,366,5,9,279,375,10,12,0,5,0,0,0,0,0,0,16,18,28,43,5,12,0,10,13,33,54,95,35,55,7212,16228,1710,..,8923,16228
51001,7777,24488,876,1827,273,523,1147,2346,253,552,0,0,0,0,0,0,3,6,253,562,477,915,16,30,48,124,84,226,627,1306,242,472,10043,29172,2050,..,12093,29172
51002,4910,14479,683,1492,261,631,942,2129,300,449,116,178,75,123,0,0,0,0,486,753,58,112,19,27,7,15,23,56,103,212,61,116,6508,17681,2594,..,9105,17681
51003,6325,19058,814,1662,155,286,972,1950,125,202,58,87,40,73,137,198,3,6,362,560,126,238,22,36,10,17,0,19,154,307,70,146,7888,22026,2543,..,10434,22026
51101,5082,12234,381,608,40,67,421,673,100,120,3,4,0,0,0,0,4,3,105,127,63,90,14,24,9,18,9,19,99,155,72,185,5777,13368,1575,..,7352,13368
51102,2480,6389,230,384,37,72,271,455,112,145,0,0,0,0,0,0,0,0,112,145,304,634,25,60,20,52,22,64,372,808,60,136,3291,7935,851,..,4137,7935
51103,10107,27080,1477,2712,229,472,1700,3186,165,277,0,0,0,0,0,0,4,7,176,287,76,115,106,160,0,3,28,45,210,320,84,162,12275,31042,2877,..,15155,31042
51104,16914,41690,1416,2301,381,752,1796,3053,264,401,15,14,0,3,0,0,12,20,296,440,212,358,59,80,30,47,34,71,329,558,163,312,19497,46058,4123,..,23617,46058
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,13,3,15,0,..,3,15
59999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
