SA3_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
50101,16,18,258,462,29,601,36,423,31,1868,69,87,393,248,68,178,66,305,22,1438,468,724,1044,584,304,261,227,585,55,4245,900,1337,1237,699,594,368,381,659,97,6263,1030,1301,1026,668,719,478,478,674,86,6464,808,879,675,515,626,418,407,600,79,5010,406,279,171,100,193,168,143,183,39,1672,87,25,15,3,24,14,10,30,10,216,14,0,0,0,0,0,0,3,6,27,3790,4642,4821,3284,2565,2484,1750,3455,422,27214
50102,33,29,497,553,136,1070,142,884,58,3403,137,267,953,590,347,414,361,710,69,3843,618,1456,2147,928,885,614,885,1349,141,9027,1056,1875,2097,1141,1159,585,1158,1213,207,10494,1314,1842,1950,1310,1380,656,1290,1168,188,11103,1039,1424,1380,978,1151,556,1266,997,117,8901,406,421,293,197,281,131,300,290,46,2353,113,27,13,8,18,13,25,39,23,290,14,0,0,3,0,3,0,0,5,26,4734,7342,9323,5700,5359,4054,5430,6648,849,49439
50103,13,5,102,102,23,142,28,182,10,602,38,39,143,70,37,50,57,148,10,599,191,171,290,136,115,88,135,307,27,1457,363,332,300,172,174,109,214,241,35,1943,538,335,325,244,246,114,280,300,33,2422,515,330,320,260,288,131,310,348,44,2539,384,124,95,62,81,49,83,116,19,1016,128,7,0,5,17,0,3,28,13,214,15,0,0,0,0,0,0,0,0,16,2175,1346,1590,1056,982,691,1104,1668,184,10802
50201,31,31,381,550,94,988,132,692,51,2941,141,285,801,699,265,582,309,567,58,3715,580,1092,1877,1024,691,543,815,777,147,7544,915,1407,1744,1134,909,508,1033,794,135,8585,1196,1524,1729,1232,1108,623,1232,836,160,9639,979,1235,1417,1047,1036,579,1110,806,134,8344,316,346,275,185,297,178,270,236,49,2152,55,34,22,11,35,27,26,26,20,250,5,3,0,0,0,0,0,0,10,22,4220,5961,8240,5890,4434,4029,4937,4721,759,43190
50301,22,140,102,848,142,645,101,421,28,2434,130,907,234,1015,469,530,113,256,39,3692,573,2796,384,542,439,247,103,188,64,5340,1395,3176,286,318,533,191,75,127,99,6210,2277,3730,310,364,831,321,80,117,121,8152,1520,2876,238,273,639,291,49,116,98,6104,617,1184,104,102,290,114,31,51,56,2545,139,240,19,16,70,36,4,16,30,577,11,15,0,0,7,3,0,4,9,53,6687,15059,1674,3481,3430,2386,557,1292,548,35109
50302,25,59,109,560,121,655,58,421,23,2040,245,1312,557,1478,639,816,185,540,92,5864,1986,8901,1857,2196,1929,904,552,1311,254,19895,2869,6725,1313,1054,1367,500,417,690,194,15126,2389,4372,817,654,1231,442,287,393,138,10712,1610,2937,623,466,1097,366,232,339,86,7748,472,1016,182,154,360,166,81,126,35,2599,68,123,15,17,50,23,10,29,10,333,3,11,0,0,3,5,0,0,0,25,9670,25457,5465,6571,6798,3869,1817,3849,834,64338
50401,13,37,150,376,74,593,91,430,21,1782,168,576,516,804,411,615,243,448,50,3821,1072,3666,1655,1292,1259,630,589,723,196,11080,1587,3415,1425,951,1298,463,514,602,181,10444,1370,2228,1166,805,1326,427,517,582,133,8546,867,1389,856,700,1138,400,481,578,81,6488,233,405,254,189,302,138,143,191,21,1869,20,55,18,6,32,15,19,25,6,193,0,0,0,0,0,0,0,3,0,12,5328,11773,6038,5117,5841,3273,2598,3586,681,44234
50402,11,22,156,236,54,415,65,359,23,1340,63,141,391,274,160,251,150,222,43,1699,269,714,788,367,409,210,247,215,64,3289,569,985,712,395,506,158,275,226,73,3896,798,1056,730,553,676,223,351,260,86,4729,610,878,624,431,641,269,408,286,80,4222,147,300,164,107,167,86,118,84,27,1199,30,52,11,10,13,13,11,11,3,154,0,0,0,0,0,0,0,0,3,6,2512,4154,3581,2375,2636,1614,1609,1662,394,20535
50403,59,63,517,708,148,1435,227,1064,82,4309,284,650,1276,1239,709,1031,536,909,155,6801,1443,3122,3423,2284,2204,1216,1694,1491,333,17213,2133,3117,3062,2203,2473,968,1857,1393,321,17520,1989,2326,2384,1899,2283,980,1538,1364,250,15008,1265,1470,1637,1318,1776,727,1278,1128,160,10753,325,399,336,239,429,155,349,299,53,2582,58,42,23,13,24,11,20,44,11,257,4,3,3,0,0,0,0,9,3,24,7563,11188,12661,9908,10060,6536,7494,7695,1368,74467
50501,52,104,577,1188,234,1819,210,1207,31,5423,256,1049,1208,1502,796,1241,311,783,98,7248,1285,4061,2663,1451,1606,787,583,752,244,13429,3039,5761,2844,1628,2401,711,656,746,254,18030,3642,5369,2648,1926,3012,974,752,865,291,19472,2551,3814,2182,1567,2802,939,789,923,187,15765,611,1008,577,349,823,322,273,339,61,4352,43,92,39,18,52,32,18,51,16,359,3,8,5,0,6,3,0,4,0,22,11484,21262,12744,9617,11721,6818,3590,5668,1191,84100
