SA3_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
50101,42,325,1399,6993,8501,942,195,254,18648,4,152,545,499,106,9,4,36,1347,0,41,66,119,55,14,0,11,307,4,191,610,614,163,22,4,46,1649,0,0,34,20,4,0,0,5,68,0,0,0,0,0,0,0,0,0,0,4,10,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,10,7,7,7,0,0,0,29,0,13,48,29,14,4,0,7,114,32,111,130,34,29,0,0,19,358,0,7,18,7,13,3,9,17,73,86,653,2205,7677,8714,964,209,334,20841
50102,41,247,2064,12925,17274,1855,308,460,35163,4,380,1253,1281,108,5,11,115,3158,0,15,92,284,48,6,0,5,450,4,393,1346,1568,155,12,8,122,3611,7,140,264,127,6,0,0,21,558,0,10,64,26,0,0,0,0,104,0,0,12,3,0,0,0,0,15,0,0,10,20,0,0,0,0,32,5,3,0,0,0,0,0,0,11,7,152,356,176,12,0,0,18,724,33,187,113,26,13,3,0,31,408,3,7,6,21,18,0,0,12,77,88,991,3886,14716,17474,1866,321,646,39978
50103,45,220,1160,3773,2781,425,122,122,8653,0,81,173,39,9,0,0,8,305,0,4,5,0,6,0,0,0,5,0,80,176,36,5,0,0,8,318,0,24,10,6,0,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,7,0,28,14,3,0,0,3,0,53,17,18,9,10,6,0,0,5,69,6,6,16,7,8,3,6,4,53,67,355,1369,3837,2802,434,140,141,9142
50201,47,404,2412,11544,18314,1922,339,463,35441,7,406,1588,1538,72,9,8,114,3736,3,46,313,639,61,7,0,8,1085,8,448,1902,2180,141,19,8,127,4824,0,103,213,91,0,0,0,19,431,0,5,56,119,12,4,0,0,189,0,7,66,115,0,0,0,8,197,0,0,48,103,0,0,0,0,155,0,6,22,3,7,0,0,0,39,0,120,407,442,19,3,0,21,1017,33,196,118,21,9,0,0,37,415,0,5,16,11,8,0,0,6,45,86,1175,4845,14199,18479,1940,351,663,41734
50301,14,68,1100,5298,7508,2821,542,107,17461,4,134,569,765,158,15,8,15,1663,3,124,467,962,198,21,0,11,1793,10,256,1035,1725,357,35,8,30,3456,11,257,742,192,15,0,3,21,1224,56,570,566,190,17,0,3,21,1411,3,286,865,280,6,0,0,13,1461,0,22,261,106,10,0,0,3,399,0,4,0,0,5,0,0,0,17,69,1130,2434,770,53,3,5,48,4513,0,0,0,0,3,0,0,0,5,0,5,3,3,0,0,0,0,18,92,1471,4571,7799,7919,2862,554,191,25459
50302,3,193,2571,8158,5283,1060,163,92,17529,8,245,1274,1057,159,19,3,30,2795,9,347,1620,2572,367,27,5,35,4975,14,590,2888,3632,527,39,5,61,7773,20,951,2026,279,18,0,4,39,3336,114,1814,3024,597,20,3,3,78,5654,153,2549,3522,820,33,5,3,81,7167,124,1437,3205,813,17,0,7,70,5677,0,6,8,7,0,0,0,0,18,410,6764,11773,2513,93,8,22,267,21855,4,17,36,12,6,0,0,0,70,3,17,23,9,7,0,4,15,73,443,7580,17289,14326,5926,1110,195,435,47305
50401,18,190,2080,11963,8782,1276,199,250,24758,3,261,1494,2134,266,15,6,72,4245,0,192,869,912,148,16,3,41,2173,3,451,2353,3045,418,30,6,106,6421,8,233,970,295,3,0,0,15,1529,5,135,407,36,0,0,0,7,594,3,194,236,3,0,0,0,3,444,0,137,111,19,0,0,0,0,269,0,3,14,0,0,0,0,0,22,13,703,1736,360,9,0,0,39,2861,0,0,6,0,0,0,0,0,9,0,0,5,14,7,0,0,8,35,35,1352,6174,15380,9219,1313,205,404,34084
50402,22,145,944,5274,6492,1221,276,141,14514,0,175,280,200,17,0,0,27,705,0,4,23,13,3,0,0,0,41,0,183,300,212,19,4,0,27,741,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,18,0,4,14,0,10,0,0,0,31,4,3,0,3,0,6,0,0,19,0,3,5,4,0,3,0,0,16,28,339,1256,5498,6518,1231,281,166,15316
50403,52,200,1528,15783,24033,2623,499,530,45253,3,236,1013,2003,175,12,5,77,3527,0,74,342,369,41,0,0,9,849,6,311,1355,2376,222,14,4,87,4374,0,84,189,73,3,0,0,12,362,0,62,265,19,0,0,0,3,357,0,24,64,8,0,0,0,0,100,0,14,33,3,0,0,0,0,53,0,19,22,8,3,3,4,4,63,3,209,575,116,7,3,4,21,936,27,92,82,16,6,0,0,12,234,4,10,8,26,16,0,4,12,68,90,817,3554,18311,24279,2646,511,664,50874
50501,24,130,667,14685,29717,4948,691,331,51198,0,153,869,2281,237,14,3,66,3628,8,90,237,637,234,47,13,20,1286,11,248,1102,2926,472,64,11,88,4915,26,73,183,129,5,0,0,41,464,0,81,259,104,5,0,0,15,469,4,99,241,125,0,0,0,5,471,0,0,0,0,0,0,0,0,0,0,24,26,6,9,3,9,0,83,35,279,711,360,24,3,7,68,1483,0,30,58,18,10,0,0,10,120,0,3,10,7,0,0,0,7,32,75,687,2546,17994,30219,5014,718,502,57751
