SA3_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
50101,945,789,2175,3015,3173,2528,982,147,18,13766,15,21,67,67,75,82,73,22,0,414,5,8,46,46,65,23,5,0,0,202,41,28,133,190,139,103,36,6,0,674,0,0,4,13,11,13,6,0,0,43,3,15,64,125,107,68,18,0,0,408,4,6,22,37,45,31,13,0,0,157,267,126,218,337,364,341,85,8,0,1742,383,151,327,382,318,232,65,0,0,1865,3,5,18,35,47,53,22,0,0,184,3,3,12,15,15,6,4,0,0,64,0,5,35,49,58,44,7,0,0,209,5,19,45,46,67,46,28,3,0,259,3,13,86,193,180,92,34,5,0,615,26,29,112,174,189,106,29,0,0,660,10,12,66,136,136,87,16,4,0,464,40,35,209,470,536,387,70,5,0,1748,37,94,399,633,657,584,121,6,0,2540,22,11,34,51,44,33,5,0,0,202,29,48,109,116,132,77,18,3,0,527
50102,1626,2032,4774,5353,5534,4768,1409,193,22,25717,23,49,88,87,101,99,83,23,3,559,16,81,149,166,154,87,12,0,0,659,93,111,266,293,244,127,18,0,0,1169,0,26,50,50,52,30,9,0,0,212,18,54,164,181,169,153,22,3,0,759,9,14,53,45,73,34,16,3,0,251,481,283,531,598,636,500,76,7,0,3103,670,233,289,291,289,158,44,0,0,1977,10,35,62,80,124,119,35,7,0,470,25,17,33,20,14,10,4,0,0,118,0,15,85,102,96,62,10,0,0,386,12,30,74,73,70,67,17,0,0,340,15,47,152,215,174,123,51,4,0,763,21,49,130,167,181,144,38,11,0,735,18,67,209,289,366,242,43,3,0,1242,57,96,453,789,1049,737,145,8,0,3328,144,407,1025,1284,1364,1159,241,11,0,5636,51,40,76,52,55,40,6,0,0,326,57,105,236,188,231,138,32,6,0,988
50103,298,348,775,969,1220,1301,623,135,12,5683,16,32,102,112,118,148,111,34,0,667,0,16,32,38,32,28,0,0,0,150,17,8,11,29,30,32,10,0,0,137,0,0,5,9,6,0,0,0,0,26,4,0,16,20,32,34,9,0,0,113,6,6,9,14,20,13,6,3,0,73,77,40,70,116,122,113,35,9,0,570,116,26,64,65,78,91,27,6,0,481,0,10,10,19,36,31,9,5,0,109,0,0,0,3,5,4,0,0,0,10,4,5,8,16,13,13,0,0,0,52,5,0,9,15,11,18,9,0,0,64,5,9,14,45,39,32,12,3,0,158,11,10,36,42,25,39,14,0,0,177,3,9,52,52,93,59,9,0,0,280,6,17,66,145,211,194,35,3,0,675,13,44,113,155,246,292,84,11,0,956,4,3,6,19,10,16,0,0,0,61,11,14,38,40,33,28,4,0,0,168
50201,1402,1864,3951,4338,4807,4343,1295,183,9,22193,0,6,21,35,40,41,27,4,0,173,18,96,171,182,194,129,12,0,0,797,59,67,152,166,179,140,30,3,0,807,5,5,21,27,30,21,3,0,0,108,11,24,120,141,148,122,30,3,0,589,11,11,24,39,63,42,13,5,0,198,469,409,492,457,567,459,94,5,0,2957,617,260,270,254,238,175,42,0,0,1850,15,27,41,65,85,124,26,3,0,392,7,14,12,19,11,15,3,0,0,80,4,19,65,81,90,60,15,0,0,332,9,23,73,100,98,93,25,4,0,427,10,71,163,183,181,136,44,5,0,790,15,76,122,176,211,166,37,5,0,800,14,53,148,227,279,227,38,4,0,992,49,138,439,653,863,649,117,4,0,2911,93,358,857,1028,1171,1113,213,3,0,4838,40,47,69,66,60,56,22,3,0,356,62,92,219,182,181,129,37,4,0,900
50301,1132,1779,2731,3124,4147,3289,1572,381,43,18203,9,3,8,11,21,18,23,4,6,100,6,27,135,215,172,56,7,0,0,612,41,36,39,63,79,40,21,8,0,315,0,8,16,41,25,16,0,0,0,117,9,25,56,78,101,72,17,0,0,364,8,13,27,38,61,41,5,5,0,206,356,288,135,140,215,162,60,13,0,1365,421,350,144,89,82,50,22,4,0,1165,4,16,20,33,56,32,7,0,0,172,3,13,39,24,37,13,8,5,0,148,6,27,68,115,146,86,32,10,0,481,11,27,50,78,110,101,37,18,0,429,18,212,389,483,545,310,115,25,0,2095,11,35,57,75,80,57,15,3,0,330,7,42,112,151,202,162,45,5,0,734,145,204,316,403,682,603,184,24,0,2566,74,356,772,820,1080,816,277,34,0,4223,69,76,56,47,64,41,12,3,0,372,67,86,77,80,98,72,31,11,0,518
50302,927,2594,9903,8213,5566,4117,1478,221,16,33033,0,5,34,10,5,20,10,0,0,87,7,96,544,493,290,108,16,0,0,1545,55,47,177,147,103,83,25,3,0,644,3,6,90,85,64,29,0,0,0,284,6,57,244,183,126,79,18,0,0,712,10,30,99,102,78,36,13,0,0,375,299,529,599,331,259,201,68,12,0,2291,432,693,994,356,187,83,38,0,0,2780,3,22,104,93,72,69,9,0,0,380,4,35,111,72,66,44,11,0,0,345,6,63,313,291,196,129,16,9,0,1022,0,28,132,109,86,76,37,8,0,474,19,291,1428,1030,641,362,130,23,4,3921,13,116,447,263,147,110,31,0,0,1120,12,104,526,509,444,327,54,8,0,1976,70,230,810,748,805,684,221,22,0,3589,57,546,2467,1504,1163,924,317,19,0,7001,49,123,260,151,106,61,24,5,0,772,37,134,296,226,141,121,48,0,0,1003
50401,875,1906,5635,5492,4336,3382,1026,124,7,22780,4,3,20,9,18,9,4,0,0,61,4,49,218,236,141,65,7,0,0,716,18,36,116,139,148,108,28,4,0,601,5,9,43,61,33,27,4,0,0,171,6,37,156,173,95,92,17,3,0,576,3,20,89,86,74,69,17,0,0,357,297,363,451,297,276,244,78,5,0,2009,339,293,376,223,177,134,27,4,0,1577,0,39,118,112,114,83,22,9,0,498,3,17,54,38,31,24,7,0,0,178,0,41,175,201,162,82,19,4,0,673,7,29,71,80,74,43,5,3,0,310,12,114,522,499,329,179,45,0,0,1700,8,57,206,178,142,105,28,0,0,727,10,63,379,419,396,287,75,0,0,1627,44,149,573,641,709,518,148,11,0,2791,40,355,1270,1075,944,797,224,13,0,4715,52,86,135,94,75,52,11,0,0,504,27,103,259,215,161,118,41,4,0,923
50402,640,910,1735,1961,2365,2225,696,99,9,10638,9,0,4,16,16,17,9,3,0,74,7,28,75,103,67,52,6,0,0,343,23,23,49,65,97,58,20,0,0,331,3,6,12,14,17,5,5,0,0,55,8,18,46,82,58,66,10,0,0,288,9,27,32,62,50,45,7,6,0,226,198,167,158,140,199,185,56,5,0,1115,279,94,71,60,54,54,8,5,0,629,7,18,49,56,75,73,8,6,0,291,7,6,9,14,9,11,5,0,0,61,0,3,36,45,49,33,6,0,0,169,0,7,26,38,33,43,18,0,0,161,6,38,99,120,149,105,34,10,0,557,4,18,41,60,80,60,16,0,0,278,0,22,112,145,226,184,28,3,0,731,42,70,200,295,428,365,109,10,0,1520,32,138,342,404,529,479,113,9,0,2056,26,20,37,40,29,20,10,0,0,183,22,49,100,96,100,69,20,0,0,457
50403,2138,3468,8940,9386,7661,5716,1556,176,14,39057,17,29,53,43,60,63,25,9,0,306,6,69,299,269,237,99,13,0,0,991,55,103,260,301,299,197,33,6,0,1256,0,16,59,53,57,35,8,0,0,227,20,78,300,300,231,160,36,0,0,1134,25,56,197,210,166,111,30,3,0,794,665,657,981,750,730,556,98,4,0,4439,862,429,427,345,314,178,31,0,0,2583,28,85,260,259,276,178,42,0,0,1129,9,19,48,54,32,30,0,0,0,204,6,56,260,260,192,97,22,3,0,892,12,47,147,128,110,81,25,0,0,553,13,147,474,504,305,181,58,7,0,1680,26,115,313,313,295,198,36,4,0,1307,18,108,457,532,566,404,69,0,0,2160,72,247,805,1009,1043,741,134,10,0,4062,139,691,1992,1954,1733,1315,271,16,0,8106,45,78,159,108,88,66,17,4,0,572,79,176,445,380,330,173,28,4,0,1615
50501,2605,3751,6823,9220,9867,8099,2550,236,16,43172,3,9,25,22,38,35,7,0,0,149,7,58,268,316,225,124,20,4,0,1018,88,68,101,207,242,212,47,5,0,973,0,8,60,88,72,25,13,0,0,283,22,79,307,416,351,277,48,0,0,1498,18,33,90,119,141,136,28,0,0,563,821,708,537,492,688,681,177,15,0,4126,1121,491,261,231,193,181,48,0,0,2532,9,30,107,125,148,114,25,5,0,564,35,47,56,64,47,39,5,0,0,305,11,66,255,414,404,265,65,0,0,1474,5,54,123,156,171,150,41,6,0,707,32,218,535,877,699,430,128,6,0,2919,32,87,201,290,300,223,72,6,0,1205,15,94,387,654,695,532,102,0,0,2487,128,306,955,1612,2067,1599,318,13,0,6999,158,736,1617,1906,2304,2102,484,28,0,9347,127,120,121,134,131,86,32,0,0,747,89,182,368,393,367,250,73,9,0,1722
