SA3_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
50101,27,0,0,0,27,0,0,26,1591,279,73,9,1954,19,0,20,1975,104,5,2079,3317,582,197,34,4132,26,10,30,4159,151,3,4318,218,50,84,5,351,0,0,5,350,4,0,362,22,4,3,32,63,0,0,0,63,4,0,69,5156,913,357,78,6494,42,14,57,6554,265,12,6828,22,0,3,0,26,5,0,5,29,5,0,38,63,8,7,0,80,3,0,3,91,7,0,94,83,14,12,0,107,3,0,11,117,11,0,125,5236,927,368,78,6606,49,17,70,6676,271,12,6955,1113,196,72,33,1417,31,0,27,1446,139,0,1588,7,0,0,12,19,0,0,0,19,0,24,46,6360,1119,439,120,8044,81,19,93,8139,409,39,8585
50102,95,0,0,0,99,9,0,102,3183,351,90,35,3655,38,15,54,3709,177,0,3889,6090,578,232,50,6959,63,19,77,7034,188,9,7235,489,55,88,16,645,10,0,10,650,10,0,660,51,0,0,63,111,0,0,0,111,6,16,134,9807,998,414,157,11373,107,32,136,11509,380,26,11914,57,11,0,0,67,29,0,29,93,9,0,105,203,17,8,0,223,23,4,25,256,13,0,262,255,26,8,3,292,48,4,57,353,16,0,370,10063,1023,421,162,11664,157,33,190,11855,403,26,12285,2819,312,162,98,3389,85,25,110,3499,412,3,3915,10,6,0,28,44,0,0,0,44,0,37,79,12891,1338,582,287,15100,243,60,299,15395,813,65,16271
50103,7,0,0,0,7,0,0,9,586,74,20,11,690,9,0,15,703,29,0,733,1095,161,48,20,1329,3,5,7,1336,58,0,1390,64,24,22,5,114,0,0,0,114,10,0,123,21,0,0,30,53,0,0,0,49,5,0,54,1769,263,92,55,2180,18,4,24,2200,94,0,2298,7,0,0,0,6,0,0,0,10,6,0,10,25,0,0,0,26,0,0,0,26,0,0,29,33,0,0,0,39,0,0,0,42,0,0,43,1804,262,92,63,2218,15,4,23,2238,102,0,2338,534,67,35,33,673,21,0,22,698,90,6,786,0,0,0,0,0,0,0,0,0,0,18,22,2341,328,125,94,2889,32,5,39,2937,194,23,3148
50201,195,8,0,9,203,14,0,226,2672,306,116,26,3127,45,12,55,3179,191,5,3376,4333,542,196,66,5135,70,14,82,5220,197,11,5432,388,58,93,11,547,11,0,11,562,29,0,586,33,0,4,48,86,0,5,3,97,18,11,122,7434,906,410,144,8893,127,34,158,9047,441,27,9516,67,15,6,7,103,22,3,28,127,11,0,140,166,14,9,16,206,12,3,20,226,0,0,227,235,28,14,21,309,41,6,48,350,13,0,368,7670,938,426,170,9197,166,40,201,9407,453,27,9885,2424,377,192,118,3116,74,22,95,3206,449,12,3665,20,3,5,20,50,0,0,0,50,0,62,109,10113,1315,620,306,12363,241,58,301,12661,903,99,13657
50301,628,10,8,14,642,66,3,710,3589,414,45,4,4051,63,24,92,4144,245,9,4395,5353,618,85,19,6074,37,15,49,6126,135,9,6266,346,40,47,0,428,0,0,0,438,19,0,454,51,0,0,36,84,0,0,0,93,3,3,98,9342,1072,177,60,10647,109,37,146,10799,397,18,11210,63,11,0,0,76,18,3,20,96,3,0,99,201,10,0,0,216,13,0,16,230,8,0,239,267,19,0,0,290,33,3,40,324,16,0,343,9612,1092,178,59,10939,139,45,183,11122,410,18,11550,2546,281,39,26,2887,42,11,49,2934,229,0,3172,10,0,0,9,24,0,0,0,24,0,20,43,12164,1371,215,89,13843,183,49,235,14080,644,44,14766
50302,354,3,4,6,359,35,0,400,3613,506,51,7,4173,76,21,97,4271,218,7,4493,5223,731,69,19,6038,56,15,73,6109,110,0,6223,579,88,66,3,736,4,0,4,735,14,4,757,30,4,0,24,60,0,0,0,59,0,16,76,9443,1329,186,47,11004,141,34,176,11175,348,24,11550,107,10,5,0,122,8,0,8,127,5,0,133,215,14,3,0,223,6,0,7,231,14,0,246,320,24,4,0,349,10,0,10,360,15,0,378,9761,1351,189,47,11352,154,32,183,11539,368,24,11931,2233,227,41,19,2514,21,14,29,2543,230,0,2779,17,6,0,13,33,0,0,0,33,4,29,69,12005,1583,235,87,13903,170,47,217,14119,602,54,14772
50401,328,11,0,6,340,41,0,384,2786,413,52,11,3263,63,21,81,3342,185,5,3537,4364,648,78,20,5107,52,25,74,5185,158,13,5354,511,78,48,0,637,8,0,8,643,12,0,656,31,6,3,45,84,0,0,0,88,3,5,96,7692,1147,185,72,9097,121,43,164,9257,361,22,9638,48,3,0,3,60,14,0,14,67,4,0,72,193,32,8,0,242,11,6,15,258,15,0,271,240,36,8,6,299,22,6,30,327,16,0,347,7936,1182,194,78,9392,144,52,192,9588,378,24,9983,1881,338,51,62,2332,56,16,70,2401,309,12,2722,13,3,0,19,37,0,0,0,37,0,29,64,9832,1526,245,160,11759,197,65,263,12020,690,62,12769
50402,128,3,0,3,131,14,0,144,1378,197,56,11,1644,18,0,21,1664,85,10,1756,2400,260,80,13,2746,15,3,21,2762,83,0,2851,238,25,35,0,296,0,0,0,296,8,0,307,10,0,3,31,44,0,0,0,44,0,4,46,4021,483,170,53,4733,33,4,41,4773,171,8,4954,31,0,0,0,34,8,0,8,42,0,0,41,83,4,0,0,90,7,0,7,98,5,0,99,119,7,0,0,123,13,0,13,137,4,0,145,4141,488,170,57,4858,54,4,59,4915,178,8,5102,1097,131,66,23,1320,21,7,27,1352,98,0,1456,11,3,0,15,30,0,0,0,30,0,5,34,5251,621,246,96,6209,73,14,85,6292,270,17,6583
50403,544,15,3,15,562,81,0,640,6250,719,157,34,7157,100,39,138,7293,324,22,7641,8523,1077,218,82,9894,132,18,148,10048,296,25,10365,841,125,119,10,1101,8,0,8,1113,26,3,1137,81,17,3,93,186,3,0,3,196,20,14,221,15699,1938,495,213,18344,245,61,299,18638,666,58,19364,194,42,4,0,237,18,8,19,258,29,0,290,363,81,18,3,462,22,8,30,490,27,0,522,555,120,20,3,705,35,12,50,753,58,4,816,16249,2056,516,219,19041,275,71,346,19393,728,63,20178,5071,830,244,205,6353,182,48,226,6577,881,26,7494,46,15,0,90,151,0,0,0,150,6,91,251,21372,2898,763,512,25546,458,119,577,26117,1617,184,27920
50501,913,18,8,21,935,65,0,1006,7383,800,152,31,8360,103,23,123,8482,320,11,8808,12497,1260,277,58,14091,139,15,150,14248,280,17,14543,1105,104,152,13,1369,12,0,16,1381,40,5,1420,116,7,4,76,201,0,0,0,203,7,21,234,21097,2170,582,180,24026,249,38,288,24314,645,55,25014,111,23,5,0,144,13,0,10,156,12,0,168,420,47,13,3,475,6,0,8,485,26,3,506,530,66,15,3,618,18,6,20,639,37,3,681,21634,2235,596,179,24645,273,41,310,24954,681,53,25691,4005,375,182,57,4616,77,12,95,4710,303,8,5022,46,3,0,22,69,0,0,0,69,0,56,128,25681,2616,780,258,29335,348,53,400,29737,988,114,30838
50502,1012,14,3,16,1028,131,0,1164,7351,1109,123,33,8618,130,26,160,8778,394,8,9180,12105,1576,182,65,13933,98,29,129,14061,346,21,14431,1164,122,148,11,1450,16,5,18,1461,34,0,1496,94,15,3,111,221,0,3,6,231,11,22,264,20721,2824,456,224,24218,249,62,311,24534,781,56,25367,211,55,0,4,267,30,5,37,305,17,0,325,517,55,0,23,603,36,6,50,648,46,9,699,724,113,0,28,869,73,13,83,956,62,9,1025,21442,2932,459,251,25085,322,78,398,25484,841,62,26394,5169,1007,155,118,6446,158,98,256,6698,1068,37,7796,29,9,3,47,84,4,0,4,91,6,99,188,26643,3942,612,409,31609,480,172,658,32267,1917,193,34372
50503,987,20,7,22,1013,133,4,1147,8690,1018,237,50,9995,121,30,149,10148,426,18,10595,13430,1712,430,129,15700,140,33,175,15874,459,27,16359,1309,163,235,29,1732,25,10,27,1763,54,0,1824,137,14,5,220,368,3,0,3,377,14,31,421,23566,2914,902,423,27805,289,72,359,28166,952,77,29199,209,45,4,5,274,23,0,23,297,49,5,348,630,116,27,22,796,34,19,58,851,48,9,910,844,162,33,27,1069,63,19,83,1153,99,10,1259,24407,3078,939,453,28874,348,90,442,29316,1052,85,30454,6647,1207,304,254,8411,232,51,282,8700,1233,29,9959,69,7,0,45,118,0,0,0,125,15,117,256,31121,4295,1239,757,37411,585,137,726,38141,2299,236,40674
50601,283,4,0,5,294,29,0,319,3699,507,81,34,4311,47,16,65,4378,218,4,4599,5729,725,136,47,6645,85,19,104,6745,178,3,6929,547,104,90,7,743,9,3,12,755,20,0,776,73,15,0,56,140,12,0,12,150,3,6,159,10037,1345,313,142,11833,140,46,186,12022,420,23,12464,167,13,6,4,189,15,0,15,199,19,0,220,314,42,16,4,374,10,14,24,400,26,0,425,474,58,20,7,563,26,16,41,600,48,0,641,10520,1403,328,148,12396,166,60,224,12619,464,27,13108,3982,492,147,98,4718,139,17,155,4870,519,18,5407,18,3,0,22,45,0,0,0,45,3,46,93,14516,1890,476,263,17152,305,78,381,17532,993,88,18607
