SA3_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
50101,7016,13678,86,470,646,2803,213,896,3715,14160,4665,18331,201,782,411,1253,851,2542,1471,4572,6135,22901,26,106,196,626,86,284,925,2357,1235,3372,58,172,166,354,627,1281,850,1810,2085,5186,115,236,15347,41998
50102,12296,24110,226,1212,1212,5398,462,2037,6459,25000,8356,33644,514,2039,771,2387,2062,6300,3345,10731,11703,44373,68,302,347,1152,226,796,2100,5656,2745,7909,155,472,351,735,1511,3165,2015,4372,4762,12286,335,706,29091,81473
50103,3401,6647,34,193,210,940,90,389,1246,4924,1579,6448,100,376,129,384,391,1187,618,1946,2199,8397,10,37,56,190,33,117,275,746,368,1090,21,63,71,137,286,586,375,780,744,1874,71,141,6416,17063
50201,13868,27050,188,1011,1028,4628,417,1825,5617,21382,7248,28844,481,1918,847,2717,2077,6246,3405,10880,10656,39722,83,366,346,1244,238,874,2185,5985,2852,8467,165,499,387,861,1660,3495,2207,4854,5062,13325,349,724,29933,80820
50301,7149,14059,85,421,1286,5819,63,278,4448,17618,5879,24133,589,2433,1532,5432,1173,3636,3293,11497,9167,35630,18,63,180,571,25,76,600,1461,825,2172,108,342,408,962,599,1259,1118,2561,1938,4737,221,465,18477,54892
50302,13311,26118,62,342,865,3790,72,302,6644,24397,7645,28833,367,1492,1061,3629,1053,3298,2478,8423,10123,37260,14,55,213,649,41,125,1161,2678,1425,3508,91,279,481,1056,972,2001,1542,3330,2967,6841,573,1175,26979,71393
50401,9348,18447,109,634,790,3585,147,680,5529,20410,6581,25302,452,1906,795,2703,1638,5196,2879,9806,9460,35115,36,179,213,720,98,357,1274,3159,1621,4415,140,443,353,789,1411,3032,1901,4261,3519,8671,487,1008,22816,63247
50402,5006,9892,95,503,489,2216,146,659,2553,9759,3278,13130,310,1284,419,1384,1110,3451,1843,6115,5118,19247,29,119,115,387,58,217,572,1510,770,2232,73,226,156,342,707,1526,935,2089,1709,4317,135,276,11967,33726
50403,13001,25669,443,2588,1818,8411,602,2783,11213,43079,14075,56862,966,4081,1376,4623,3243,10319,5587,19028,19656,75890,128,604,481,1708,310,1143,2807,7620,3731,11076,313,1019,574,1308,2294,5016,3179,7348,6910,18417,629,1336,40197,121319
50501,17908,35356,329,1710,2210,9851,472,2047,11391,43693,14408,57307,1385,5669,2260,7887,4385,13751,8024,27303,22425,84611,64,275,478,1557,149,482,1996,5006,2687,7311,327,1017,679,1558,2177,4668,3187,7237,5869,14554,453,952,46665,135475
50502,21784,43007,264,1570,2187,9986,329,1450,14098,52834,16885,65849,1156,4817,2257,7922,3669,11661,7087,24406,23971,90253,92,421,535,1734,191,657,3054,7608,3871,10422,336,1045,1024,2280,3110,6669,4473,9991,8347,20413,1044,2189,55139,155868
50503,18039,35517,652,3720,2734,12634,960,4338,15806,60660,20146,81358,1630,6818,2155,7350,4981,15791,8759,29959,28906,111320,223,1089,711,2523,405,1454,4037,10754,5383,15813,490,1580,852,1932,3185,7023,4523,10534,9903,26350,763,1628,57609,174817
50601,8311,16506,234,1378,1158,5378,392,1804,7727,29806,9511,38360,485,2008,739,2503,1768,5568,2989,10075,12495,48435,66,304,285,1031,164,651,1849,5048,2369,7030,174,551,328,734,1453,3164,1952,4454,4319,11485,405,852,25532,77273
50602,8367,16433,83,523,536,2452,129,569,4767,17568,5521,21113,280,1176,531,1766,898,2842,1715,5787,7229,26899,26,152,150,505,75,260,1004,2490,1255,3404,118,364,276,632,1095,2375,1489,3370,2748,6772,618,1286,18959,51392
50603,8909,17802,160,924,1540,7007,236,1075,6772,25981,8706,34979,689,2909,1322,4627,2021,6439,4030,13977,12738,48957,44,228,292,1009,91,335,1089,2895,1526,4470,193,600,408,978,1240,2694,1841,4271,3365,8737,581,1241,25591,76740
50604,10339,20581,390,2387,1713,8110,521,2501,9028,35233,11656,48228,953,4095,1251,4284,2886,9295,5095,17677,16749,65901,87,418,375,1325,222,808,2022,5574,2703,8127,265,917,452,1041,2008,4437,2728,6392,5425,14517,599,1283,33116,102287
50605,6515,12874,148,807,736,3387,190,851,3950,15238,5026,20289,392,1679,559,1924,1424,4504,2376,8100,7406,28390,35,161,176,610,103,387,888,2406,1198,3567,93,304,202,439,917,1981,1214,2725,2415,6294,213,446,16548,48009
50606,2993,5869,103,604,390,1866,166,763,2744,10792,3410,14027,200,847,235,776,721,2258,1160,3879,4567,17910,22,86,73,283,66,225,574,1594,735,2184,39,130,74,164,330,717,445,1009,1179,3194,81,168,8821,27144
50607,5030,9917,47,269,420,1886,33,148,2521,9389,3029,11695,216,888,580,2013,671,2108,1465,5011,4491,16699,7,57,78,246,24,80,461,1123,581,1503,55,167,203,434,497,1039,753,1645,1329,3149,365,752,11213,30517
50701,11573,22831,212,1131,1301,5785,376,1632,8706,32699,10591,41243,775,3223,1203,4069,2546,8168,4523,15465,15118,56706,43,199,350,1178,178,620,1990,5016,2568,7016,258,805,441,984,1703,3746,2407,5534,4971,12548,480,1007,32145,93092
50702,4496,8797,41,209,378,1695,58,238,2339,8702,2814,10850,198,814,441,1496,615,1878,1255,4195,4068,15040,11,60,105,323,39,123,535,1257,690,1760,55,162,207,452,583,1213,847,1829,1538,3592,131,279,10234,27702
50703,3640,7128,114,670,507,2357,213,944,3620,13672,4454,17644,234,1006,289,959,800,2552,1330,4517,5783,22157,38,181,128,490,101,389,1008,2782,1280,3846,84,262,156,339,766,1644,1004,2249,2287,6095,196,409,11898,35791
50704,11379,22557,147,780,1514,6753,215,961,7043,27097,8911,35600,851,3547,1642,5758,2533,8008,5022,17308,13938,52909,37,145,302,953,88,318,1169,2870,1597,4291,206,636,490,1120,1446,3085,2137,4841,3737,9135,430,893,29477,85496
50705,13164,25683,368,2013,1673,7601,659,2971,9242,35340,11941,47929,779,3161,1097,3598,2829,8740,4704,15498,16640,63426,105,501,515,1825,311,1090,2918,7990,3858,11407,249,783,495,1112,1949,4182,2695,6085,6551,17488,441,915,36800,107514
50901,7696,15155,145,784,589,2660,226,1021,3371,13250,4329,17717,212,830,417,1253,1039,3170,1666,5245,5994,22962,26,98,187,647,107,376,951,2613,1264,3739,72,234,187,397,765,1645,1027,2274,2293,6012,178,380,16163,44503
50902,7236,14132,116,613,502,2065,169,745,2737,10784,3523,14210,201,754,314,893,1052,3178,1568,4822,5091,19030,35,195,129,429,80,308,724,2038,977,2972,43,130,113,238,701,1483,856,1854,1833,4822,161,330,14309,38320
50903,2474,4828,24,115,195,758,51,222,1069,4243,1333,5345,50,186,95,232,305,920,449,1332,1786,6680,8,38,43,159,24,88,228,653,307,935,13,39,42,77,226,470,276,589,586,1521,59,120,4896,13150
51001,2469,4838,57,339,240,1087,198,1063,2056,8136,2553,10624,62,241,99,269,355,1164,515,1671,3070,12294,38,189,106,417,167,732,930,2790,1242,4127,26,74,82,176,478,1203,588,1447,1827,5576,231,569,7592,23283
51002,1601,3145,48,247,167,797,89,433,1760,6973,2063,8442,37,146,69,201,220,714,331,1060,2389,9504,10,61,41,152,50,208,359,1003,467,1420,13,43,44,93,172,391,227,522,693,1945,90,203,4778,14802
51003,2012,3903,45,245,306,1378,97,431,2384,9344,2833,11401,50,212,159,478,278,851,489,1546,3316,12946,10,35,48,162,41,171,302,801,398,1163,15,45,39,77,151,334,201,455,603,1619,64,135,5998,18606
51101,1806,3515,34,158,187,789,46,171,909,3586,1174,4708,47,172,85,236,241,732,376,1139,1546,5843,8,42,46,174,26,89,219,600,297,904,14,40,34,79,197,394,247,516,547,1423,55,104,3951,10891
51102,1009,1954,12,65,60,249,25,128,523,1998,624,2439,23,79,42,115,118,366,185,561,805,3006,0,8,13,48,14,58,142,398,170,516,4,22,21,43,113,241,139,308,311,818,33,69,2161,5844
51103,3178,6279,71,379,285,1346,197,915,2463,9634,3016,12272,118,460,175,544,568,1775,860,2775,3878,15049,23,102,79,271,82,318,671,1903,853,2590,28,79,70,158,433,954,533,1190,1385,3786,163,346,8606,25463
