SA3_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
50101,45,196,130,85,157,180,64,98,12,967,52,171,119,93,104,155,41,138,162,1045,1791,4780,3767,2515,3870,4431,1535,4097,426,27214
50102,78,355,226,143,348,331,150,304,15,1959,99,245,139,93,258,283,113,304,355,1889,2741,7243,5708,3791,8008,8847,3345,8900,847,49439
50103,17,52,39,42,48,67,21,54,11,350,31,75,34,20,49,85,21,59,90,467,647,1658,1260,916,1392,1840,629,2203,248,10802
50201,57,325,253,128,283,321,98,220,18,1706,94,252,180,105,235,286,81,277,345,1859,2561,7007,5388,3252,7297,6562,2474,7793,852,43190
50301,22,253,129,69,120,115,35,103,9,852,45,292,152,77,127,293,89,237,168,1482,1280,7406,4403,2547,3952,6648,2271,6265,336,35109
50302,51,291,260,139,377,315,110,206,27,1779,65,291,236,152,388,527,143,288,373,2474,2277,8564,7499,4597,11717,14453,4542,9903,782,64338
50401,46,283,260,153,354,348,106,190,18,1753,64,233,184,102,391,440,105,233,294,2049,1683,6060,5361,3388,9176,9148,2973,5822,624,44234
50402,40,172,108,64,178,169,67,140,9,941,42,130,90,53,172,200,45,146,151,1034,1079,3125,2352,1541,3502,3842,1358,3414,328,20535
50403,90,492,427,239,714,724,246,464,47,3444,111,415,321,232,746,802,175,473,618,3889,3113,9996,8561,5446,15442,14663,4644,11265,1338,74467
50501,110,602,446,281,549,655,201,392,23,3264,124,436,304,186,553,741,189,424,383,3337,3696,13471,10627,6549,14352,17152,5516,11864,878,84100
50502,127,749,625,362,821,763,266,463,47,4222,134,620,524,275,810,987,225,545,760,4873,4061,15693,13230,8282,20502,22530,6931,14756,1626,107619
50503,148,791,639,389,1013,968,290,534,44,4829,142,580,388,324,964,1035,241,568,856,5102,4516,14915,12416,8248,20982,20608,6165,14509,1887,104251
50601,53,263,213,153,380,363,119,226,23,1791,75,273,187,116,456,511,147,308,374,2444,1909,5762,5017,3494,9412,9096,2943,6075,746,44453
50602,38,236,201,133,307,292,103,168,10,1490,38,166,144,103,337,423,101,212,301,1832,1570,5251,4773,2934,8279,8893,2765,5912,660,41031
50603,54,321,286,170,323,330,81,173,26,1760,53,374,308,157,412,554,126,236,446,2664,1614,8002,6865,3829,10052,9800,2671,5419,879,49120
50604,68,391,302,181,606,542,163,272,41,2565,74,354,309,197,708,703,179,361,586,3471,2060,8304,6954,4513,12877,11786,3423,7278,1198,58391
50605,43,223,158,113,263,272,93,181,8,1355,45,154,111,94,208,285,74,151,202,1320,1289,4218,3323,2156,5242,5655,1980,4650,457,28979
50606,27,135,87,58,149,146,60,132,8,800,41,78,62,38,131,179,40,107,149,826,847,2074,1740,1189,2852,3118,1080,2887,300,16089
50607,19,128,94,55,128,143,46,85,4,700,29,116,88,65,125,216,48,108,133,929,842,3714,2778,1628,3928,4919,1556,3466,255,23087
50701,84,457,347,240,484,479,156,282,29,2560,81,356,225,176,557,702,173,434,388,3092,2622,8546,7005,4684,11967,13089,4017,8828,855,61612
