SA3_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
50101,103,283,244,152,158,15,0,949,8,12,14,14,8,0,5,55,0,10,3,5,0,0,0,20,138,417,402,296,350,23,0,1626,0,12,12,3,0,0,0,29,4,12,4,3,6,0,0,32,8,23,14,4,4,0,0,54,144,443,408,306,356,23,0,1680,130,145,67,56,57,5,4,467,0,12,0,0,0,0,0,24,280,593,480,363,416,26,4,2174
50102,188,448,330,270,257,31,3,1528,36,26,25,17,18,0,0,129,13,12,11,7,12,0,0,57,354,782,654,531,618,60,15,3011,15,34,28,27,11,3,0,119,30,66,44,27,18,0,0,188,46,103,63,55,30,0,0,305,401,887,715,583,653,66,15,3317,565,529,288,183,167,16,4,1756,9,0,0,3,3,0,0,22,977,1422,1007,770,821,86,18,5100
50103,32,63,40,47,58,3,0,244,0,3,7,11,5,0,0,22,0,0,6,0,0,0,0,8,48,93,99,85,108,11,0,448,3,3,3,0,3,0,0,11,7,12,0,0,0,0,0,23,8,14,0,0,0,0,0,36,53,108,101,90,113,7,0,481,81,71,33,18,26,0,0,235,0,3,0,0,0,0,0,6,133,182,139,115,139,9,0,716
50201,228,527,365,209,237,46,22,1632,28,29,11,16,29,9,0,116,7,12,8,10,5,0,0,40,359,830,646,445,541,138,63,3011,27,51,40,25,25,8,5,180,51,92,53,27,26,0,4,259,74,145,89,51,58,12,6,435,433,973,734,501,596,143,68,3447,634,625,307,227,198,32,17,2042,13,16,19,4,7,0,0,64,1083,1615,1060,735,795,180,83,5552
50301,46,133,106,91,128,83,44,630,6,8,5,3,6,6,0,40,0,0,0,0,3,0,0,11,73,255,250,205,326,217,119,1439,0,3,4,9,14,5,3,42,3,10,5,6,15,3,5,47,0,18,10,18,25,7,6,87,80,274,269,221,348,220,122,1527,45,57,61,48,79,50,31,379,0,5,0,0,0,0,0,6,126,338,326,269,428,270,156,1918
50302,82,198,153,104,122,62,30,751,7,7,8,3,3,9,4,41,6,5,0,3,9,0,3,29,194,454,358,281,372,189,129,1977,0,14,15,3,5,0,6,44,7,23,8,8,14,0,0,68,7,36,23,19,14,4,7,110,202,494,378,299,392,194,138,2091,92,105,76,73,75,43,22,481,6,0,0,0,0,0,0,8,299,595,452,371,465,239,165,2578
50401,119,228,153,143,149,46,30,869,20,11,9,0,3,0,3,49,7,7,4,9,3,3,0,30,220,456,336,317,376,148,93,1942,12,30,19,18,12,8,6,99,12,37,29,15,11,7,3,117,19,68,50,27,25,15,7,213,244,521,386,344,402,164,101,2153,243,234,128,92,82,43,22,844,5,9,0,0,0,4,0,25,492,769,516,434,486,205,119,3024
50402,58,117,113,66,93,22,5,470,9,0,6,3,10,5,0,35,0,0,5,0,3,0,0,16,111,214,215,160,225,64,32,1009,5,10,7,6,3,0,0,29,8,19,10,8,11,0,0,52,10,31,11,11,13,0,0,77,123,240,226,165,237,64,34,1093,122,118,79,45,49,5,9,415,0,4,3,0,3,0,0,15,242,365,313,215,284,73,39,1523
50403,310,614,351,266,294,86,55,1969,55,44,24,27,22,7,4,187,19,25,24,14,21,9,0,118,623,1224,852,635,813,258,148,4556,25,53,37,16,26,9,4,173,44,89,37,25,20,8,5,222,69,137,74,44,50,12,8,397,690,1362,925,679,866,272,152,4951,726,720,373,252,236,75,26,2411,17,18,16,8,8,0,0,65,1436,2109,1306,934,1107,350,178,7426
50501,192,473,341,234,311,120,62,1730,25,19,9,17,25,8,5,110,9,7,12,7,10,4,0,43,335,911,760,610,874,348,219,4054,4,25,25,13,22,3,9,102,23,57,29,20,14,5,4,159,24,87,54,34,37,10,15,263,360,997,816,639,911,365,233,4312,259,260,168,125,139,45,21,1022,7,5,9,0,4,0,0,26,624,1263,988,769,1053,410,255,5363
