SA3_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
50705,0,10,7,41,10,5,7,0,0,86,0,3,7,26,28,15,5,0,0,87,6,155,241,505,271,149,73,9,0,1418,0,6,8,57,22,16,29,6,3,142,0,3,8,24,12,7,5,0,0,65,0,102,175,386,405,477,348,225,59,2184,0,9,17,74,56,45,27,13,0,244,12,164,355,845,577,322,154,71,13,2507,0,8,4,31,12,6,9,3,0,67,6,0,0,27,0,0,0,0,0,39,3,48,54,198,95,41,13,0,0,454,0,0,0,0,5,4,3,0,0,18,6,40,53,145,53,71,51,14,3,432,0,21,30,109,42,24,12,3,0,239,0,25,54,117,94,127,87,56,20,586,0,30,90,232,147,91,35,11,0,638,7,151,233,844,534,475,351,219,62,2874,332,844,947,2417,1010,770,543,463,329,7647,9148,20284,16896,36703,17886,15559,10901,6210,2083,135678
50901,0,4,5,3,0,5,0,0,0,22,0,0,0,0,6,4,0,0,0,15,13,98,107,337,164,59,42,10,0,830,0,0,0,10,11,0,9,13,8,58,0,0,0,0,0,3,0,0,0,4,0,9,10,42,37,98,86,80,35,392,0,4,3,15,14,10,9,9,0,69,6,53,76,191,150,114,59,34,12,698,3,5,4,13,5,8,8,10,0,52,0,0,0,24,0,3,0,0,0,28,0,60,72,63,28,9,9,0,0,241,0,0,0,6,0,0,0,0,0,9,0,4,12,42,35,56,56,19,4,225,0,4,3,37,14,7,0,3,0,74,0,0,0,18,18,32,32,19,7,126,0,0,5,31,33,30,39,6,0,155,3,23,40,236,111,149,172,88,29,856,189,502,406,1016,608,689,619,353,169,4541,3273,7838,6236,13247,8013,9084,8126,4420,1644,61880
50902,0,0,0,22,0,6,0,0,0,33,0,0,0,0,6,4,3,0,0,25,4,87,87,248,105,61,18,4,0,616,0,0,0,4,6,3,16,12,5,50,0,0,0,11,3,0,0,0,0,19,0,0,8,40,45,95,97,50,4,345,0,0,3,5,21,8,14,0,0,48,4,21,45,121,86,88,56,8,6,433,0,0,6,25,3,5,3,9,0,43,0,0,0,67,3,0,0,0,0,73,0,7,4,26,28,10,0,0,0,84,0,0,0,0,0,0,0,0,0,3,0,3,5,28,23,34,19,7,3,121,0,0,6,40,23,18,7,0,0,95,0,0,0,15,10,21,21,9,0,80,0,4,10,45,43,33,12,9,0,155,0,11,42,290,108,134,138,84,25,831,222,610,553,1341,958,1039,894,530,182,6322,2745,6546,5065,11682,7536,9141,8072,3947,1196,55937
50903,0,0,0,4,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,8,3,18,20,109,31,24,4,0,0,206,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,17,18,14,4,82,0,0,0,8,5,8,0,0,0,21,3,15,14,63,41,27,11,4,0,173,0,0,0,3,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,6,0,3,0,5,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,13,3,6,6,8,0,34,0,0,0,3,5,3,0,0,0,12,0,0,0,0,3,0,6,0,0,15,0,0,0,15,10,8,6,0,0,41,0,0,10,75,18,32,26,23,4,200,97,271,202,482,291,308,268,167,44,2131,1060,2443,1721,4169,2586,2989,2561,1351,471,19357
51001,0,0,0,6,3,0,0,0,0,10,0,0,0,10,8,5,5,0,0,19,3,25,52,142,53,28,11,0,0,319,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,5,30,18,32,14,4,3,98,0,0,0,11,4,10,4,0,0,31,0,10,12,65,31,24,8,0,0,156,0,6,0,26,5,0,0,0,0,45,0,5,0,41,0,0,0,0,0,43,0,5,4,47,21,14,0,0,0,102,0,0,0,4,5,0,0,0,0,5,0,0,3,40,15,19,14,0,3,86,0,5,6,28,3,4,0,0,0,47,0,0,0,6,0,9,4,0,0,26,0,0,0,30,12,9,9,0,0,68,0,17,39,319,53,53,30,8,0,526,287,726,585,1631,747,616,315,109,36,5054,2642,5567,4411,11328,4658,3773,1958,607,139,35092
51002,0,0,4,21,3,0,0,0,0,24,0,3,10,16,11,7,0,0,0,45,0,61,72,328,132,63,17,0,0,674,0,0,0,6,7,0,0,0,0,8,0,0,0,4,8,0,0,0,0,12,0,0,9,34,15,30,6,0,0,86,0,5,0,21,10,7,9,0,0,62,0,19,29,112,85,44,12,0,0,300,0,10,0,33,9,9,3,0,0,61,0,0,0,10,0,0,0,0,0,4,0,13,13,77,35,6,0,0,0,151,0,0,0,5,5,5,0,0,0,14,0,3,0,22,6,9,0,0,0,46,0,7,3,28,6,0,0,0,0,41,0,0,0,10,5,5,4,0,0,23,0,5,21,62,57,29,0,0,0,171,6,21,26,237,78,74,20,0,0,470,172,416,468,2103,772,558,118,29,10,4636,1973,3480,2682,10243,3497,2645,716,157,39,25443
51003,0,4,0,39,3,0,0,0,0,50,0,0,3,12,8,3,0,0,0,28,0,45,70,243,136,60,10,7,0,570,0,0,0,12,3,6,0,0,0,22,0,0,0,6,0,0,5,0,0,5,0,0,4,49,26,32,9,0,0,137,0,5,4,17,12,5,0,0,0,43,0,13,32,132,76,31,4,6,0,301,0,6,6,43,8,10,3,0,0,67,0,0,0,40,0,0,0,0,0,43,0,23,21,97,41,14,0,0,0,202,0,0,0,4,0,0,0,0,0,4,0,8,0,35,6,3,0,0,0,57,0,0,6,37,8,0,0,0,0,53,0,0,0,13,5,3,3,4,0,21,0,0,8,51,22,20,4,0,0,98,4,29,28,271,79,44,20,9,3,489,285,681,508,2070,717,503,147,25,7,4942,2527,4843,3005,11474,4161,2611,775,186,19,29594
51101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,10,11,40,15,16,4,3,0,103,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,20,11,19,0,82,0,0,0,3,5,6,0,0,0,15,3,19,25,82,43,31,14,6,0,226,0,4,0,12,4,0,0,0,0,19,0,0,0,4,0,0,0,0,0,6,0,8,6,14,4,9,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,5,5,15,4,0,7,0,0,32,0,6,0,13,4,0,0,0,0,19,0,0,0,5,0,7,0,0,0,13,0,0,6,22,10,9,3,0,0,49,0,12,9,57,25,26,15,9,3,161,81,242,173,406,270,256,183,138,34,1772,969,2145,1632,3757,2190,2219,1705,1039,315,15970
51102,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,13,9,32,17,17,0,0,0,87,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14,8,4,0,40,0,0,0,4,5,0,0,0,0,8,0,0,5,26,14,5,3,5,0,49,0,0,0,0,0,0,0,0,0,5,0,0,0,25,0,0,0,0,0,22,0,6,4,3,11,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,9,0,31,15,3,7,0,0,65,0,0,3,41,45,21,6,0,0,122,0,0,0,3,5,7,3,0,0,17,0,0,0,12,5,4,0,0,0,22,0,6,10,122,35,41,35,18,0,255,84,166,171,415,192,169,126,69,13,1410,619,1127,976,2704,1335,1322,953,410,90,9537
51103,0,6,10,37,4,3,3,0,0,62,6,25,33,54,44,7,0,0,0,176,3,84,113,356,152,92,30,7,3,843,0,0,0,6,4,4,3,0,0,17,0,0,3,6,5,11,4,0,0,25,0,0,5,31,20,38,22,12,3,137,0,0,5,13,10,6,0,0,0,28,4,59,87,223,134,67,19,7,0,595,0,0,5,25,13,0,6,0,0,43,0,0,0,14,0,0,0,0,0,14,3,23,18,87,47,30,6,0,0,215,0,0,0,5,0,0,0,0,0,10,0,4,7,26,8,6,6,3,0,59,0,4,3,32,4,0,4,0,0,50,0,0,0,10,9,7,4,0,0,38,0,24,32,139,67,51,11,0,3,334,16,60,41,311,117,81,42,25,12,702,252,551,602,1748,729,655,313,118,36,5010,2736,5240,4738,12119,5261,4655,2404,871,236,38267
51104,0,0,0,33,3,7,0,0,0,39,0,0,0,8,8,0,6,0,0,19,8,39,64,220,98,64,34,12,0,538,0,0,0,4,3,3,6,4,0,21,0,0,0,4,0,0,0,0,0,9,0,7,4,26,35,76,58,38,12,254,0,3,0,16,10,8,3,8,0,47,0,40,64,184,143,80,39,14,0,568,0,6,10,16,12,5,0,0,0,42,0,0,6,25,4,0,0,0,0,37,4,23,10,55,40,30,4,0,0,169,0,0,0,0,0,0,0,0,0,3,0,3,6,40,17,25,19,4,0,121,0,0,3,56,22,18,20,3,0,119,0,0,7,16,15,18,11,4,0,73,0,8,14,31,31,25,11,4,0,137,0,24,35,161,100,104,64,61,19,571,308,807,685,1771,876,843,661,395,165,6515,3078,7233,5883,12957,7469,7731,6302,3224,1108,54981
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,0,0,0,0,21,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,0,0,16,0,0,21,119,47,23,3,0,0,215,0,0,42,284,109,62,18,0,0,514
59999,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,18,6,0,0,0,0,35,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,13,10,0,0,34,0,0,0,3,0,0,0,0,0,11,0,3,5,25,8,5,4,0,0,55,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,13,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,25,10,5,7,0,0,43,0,0,0,13,5,0,0,0,0,11,0,0,0,4,4,0,5,3,0,12,0,0,0,0,4,0,0,0,0,15,3,0,22,105,15,20,9,3,0,182,52,62,173,707,358,278,168,42,17,1851,300,473,820,3053,1313,1144,758,155,30,8055
