SA3_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
50605,0,0,0,0,7,3,0,0,0,3,0,9,8,73,34,28,29,25,4,216,0,0,0,7,4,34,74,54,31,216,0,0,0,7,0,0,3,0,0,9,0,0,0,10,0,4,0,0,0,14,0,0,0,8,0,0,8,3,0,17,0,6,12,71,20,13,21,11,3,160,0,0,0,0,0,3,3,3,0,9,0,0,6,17,6,4,8,0,4,51,0,0,0,10,10,17,15,9,4,57,0,0,0,14,0,0,0,0,0,12,0,0,4,11,8,16,35,35,12,130,0,60,84,304,194,225,126,31,4,1021,0,0,0,0,0,0,0,0,0,0,0,12,10,21,3,3,6,0,0,51,0,4,0,9,11,0,0,0,0,32,0,32,64,119,72,19,10,0,0,312,0,0,0,14,5,7,9,4,0,37,0,0,0,0,0,0,0,0,0,6,0,4,10,34,35,53,54,43,12,248
50606,0,0,0,0,0,0,0,0,0,8,0,3,0,20,14,7,11,6,0,62,0,0,0,0,7,5,21,10,4,49,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,4,0,12,14,11,5,0,0,48,0,0,0,0,0,0,0,4,0,7,0,3,6,22,5,0,0,0,0,40,0,0,0,5,4,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,15,25,19,3,86,11,39,55,215,112,96,41,10,0,572,0,0,0,0,0,0,0,0,0,0,0,8,4,15,3,0,0,0,0,35,0,0,6,4,3,0,0,0,0,23,0,12,29,46,26,8,4,0,0,123,0,0,0,4,0,0,0,0,0,13,0,0,0,7,0,0,4,0,0,10,0,0,8,31,26,21,18,15,0,126
50607,0,4,3,8,10,6,0,3,0,34,0,4,0,88,21,14,14,5,5,169,0,4,8,31,16,13,48,22,9,153,4,11,10,19,11,5,3,0,0,52,0,4,9,43,10,8,3,4,0,81,0,0,0,3,3,5,8,0,0,22,0,16,49,182,78,59,70,49,10,513,0,0,0,0,0,0,3,0,0,7,0,0,7,23,0,13,5,0,0,50,0,0,4,12,10,11,7,9,4,53,0,0,18,49,0,0,0,0,0,71,0,0,0,12,7,8,19,15,0,64,0,6,23,124,77,89,61,26,0,413,0,0,0,0,0,0,3,0,0,7,0,0,38,56,4,0,3,0,0,102,0,0,4,9,5,9,0,0,0,21,3,13,15,32,8,7,3,0,0,84,0,3,0,15,3,11,16,0,5,55,0,0,0,0,0,0,0,0,0,0,0,0,12,46,42,36,52,30,6,223
50701,0,3,0,16,4,0,0,0,0,24,0,26,17,222,47,25,19,13,9,381,0,5,10,126,57,118,228,200,106,848,4,0,11,22,9,0,4,0,0,52,0,9,21,116,27,17,7,0,0,195,0,0,4,6,6,5,4,0,0,35,0,34,80,264,79,83,79,29,9,664,0,0,0,4,0,5,7,4,5,19,0,3,9,49,7,15,9,3,0,98,0,0,0,17,9,10,15,8,3,61,0,6,4,56,11,0,0,0,0,76,0,4,8,25,19,15,38,25,16,152,16,96,151,688,350,250,126,28,6,1701,0,0,0,3,0,4,0,3,0,11,3,12,11,87,9,6,6,0,0,136,0,0,0,5,10,4,0,0,0,19,11,130,260,440,310,100,7,3,0,1264,0,3,6,41,18,29,42,8,3,143,0,0,0,3,5,5,3,0,0,17,0,31,40,166,105,121,100,67,20,652
50702,0,0,0,0,3,6,0,0,0,10,0,7,8,108,30,26,13,10,10,214,0,5,11,52,29,31,68,100,97,393,0,5,0,9,3,3,3,0,0,25,0,0,0,3,0,6,0,0,0,11,0,0,0,0,0,0,4,0,0,9,0,3,4,9,14,12,9,6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,4,0,21,0,0,0,0,3,0,0,3,5,9,0,0,6,4,0,0,0,0,0,7,0,3,5,21,17,6,17,12,4,79,0,13,14,150,87,93,71,26,0,455,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,10,0,0,0,3,9,3,0,0,0,17,0,9,12,15,8,0,0,0,0,49,0,0,0,13,8,3,14,3,0,39,0,0,0,7,0,0,0,0,0,7,0,5,11,59,29,56,49,21,9,245
50703,0,0,6,11,5,0,0,0,0,17,0,5,3,53,12,11,14,5,6,97,0,0,0,10,3,15,18,11,0,65,0,3,0,9,9,0,0,0,0,11,0,5,0,43,10,12,0,4,0,72,0,0,3,0,0,6,0,0,0,8,0,7,21,68,25,10,12,4,0,137,0,0,0,3,0,0,5,5,0,8,0,0,9,17,8,0,0,0,0,39,0,0,0,4,4,0,3,4,0,24,0,0,4,21,0,0,0,0,0,26,0,0,0,0,5,10,14,11,3,54,10,97,130,422,185,133,73,20,0,1074,0,0,0,5,0,0,0,0,0,10,0,5,5,42,3,4,0,0,0,63,0,0,0,5,5,0,0,0,0,17,0,191,282,412,297,62,13,3,0,1263,0,0,0,3,0,4,0,0,0,24,0,0,0,9,0,3,0,0,0,15,0,4,8,44,31,39,28,25,9,188
50704,0,3,6,11,12,0,3,0,0,48,0,22,12,101,36,57,57,23,10,309,0,10,3,66,29,59,121,97,46,441,3,5,13,15,5,12,5,4,0,61,3,21,28,119,46,25,17,7,0,274,0,0,0,0,8,5,4,4,0,29,3,71,143,496,249,188,292,168,43,1646,0,0,0,3,4,0,11,3,0,13,0,0,3,28,13,13,8,5,0,71,0,0,0,11,8,16,12,10,0,60,0,0,7,28,4,0,0,0,0,41,0,6,3,17,18,18,46,36,22,163,3,30,57,232,158,226,117,55,9,894,0,0,0,0,0,0,5,0,0,6,0,17,13,55,15,0,4,6,0,109,0,0,6,11,0,5,3,0,0,22,0,37,47,79,33,20,9,4,0,224,0,0,0,21,12,13,32,6,7,87,0,0,0,0,0,0,0,0,0,9,0,21,47,80,107,149,130,73,27,627
50705,0,0,0,3,4,0,0,0,0,12,0,33,43,137,62,33,32,26,6,369,0,0,3,17,13,17,43,36,19,152,3,4,0,8,5,4,6,0,0,23,0,3,4,16,10,0,0,0,0,37,0,0,0,0,4,6,0,0,0,10,6,9,9,43,18,19,17,9,3,128,0,0,0,0,0,0,12,4,0,20,0,0,4,27,6,15,13,6,0,60,0,0,0,11,11,7,9,6,0,45,0,0,4,16,5,0,0,0,0,27,0,9,10,25,33,31,92,39,20,247,38,326,412,1149,551,521,250,82,3,3339,0,0,0,3,0,5,4,0,0,13,0,6,7,26,5,4,0,0,0,50,0,0,7,15,14,4,0,0,0,49,4,82,113,166,111,25,8,0,0,513,0,3,0,22,9,7,18,5,0,61,0,4,6,19,4,6,0,0,0,39,0,63,97,188,195,226,179,113,21,1081
50901,0,0,0,0,0,0,0,0,0,4,0,0,3,25,0,10,11,6,0,58,4,0,0,11,8,9,27,28,23,107,0,0,0,0,3,0,3,0,0,12,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,26,11,17,14,0,0,73,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,9,0,3,10,55,24,15,8,5,5,122,0,0,0,3,0,0,0,0,0,3,0,0,6,12,11,18,60,57,8,174,4,8,41,153,141,149,99,40,0,636,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,4,0,0,0,0,10,6,0,0,0,8,6,53,54,146,67,13,0,0,0,340,0,0,0,8,8,0,4,11,3,20,0,0,0,0,0,0,0,0,0,5,0,5,6,18,14,50,48,35,10,179
50902,0,0,0,17,3,0,0,0,0,22,0,3,9,33,6,7,11,6,3,85,0,0,0,8,4,15,30,14,7,78,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,9,13,6,5,6,0,0,46,0,0,0,0,0,0,7,4,0,14,0,0,0,0,0,5,4,0,0,10,0,0,0,3,0,4,0,0,0,16,0,0,0,14,0,0,0,0,0,12,0,0,0,3,10,20,44,35,8,118,0,13,34,169,166,228,152,46,5,807,0,0,0,0,0,4,3,0,0,9,0,0,0,12,0,0,0,0,0,24,0,0,0,0,6,5,3,0,0,9,0,39,57,106,51,11,0,0,0,264,0,0,0,0,3,3,7,4,5,19,0,0,0,11,3,0,0,0,0,16,0,0,6,18,19,38,44,27,0,152
