SA3_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
50101,608,6872,8609,2898,1512,20504,341,20841
50102,1563,12711,15682,6034,3356,39355,626,39978
50103,301,2742,3446,1532,977,9001,145,9142
50201,1947,15863,15176,5248,2852,41079,662,41734
50301,1260,8281,10497,3407,1794,25243,211,25459
50302,5601,23341,13748,2902,1217,46812,496,47305
50401,2213,13421,12784,3486,1770,33664,418,34084
50402,497,3925,5951,2766,2010,15157,165,15316
50403,1781,15309,20840,7673,4629,50224,645,50874
50501,1458,16010,25856,8998,4918,57236,520,57751
50502,4726,32216,31749,8610,4249,81559,1051,82612
50503,2300,22125,29576,10398,5796,70195,828,71023
50601,1315,9875,13661,4638,2644,32131,419,32549
50602,2411,13331,10730,2801,1207,30481,459,30940
50603,1836,11491,13877,4633,2436,34273,440,34710
50604,1775,13766,16665,6264,3624,42095,582,42675
50605,597,5847,8596,3526,2434,21006,247,21248
50606,124,2193,4279,1923,1571,10092,134,10232
50607,988,7374,6620,1789,748,17516,172,17690
50701,1684,13936,17897,5742,3024,42285,462,42742
50702,1281,6488,5898,1528,729,15926,196,16121
50703,773,5400,6265,1979,1013,15422,236,15666
50704,1676,12934,16654,5078,2732,39076,378,39453
50705,1909,16574,19282,6638,3369,47776,647,48428
50901,932,7381,8639,3540,2368,22863,395,23262
50902,644,5694,7365,3554,2686,19940,454,20393
50903,272,2062,2556,1176,995,7060,151,7212
51001,1758,3273,2840,1105,625,9599,441,10043
51002,427,1994,2571,929,429,6358,152,6508
51003,272,2175,3332,1301,654,7732,155,7888
51101,252,1816,2183,831,598,5676,96,5777
51102,202,1158,1149,396,305,3206,83,3291
51103,836,3834,4493,1783,1007,11950,332,12275
51104,888,6449,7311,2787,1652,19089,413,19497
59797,0,0,0,0,0,3,0,3
59999,0,0,0,0,0,0,0,0
