SA3_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
50101,3,12,0,0,0,0,0,0,0,15,14,60,3,0,0,0,0,4,0,79,81,149,11,15,8,4,9,13,3,292,4,9,0,0,0,0,0,3,0,14,37,90,0,16,8,8,0,7,0,168,14,20,5,9,0,5,0,0,0,49,417,834,172,101,54,52,47,124,21,1823,0,0,3,0,0,0,0,0,0,8,163,129,89,29,21,34,44,51,12,566,165,106,181,71,20,47,34,79,7,715,519,138,2522,191,113,140,532,491,94,4743,20,13,52,23,7,37,25,67,0,247,42,15,27,28,5,20,37,32,3,212,17,12,11,5,0,3,11,11,0,80,37,23,40,13,6,23,36,42,19,234,1535,1609,3123,490,249,367,773,933,164,9243,7,12,0,0,4,0,0,0,0,28,11,42,0,3,0,0,0,0,0,61,56,255,6,32,30,14,0,11,0,408,4,21,0,0,0,0,0,0,0,28
50102,3,8,0,0,0,0,0,0,0,13,20,79,0,0,5,0,0,0,0,112,109,252,25,14,17,3,21,12,3,470,3,7,0,0,0,0,0,0,0,16,39,138,8,7,12,8,9,4,0,223,30,24,7,0,7,3,0,0,0,71,415,1176,216,120,101,56,105,152,16,2363,0,0,3,0,0,0,0,0,0,15,154,133,166,44,33,28,77,39,6,694,242,224,329,105,69,59,113,98,20,1262,731,322,5316,370,279,225,1482,968,189,9879,30,16,120,33,19,56,100,141,3,517,37,26,70,25,11,35,80,59,6,354,22,27,31,13,11,0,26,34,0,155,59,32,72,13,11,25,98,73,70,451,1902,2479,6360,748,576,496,2116,1597,321,16594,11,23,0,0,0,0,0,0,0,34,8,72,0,3,0,0,0,4,0,92,61,333,14,45,47,12,4,13,0,527,3,27,0,0,4,0,0,0,0,35
50103,0,0,0,0,0,0,0,0,0,4,9,13,0,0,0,0,0,0,3,26,25,33,0,0,0,0,0,0,0,73,3,0,0,0,0,0,0,0,0,0,14,27,3,0,0,0,3,0,0,46,4,8,0,0,0,0,0,0,0,13,155,181,33,18,10,10,17,39,3,477,0,0,0,0,0,0,0,0,0,4,56,30,44,11,8,9,8,20,0,190,67,33,37,25,15,8,23,13,0,228,316,57,840,64,45,40,264,195,40,1855,13,3,21,6,3,12,24,24,0,106,27,6,18,5,4,6,14,17,4,103,10,6,4,0,0,0,8,7,0,39,29,0,14,0,0,5,32,26,9,122,726,405,1019,142,91,97,384,341,62,3274,6,5,0,0,0,0,0,0,0,6,3,26,0,3,0,0,0,0,0,34,23,64,0,12,5,0,0,3,0,116,0,7,0,0,0,0,0,0,0,10
50201,0,5,0,0,0,0,0,0,0,12,6,44,0,0,0,0,0,4,0,61,131,208,25,28,13,11,15,6,8,446,7,10,0,0,0,0,0,0,0,20,33,85,14,13,6,5,9,0,0,159,18,14,8,6,6,0,0,0,0,51,313,836,145,112,81,68,97,81,15,1764,5,0,0,0,0,0,0,0,0,9,174,136,178,78,44,26,67,44,16,763,236,197,288,127,59,70,114,84,19,1184,725,313,4304,325,204,228,1260,757,170,8281,25,8,92,45,20,36,79,114,4,422,27,22,66,23,3,20,81,50,3,296,20,26,32,12,8,0,19,13,3,138,32,27,83,24,7,16,81,53,55,387,1752,1933,5239,793,460,492,1819,1198,299,13985,3,23,0,0,3,0,0,0,0,33,9,45,0,3,6,4,0,0,0,69,90,267,7,36,33,13,8,9,0,477,3,39,0,4,0,3,0,0,0,52
50301,6,36,0,0,0,0,0,0,0,47,136,870,14,6,10,0,0,4,8,1048,874,1418,34,52,122,43,26,46,33,2640,35,77,0,0,3,4,0,0,0,115,137,301,8,13,23,3,0,3,5,493,28,31,0,5,3,5,0,0,0,75,1838,3943,206,263,340,284,88,114,121,7182,0,0,0,0,0,0,0,0,0,0,203,205,61,41,38,45,19,18,12,637,165,117,103,64,45,62,25,38,8,626,294,82,507,116,50,69,66,104,24,1316,17,3,11,20,11,9,6,19,0,101,23,26,7,17,6,14,8,4,0,113,28,73,5,6,10,7,0,6,3,147,49,51,16,14,13,15,0,13,27,200,3841,7235,986,614,666,561,238,372,242,14756,8,45,3,5,12,0,0,0,0,73,67,622,4,8,23,4,0,0,11,736,425,1332,21,77,202,39,3,17,23,2141,33,76,0,3,4,0,0,0,0,117
50302,12,32,0,0,4,0,4,0,0,55,107,897,13,9,16,4,3,8,5,1060,940,2550,169,119,231,84,85,172,43,4397,26,75,3,3,6,4,0,3,3,122,173,575,30,32,54,6,7,17,9,899,61,109,12,18,14,8,3,4,4,225,2231,6525,600,537,732,382,285,454,120,11868,0,0,8,3,5,0,0,0,0,25,322,353,245,96,86,71,42,65,17,1294,379,351,402,186,133,124,103,152,15,1850,546,306,1691,346,215,172,289,323,66,3956,22,12,34,46,22,36,30,48,3,246,67,41,48,31,28,31,19,39,0,310,43,118,23,22,16,13,10,25,7,285,55,87,52,21,25,20,29,39,63,399,4983,12034,3332,1475,1582,952,920,1344,359,26979,8,76,0,4,3,5,0,0,0,110,89,760,15,4,33,4,0,5,5,908,608,2434,91,255,354,113,12,113,31,4021,17,98,4,12,20,3,0,5,0,159
50401,5,12,5,0,4,0,0,0,0,29,32,191,4,0,6,0,3,4,0,242,343,782,69,60,79,57,40,34,20,1490,8,27,0,0,0,0,0,0,0,40,82,265,12,22,23,10,9,4,0,425,43,72,4,8,11,0,4,0,0,140,872,2760,390,307,393,175,200,221,59,5381,0,0,0,3,0,0,0,5,0,12,164,205,204,100,69,37,55,57,12,920,270,262,378,193,125,92,114,115,24,1575,497,270,2516,310,271,225,518,428,70,5109,26,10,46,39,22,40,38,65,0,287,28,34,44,34,18,20,37,31,6,261,17,35,28,8,15,4,14,13,7,148,40,40,51,34,19,21,51,35,53,344,2437,4978,3756,1120,1062,686,1088,1014,250,16398,8,32,0,5,3,0,0,0,0,48,28,210,4,6,11,0,0,0,3,262,259,969,43,111,183,55,9,29,20,1684,12,58,3,4,11,0,0,0,0,88
50402,4,5,0,0,0,0,0,0,0,10,13,66,0,0,0,0,0,0,0,92,90,179,7,9,18,9,4,3,0,310,0,4,0,3,0,0,0,0,0,10,37,93,4,8,9,0,0,0,4,157,17,24,3,11,9,0,0,0,0,68,279,710,95,78,76,26,34,33,10,1338,0,0,6,0,0,0,0,0,0,4,97,123,94,31,31,19,23,21,4,444,134,102,145,51,37,35,39,27,13,574,392,194,1904,172,136,100,377,249,70,3598,13,7,39,19,12,17,27,47,0,175,20,17,29,14,9,9,36,19,0,154,6,13,7,9,7,5,4,5,0,63,17,13,30,14,3,6,31,16,32,165,1130,1545,2364,415,354,223,584,418,136,7165,6,15,4,0,0,0,0,0,0,29,14,75,5,4,4,0,0,0,0,95,74,241,0,19,20,0,0,3,7,365,0,24,0,0,5,0,0,0,0,31
50403,0,11,0,0,0,0,0,0,5,18,16,107,6,8,0,3,0,3,0,142,254,548,84,76,116,48,86,43,23,1275,14,23,4,7,9,4,8,0,0,66,48,181,21,16,20,6,21,12,3,334,35,44,11,20,6,0,7,0,0,125,819,1972,505,339,403,199,354,241,59,4893,0,3,6,5,0,0,3,0,0,21,212,256,330,151,121,50,180,76,16,1378,439,350,576,325,180,145,317,175,23,2524,1131,525,6145,655,536,389,1650,1001,217,12250,56,18,120,79,29,76,139,153,8,682,66,46,116,72,38,34,106,71,12,555,28,58,79,23,19,8,60,22,4,303,70,43,104,44,33,34,91,76,98,596,3191,4193,8102,1818,1517,990,3016,1874,474,25170,6,28,0,3,6,0,0,0,0,41,16,108,0,7,10,0,0,0,0,140,182,677,55,179,162,83,14,39,16,1417,14,51,4,7,13,0,0,0,3,89
50501,22,29,0,4,4,0,0,0,0,60,66,378,7,7,9,5,0,3,6,485,734,1156,76,64,128,31,36,27,20,2276,24,47,0,0,7,3,0,0,0,84,176,424,22,28,34,8,7,11,3,715,90,97,15,35,23,4,3,3,4,264,2021,4254,543,445,587,296,170,206,79,8607,8,4,11,0,0,0,0,0,0,25,529,576,405,167,150,84,80,97,27,2119,659,523,626,301,178,136,117,114,29,2684,1476,643,6564,628,509,417,1006,983,211,12430,38,23,93,63,30,50,55,109,10,477,120,59,124,67,44,40,55,62,12,583,84,88,66,26,9,15,19,20,6,338,79,86,94,53,39,38,45,57,74,573,6112,8396,8645,1888,1761,1140,1604,1685,480,31723,14,91,3,0,11,0,0,0,0,116,46,347,6,11,18,6,0,0,3,433,330,1301,41,99,175,51,10,15,17,2033,29,95,0,7,11,0,0,0,3,150
