SA3_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
50101,127,312,500,601,592,661,634,309,86,3816,78,303,645,706,727,686,524,197,64,3924,27,222,714,916,937,770,461,163,39,4257,8,108,532,660,654,558,270,89,25,2903,10,43,382,602,619,452,199,69,33,2407,3,28,268,444,558,337,107,35,7,1778,6,34,439,862,903,614,188,50,12,3103,0,4,93,232,264,150,51,13,3,806,0,6,71,303,381,247,126,39,12,1183,208,134,503,617,624,503,487,344,219,3647,3074,1856,5544,7816,8001,7556,7420,3702,1332,46314
50102,285,619,901,906,985,870,969,489,142,6173,182,825,1250,1111,1141,1035,667,277,68,6562,83,628,1441,1329,1373,1236,690,188,34,7007,24,363,1084,1075,1146,980,339,84,16,5115,19,241,919,1098,1124,942,262,69,27,4697,14,136,758,907,988,828,163,34,9,3834,3,178,1206,1855,2001,1494,267,32,16,7052,4,30,236,423,495,357,82,12,8,1648,8,19,187,462,591,419,130,34,9,1858,446,401,1050,1076,1060,980,824,584,409,6837,6638,5246,12419,13649,14325,14330,11985,6102,2133,86826
50103,75,91,188,196,225,290,304,134,31,1527,32,127,229,281,305,346,231,85,22,1667,18,114,204,239,317,399,212,62,9,1571,0,60,159,184,227,260,90,26,0,1019,7,37,132,199,231,213,78,23,7,922,0,19,92,141,215,163,54,6,3,702,5,23,141,263,328,268,82,13,3,1124,0,0,32,51,72,57,12,7,0,228,0,9,25,68,102,76,36,12,0,323,126,77,170,236,330,317,317,203,68,1837,1248,851,2006,2569,3216,3989,3684,1843,508,19922
50201,177,577,787,828,757,855,1208,751,207,6149,113,610,951,893,975,906,827,406,112,5801,61,468,1099,1036,1197,1229,689,268,51,6092,38,283,836,763,933,904,380,143,25,4305,17,199,711,795,870,823,297,105,40,3865,10,116,554,697,859,665,180,47,4,3131,15,204,1145,1628,1936,1505,316,52,15,6807,0,13,263,456,456,354,76,17,3,1648,4,25,214,508,701,513,171,61,32,2228,375,413,835,952,993,868,918,833,629,6814,5986,5306,10886,11904,13147,14327,14903,9248,3095,88811
50301,82,361,372,242,268,342,477,393,160,2696,47,307,448,305,371,415,573,404,150,3020,19,372,566,413,524,534,565,407,146,3557,11,222,630,416,455,508,470,242,103,3056,18,157,726,492,582,511,408,247,84,3232,4,64,564,484,537,476,334,169,62,2696,5,65,980,1160,1374,1121,639,319,95,5762,4,26,241,477,650,509,243,103,34,2288,8,23,332,1987,3285,2262,975,337,86,9294,211,226,427,345,372,364,400,352,327,3031,5947,5224,6900,7729,9973,8870,7515,4980,2184,59324
50302,92,775,1437,723,465,505,665,314,121,5099,66,781,1993,1036,685,623,656,273,122,6238,29,793,2716,1450,841,832,622,257,80,7612,20,528,2482,1261,839,727,458,133,33,6487,13,294,2474,1393,915,840,404,113,31,6488,3,158,1904,1303,883,710,270,70,11,5311,5,183,3372,3323,2300,1628,529,114,36,11494,4,19,847,1106,829,552,176,35,14,3574,6,19,891,2738,2406,1459,419,120,34,8085,177,641,1907,1173,811,697,636,468,364,6872,4225,8043,24325,18480,13375,11574,8897,4386,2226,95536
50401,83,543,878,762,583,594,610,344,122,4518,71,595,1340,930,819,760,505,191,66,5275,45,533,1763,1279,1048,1005,469,120,31,6297,12,332,1511,1172,950,756,269,57,17,5076,7,151,1386,1122,941,750,224,50,12,4649,0,68,928,975,827,521,165,21,4,3511,6,95,1596,2164,1670,1030,258,27,5,6849,0,9,295,538,394,224,41,6,0,1509,3,9,260,682,600,319,73,18,4,1970,191,283,797,704,577,482,377,377,278,4059,3865,4982,13689,12929,10831,9712,8133,4621,1949,70713
50402,94,223,279,278,309,315,386,212,51,2146,57,284,381,356,429,456,353,148,36,2497,33,255,533,404,538,607,300,96,15,2772,10,136,447,395,490,505,166,53,7,2211,7,86,384,440,507,460,169,46,5,2115,3,46,278,349,468,361,100,20,7,1628,6,52,448,768,892,712,147,36,7,3056,0,7,91,197,246,185,50,6,3,785,5,6,100,281,385,252,54,19,3,1111,165,307,923,872,668,485,311,246,192,4171,2630,2331,4921,5532,6223,6220,4995,2668,870,36378
50403,289,1064,1530,1426,1099,989,726,333,92,7547,193,1170,2402,2001,1730,1265,605,162,43,9569,103,1085,3111,2570,2216,1822,585,111,32,11629,44,596,2476,2353,1821,1370,367,64,16,9103,13,311,1942,1953,1660,1273,321,55,18,7538,11,147,1351,1543,1331,866,180,18,0,5451,4,176,1833,2662,2379,1526,265,36,9,8894,0,24,405,624,546,311,86,18,0,2009,4,20,267,623,731,382,120,31,10,2177,504,600,1529,1338,1194,869,569,478,357,7452,9326,9260,22634,22281,19239,16210,10400,4950,1678,115971
50501,276,930,1050,1054,1152,1332,1599,673,169,8234,170,1076,1325,1319,1429,1555,1321,451,131,8782,79,949,1972,1915,2076,2102,1277,293,79,10743,36,574,1820,1811,1898,1802,831,172,32,8980,16,309,1835,2008,2052,1725,672,134,31,8779,8,141,1295,1730,1811,1404,418,57,5,6873,8,125,1954,3883,4017,2925,599,72,20,13596,0,27,381,1109,1160,730,173,35,3,3621,0,23,369,1610,2224,1279,263,51,8,5827,299,361,806,902,973,833,661,515,384,5730,10317,9052,16389,21444,22833,21801,18157,7877,2794,130669
