SA3_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
50101,22448,23859,46314,9100,4826,13933,3513,7553,11061,1146,1069,2216,445,392,833,14203,13844,28050,6532,8631,15165,3.1,2.8,3,63.3,58,60.6,61.3,56.4,58.8,585,671,1256,304,758,1061,2482,4130,6609,1888,2797,4690,6437,3288,9724,334,489,821,350,618,964,7116,4391,11512,21419,22580,44000,4318,4597,8925,13657,14143,27799,10780,11768,22549
50102,42497,44325,86826,19252,9859,29110,4582,12163,16742,1890,1699,3590,1330,1260,2590,27052,24975,52029,12510,16900,29408,4.9,5,5,63.6,56.4,59.9,60.5,53.5,56.9,745,828,1569,413,1003,1413,3018,5424,8438,2714,4070,6782,13172,7830,21007,731,1244,1971,562,1080,1645,14468,10154,24621,41569,43059,84633,7160,7745,14905,28449,29048,57495,17523,19251,36773
50103,9879,10042,19922,4042,2022,6064,1157,2678,3840,483,420,897,248,191,442,5927,5309,11241,3102,3968,7075,4.2,3.6,3.9,60,52.9,56.4,57.5,51,54.2,164,212,371,86,244,335,689,1279,1967,613,1003,1609,2666,1425,4087,150,267,419,165,242,403,2977,1926,4902,9337,9310,18644,1442,1619,3058,6724,6597,13324,3552,3851,7402
50201,42513,46298,88811,15662,8465,24125,4646,11005,15656,1882,1534,3413,1689,1515,3206,23882,22518,46404,15493,21130,36622,7.1,6.7,6.9,56.2,48.6,52.2,52.2,45.4,48.6,740,763,1505,352,924,1276,2657,4797,7454,3163,4712,7875,12843,7116,19957,638,1038,1677,592,1201,1794,14075,9356,23430,40538,43879,84415,7260,8181,15442,26103,27682,53784,19230,21887,41115
50301,28511,30813,59324,12277,6852,19128,5242,9111,14355,676,945,1621,852,792,1639,19044,17697,36747,8246,11912,20163,4.5,4.5,4.5,66.8,57.4,61.9,63.8,54.9,59.2,4967,3993,8955,881,1686,2563,9506,10217,19723,1960,2878,4844,1949,1082,3032,157,222,377,207,549,758,2311,1850,4157,27711,29216,56924,5546,5994,11540,17511,18751,36262,14444,15203,29647
50302,47440,48092,95536,24127,16491,40617,7546,13116,20661,1363,1695,3059,1522,1347,2863,34551,32651,67205,9382,12788,22168,4.4,4.1,4.3,72.8,67.9,70.3,69.6,65.1,67.3,6467,6150,12615,1488,2392,3880,14105,15403,29510,4177,4799,8978,5371,2955,8328,355,480,836,448,790,1233,6175,4222,10399,39961,40628,80590,10958,11475,22436,21410,22229,43638,27214,27764,54974
50401,34620,36095,70713,16558,10561,27122,5199,9605,14805,1025,1282,2306,1249,1124,2366,24024,22576,46597,8705,11968,20675,5.2,5,5.1,69.4,62.5,65.9,65.8,59.4,62.6,2029,2385,4414,719,1350,2066,6347,7784,14134,3283,3677,6960,7129,3715,10839,401,571,979,413,802,1218,7945,5088,13035,33688,34749,68440,5472,5673,11141,21848,22706,44554,15160,15740,30895
50402,18784,17590,36378,7800,4312,12112,2101,4910,7013,733,678,1405,522,454,979,11157,10355,21517,6573,6399,12969,4.7,4.4,4.5,59.4,58.9,59.1,56.6,56.3,56.5,573,642,1210,284,571,853,1821,2842,4662,1449,1988,3439,5057,2422,7479,234,359,595,255,458,713,5546,3239,8783,17246,17680,34930,2161,2289,4445,12529,12817,25356,5904,6291,12196
50403,56904,59069,115971,29246,16763,46013,7611,16392,24003,2197,2254,4449,2134,2066,4202,41186,37472,78663,12433,18987,31417,5.2,5.5,5.3,72.4,63.4,67.8,68.6,59.9,64.2,1666,1982,3651,619,1290,1908,5730,8558,14285,4784,6282,11062,15341,8809,24148,947,1211,2159,765,1457,2221,17048,11475,28523,59901,60877,120778,8990,9526,18519,39107,39266,78374,24972,26737,51710
50501,64062,66606,130669,31823,17053,48875,9264,21378,30641,2076,2498,4575,2155,1721,3871,45320,42648,87970,16197,22088,38281,4.7,4,4.4,70.7,64,67.3,67.4,61.4,64.4,3505,3124,6627,1323,2613,3937,10573,14145,24720,6668,7991,14662,16709,7496,24204,676,990,1670,889,1853,2745,18276,10344,28620,66983,68939,135927,8862,9283,18140,48042,49305,97345,24088,25334,49424
