SA3_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
50101,97,40,27,13,9,0,190,34,13,6,3,0,0,55,64,30,12,3,9,0,118,33,23,15,7,8,0,87,68,50,28,16,14,6,187,96,73,17,24,29,4,248,121,126,39,21,31,0,334,159,212,60,49,33,0,518,169,258,49,54,28,4,559,222,339,80,75,25,0,738,144,285,57,32,17,0,541,198,399,95,45,21,3,761,81,206,43,14,10,0,365,43,139,21,17,4,5,220,130,243,65,18,8,0,464,143,280,71,15,7,0,517,67,74,32,0,3,0,181,48,66,18,5,6,0,138,114,112,52,26,10,4,326,2012,2968,791,444,284,28,6531
50102,163,73,47,23,30,8,338,56,18,17,4,11,3,106,107,38,31,17,21,4,227,77,50,32,18,38,3,213,154,94,58,35,48,3,397,216,198,80,70,67,4,644,324,375,108,101,72,14,991,400,506,177,137,97,13,1333,386,687,172,113,69,21,1440,457,805,204,108,67,5,1645,257,502,139,55,31,6,987,384,734,249,72,62,12,1510,143,306,78,19,11,0,561,88,156,40,17,4,0,307,223,389,132,25,29,0,797,241,340,129,27,18,3,755,100,118,67,12,6,0,300,69,74,30,3,7,0,184,230,241,95,53,35,5,665,4061,5703,1901,915,720,98,13399
50103,69,21,17,5,5,0,110,15,0,0,0,3,0,26,43,16,9,0,3,0,73,22,11,5,0,6,0,50,50,39,9,13,12,6,130,56,47,25,19,18,0,171,88,92,26,19,20,0,249,92,110,32,11,12,0,263,81,101,22,10,6,0,220,63,78,15,11,10,0,176,48,66,16,5,5,0,138,79,91,30,10,11,0,219,34,38,11,3,0,0,81,18,28,8,0,0,0,53,47,42,19,5,3,0,108,70,67,18,3,0,0,159,20,18,12,4,3,0,55,16,18,0,0,0,0,36,57,45,24,3,7,0,136,960,928,297,120,130,13,2445
50201,181,61,58,18,23,5,350,54,12,14,0,11,0,92,109,24,25,8,22,5,196,95,26,27,12,15,7,177,142,70,54,38,41,6,358,211,124,54,54,68,9,518,296,246,102,70,75,6,798,333,387,180,118,95,10,1119,383,475,140,114,72,16,1196,420,693,194,108,65,8,1489,300,501,126,72,59,7,1062,478,695,253,70,51,16,1559,164,308,91,35,18,5,631,104,195,80,18,14,0,418,240,340,166,24,21,0,801,310,341,182,33,23,0,893,133,106,72,21,18,0,352,85,83,55,4,4,0,232,255,226,135,54,45,8,728,4282,4928,2024,882,752,100,12966
50301,137,108,76,11,20,4,354,15,7,9,0,3,0,31,26,18,11,0,7,4,64,22,7,24,4,0,0,58,43,15,22,3,4,0,84,42,31,24,4,10,0,114,55,64,38,0,9,3,170,46,41,23,12,10,0,133,36,56,31,9,9,0,135,34,43,32,7,11,0,128,18,48,18,3,8,0,103,96,160,79,21,29,0,387,34,54,31,5,8,0,134,31,82,36,6,6,0,161,64,143,46,17,12,3,285,175,554,191,31,29,3,983,142,517,164,40,21,5,881,273,1080,427,43,49,10,1890,93,192,122,20,37,0,458,1381,3228,1401,242,282,29,6560
50302,142,100,64,13,32,14,355,21,17,15,4,0,0,56,50,28,21,3,14,0,121,31,29,10,6,11,3,91,62,38,18,9,14,0,147,97,64,41,17,19,10,253,134,111,50,16,23,6,336,186,124,36,17,25,4,397,185,128,51,31,21,3,422,219,157,55,28,22,0,484,141,131,20,18,20,5,340,312,323,86,45,39,7,814,151,174,27,7,13,4,377,161,207,49,17,15,0,447,274,355,68,35,25,4,756,492,914,164,51,51,9,1683,236,556,107,36,22,3,966,255,547,120,14,19,3,960,133,161,62,19,25,12,414,3281,4164,1075,390,420,82,9417
50401,142,104,70,22,28,5,371,29,10,22,3,3,0,68,59,25,22,6,19,0,133,40,26,33,6,13,0,122,83,58,42,11,22,5,227,99,88,55,25,40,3,309,156,132,72,30,50,3,439,226,230,89,52,55,11,664,259,276,96,35,40,13,725,310,379,106,59,49,13,910,258,345,61,40,38,11,750,382,631,148,55,54,9,1274,174,287,63,18,24,3,580,132,241,51,15,7,7,459,247,416,97,31,22,5,818,261,567,158,30,46,10,1069,105,175,48,8,11,0,341,67,100,30,3,3,0,206,156,208,83,21,34,11,514,3186,4301,1343,483,568,105,9981
50402,77,33,44,10,15,4,189,23,10,11,7,3,0,56,32,18,21,0,11,3,91,42,14,19,0,7,0,86,53,37,31,10,15,0,146,78,64,50,16,25,0,235,87,80,53,32,30,3,284,140,122,59,36,34,0,397,148,171,69,43,31,6,467,190,263,79,45,33,7,608,133,209,78,29,31,0,482,231,392,136,40,36,7,835,84,209,54,11,16,0,376,81,129,43,11,8,5,282,143,256,117,23,18,0,550,189,306,102,21,22,4,646,85,90,55,7,8,0,241,36,74,22,9,7,0,151,120,111,66,30,26,3,355,1982,2588,1099,368,379,50,6473
50403,180,153,147,43,58,8,587,39,27,29,7,14,3,114,111,47,53,15,28,5,254,75,52,50,11,31,3,211,139,77,72,26,55,6,377,191,160,134,69,88,11,656,342,387,191,91,114,20,1146,455,643,245,160,159,32,1695,617,1012,261,153,158,30,2225,693,1280,326,190,131,21,2635,548,1162,271,143,112,14,2255,798,1630,444,177,145,40,3234,372,837,182,85,43,13,1530,270,567,135,43,37,9,1055,464,918,289,84,60,7,1827,475,822,331,77,76,4,1797,168,286,119,26,18,4,624,121,229,73,9,13,3,453,344,490,232,85,84,18,1245,6395,10774,3594,1513,1419,251,23938
50501,331,190,193,35,62,10,831,90,46,67,0,15,0,224,137,58,94,12,23,6,334,98,72,76,11,23,0,272,147,122,105,26,49,6,459,211,171,152,53,63,6,652,282,288,195,49,95,13,919,330,409,226,51,93,13,1126,374,515,223,91,87,3,1297,519,709,285,113,103,13,1742,444,790,209,72,62,11,1585,741,1454,498,124,124,17,2957,282,796,201,64,46,3,1393,240,676,179,50,42,7,1185,447,1366,364,81,72,11,2338,591,1624,639,71,63,7,2991,243,609,273,27,29,8,1188,180,401,209,24,26,3,846,335,490,324,51,94,9,1295,6020,10780,4509,1019,1176,130,23637
