SA3_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
50101,135,156,295,66,75,143,79,190,269,74,360,440,266,951,1222,291,734,1025,960,494,1446,821,491,1314,1118,509,1624,1192,369,1563,846,261,1107,874,185,1061,1818,329,2144,1358,60,1417,1020,92,1114,626,21,645,1457,122,1581,1896,175,2073,163,199,369,15066,5777,20841
50102,257,328,585,117,124,240,130,373,504,173,866,1034,558,2106,2662,658,1138,1796,1978,777,2755,1559,927,2482,1792,961,2752,1950,738,2692,1438,646,2086,1627,529,2153,3500,815,4310,2733,77,2808,2264,218,2477,1292,43,1334,2935,231,3174,3249,175,3430,307,390,703,28531,11451,39978
50103,83,86,164,56,57,112,41,115,161,38,205,242,181,586,768,148,326,472,543,218,760,441,279,719,490,241,729,524,148,667,326,123,441,374,94,468,728,119,853,521,5,527,396,24,416,212,7,217,425,42,466,713,33,747,93,118,208,6326,2824,9142
50201,369,443,817,145,149,296,159,444,603,204,964,1168,626,2558,3187,818,1678,2497,2605,899,3510,2069,935,3007,2124,886,3012,2125,567,2693,1324,554,1874,1440,410,1849,2993,764,3762,2211,63,2273,1916,183,2102,1116,27,1148,2940,237,3178,3710,182,3892,402,490,884,29308,12429,41734
50301,182,272,458,98,117,210,65,208,275,54,381,435,165,712,876,166,651,816,358,465,816,441,529,966,605,571,1172,700,466,1167,502,423,923,651,335,988,1279,703,1982,1047,69,1115,1096,242,1341,829,37,862,8398,667,9063,1520,193,1712,111,162,273,18258,7196,25459
50302,271,628,895,73,188,261,108,497,604,90,1008,1098,245,1655,1897,298,1412,1710,675,1047,1726,754,1309,2062,1062,1730,2791,1306,1645,2946,1056,1580,2633,1215,1299,2519,2804,2702,5512,2318,333,2653,2248,855,3104,1677,183,1854,8507,1563,10068,1928,577,2502,145,319,466,26775,20525,47305
50401,211,387,601,99,128,225,84,348,432,128,710,834,362,1724,2080,386,1023,1410,1205,705,1905,1027,916,1946,1232,1013,2246,1466,867,2331,1098,737,1834,1183,633,1819,2673,1149,3825,2209,145,2354,2058,257,2317,1401,65,1468,3577,317,3893,1823,283,2103,177,289,465,22405,11677,34084
50402,90,130,211,32,43,74,75,140,217,39,262,302,177,697,876,187,367,555,598,235,833,529,271,805,673,296,969,742,248,986,476,208,684,614,158,771,1331,247,1580,1102,22,1120,998,68,1062,635,0,641,1806,86,1896,1401,65,1474,132,134,259,11638,3679,15316
50403,310,446,752,128,148,271,133,341,475,180,693,878,471,1563,2028,684,954,1638,1794,678,2476,1661,968,2627,2233,1278,3514,2650,1094,3739,2271,860,3133,2379,688,3064,5617,1009,6631,4290,125,4416,3177,234,3411,2008,49,2058,4378,240,4623,4138,282,4423,396,313,709,38902,11969,50874
50501,370,414,780,185,153,342,175,314,490,195,696,891,605,1743,2351,569,1280,1843,1841,849,2688,1803,936,2740,2329,1015,3339,2498,849,3346,1999,740,2735,2063,623,2682,4975,1047,6024,4413,123,4538,4327,274,4602,3014,41,3058,9708,318,10024,4359,243,4603,374,296,669,45800,11953,57751
50502,530,898,1428,205,341,552,277,929,1208,261,1694,1956,859,4031,4888,957,2475,3428,2473,1728,4199,2453,2055,4510,2969,2432,5400,3401,2159,5559,2629,1904,4532,2768,1497,4263,6193,2712,8897,4777,338,5112,4447,732,5176,3129,167,3295,11018,1040,12056,4254,770,5022,492,646,1140,54082,28524,82612
50503,496,513,1009,159,158,313,216,441,660,296,904,1196,764,2202,2970,1012,1441,2455,2617,936,3555,2535,1265,3802,2986,1455,4437,3681,1228,4905,3099,1043,4142,3276,798,4073,7512,1221,8730,6049,132,6185,4823,272,5101,2961,51,3014,6680,315,7000,6184,267,6455,552,457,1014,55904,15125,71023
50601,201,264,472,76,75,147,92,249,344,111,509,624,364,1163,1528,462,766,1225,1219,481,1702,1136,691,1831,1481,808,2296,1740,647,2390,1502,520,2023,1603,377,1985,3467,535,4003,2604,52,2653,2172,120,2288,1218,24,1248,2654,126,2778,2383,162,2550,245,241,480,24740,7810,32549
50602,201,386,586,51,132,186,77,346,426,123,738,860,246,1429,1674,318,860,1176,773,637,1417,783,900,1685,927,1131,2065,1234,991,2224,1007,906,1917,1022,658,1680,2418,1348,3767,1845,196,2042,1603,382,1986,1173,98,1269,3105,455,3566,1577,442,2021,149,250,399,18647,12298,30940
50603,283,368,654,123,145,263,130,328,464,135,623,758,382,1437,1811,420,940,1357,1170,577,1747,1105,766,1867,1471,821,2294,1638,717,2355,1345,583,1928,1427,406,1831,3180,719,3896,2421,197,2620,2150,231,2382,1338,84,1414,3794,303,4096,2157,393,2545,172,239,414,24845,9865,34710
