SA3_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
50101,21419,22580,44000,1536,1634,3170,92,103,194,106,102,202,75,70,145,23,24,50,2157,2378,4540,21,21,42,13,25,35,3,0,3,3,0,8,2500,2718,5218,207,176,384,78,64,147,4318,4597,8925,2064,1782,3846,27805,28966,56773
50102,41569,43059,84633,1899,2033,3928,102,109,207,107,107,222,118,127,241,39,44,85,4407,4845,9251,37,44,75,56,49,99,11,8,23,0,0,0,4872,5332,10204,241,258,492,152,120,271,7160,7745,14905,3940,2907,6850,52673,53716,106385
50103,9337,9310,18644,522,597,1118,21,17,37,19,31,46,22,23,49,3,9,13,755,861,1620,7,9,15,8,11,24,0,0,0,0,0,0,839,965,1803,43,36,83,31,24,51,1442,1619,3058,1037,918,1954,11808,11844,23658
50201,40538,43879,84415,1503,1701,3200,173,158,333,123,142,260,165,197,363,42,53,93,4757,5386,10145,28,42,73,45,45,86,12,14,22,9,4,10,5359,6033,11392,250,280,528,146,166,313,7260,8181,15442,3644,3087,6733,51443,55153,106593
50301,27711,29216,56924,1119,1197,2323,168,177,352,181,213,395,112,118,232,24,28,53,3233,3547,6780,12,18,29,17,19,40,32,27,59,0,0,0,3785,4145,7934,586,594,1179,52,61,110,5546,5994,11540,1363,1373,2732,34614,36580,71198
50302,39961,40628,80590,1698,1790,3486,409,400,810,482,493,973,342,317,655,112,99,207,6660,7084,13748,37,35,71,55,57,113,36,44,79,0,0,0,8130,8528,16655,969,1025,1992,162,136,295,10958,11475,22436,3623,2744,6364,54545,54850,109390
50401,33688,34749,68440,896,955,1849,102,87,185,115,104,214,75,85,157,34,25,62,3876,4026,7900,11,10,19,21,18,42,3,6,15,0,0,0,4233,4367,8604,251,260,507,90,93,183,5472,5673,11141,2115,1752,3866,41276,42168,83448
50402,17246,17680,34930,321,354,673,26,29,50,20,28,46,43,39,77,4,5,9,1592,1691,3281,7,16,26,13,10,20,0,0,0,0,0,0,1706,1812,3515,90,84,174,47,39,84,2161,2289,4445,3029,955,3983,22438,20925,43360
50403,59901,60877,120778,1258,1371,2638,170,175,338,205,203,414,171,169,342,56,55,108,6391,6854,13247,30,28,52,47,40,88,21,19,39,0,4,4,7089,7545,14630,434,459,894,209,146,360,8990,9526,18519,3724,3237,6959,72614,73635,146249
50501,66983,68939,135927,1182,1233,2419,210,257,472,228,216,444,158,181,340,35,40,71,6305,6602,12907,18,12,31,28,40,64,12,25,39,8,4,14,7002,7375,14377,525,539,1064,148,133,285,8862,9283,18140,2806,2143,4949,78656,80358,159013
