SA3_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
50101,3,6,1465,1470,7,128,720,861,593,637,925,2155,1682,613,630,2924,1926,481,762,3172,1880,368,705,2947,2077,221,635,2936,1120,61,314,1487,242,9,146,394,9527,2527,6295,18348,4,27,1273,1300,16,189,496,708,879,808,758,2448,2246,681,838,3763,2094,545,1027,3663,2022,358,991,3376,1958,160,1001,3120,827,38,715,1582,130,0,435,568,10185,2798,7553,20533,5,28,2737,2772,26,317,1213,1565,1473,1449,1688,4611,3930,1290,1472,6683,4022,1024,1791,6838,3899,721,1700,6325,4040,382,1638,6057,1939,100,1029,3072,371,10,582,962,19712,5326,13844,38880
50102,4,42,2982,3031,61,451,1807,2328,1464,1458,2122,5038,3144,899,1595,5631,3504,740,1652,5896,3753,635,1529,5915,3453,334,1262,5042,1831,84,585,2501,391,16,264,669,17608,4652,13801,36060,0,75,2911,2990,120,680,1415,2217,2200,1645,1913,5754,3744,962,1783,6487,3981,846,1962,6785,3920,609,1953,6481,3166,230,1844,5239,1322,61,1403,2781,177,0,707,883,18628,5111,15889,39626,3,117,5899,6020,190,1130,3226,4541,3662,3102,4026,10785,6888,1858,3382,12126,7488,1582,3609,12685,7672,1248,3477,12400,6620,560,3106,10282,3152,140,1988,5282,564,19,976,1557,36237,9760,29691,75683
50103,0,3,522,525,8,77,295,384,215,256,299,772,569,198,237,1007,726,213,351,1287,957,218,449,1630,1017,125,446,1593,530,46,208,787,109,3,55,164,4130,1139,2873,8144,0,14,513,533,16,111,171,293,335,287,263,877,695,206,290,1197,837,230,333,1397,1061,226,482,1767,941,96,443,1483,374,35,371,777,39,0,156,195,4299,1204,3020,8522,0,24,1039,1062,26,184,462,674,546,542,559,1651,1263,406,529,2196,1558,442,688,2689,2021,444,930,3398,1961,227,890,3077,900,76,579,1557,144,3,211,359,8429,2344,5895,16665
50201,0,38,2753,2793,45,392,1818,2250,1163,1213,1944,4317,2384,863,1390,4633,3010,711,1518,5237,3577,610,1546,5733,4148,414,1561,6127,2860,165,914,3941,647,30,412,1087,17832,4433,13855,36118,0,62,2663,2723,101,597,1662,2359,1841,1516,1863,5223,3143,976,1669,5786,3499,766,1991,6260,3996,613,2147,6758,4142,350,2266,6749,2182,118,1863,4164,318,19,971,1301,19220,5018,17084,41317,0,103,5414,5519,145,984,3480,4609,3000,2730,3806,9537,5525,1834,3053,10416,6511,1478,3508,11498,7565,1225,3695,12491,8284,764,3827,12877,5043,280,2776,8099,964,47,1383,2388,37044,9449,30941,77442
50301,0,5,2442,2446,10,98,1984,2097,594,611,1736,2944,2237,380,588,3206,3438,348,589,4382,2934,308,639,3888,2449,178,569,3191,1601,83,375,2059,475,16,208,703,13741,2035,9138,24915,0,17,2333,2352,23,147,1873,2038,858,705,1399,2961,2849,380,679,3908,3674,347,947,4972,2918,276,1018,4211,2252,142,1090,3486,1226,34,1057,2315,239,6,746,987,14034,2051,11156,27236,4,25,4774,4799,26,247,3862,4137,1450,1312,3138,5908,5085,759,1266,7111,7112,695,1543,9349,5852,584,1665,8101,4703,321,1658,6683,2826,119,1434,4373,717,27,955,1695,27769,4088,20294,52152
50302,4,16,1885,1907,47,428,2534,3013,2145,2910,5016,10078,4378,1420,2640,8437,3347,740,1836,5928,2748,612,1709,5077,2212,305,1319,3835,1028,87,582,1698,298,12,224,538,16210,6546,17750,40503,0,34,1837,1867,106,663,2829,3602,3038,3092,4659,10782,4540,1151,2369,8054,3378,700,1937,6013,2648,454,2036,5139,1960,184,1780,3927,739,41,1137,1913,131,9,709,840,16528,6329,19287,42141,0,51,3718,3771,160,1098,5363,6621,5184,5999,9676,20859,8921,2565,5002,16490,6725,1446,3774,11943,5397,1073,3751,10220,4173,489,3100,7760,1764,132,1715,3614,421,20,930,1377,32740,12869,37038,82648
50401,0,10,1903,1911,35,243,2048,2318,1554,1656,2847,6053,3194,996,1675,5865,2700,601,1553,4854,2501,402,1443,4347,2231,202,1070,3503,1294,60,578,1929,328,8,223,559,13830,4182,13329,31346,0,20,1746,1762,88,397,1759,2240,2248,1829,2340,6426,3452,941,1661,6062,2726,595,1815,5139,2483,346,1788,4618,2101,156,1737,3995,937,45,1214,2200,144,4,725,878,14191,4341,14792,33324,0,28,3644,3675,121,631,3803,4560,3805,3485,5187,12476,6645,1944,3338,11925,5424,1197,3369,9989,4978,749,3237,8972,4332,367,2804,7504,2238,109,1788,4135,479,11,949,1436,28016,8521,28125,64668
50402,0,8,1247,1254,11,100,932,1036,537,505,824,1868,1160,379,487,2034,1547,346,622,2516,1733,301,593,2632,1530,148,493,2180,859,45,247,1151,161,9,114,282,7547,1839,5566,14945,0,12,1159,1169,28,159,708,892,790,581,587,1958,1468,458,522,2446,1761,387,718,2868,1813,274,762,2849,1435,115,785,2338,605,36,627,1260,89,3,293,387,7977,2029,6161,16169,0,16,2402,2418,31,251,1637,1926,1329,1084,1411,3822,2626,841,1013,4478,3313,732,1347,5390,3548,577,1352,5480,2967,264,1282,4515,1461,82,870,2411,252,9,407,671,15525,3869,11722,31116
50403,3,45,4535,4583,101,515,3632,4251,3192,2153,4214,9558,6080,1384,2397,9857,5274,961,2023,8248,4707,609,1788,7103,3246,242,1163,4647,1506,66,572,2144,324,6,194,525,24432,5982,20508,50916,6,60,4119,4182,220,851,3063,4133,4887,2524,3472,10882,6662,1413,2445,10518,5524,969,2706,9201,4530,550,2630,7714,2666,173,2081,4922,1072,50,1200,2321,154,0,543,702,25724,6593,22261,54572,9,105,8650,8763,320,1365,6693,8384,8076,4677,7689,20441,12741,2796,4839,20373,10800,1930,4724,17450,9233,1162,4416,14819,5909,415,3245,9571,2579,113,1770,4466,483,6,740,1232,50154,12567,42769,105494
50501,0,23,5135,5154,23,284,4089,4399,1858,1923,3503,7277,6190,1380,1914,9481,7304,1018,1874,10196,7167,717,1555,9438,6563,304,1252,8120,2727,82,644,3448,538,13,304,865,32379,5736,20270,58380,0,43,4723,4760,78,472,3334,3884,2893,2326,2502,7726,7253,1431,1881,10569,7868,1019,2270,11157,7620,646,2420,10692,5816,250,2551,8617,1918,48,1807,3772,295,0,1009,1305,33750,6234,22495,62490,0,60,9853,9916,103,757,7427,8283,4753,4251,6003,15010,13444,2804,3799,20044,15176,2032,4144,21355,14788,1361,3976,20135,12381,554,3804,16741,4645,126,2451,7225,839,18,1316,2171,66127,11972,42770,120868
