SA3_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
50101,0,20,0,17,..,97,15,114,0,114,..,0,0,0,0,0,..,72,30,98,0,98,..,499,143,645,15,659,..,2942,345,3288,55,3341,..,185,17,201,3531,3738,50256,3130,357,3487,3587,57332
50102,6,55,0,55,..,131,24,157,0,157,..,11,0,11,0,11,..,101,54,154,0,154,..,1196,143,1341,36,1375,..,7194,805,8000,101,8102,..,318,23,339,6349,6688,92765,7510,824,8336,6453,107549
50103,0,6,0,6,..,24,0,27,0,26,..,0,0,0,0,0,..,18,11,30,0,30,..,256,40,298,9,308,..,1004,127,1130,14,1148,..,38,6,51,1768,1819,20901,1040,133,1178,1784,23863
50201,4,47,0,47,..,273,50,320,3,328,..,9,0,9,0,9,..,119,40,159,0,162,..,1220,117,1335,31,1363,..,6110,536,6643,68,6715,..,463,31,492,6114,6606,94318,6576,566,7140,6183,107641
50301,5,175,0,175,..,82,9,93,0,89,..,31,4,32,0,32,..,206,29,229,0,230,..,1085,57,1145,25,1167,..,9548,756,10305,94,10396,..,198,15,211,2557,2772,58567,9748,772,10512,2649,71735
50302,8,319,7,323,..,378,70,449,0,447,..,69,8,72,0,72,..,996,244,1237,8,1242,..,3424,249,3670,66,3740,..,23394,2739,26133,260,26397,..,551,49,602,6050,6651,77482,23947,2787,26734,6308,110530
50401,5,240,3,238,..,249,40,290,5,293,..,80,26,99,0,99,..,1823,787,2615,19,2630,..,2501,350,2845,52,2902,..,17379,3267,20638,232,20869,..,390,56,441,3516,3959,59632,17765,3322,21082,3750,84462
50402,0,30,0,30,..,89,15,103,0,108,..,8,0,8,0,8,..,33,15,47,0,47,..,536,49,591,15,603,..,2690,247,2934,28,2963,..,131,8,143,3834,3968,36855,2820,257,3072,3863,43792
50403,46,593,13,601,..,385,70,459,0,459,..,40,10,54,0,54,..,2066,980,3048,20,3069,..,6843,1224,8064,139,8201,..,29797,4618,34413,368,34780,..,787,126,918,6679,7602,105946,30583,4746,35333,7047,148324
50501,6,118,3,124,..,302,50,348,0,352,..,37,0,37,0,37,..,358,98,458,3,460,..,2068,207,2278,45,2321,..,15656,1452,17111,169,17279,..,518,28,550,4420,4972,138390,16180,1487,17659,4587,160641
50502,19,351,6,358,..,530,94,627,0,630,..,194,66,256,3,263,..,3196,1373,4576,26,4594,..,8654,1618,10273,170,10443,..,48776,8081,56860,592,57455,..,1089,187,1276,9208,10486,140207,49865,8268,58136,9808,208149
50503,15,310,3,317,..,534,71,609,6,611,..,82,7,89,0,89,..,3431,1921,5353,40,5392,..,7750,1531,9280,154,9430,..,36644,6178,42821,388,43210,..,1108,207,1321,8187,9510,155783,37753,6386,44149,8579,208506
50601,114,1286,13,1299,..,246,33,280,0,281,..,47,4,53,0,53,..,120,32,153,3,158,..,3781,590,4373,91,4465,..,19708,2193,21902,309,22213,..,442,83,524,4528,5049,66921,20153,2276,22423,4842,94184
50602,16,193,0,194,..,316,76,394,3,399,..,110,41,144,4,147,..,613,150,763,6,775,..,2894,435,3331,69,3405,..,18528,2565,21097,263,21359,..,446,53,496,4548,5051,48899,18979,2619,21591,4820,75312
50603,63,1324,13,1339,..,290,56,344,3,350,..,384,117,494,6,502,..,565,166,736,4,739,..,4027,443,4465,105,4567,..,35850,5314,41169,418,41584,..,642,99,736,3973,4712,52839,36492,5416,41906,4396,99139
50604,208,1933,22,1947,..,399,73,467,4,469,..,264,56,319,3,318,..,487,169,661,11,670,..,7052,1801,8856,136,8985,..,37716,6810,44527,470,44991,..,811,197,1009,6840,7846,73536,38522,7009,45530,7305,126376
50605,15,171,0,172,..,164,23,182,3,188,..,19,4,26,0,26,..,68,20,83,0,83,..,1437,236,1672,31,1703,..,6571,726,7298,99,7399,..,202,18,220,2274,2501,48865,6771,743,7517,2380,58762
