SA3_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
50101,6803,388,33,183,12,7418,7231,269,14,16,5,7536,1949,286,10,4,8,2254,317,250,10,0,0,578,28,69,0,0,0,103,1489,120,16,17,10,1647,186,19,5,98,5,312,18,8,0,0,0,20,3986,747,42,121,27,4921,348,190,23,31,7,596,278,51,4,13,17,368,18648,1649,114,358,73,20841
50102,11712,717,112,222,16,12780,15384,436,63,20,17,15922,3746,839,288,9,8,4889,546,572,67,0,0,1189,87,198,74,0,4,363,2431,371,64,17,3,2881,272,65,14,96,3,456,45,19,5,0,0,69,7125,2065,507,124,21,9850,486,270,21,10,9,794,456,119,14,24,11,635,35163,3611,724,408,77,39978
50103,3855,35,3,37,17,3943,2909,19,3,18,13,2956,589,85,13,0,0,685,165,67,6,0,0,238,19,46,11,0,0,78,583,17,6,0,0,611,131,9,4,4,8,154,9,4,0,0,0,12,1501,222,40,10,13,1785,263,34,5,0,4,314,133,8,0,5,4,146,8653,318,53,69,53,9142
50201,12325,1235,297,266,11,14138,14544,539,165,19,5,15271,4483,954,327,12,3,5779,320,405,37,0,5,766,178,165,70,0,9,415,2366,360,75,9,3,2812,190,103,8,51,5,359,46,26,6,0,0,76,7577,2012,522,81,24,10209,517,884,17,9,0,1434,475,151,20,37,6,689,35441,4824,1017,415,45,41734
50301,8603,1216,973,0,5,10790,6059,720,545,0,3,7326,1577,753,1906,0,3,4243,59,177,137,0,0,375,12,51,45,0,0,109,630,295,511,0,0,1438,188,39,64,0,3,294,4,10,8,0,0,21,2474,1319,2669,3,7,6478,208,152,278,0,3,642,120,47,53,0,0,222,17461,3456,4513,5,18,25459
50302,6937,1692,2510,14,9,11156,6803,2150,4024,18,12,13010,2141,2327,10741,28,15,15252,50,366,876,0,0,1299,17,68,294,0,7,377,1162,795,2408,14,10,4390,63,80,286,0,3,436,13,18,58,0,0,92,3436,3649,14669,49,40,21838,231,224,412,0,0,874,116,55,241,0,15,424,17529,7773,21855,70,73,47305
50401,8616,1175,332,0,6,10130,10084,1842,620,4,10,12552,3151,1691,1242,5,3,6098,352,553,160,0,0,1068,71,110,22,0,0,199,1773,652,366,0,4,2794,180,85,39,0,3,299,22,23,12,0,0,53,5546,3115,1837,8,18,10520,251,166,35,0,0,455,265,121,34,0,6,427,24758,6421,2861,9,35,34084
50402,5422,179,7,7,7,5625,7218,92,5,0,0,7318,779,106,0,0,0,889,105,183,0,0,0,287,11,46,0,0,0,56,631,59,0,4,4,697,50,20,0,0,0,73,10,9,0,0,0,20,1580,423,9,8,4,2025,141,21,5,0,3,180,151,23,0,0,0,178,14514,741,31,19,16,15316
50403,10062,789,65,162,13,11092,26286,1116,116,10,21,27549,4564,1207,535,3,11,6327,583,534,91,0,4,1218,115,90,22,4,0,232,2395,397,57,9,9,2867,294,43,5,33,3,379,45,11,0,5,0,63,8010,2292,712,51,27,11088,372,84,20,5,0,484,524,99,24,15,12,664,45253,4374,936,234,68,50874
50501,18961,1633,251,79,6,20932,24727,1349,270,6,3,26348,4280,853,626,6,10,5778,141,187,24,0,0,359,35,54,14,0,0,101,2234,447,188,9,6,2875,120,22,20,8,0,174,26,14,3,0,0,51,6837,1583,870,19,17,9328,313,259,35,3,0,616,362,93,64,14,7,531,51198,4915,1483,120,32,57751
