SA3_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
50101,610,143,1332,9213,13366,6568,4827,8946,3401,46314
50102,874,389,2133,16316,23578,11034,9280,20132,6482,86826
50103,244,49,508,3406,5267,2905,2572,4028,1743,19922
50201,1394,503,3095,15535,22564,11003,9693,23669,6346,88811
50301,838,250,2184,14972,17611,8048,5078,10928,2687,59324
50302,1171,277,2226,23694,28880,9187,5379,21783,6617,95536
50401,969,220,1949,15206,20337,7845,5398,18092,3838,70713
50402,338,163,870,6998,9912,4687,3656,7226,3897,36378
50403,838,225,1678,23786,30122,12109,10148,32867,6945,115971
50501,1385,252,2794,29682,39267,17333,11331,27997,5052,130669
50502,2731,510,5514,38653,47908,18608,12759,44835,9794,172558
50503,1299,417,2616,34289,42740,17457,13595,45678,8764,162511
50601,478,146,1006,14130,18991,8143,6972,19490,4369,72096
50602,614,185,1318,14084,17383,5882,4075,17541,4817,63786
50603,959,433,2191,17055,20424,8738,6753,23841,4673,81486
50604,940,296,1869,18898,23591,10152,8748,31561,7145,100107
50605,588,145,1292,9854,13520,6082,4655,10822,2469,47399
50606,130,26,249,4789,6541,2789,2646,5772,1673,24215
50607,560,251,1233,8994,11186,4109,2572,8211,2128,37202
50701,782,329,1782,20322,26233,10277,7820,23621,4960,93241
50702,566,155,1107,7919,10701,4050,2477,6545,2254,33939
50703,227,35,416,6575,8751,3582,3234,9983,3329,35457
50704,1504,368,3363,20235,25989,11548,7786,18435,3776,87766
50705,919,388,2083,20833,27961,12048,9987,28055,7364,106248
50901,688,216,1644,9647,13975,6943,5525,10366,4318,50772
50902,508,187,1196,8011,11336,5661,5371,10540,5727,46644
50903,193,96,471,3061,4079,1950,1716,3273,1781,15859
51001,71,37,139,5877,6604,2381,1626,5663,4732,26876
51002,16,3,39,3336,4285,1509,1286,5305,4272,19985
51003,9,3,19,4005,5576,2059,1689,4621,4277,22223
51101,128,34,315,2553,3401,1554,1238,2662,1443,12856
51102,37,20,90,1454,2018,782,614,1743,1180,7794
51103,130,33,236,5381,7221,2870,2177,7833,4804,30285
51104,470,202,1108,7686,11241,5156,4430,10289,5877,44672
59797,0,0,0,33,21,10,15,214,222,516
59999,10,23,30,870,963,339,278,1476,3362,7285
