SA3_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
50101,3,4,6,266,52,319,3,0,3,0,0,0,23,9,33,8289,8332,16619,665,638,1303,147,5,151,25,0,35,214,94,310,357,70,424,402,385,784,10399,9591,19983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,10,21,5,3,7,23,7,29,46,16,57,142,52,198,186,70,261,0,0,0,24,5,21,7,0,6,28,6,36,1124,1634,2760,1923,2062,3977,99,93,194,13766,13450,27214
50102,13,8,22,671,174,846,9,3,6,0,0,0,45,43,88,17187,16291,33475,1464,1363,2826,306,14,319,103,11,114,180,54,228,458,140,599,461,431,892,20888,18536,39423,5,0,5,0,0,0,0,0,0,11,3,15,4,3,7,0,0,0,20,7,25,0,0,0,0,0,0,196,59,253,17,16,35,34,4,37,249,79,318,279,118,393,539,199,741,9,4,11,33,9,42,11,3,16,53,14,73,913,1428,2335,3159,3447,6610,164,98,263,25717,23722,49439
50103,3,0,7,96,25,125,0,0,3,0,0,3,4,3,4,3328,3082,6409,276,267,544,83,4,89,29,3,35,29,13,45,113,33,148,287,241,529,4257,3674,7931,3,0,3,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,10,3,13,0,0,0,4,0,4,17,3,16,52,22,79,72,27,101,0,0,0,5,0,5,0,0,0,9,0,6,647,684,1328,629,689,1318,63,48,105,5683,5117,10802
50201,275,298,574,670,258,927,6,0,10,0,0,0,43,34,80,12993,13147,26141,1065,1054,2114,298,12,313,61,5,72,74,34,107,867,227,1097,304,284,580,16655,15357,32011,99,87,188,0,0,0,0,0,0,150,139,294,18,20,40,14,3,14,283,249,536,0,0,0,0,0,0,44,14,56,18,31,53,30,19,45,89,63,150,270,94,366,640,413,1051,85,79,168,39,18,60,14,3,16,141,100,236,1060,1717,2772,3552,3310,6866,146,104,248,22193,21005,43190
50301,606,435,1037,919,670,1591,0,0,0,0,0,4,43,49,96,10261,8889,19151,570,838,1403,36,5,40,101,15,116,599,183,782,153,62,216,580,588,1167,13874,11735,25611,100,92,194,0,4,5,0,0,0,52,51,103,11,21,29,14,9,25,182,182,363,0,0,0,0,0,0,30,41,69,18,31,49,22,12,33,69,81,154,121,63,187,372,326,696,35,32,69,17,4,27,7,10,15,61,46,110,2340,2454,4801,1475,2275,3749,75,69,144,18203,16907,35109
50302,932,905,1837,3533,3304,6843,9,8,11,3,0,3,262,302,568,15393,13660,29053,994,1726,2717,106,4,110,222,40,262,1037,386,1425,593,214,808,2682,2267,4952,25769,22820,48588,411,561,978,0,0,3,0,0,0,45,37,82,23,31,58,58,29,91,550,664,1212,5,0,6,0,0,0,58,61,116,40,89,127,98,106,207,198,260,456,255,160,421,1000,1085,2086,93,114,211,57,36,94,26,8,33,174,161,336,3185,3119,6300,2775,4026,6808,124,93,222,33033,31306,64338
50401,753,744,1495,929,891,1816,9,0,4,3,0,5,114,119,232,14470,12516,26981,776,1169,1947,169,10,179,125,14,138,398,107,500,408,110,523,232,205,435,18372,15881,34256,179,221,400,0,0,0,0,0,0,136,139,284,18,44,62,17,18,36,360,429,781,0,0,0,0,0,3,61,64,123,28,62,84,36,19,55,125,149,269,176,100,280,658,670,1331,53,79,132,20,7,33,16,0,16,84,90,175,1546,1838,3384,2024,2908,4932,93,54,151,22780,21451,44234
50402,99,99,200,197,78,273,0,0,0,0,0,0,14,15,34,6851,6283,13138,408,418,827,214,10,226,61,7,71,49,15,63,240,42,286,108,110,220,8249,7079,15331,50,33,81,0,0,0,0,0,0,145,107,254,14,17,36,5,0,5,212,162,374,0,0,0,0,0,0,8,9,16,3,10,13,10,3,10,16,17,39,87,42,138,315,227,545,28,31,51,7,5,9,3,0,7,38,36,70,709,1012,1725,1242,1501,2747,76,48,121,10638,9898,20535
50403,348,398,749,796,465,1265,9,5,11,6,0,4,116,109,224,26857,23147,50003,1565,1913,3473,558,21,578,175,9,185,155,40,189,1017,231,1244,457,425,875,32042,26757,58798,237,289,523,0,0,0,0,0,0,318,354,669,38,52,86,27,11,34,614,693,1312,0,0,0,0,0,0,43,44,84,31,57,85,55,27,82,123,132,255,338,184,527,1076,1010,2086,98,154,252,39,17,56,14,9,23,151,177,332,1716,2714,4426,3901,4620,8519,174,127,302,39057,35409,74467
50501,1711,1551,3265,505,202,711,15,9,15,0,3,4,100,71,170,26945,24506,51450,1422,1678,3107,489,6,500,187,15,200,272,53,316,835,125,962,409,429,842,32894,28647,61538,759,541,1301,0,0,0,0,0,0,665,544,1214,101,105,197,77,12,90,1600,1203,2802,0,0,0,0,0,0,33,21,61,12,21,35,38,7,46,89,51,142,264,128,393,1954,1386,3339,246,232,479,17,7,23,20,3,27,284,242,531,3529,4440,7965,4385,6106,10491,130,110,240,43172,40930,84100
