SA3_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
50101,24535,..,..,..,..,24535,..,101,0,101,0,101,..,10,0,14,0,14,..,20,0,19,0,24,..,17,3,24,0,24,..,35,13,44,0,44,..,0,0,0,0,0,..,53,16,71,0,71,..,9,0,9,0,9,..,124,6,129,0,132,..,150,4,155,3,159,..,10,0,15,0,15,..,0,0,0,0,0,..,4,0,8,0,8,..,17,0,18,0,18,..,7,0,7,0,7,..,56,4,58,0,58,..,21,0,19,0,19,..,4,0,4,0,4,..,11,0,11,0,11,..,112,4,116,0,116,..,119,4,128,3,128,..,28,5,38,0,38,..,0,0,0,0,0,..,25,13,36,0,36,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,11,0,14,0,14,..,47,4,52,0,52,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,20
50102,45637,..,..,..,..,45637,..,379,3,388,0,389,..,78,8,86,0,86,..,62,4,67,0,68,..,39,12,54,0,52,..,174,87,257,0,262,..,4,0,4,0,9,..,220,98,313,4,322,..,12,0,14,0,14,..,63,6,68,0,68,..,66,0,67,4,66,..,19,0,24,0,24,..,22,0,22,0,22,..,41,4,44,0,44,..,52,6,56,0,56,..,33,4,34,0,34,..,86,9,92,0,88,..,29,0,25,0,25,..,53,3,57,4,61,..,13,0,13,0,13,..,326,18,339,3,343,..,400,23,422,0,427,..,27,6,36,0,38,..,3,0,3,0,3,..,39,32,73,0,73,..,0,0,0,0,0,..,108,9,119,0,121,..,23,0,28,0,28,..,48,4,53,0,53,..,33,3,34,0,34,..,38,7,48,0,47,..,7,0,7,0,7,..,10,0,10,0,10,..,269
50103,10397,..,..,..,..,10397,..,12,0,12,0,12,..,4,3,6,0,6,..,11,0,11,3,14,..,9,0,9,0,9,..,26,7,31,0,33,..,4,0,4,0,4,..,33,7,46,0,46,..,0,0,6,0,6,..,33,0,33,0,33,..,49,0,54,0,54,..,3,0,3,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,4,0,4,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,15,0,14,0,14,..,66,5,74,0,76,..,6,0,6,0,6,..,0,0,0,0,0,..,5,0,5,0,5,..,32,0,37,0,37,..,7,0,9,0,9,..,0,0,0,0,0,..,6,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9
50201,45485,..,..,..,..,45485,..,333,4,339,0,338,..,42,0,44,0,44,..,52,0,52,0,53,..,42,13,53,0,60,..,86,27,113,6,114,..,8,0,8,0,8,..,135,39,175,3,180,..,25,9,32,0,32,..,55,3,57,3,63,..,84,4,87,0,87,..,32,0,37,0,35,..,9,0,11,0,11,..,40,8,40,0,40,..,60,5,59,0,59,..,37,0,34,0,35,..,102,3,105,0,106,..,36,4,36,0,36,..,23,0,23,0,23,..,3,0,8,0,8,..,308,17,324,0,328,..,139,8,148,0,152,..,30,3,32,0,32,..,0,0,3,0,3,..,26,10,36,0,32,..,3,0,3,0,3,..,56,0,53,0,53,..,25,3,30,0,30,..,32,0,29,0,29,..,39,0,40,0,40,..,33,0,32,0,32,..,13,4,15,0,15,..,17,0,16,0,16,..,161
50301,28781,..,..,..,..,28781,..,108,4,112,0,118,..,85,9,87,0,87,..,17,0,18,0,17,..,273,18,287,3,295,..,941,143,1084,8,1089,..,60,8,70,0,75,..,1271,169,1445,10,1454,..,34,3,39,0,39,..,241,8,250,3,248,..,170,3,173,0,173,..,113,5,114,0,114,..,46,0,41,0,41,..,34,0,32,0,32,..,121,3,121,0,121,..,13,0,13,0,13,..,39,0,39,0,39,..,72,5,74,0,79,..,65,0,68,5,67,..,31,0,31,0,31,..,411,15,420,6,426,..,279,10,287,5,290,..,119,18,129,0,133,..,6,0,6,0,6,..,22,6,24,0,24,..,23,0,23,0,23,..,56,0,56,0,56,..,108,6,115,3,113,..,62,6,68,0,68,..,90,0,90,0,87,..,51,6,61,0,61,..,4,0,4,0,4,..,24,5,28,0,28,..,11
50302,39188,..,..,..,..,39188,..,102,0,102,0,104,..,243,12,260,0,260,..,34,0,34,0,34,..,515,100,613,4,624,..,1368,256,1620,16,1636,..,95,17,118,0,118,..,1978,372,2352,14,2369,..,76,3,80,0,83,..,411,12,425,4,429,..,235,8,244,0,245,..,228,25,255,0,258,..,106,0,107,0,107,..,212,10,224,0,227,..,338,11,345,4,352,..,291,13,306,0,308,..,115,0,122,0,122,..,107,0,107,0,107,..,154,5,155,0,160,..,101,0,106,0,107,..,1421,49,1474,13,1482,..,824,70,899,6,906,..,361,66,426,9,438,..,9,0,8,0,8,..,240,65,305,0,307,..,124,16,138,0,138,..,120,7,126,3,130,..,253,25,279,3,286,..,150,13,164,3,170,..,298,18,317,3,319,..,116,6,125,0,126,..,4,5,3,0,3,..,150,24,169,0,169,..,105
50401,29819,..,..,..,..,29819,..,51,0,51,0,51,..,265,52,316,3,319,..,26,0,26,0,26,..,453,164,614,0,619,..,622,261,879,11,891,..,81,22,99,0,99,..,1151,445,1594,15,1612,..,110,10,112,5,114,..,192,9,198,7,200,..,120,0,124,6,129,..,180,13,195,0,195,..,52,0,52,0,54,..,127,4,132,3,138,..,251,11,258,3,263,..,170,5,170,6,170,..,276,21,295,0,300,..,114,0,117,0,121,..,204,9,210,0,212,..,75,0,71,0,73,..,1258,53,1310,16,1328,..,817,72,885,5,895,..,84,14,101,0,99,..,13,4,19,0,19,..,93,38,129,0,129,..,104,6,110,0,110,..,123,4,128,4,129,..,125,27,153,0,155,..,160,19,182,0,181,..,106,10,117,3,119,..,69,5,74,0,79,..,7,0,7,0,8,..,290,26,316,4,316,..,138
50402,18280,..,..,..,..,18280,..,51,5,50,0,50,..,6,3,15,0,15,..,32,0,33,0,33,..,11,0,11,0,11,..,35,26,65,0,70,..,0,0,0,0,0,..,52,26,78,0,77,..,31,3,31,0,31,..,42,3,43,0,43,..,80,0,81,0,83,..,12,4,19,0,19,..,4,0,4,0,4,..,9,0,9,0,9,..,21,0,23,0,23,..,7,0,5,0,5,..,30,5,31,0,31,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,88,3,91,0,90,..,139,9,149,0,156,..,24,0,26,0,26,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,21,3,22,0,20,..,9,0,7,0,7,..,29,0,32,0,32,..,14,0,14,0,14,..,4,0,4,0,4,..,0,0,0,0,0,..,7,5,11,0,11,..,90
50403,52984,..,..,..,..,52984,..,413,5,415,0,414,..,833,105,942,6,949,..,109,3,111,3,118,..,285,95,378,0,382,..,482,111,595,4,604,..,67,12,79,0,79,..,831,223,1051,11,1066,..,176,23,197,0,198,..,267,10,278,3,279,..,145,5,149,4,150,..,97,3,100,0,103,..,66,4,66,0,66,..,663,61,723,3,725,..,501,25,524,6,529,..,102,7,111,0,115,..,1439,124,1561,19,1584,..,180,10,187,0,188,..,198,7,210,4,212,..,49,3,58,0,58,..,3200,237,3441,37,3481,..,489,33,525,0,525,..,76,14,92,0,92,..,75,28,104,0,104,..,42,6,55,0,55,..,153,17,170,0,171,..,238,12,246,7,256,..,176,43,220,0,218,..,180,18,191,0,192,..,99,6,114,4,111,..,55,4,62,0,64,..,27,0,29,0,29,..,184,33,215,8,221,..,536
50501,68849,..,..,..,..,68849,..,832,8,843,7,851,..,280,8,283,0,288,..,17,0,15,0,15,..,244,72,313,0,316,..,482,132,608,5,615,..,61,4,67,0,67,..,786,207,992,5,995,..,95,9,103,0,103,..,265,11,272,8,283,..,386,6,397,10,408,..,132,5,138,0,138,..,37,0,35,0,34,..,246,0,250,0,250,..,150,5,154,0,156,..,17,0,17,0,15,..,93,0,95,0,95,..,51,0,51,0,51,..,61,3,64,0,65,..,42,0,42,0,42,..,689,11,699,8,707,..,486,28,513,0,520,..,148,14,165,0,164,..,5,0,9,0,9,..,43,10,55,0,55,..,130,9,136,0,139,..,63,4,71,0,71,..,240,18,257,0,264,..,254,20,273,0,275,..,191,18,204,3,217,..,102,7,114,4,112,..,8,0,8,0,8,..,100,13,108,0,108,..,51
