SA3_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
50101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,19,43,48,27,46,43,0,0,0,9,0,0,3,256,7,26,16,0,8,0,28,51,11,8,11,8,5,0,12,197,0,0,0,0,4,14,19,25,4,5,0,4,0,0,0,78,0,0,0,0,0,0,19,28,7,0,3,6,0,0,3,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,11,12,5,7,3,10,0,0,0,0,0,5,77,0,0,0,0,0,0,3,4,4,4,0,0,0,0,0,19,15,77,15,11,26,14,25,22,4,4,4,0,3,0,3,215,5,10,84,221,294,237,294,147,11,27,14,15,6,9,59,1427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,5,9,0,0,0,0,0,10,0,26
50102,3,0,0,0,0,0,3,51,0,0,0,0,8,4,7,14,4,0,0,0,0,0,0,47,3,8,27,36,74,16,86,110,0,7,4,7,0,0,5,389,50,271,109,20,5,4,9,25,0,4,0,4,0,0,42,533,0,0,3,0,3,7,27,13,0,3,0,8,5,3,0,72,0,0,0,0,3,4,43,28,3,3,10,20,3,0,5,130,0,0,0,10,9,11,11,4,0,0,0,0,3,0,0,49,0,9,16,21,24,20,36,44,7,20,27,11,0,0,0,238,0,0,0,0,0,0,19,15,9,10,4,3,0,0,0,62,10,157,47,36,45,17,35,19,4,4,0,3,0,0,13,383,3,9,108,332,584,397,826,449,27,50,29,33,33,19,122,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,19,41,6,10,6,7,5,3,0,94
50103,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,9,14,10,0,0,0,3,5,0,6,67,4,59,37,3,0,0,6,8,0,0,0,3,0,0,11,134,0,0,0,0,0,4,3,3,0,0,6,0,0,0,0,17,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,10,4,3,6,4,0,3,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,21,9,9,4,11,4,0,0,3,4,0,0,0,108,3,0,33,110,165,81,74,23,4,4,0,9,6,0,41,548,3,15,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,9,0,0,0,4,0,5,0,17
50201,0,0,0,5,0,9,0,69,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,8,10,36,48,81,24,123,150,7,3,0,0,0,0,10,492,26,105,57,16,11,3,17,12,3,0,0,0,6,0,7,253,0,0,0,0,5,13,22,12,0,0,0,3,0,4,3,68,0,0,0,0,9,7,22,31,0,0,0,4,0,0,0,75,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,10,29,34,27,20,53,42,4,8,12,6,0,0,3,259,0,0,0,0,0,0,18,12,4,6,4,8,4,0,0,53,27,260,51,29,35,15,39,22,0,4,0,4,0,6,13,509,7,14,167,463,649,509,932,690,38,35,46,81,24,30,123,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,8,17,0,0,0,7,3,0,0,50
50301,0,0,18,16,0,0,5,232,0,0,0,0,0,9,5,13,0,0,0,0,0,0,0,26,7,15,33,42,100,60,85,83,9,3,11,52,73,26,12,591,30,84,29,31,18,17,39,55,9,7,5,14,9,3,13,348,0,5,3,4,28,47,55,25,15,25,21,22,9,8,9,273,0,0,0,4,14,9,22,27,3,9,3,3,5,0,4,96,0,0,3,3,3,0,4,0,0,0,0,4,0,0,0,24,14,23,97,251,304,136,163,93,25,31,15,34,55,11,13,1270,0,0,0,0,3,3,6,4,0,8,3,7,3,0,0,41,7,54,10,25,16,24,66,40,3,6,5,12,0,0,5,284,5,25,86,164,219,139,191,64,9,6,21,15,13,26,22,1008,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,15,22,26,5,21,5,8,9,0,0,108
50302,24,28,39,60,13,9,3,551,0,0,3,0,0,14,18,7,0,0,0,0,5,0,0,56,13,57,56,65,209,70,226,313,21,28,53,96,57,29,24,1322,72,441,283,77,29,19,66,202,47,22,37,55,39,6,58,1448,0,0,3,10,27,65,159,132,32,49,83,121,69,59,27,840,0,0,0,8,38,37,218,177,44,49,57,67,16,9,11,720,0,0,4,8,17,4,7,4,0,0,4,0,0,0,0,48,9,15,75,185,349,177,414,284,55,71,99,66,50,16,48,1896,0,0,0,0,0,6,52,66,59,82,111,120,45,0,8,548,6,82,15,27,24,32,62,25,3,4,15,23,8,7,10,342,0,10,119,260,405,309,408,284,31,35,39,57,44,18,58,2092,3,20,34,44,22,13,12,3,0,0,0,0,0,0,0,163,0,0,4,9,14,5,34,46,22,13,28,36,18,0,9,244
50401,16,3,12,7,6,0,0,274,0,0,4,0,0,26,58,33,9,5,5,10,0,0,0,160,3,5,47,54,120,42,214,216,18,6,11,18,9,0,14,782,44,502,451,107,40,40,52,107,18,10,6,11,0,0,30,1415,0,0,0,6,12,42,83,33,4,0,7,8,9,6,4,230,0,0,0,0,29,21,90,58,19,11,14,16,0,0,0,260,0,0,0,7,12,5,10,5,0,0,0,0,0,0,0,47,0,8,70,120,350,123,222,134,43,30,41,40,16,4,17,1206,0,0,0,0,0,3,75,72,15,34,53,42,21,0,9,311,17,101,34,24,30,15,22,14,5,0,0,0,0,0,6,268,0,13,76,229,373,295,427,310,16,34,44,36,6,7,44,1904,0,14,46,42,25,25,22,0,6,0,0,0,0,0,9,177,0,3,5,6,13,6,49,67,20,23,22,44,24,0,5,291
50402,0,0,0,0,0,0,4,27,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,3,3,3,21,29,55,19,39,50,3,0,0,0,0,0,7,235,18,119,60,19,3,5,3,3,0,0,0,0,0,0,12,246,0,0,0,0,8,18,19,4,0,0,0,0,0,0,0,44,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4,7,19,13,32,12,18,3,3,0,6,4,0,0,18,126,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,10,8,93,30,24,21,17,34,5,0,0,0,0,0,0,4,242,0,8,66,174,274,176,232,152,16,6,0,3,9,6,91,1224,0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,10,0,0,4,5,0,0,0,4,0,0,0,0,0,0,0,18
50403,15,10,16,5,8,13,3,360,0,0,3,0,3,219,189,126,12,21,13,4,0,7,18,629,0,9,44,47,127,53,167,211,21,3,4,6,6,0,9,714,38,266,202,53,24,19,37,41,15,8,0,7,3,0,35,750,0,0,0,0,13,24,68,19,0,5,3,3,0,0,4,133,0,0,0,0,9,9,63,32,10,6,3,5,0,0,4,129,0,0,5,5,18,19,14,5,0,0,0,0,0,0,0,72,0,7,48,93,326,128,273,142,29,22,24,14,6,0,22,1127,0,0,0,0,0,0,97,54,8,11,5,11,6,0,3,187,16,138,41,27,29,11,40,8,0,3,0,0,0,0,12,328,7,5,90,357,857,760,1469,1218,81,103,78,94,47,35,141,5334,3,4,27,39,44,54,46,27,0,0,0,0,3,0,3,251,0,0,3,8,16,18,103,123,12,30,25,28,14,3,4,395
50501,18,18,12,21,5,0,5,466,0,0,0,0,0,17,17,8,0,9,0,0,0,0,0,54,0,22,78,139,546,201,713,783,25,31,25,20,5,7,23,2627,41,237,168,82,37,30,68,103,12,3,12,17,12,0,27,851,0,0,0,7,30,64,95,40,10,3,13,12,6,0,0,285,0,0,0,3,24,4,63,30,5,3,3,5,0,0,0,154,0,0,5,8,16,6,5,4,0,0,0,0,0,0,3,47,5,18,77,142,279,107,199,79,18,14,25,33,6,5,17,1023,0,0,0,0,0,0,11,4,5,7,5,7,6,0,0,49,19,225,60,41,89,47,75,29,3,3,7,6,15,0,10,634,7,12,122,525,1017,696,820,589,46,41,23,60,16,20,92,4065,0,10,29,38,20,25,7,5,0,0,0,0,0,0,3,152,0,3,6,3,13,11,17,28,8,10,15,7,10,0,3,133
