SA3_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
50101,12,11,0,835,83,37,9,111,12,35,8,23,8,38,760,1117,3,0,4,10,0,9,4,0,0,0,19,51,1046,411,77,2086,199,737,166,278,88,253,787,6135
50102,28,16,3,1775,188,28,11,200,30,94,17,29,20,80,1226,1909,5,0,4,18,7,4,0,3,0,5,40,88,2212,397,120,3812,421,1896,224,457,193,680,1293,11703
50103,3,3,0,215,55,9,9,47,7,17,7,4,0,10,211,375,0,0,0,0,0,0,0,0,0,0,7,13,414,109,39,690,77,328,57,95,43,117,219,2199
50201,35,29,6,1790,120,24,21,148,20,90,15,28,21,83,1559,2126,3,0,6,3,4,0,0,0,4,3,51,81,1819,408,117,2815,378,1717,206,515,250,817,1626,10656
50301,33,118,3,5764,102,23,10,161,9,77,8,34,0,35,442,903,4,0,3,4,0,4,0,3,0,0,18,40,2057,418,51,3105,280,1725,90,435,68,460,475,9167
50302,21,38,4,4765,84,17,0,85,7,38,0,22,0,27,494,784,3,0,0,6,3,3,0,0,0,0,14,43,2369,526,61,3403,452,1809,122,371,69,412,534,10123
50401,17,29,4,2167,85,20,13,63,11,50,5,25,6,56,547,895,9,0,5,6,0,0,0,0,4,4,30,55,1982,460,75,3039,408,1500,130,489,97,690,603,9460
50402,15,13,0,1166,61,19,8,78,10,44,8,16,8,40,566,861,8,0,6,9,0,3,0,0,0,0,11,32,994,188,59,1598,198,816,100,215,80,293,585,5118
50403,43,33,7,2883,217,30,22,192,30,115,18,39,32,103,1755,2565,20,0,11,8,6,12,3,0,4,9,86,157,4302,734,162,5690,746,3526,274,898,297,1127,1896,19656
50501,54,67,9,7013,275,58,21,331,42,151,22,53,27,91,1658,2724,21,4,11,25,3,6,0,0,10,8,60,152,5006,912,182,8099,909,3136,313,816,237,1083,1746,22425
