SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
50501107502,3,0,0,3,3,3,3,0,0,15,76,47,30,38,61,74,48,12,0,382
50501107503,3,0,0,5,3,9,0,4,0,19,105,38,39,68,68,68,44,19,7,445
50501107504,0,0,0,0,3,6,0,0,0,17,82,54,53,71,60,103,59,33,4,519
50501107505,7,3,4,0,5,0,0,0,0,13,84,44,46,51,54,27,24,11,0,347
50501107506,5,6,6,12,5,8,3,0,0,42,159,71,54,118,82,82,69,31,15,664
50501107507,0,7,5,0,7,6,0,0,0,26,48,40,42,34,43,34,26,10,5,276
50501107508,3,4,7,10,0,4,0,0,0,28,65,49,65,70,39,45,44,14,7,388
50501107509,5,0,5,0,0,9,7,0,0,30,70,64,35,31,42,86,50,21,0,402
50501107510,0,12,0,12,7,3,3,0,0,39,111,86,60,79,109,107,112,30,8,701
50501107511,4,5,5,0,0,5,4,0,0,20,101,71,27,64,67,92,85,24,9,534
50501107512,5,3,5,8,6,4,3,0,0,29,144,62,63,102,76,59,60,21,6,586
50501107513,0,0,3,10,0,9,7,0,0,25,118,64,40,79,71,79,84,30,8,574
50501107514,0,3,3,3,0,0,0,4,3,20,55,51,24,39,55,54,83,46,22,431
50501107515,4,0,9,3,4,0,3,0,0,20,84,46,26,64,70,65,98,56,33,540
50501107516,3,4,0,0,0,4,5,0,0,12,68,52,17,47,62,69,60,18,5,412
50501107517,0,0,0,0,3,0,0,0,0,4,39,30,11,26,42,37,36,5,4,223
50501107518,0,0,0,0,0,0,3,0,0,13,87,74,22,48,82,86,45,19,4,463
50501107519,0,0,0,0,0,0,0,0,0,7,43,32,9,24,31,40,34,14,5,230
50501107520,3,3,0,4,11,0,6,0,0,36,105,115,50,68,141,152,112,35,5,781
50501107521,4,3,0,0,6,0,0,0,0,24,78,78,31,46,87,87,64,28,5,497
50501107522,6,9,8,3,11,17,4,4,0,62,95,91,61,46,103,161,121,40,0,722
50501107523,6,8,5,3,3,3,0,6,0,28,98,79,37,62,98,61,35,18,10,491
50501107601,4,3,0,0,3,8,0,0,0,15,52,49,21,30,61,84,32,17,3,348
50501107602,4,3,0,5,6,6,3,0,0,36,64,63,33,27,64,88,37,9,6,390
50501107603,8,6,4,6,3,12,0,0,0,32,86,81,28,40,97,84,48,7,9,487
50501107604,4,5,0,6,9,6,3,0,0,29,70,42,24,43,63,89,51,23,4,415
50501107606,5,3,0,3,3,4,0,0,0,18,39,38,25,20,47,41,24,8,0,236
50501107607,4,9,0,4,0,8,0,0,0,20,34,46,9,24,47,68,15,9,4,252
50501107608,5,0,5,3,9,7,5,0,0,32,99,88,32,54,93,121,65,23,4,570
50501107609,0,12,4,0,5,0,3,0,0,29,85,127,33,45,156,87,48,12,3,592
50501107611,18,7,5,6,22,13,6,0,0,75,216,202,60,164,274,232,98,36,6,1287
50501107612,0,10,4,0,12,10,0,0,0,39,187,176,52,99,214,191,69,12,8,999
50501107613,0,0,0,0,0,0,3,3,0,9,0,0,4,4,0,20,42,17,11,97
