SA1_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
50101100101,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,9,0,11,10,13,13,8,0,0,55,0,0,3,7,9,4,0,0,26,3,8,8,11,10,3,0,0,48,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,8,3,13,15,11,14,5,0,0,63,0,0,0,0,0,0,0,0,0,6,4,7,8,11,8,6,0,43,13,26,32,50,52,32,7,0,205
50101100102,12,11,5,3,0,0,32,0,0,17,12,6,3,0,0,33,0,44,99,50,28,10,0,0,238,0,17,33,26,17,16,8,0,112,11,27,75,44,27,15,4,0,206,8,4,5,5,0,0,0,0,15,0,4,9,4,0,0,0,0,24,14,33,90,58,28,18,5,0,239,0,0,0,0,0,8,0,0,9,3,13,41,17,14,4,0,0,102,29,113,287,163,95,59,16,7,765
50101100103,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,6,0,3,0,0,9,10,10,3,35,0,3,4,5,10,21,10,4,53,0,7,10,9,15,17,12,5,77,3,0,0,0,0,0,0,0,7,0,0,5,0,0,3,0,0,13,0,7,8,11,22,21,16,3,89,0,0,0,0,0,3,4,0,9,0,5,3,7,7,14,12,9,55,3,13,18,30,40,71,50,19,256
50101100104,3,3,0,5,0,0,10,0,0,0,0,5,0,0,0,7,0,5,3,6,5,4,6,3,29,0,4,4,4,8,5,10,0,37,7,16,11,12,17,17,8,0,81,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,8,7,14,11,13,22,18,13,0,97,0,0,0,0,0,0,3,0,3,0,0,8,8,0,12,10,6,42,9,30,30,28,38,49,41,6,225
50101100105,0,4,3,3,0,0,10,0,0,0,5,3,3,0,0,6,0,0,3,8,4,12,0,0,33,0,0,0,6,9,10,3,0,32,5,3,3,13,16,10,3,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,5,3,3,12,16,16,3,5,60,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,3,8,22,6,8,19,28,38,55,12,13,167
50101100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101100107,3,0,0,0,0,0,11,0,0,0,0,0,4,0,0,3,0,4,9,4,14,14,3,0,41,0,0,0,3,8,8,0,0,25,8,11,18,6,23,19,6,0,85,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,7,4,11,21,12,28,20,7,0,100,0,0,0,0,0,0,0,0,3,4,4,7,5,13,7,6,0,49,6,21,39,25,67,50,11,0,230
50101100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
50101100109,0,0,9,0,0,0,12,0,0,5,0,3,0,0,0,8,0,12,18,12,9,9,3,0,54,0,0,6,11,8,18,4,0,45,10,4,19,28,26,10,8,0,101,0,0,0,6,0,0,0,0,4,0,0,0,4,4,0,0,0,10,12,4,19,32,29,18,7,0,113,0,0,0,0,0,0,0,0,0,0,0,10,7,9,8,3,0,44,18,19,51,62,57,48,18,3,284
50101100110,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,3,0,11,9,7,17,7,0,0,42,0,0,4,9,4,8,0,0,28,4,7,10,5,8,6,0,0,40,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,13,10,5,7,6,0,0,44,0,0,0,0,0,0,0,0,0,0,3,0,5,6,4,0,0,19,3,28,21,24,34,30,8,0,150
