SA1_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
50101100101,51,1625,804,300,1978,0.8,1720,2.4
50101100102,37,2000,941,440,2259,0.8,2129,2.9
50101100103,68,1246,497,260,933,0.6,727,1.7
50101100104,60,1575,583,280,1199,0.7,919,1.9
50101100105,62,1950,572,325,1303,0.6,1057,2
50101100106,71,0,824,125,0,0.4,350,1.5
50101100107,56,1127,568,260,1273,0.8,1007,2.1
50101100108,40,0,549,0,0,1,225,2
50101100109,50,1733,715,250,1478,0.9,1297,2.4
50101100110,52,1814,659,250,1416,0.8,1199,2.1
50101100111,41,1950,852,300,2050,0.9,1918,2.6
50101100112,46,2075,786,320,1765,0.8,1458,2.4
50101100113,56,1647,537,250,1300,0.8,988,2.1
50101100114,40,1739,797,380,1885,0.8,1661,2.7
50101100115,46,1795,709,320,1821,0.8,1261,2.4
50101100116,0,0,0,0,0,0,0,0
50101100301,55,2059,808,420,1642,0.7,1395,2.1
50101100302,40,2000,819,465,2295,0.7,1906,2.9
50101100303,54,2489,619,250,1833,0.8,1057,2.2
50101100304,42,1300,730,200,1924,0.8,1718,2.8
50101100305,46,1733,890,216,2113,0.8,1696,2.6
50101100306,43,2100,742,300,1958,0.9,1825,2.8
50101100307,46,2508,1012,620,2446,0.9,2345,2.8
50101100308,50,2167,908,400,2017,0.8,1985,2.7
50101100310,50,2200,909,410,2333,0.7,2011,2.4
50101100311,41,2200,944,470,2403,0.8,2288,2.9
50101100312,50,1947,831,403,1886,0.7,1699,2.3
50101100313,36,1424,794,410,1593,0.7,1375,2.3
50101100314,44,2438,857,335,2027,0.8,1521,2.5
50101100315,44,2427,981,250,2421,0.8,2131,2.6
50101100316,49,2167,990,580,2463,0.8,2266,2.7
50101100317,47,2286,948,423,2537,0.9,2277,2.7
50101100319,60,2100,961,371,1812,0.6,1384,2.2
50101100320,42,2000,847,460,2015,0.7,1756,2.5
50101100321,41,2400,976,555,2567,0.8,2367,3.2
50101100322,50,4767,1125,350,3124,0.7,1791,2.4
50101100323,41,2058,900,445,2437,0.8,2150,3
50101100324,48,2167,856,400,2267,0.8,2088,2.8
50101100325,37,1863,941,450,2073,0.7,1891,2.7
50101100326,38,1842,895,480,1987,0.7,1829,2.6
50101100328,42,1733,846,490,1977,0.7,1663,2.5
50101100329,44,1862,730,220,1737,0.7,1271,2.3
50101100330,54,2184,989,450,1968,0.7,1937,2.2
50101100331,33,1850,1039,503,2291,0.7,2164,2.7
50101100332,46,2708,755,390,1437,0.9,1562,2.6
50101100401,43,1950,956,458,2144,0.7,2022,2.7
50101100405,43,1733,1110,420,2446,0.9,2137,2.7
50101100406,41,1772,904,360,2125,0.7,1670,2.3
50101100407,49,1460,608,325,1468,0.8,985,1.9
50101100408,44,1826,755,350,1485,0.7,1442,2.1
50101100410,33,1625,930,425,2005,0.8,1793,2.7
50101100411,40,1365,816,320,1518,0.8,888,2.1
50101100412,47,1975,738,400,1839,0.8,1480,2.5
50101100413,43,1790,906,400,2267,0.8,2089,2.7
50101100414,44,2200,860,370,2067,0.9,1958,2.8
50101100416,43,1934,882,350,2236,0.9,2012,2.8
50101100417,48,2000,776,300,1942,0.9,1490,2.5
50101100418,52,1733,927,423,1974,0.8,1550,2.3
50101100419,36,1517,716,350,1516,0.7,1277,2.3
50101100420,37,1517,881,390,2083,0.8,1843,2.6
50101100421,38,1733,865,410,2137,0.8,2031,2.8
50101100422,34,1825,918,430,2087,0.8,1948,2.9
50101100423,51,0,750,350,1375,0.6,1375,2
50101100424,36,1517,774,410,1781,0.8,1774,3
50101100425,39,1517,721,280,1387,0.8,1166,2.6
50101100426,36,1549,773,375,1812,0.8,1452,2.4
50101100427,33,1551,953,400,2065,0.8,1875,2.7
50101100428,74,0,569,0,899,0.6,612,1.3
50101100429,46,1742,763,350,1678,0.9,1485,2.6
50101129301,36,1881,959,400,2146,0.7,1952,2.9
50101129302,58,1560,629,288,1463,0.6,1125,1.9
50101129303,54,1619,646,340,1325,0.7,928,1.9
50101129304,46,1700,626,330,2049,0.7,1520,2.5
50101129305,56,2159,642,450,1708,0.6,1550,2.4
50101129306,50,2189,876,290,2374,0.7,2150,2.7
50101129307,37,1300,389,275,1437,1,1625,3.4
50101129308,73,1300,498,300,870,0.7,711,1.6
50101129309,41,1765,1089,250,2666,0.8,2416,2.7
50101129310,32,1625,836,425,2055,0.7,1762,2.6
50101129311,53,3792,466,205,1187,0.8,1062,1.9
50101129312,51,2167,828,400,1937,0.7,1666,2.3
