SA1_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
50503109812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,26,13,12,5,10,3,7,0,0,78,0,4,0,0,3,0,0,0,0,15,33,17,13,11,16,11,16,10,5,126,0,0,0,0,0,0,7,6,5,17,0,3,0,3,0,0,0,3,5,18,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,3,6,5,0,15,0,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,0,4,4,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,16,42,25,32,6,22,9,7,0,0,149
50503109813,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,12,17,16,3,7,7,0,8,4,0,63,0,6,0,0,0,0,0,0,0,14,25,24,6,18,17,12,22,19,3,128,0,0,0,0,7,0,8,7,4,34,4,3,0,0,6,4,5,0,0,29,0,0,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,14,4,0,29,0,0,0,0,0,0,10,6,5,20,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,7,0,0,12,0,0,0,0,7,0,3,0,0,19,0,0,0,0,0,0,4,0,0,3,0,3,0,3,3,3,5,4,0,26,30,25,5,26,24,8,11,4,4,135
50503109814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,3,0,0,6,0,4,0,24,0,0,0,0,0,0,0,3,0,3,3,0,4,4,4,8,3,3,0,24,34,24,24,28,10,4,7,5,0,135,4,4,4,7,0,0,0,0,0,18,38,34,30,37,25,20,30,26,0,238,0,0,0,0,9,8,13,14,0,50,4,11,5,6,9,9,8,4,0,49,0,0,0,0,5,8,3,6,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,11,7,9,0,31,0,0,0,0,0,0,4,7,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7,4,3,18,0,6,4,0,7,11,9,3,0,40,0,0,0,0,0,0,4,0,0,7,5,3,4,9,5,7,3,9,0,50,82,62,47,47,29,20,14,4,0,303
50503109815,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,6,0,0,11,0,6,0,4,3,3,9,0,0,26,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,3,0,13,24,19,8,16,12,3,5,0,0,89,8,6,5,0,5,0,0,0,0,21,35,23,17,25,28,19,25,11,0,183,0,0,0,3,8,9,13,7,0,45,0,0,0,7,9,10,3,3,0,39,0,0,0,0,0,0,4,5,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,13,13,9,0,39,0,0,0,0,0,0,9,3,0,21,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,8,7,0,0,13,3,6,0,3,11,6,12,4,0,48,0,0,0,0,0,0,3,7,0,8,0,0,0,0,4,6,5,3,0,20,55,43,32,28,31,16,12,7,0,222
50503109816,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,0,0,0,10,22,22,12,14,22,11,3,0,0,103,0,0,0,0,3,0,0,0,0,5,25,21,14,13,32,22,7,6,3,149,0,0,0,0,0,3,0,0,3,10,4,3,0,5,7,0,0,0,0,26,0,0,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,0,13,0,0,0,0,4,0,0,3,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,0,0,0,5,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,4,4,0,3,25,39,42,15,19,37,21,7,0,0,188
50503109817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,5,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,5,0,0,0,23,31,16,12,17,20,13,11,3,0,128,0,0,0,0,0,0,0,0,0,4,39,28,22,22,34,19,15,7,0,180,0,0,0,0,0,3,4,0,0,15,5,9,0,5,5,4,5,0,0,28,0,0,0,4,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,11,0,0,0,0,5,5,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,7,5,4,3,7,4,0,0,0,25,0,0,0,0,0,0,0,4,0,3,5,5,6,4,6,8,6,0,0,30,63,51,24,31,46,28,14,3,0,261
50503109818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50503109819,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,0,0,4,0,0,10,0,0,0,24,0,0,0,0,0,0,0,5,0,0,0,0,3,4,4,9,6,5,0,37,45,32,13,22,23,7,4,3,0,146,8,0,6,0,0,4,7,0,3,18,47,34,27,32,40,29,22,22,4,260,0,0,0,3,5,17,14,6,6,52,8,7,8,6,7,5,3,5,0,43,0,0,0,0,0,3,3,6,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,10,6,11,0,36,0,0,0,0,0,9,9,3,6,23,0,0,0,0,4,0,4,0,0,9,0,0,0,0,0,4,0,4,0,16,0,6,4,4,6,9,3,0,0,30,0,0,0,0,0,0,3,5,0,5,0,3,3,12,5,15,4,9,0,53,68,52,36,37,43,25,14,8,0,284
50503109820,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,5,0,6,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,4,3,3,4,0,3,3,4,0,31,39,31,21,18,34,22,9,0,0,183,0,3,0,0,0,0,0,0,0,11,43,44,26,36,42,41,24,11,0,283,0,0,0,0,0,9,10,5,0,30,4,8,5,13,5,3,0,0,0,38,0,0,0,0,0,6,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,11,0,32,0,0,0,0,7,3,3,4,0,17,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,13,3,9,5,5,4,6,3,0,0,43,0,0,0,0,0,0,3,0,0,4,6,9,7,3,8,10,14,0,0,54,86,59,56,44,50,51,18,0,0,366
50503109821,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,0,3,0,5,5,3,3,8,0,0,0,22,0,0,0,0,0,0,0,0,0,5,0,3,3,6,0,3,3,0,0,18,50,19,20,30,27,13,10,0,0,170,0,0,0,0,0,3,0,3,0,16,52,29,25,44,41,30,26,8,5,260,0,0,0,3,3,9,12,6,4,35,12,9,7,7,0,4,6,7,0,40,0,0,0,0,0,6,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11,4,5,26,0,0,0,0,0,10,10,0,4,25,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,5,6,4,0,15,0,9,5,7,0,8,3,0,0,35,0,0,0,0,0,3,0,0,5,8,0,3,0,5,4,11,3,0,0,34,83,46,33,59,48,34,14,6,0,333
