SA1_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
50101100101,0,0,4,54,97,52,26,47,46,315
50101100102,6,0,9,193,324,157,138,122,93,1026
50101100103,28,5,53,56,85,76,59,112,37,427
50101100104,8,7,28,65,113,66,36,85,34,406
50101100105,3,3,18,45,81,49,36,51,11,266
50101100106,0,0,0,0,0,0,0,0,0,4
50101100107,0,0,7,59,123,60,48,68,36,387
50101100108,0,0,0,0,0,0,0,0,0,0
50101100109,0,0,0,103,121,73,62,64,30,457
50101100110,0,0,3,46,66,29,21,35,18,217
50101100111,0,0,0,83,157,60,48,65,45,457
50101100112,0,0,3,61,96,44,43,55,40,344
50101100113,0,5,6,29,46,46,32,41,22,214
50101100114,8,0,12,101,131,60,55,84,61,489
50101100115,0,0,6,54,78,42,46,70,36,328
50101100116,0,0,0,0,0,0,0,0,0,0
50101100301,5,5,16,34,49,27,20,44,21,195
50101100302,0,0,0,51,99,37,21,29,14,249
50101100303,0,0,6,62,83,43,30,69,14,298
50101100304,0,0,0,47,65,31,18,27,30,217
50101100305,0,0,6,47,72,36,23,34,35,255
50101100306,4,0,0,87,121,55,44,63,29,405
50101100307,0,0,0,51,85,32,39,37,19,265
50101100308,0,0,0,78,110,58,44,45,19,359
50101100310,0,0,4,83,87,59,41,75,20,361
50101100311,0,0,0,50,83,43,21,32,27,256
50101100312,3,0,13,65,87,44,36,41,17,291
50101100313,9,0,12,36,70,31,28,48,25,232
50101100314,0,0,6,46,76,24,18,24,13,208
50101100315,0,0,3,69,112,62,32,39,47,360
50101100316,0,0,3,54,90,47,44,22,14,277
50101100317,3,0,9,83,99,75,55,57,25,393
50101100319,9,3,13,56,84,56,30,42,26,293
50101100320,0,0,5,123,177,77,48,68,34,528
50101100321,0,0,5,98,110,64,51,43,34,403
50101100322,0,0,3,40,40,28,29,36,22,185
50101100323,0,0,0,45,50,32,37,30,28,221
50101100324,0,0,3,64,111,68,51,31,8,336
50101100325,0,0,6,98,160,66,59,80,45,518
50101100326,0,0,0,68,123,52,30,75,33,383
50101100328,0,0,11,132,243,90,80,128,58,725
50101100329,0,0,9,94,118,74,56,85,54,483
50101100330,4,0,4,40,43,31,14,7,31,158
50101100331,0,0,3,127,176,50,39,76,20,491
50101100332,0,0,4,28,44,33,16,13,13,151
50101100401,0,0,4,63,131,65,30,59,27,378
50101100405,0,0,3,113,130,58,23,42,57,420
50101100406,9,0,10,98,122,47,35,73,37,404
50101100407,33,0,45,45,83,25,12,113,28,312
50101100408,0,0,6,66,71,34,25,53,19,271
50101100410,0,0,0,173,228,97,69,153,73,784
50101100411,3,0,4,47,49,19,11,99,32,254
50101100412,0,0,3,55,99,54,32,58,35,335
50101100413,3,3,17,106,165,75,42,66,37,501
50101100414,0,0,0,91,140,75,64,59,44,473
50101100416,5,0,8,98,123,58,43,72,38,445
50101100417,0,0,3,94,155,85,56,50,40,484
50101100418,0,0,0,32,56,22,26,15,18,165
50101100419,0,0,0,45,75,32,30,59,8,245
50101100420,0,0,0,76,107,42,29,56,18,323
50101100421,0,0,5,70,82,49,29,54,12,290
50101100422,0,0,0,124,141,79,61,73,48,520
50101100423,0,0,0,0,0,0,0,0,0,4
50101100424,5,0,5,57,66,38,35,54,19,272
50101100425,5,0,5,67,68,29,28,47,20,250
50101100426,0,0,0,56,85,30,13,56,21,261
50101100427,0,0,0,71,123,46,34,63,19,358
50101100428,7,4,9,6,16,3,6,7,4,43
50101100429,0,0,0,36,73,42,23,41,23,244
50101129301,0,0,0,68,73,27,18,54,18,254
50101129302,6,0,9,36,64,30,14,32,23,201
50101129303,7,0,12,63,76,35,26,90,26,305
50101129304,0,0,7,46,63,48,25,43,29,251
50101129305,0,0,5,29,43,37,26,32,6,173
50101129306,0,0,5,63,112,54,43,53,19,334
50101129307,0,0,0,10,6,0,3,6,0,25
50101129308,7,6,31,32,55,31,22,80,17,233
50101129309,0,0,0,5,16,4,5,13,5,42
50101129310,3,0,0,89,111,63,30,72,20,379
50101129311,0,0,0,3,11,5,0,11,5,32
50101129312,0,0,0,43,63,40,18,53,25,239
50101129313,0,0,0,25,47,23,25,20,9,141
50101129314,0,0,5,60,89,31,33,56,16,286
50101129315,0,0,4,85,132,42,50,82,14,402
50101129316,0,0,15,55,102,57,49,47,18,327
50101129317,0,0,4,37,35,30,7,71,15,189
50101129318,0,0,0,53,71,36,31,46,11,240
50101129319,0,0,0,53,84,32,25,57,17,263
50101129320,0,0,6,75,119,48,46,47,19,358
50101129321,4,0,14,60,85,37,23,64,14,282
50101129322,0,0,10,59,122,56,33,87,26,380
50101129323,0,0,0,35,46,21,17,40,6,167
50101129324,0,0,0,81,133,46,32,65,16,379
50101129325,0,0,3,55,84,43,34,35,4,262
50101129326,5,0,18,60,96,53,35,80,34,359
50101129327,3,3,13,84,93,39,30,87,37,374
50101129328,3,0,5,62,105,47,46,124,44,432
50101129329,12,0,14,86,121,62,35,92,53,450
50101129401,0,0,3,16,35,14,24,29,12,123
50101129402,0,0,0,45,55,26,36,39,8,211
50101129403,0,0,0,3,6,0,0,15,0,22
50101129404,0,0,0,59,87,44,29,48,8,277
50101129405,0,0,0,86,90,43,48,69,22,364
50101129406,0,0,4,61,119,46,32,67,19,345
50101129407,4,0,4,19,40,28,13,20,7,133
50101129408,13,4,17,84,106,47,41,132,41,443
50101129409,0,4,11,49,72,50,26,52,8,265
50101129410,8,0,6,44,67,29,35,76,19,261
50101129411,4,0,12,64,87,46,38,76,25,329
50101129412,7,4,23,65,100,42,38,101,36,372
50101129413,0,0,0,57,84,27,24,46,11,252
50101129414,78,10,110,43,70,33,24,162,22,345
