SA1_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
50101100101,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,8,0,0,5
50101100102,0,0,0,0,0,0,0,0,0,11,14,0,23,0,0,0,28,6,0,33
50101100103,0,0,0,0,0,0,0,0,0,0,5,0,8,3,0,3,9,3,0,11
50101100104,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,5,0,0,10
50101100105,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,6,0,0,3
50101100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101100107,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,3,0,10
50101100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101100109,0,0,0,0,0,0,0,0,0,3,9,0,10,0,0,0,14,3,0,15
50101100110,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,10,0,0,14
50101100111,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,6,3,0,13
50101100112,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,10,5,0,15
50101100113,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,7,0,0,13
50101100114,0,0,0,0,0,0,0,0,0,4,17,0,23,0,0,0,23,5,0,22
50101100115,0,0,0,0,0,0,0,0,0,5,7,0,5,0,0,0,5,0,0,5
50101100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101100301,0,0,0,0,0,0,0,0,0,3,6,0,6,0,0,0,6,3,0,8
