SA1_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
50101100101,52,32,7,0,205
50101100102,95,59,16,7,765
50101100103,40,71,50,19,256
50101100104,38,49,41,6,225
50101100105,38,55,12,13,167
50101100106,0,0,0,0,0
50101100107,67,50,11,0,230
50101100108,4,0,0,0,0
50101100109,57,48,18,3,284
50101100110,34,30,8,0,150
50101100111,62,35,11,0,324
50101100112,53,38,10,0,242
50101100113,29,29,15,5,121
50101100114,54,24,13,3,339
50101100115,42,42,8,4,218
50101100116,0,0,0,0,0
50101100301,27,19,15,11,126
50101100302,25,21,14,0,173
50101100303,42,41,24,0,186
50101100304,17,15,6,0,123
50101100305,29,27,11,4,173
50101100306,54,19,10,0,241
50101100307,39,37,12,0,209
50101100308,71,44,19,0,263
50101100310,42,48,21,5,229
50101100311,35,32,17,0,194
50101100312,39,38,18,6,208
50101100313,15,17,10,4,165
50101100314,37,18,4,4,129
50101100315,51,37,14,0,265
50101100316,47,41,6,0,223
50101100317,66,37,12,0,288
50101100319,44,59,32,7,212
50101100320,67,70,32,5,388
50101100321,53,44,18,0,310
50101100322,27,33,16,0,140
50101100323,34,16,9,0,158
50101100324,52,42,17,3,247
50101100325,32,32,16,6,363
50101100326,39,27,17,3,258
50101100328,85,55,36,7,508
50101100329,36,55,43,8,326
50101100330,10,35,7,6,116
50101100331,19,33,10,0,364
50101100332,31,15,6,4,115
50101100401,34,35,14,0,262
50101100405,56,36,9,3,329
50101100406,41,43,6,3,283
50101100407,15,20,28,34,221
50101100408,32,32,8,0,193
50101100410,45,37,13,0,534
50101100411,21,14,3,0,139
50101100412,51,43,12,0,208
50101100413,82,45,5,13,364
50101100414,73,62,11,0,364
50101100416,47,48,17,0,323
50101100417,102,54,7,3,360
50101100418,32,37,0,0,136
50101100419,20,9,9,0,170
50101100420,22,14,8,0,207
50101100421,23,19,10,5,198
50101100422,50,34,15,0,380
50101100423,0,0,0,0,0
50101100424,12,18,5,3,176
50101100425,24,16,0,0,153
50101100426,18,6,0,0,165
50101100427,28,15,4,0,252
50101100428,0,9,6,9,25
50101100429,48,26,12,0,187
50101129301,16,7,3,0,152
50101129302,34,34,12,3,137
50101129303,28,27,19,0,159
50101129304,26,21,17,3,149
50101129305,20,14,16,3,99
50101129306,41,46,9,5,214
50101129307,6,0,0,0,17
50101129308,12,22,25,11,100
50101129309,3,0,0,0,21
50101129310,12,16,4,4,222
50101129311,9,4,0,0,19
50101129312,35,30,6,0,157
50101129313,13,25,12,0,87
50101129314,14,14,10,0,182
50101129315,20,17,5,0,253
50101129316,52,45,16,0,192
50101129317,10,14,7,0,96
50101129318,19,15,6,0,138
50101129319,31,36,5,0,172
50101129320,51,31,12,0,226
50101129321,28,25,21,3,164
50101129322,45,37,13,6,219
50101129323,35,25,12,4,121
50101129324,31,35,19,0,218
50101129325,45,24,5,0,159
50101129326,39,35,15,9,191
50101129327,37,39,13,6,205
50101129328,51,33,20,4,242
50101129329,47,58,20,7,272
50101129401,20,4,5,0,68
50101129402,22,8,9,0,138
50101129403,0,5,0,0,8
50101129404,30,26,15,0,181
50101129405,18,11,3,0,214
50101129406,18,29,21,0,202
50101129407,17,9,8,4,81
50101129408,44,40,23,7,252
50101129409,34,24,14,7,164
50101129410,31,24,0,0,141
50101129411,35,15,5,5,189
50101129412,33,22,14,6,177
50101129413,11,9,0,0,151
50101129414,21,34,42,54,195
50101129415,41,19,8,0,174
50101129416,52,43,24,7,217
50101129417,20,33,6,0,155
50101129418,30,33,11,6,157
50101129419,42,34,25,0,393
50101129420,30,26,14,3,123
50101129421,24,21,13,6,143
50101129422,30,6,13,0,149
50101129423,20,16,4,0,97
50101129424,10,12,3,0,45
50101129425,59,45,21,4,237
50101129426,16,17,13,0,212
50101129427,8,8,0,0,59
50101129428,32,31,11,5,181
50101129429,59,34,9,0,281
50101129430,24,7,8,0,160
50101129431,11,12,4,0,128
50101129432,27,26,20,4,138
50101129433,32,13,3,0,152
50101129434,21,15,8,8,106
50101129435,44,36,29,4,264
50101129436,30,25,24,3,180
50101129437,31,17,9,0,144
50101129438,16,19,10,3,84
50101129439,15,44,87,53,243
50101129440,44,24,3,0,284
50101129441,37,31,9,0,239
50101129442,32,25,12,3,198
50101129443,61,37,33,14,266
50101129444,42,45,6,7,316
50101129445,33,29,8,0,233
50101129446,22,46,17,9,198
50101129447,42,36,13,9,211
50101129448,40,24,3,0,235
50101129449,36,31,11,3,175
50101129450,25,13,3,6,149
50101129451,19,36,21,27,222
50101129452,12,65,59,6,147
50102100502,31,23,4,0,446
50102100504,22,28,16,4,147
50102100505,0,0,0,0,0
50102100506,12,7,9,0,68
50102100507,0,0,0,0,0
50102100508,45,24,9,4,166
50102100509,58,47,34,10,387
50102100510,53,20,0,0,676
50102100511,39,39,19,3,195
50102100512,22,18,3,0,107
50102100513,48,27,10,0,200
50102100514,25,6,0,0,251
50102100515,0,0,0,0,0
50102100516,29,32,17,3,142
50102100517,25,35,29,8,165
50102100518,85,55,26,8,391
50102100519,84,43,15,0,274
50102100520,34,31,13,6,184
50102100521,44,34,13,0,204
50102100522,20,17,8,0,135
50102100524,32,19,4,0,147
50102100525,24,21,15,5,141
50102100526,24,14,5,0,131
50102100527,41,42,13,0,203
50102100528,21,24,10,7,111
50102100529,22,9,10,3,126
50102100530,71,43,9,0,331
50102100531,55,32,3,6,226
50102100532,65,36,16,3,214
50102100533,51,31,14,0,643
50102100534,54,19,13,0,284
50102100536,24,5,3,0,141
50102100537,39,32,11,0,180
50102100538,59,45,12,4,237
50102100539,22,27,0,0,169
50102100540,55,29,6,0,214
50102100541,19,5,0,0,95
50102100542,9,9,0,0,69
50102100543,17,18,4,0,147
50102100544,15,12,6,5,118
50102100545,7,13,0,0,147
50102100546,40,3,3,0,196
50102100547,0,0,0,0,0
50102100548,27,15,3,4,189
50102100549,24,21,9,0,112
50102100550,15,5,3,0,182
50102100551,13,11,11,0,164
50102100701,34,33,10,0,149
50102100702,34,23,8,0,163
50102100704,41,30,5,3,205
50102100705,14,18,4,0,116
50102100706,28,13,5,0,119
50102100708,75,36,23,4,291
50102100709,51,23,3,0,185
50102100710,57,36,6,0,269
50102100711,32,23,8,0,187
50102100713,40,26,7,3,219
50102100714,25,20,8,0,181
50102100715,28,21,12,0,124
50102100716,20,9,6,0,116
50102100717,45,30,8,0,194
50102100718,30,23,8,0,116
50102100801,30,22,3,3,154
50102100802,50,34,12,10,269
50102100803,35,28,3,0,150
50102100804,32,19,17,0,221
50102100805,37,16,7,0,212
50102100806,5,0,0,0,68
50102100807,26,19,4,0,187
50102100809,47,29,10,5,318
50102100810,29,28,21,7,271
50102100811,34,25,18,18,153
50102100812,34,20,18,11,170
50102100813,31,9,5,5,190
50102100814,31,14,7,6,169
50102100815,37,22,13,0,270
50102100816,12,16,4,0,118
50102100817,0,0,0,0,0
50102100818,0,7,0,0,63
50102100901,18,15,4,0,89
50102100902,24,19,11,6,174
50102100903,22,18,26,4,169
50102100904,19,15,11,0,101
50102100905,49,33,7,0,283
50102100906,19,11,12,0,118
50102100907,19,14,6,0,115
50102100908,32,23,8,0,152
50102100909,29,21,7,5,127
50102100910,0,0,0,0,0
50102100911,15,22,4,0,111
50102100912,15,15,10,0,129
50102100913,16,14,5,0,96
50102100914,38,19,10,0,141
50102100915,0,0,3,0,4
50102100916,40,40,24,34,257
50102100917,0,0,0,0,0
50102100918,21,13,18,6,101
50102100920,37,40,13,4,230
50102100921,3,0,0,0,10
50102100922,16,12,3,4,73
50102100923,35,25,4,0,174
50102100924,20,11,0,0,80
50102100925,16,13,3,0,121
50102100926,19,17,3,0,135
50102100927,24,25,10,0,153
50102100928,17,29,19,0,209
50102100929,19,24,11,0,146
50102100930,0,0,0,0,0
50102100931,65,42,11,0,270
50102101001,33,27,5,0,147
50102101002,96,65,18,0,387
50102101003,45,14,8,10,204
50102101005,38,18,4,0,263
50102101006,51,41,29,12,234
50102101008,35,23,9,0,250
50102101009,39,40,7,0,175
50102101101,0,0,0,0,5
50102101201,23,9,15,3,198
50102101202,32,15,14,3,206
50102101203,26,15,7,3,132
50102101204,24,15,10,0,141
50102101205,18,12,0,0,116
50102101206,28,12,0,0,147
50102101207,26,20,0,3,166
50102101208,22,13,4,0,93
50102101209,69,77,36,0,356
50102101210,43,21,13,0,128
50102101213,0,0,0,0,8
50102101214,44,26,8,0,196
50102101215,26,17,4,0,279
50102101216,41,24,10,0,247
50102101217,15,11,6,0,125
50102101218,39,12,12,4,225
50102101219,32,41,12,10,237
50102101220,29,21,4,4,229
50102101221,21,19,8,0,166
50102101222,50,26,9,0,242
50102101223,0,0,0,0,0
50102101224,27,28,4,0,211
50102101225,61,27,17,0,342
50102101226,3,19,80,89,196
50102101227,27,28,3,0,286
50102101228,7,3,0,0,148
50102101229,31,9,0,0,211
50102101230,29,16,5,3,382
50102101231,18,40,51,18,262
50102101401,25,25,8,5,155
50102101402,42,27,15,4,222
50102101404,21,23,9,0,197
50102101405,24,15,12,0,163
50102101406,16,9,30,23,161
50102101407,17,30,14,9,209
50102101408,9,11,6,3,105
50102101409,12,13,3,0,82
50102101410,20,18,6,3,132
50102101411,21,6,8,3,132
50102101412,43,25,9,5,202
50102101413,17,17,4,0,85
50102101414,11,8,7,3,49
50102101415,53,30,12,4,216
50102101416,23,11,3,4,130
50102101417,45,9,10,0,207
50102101418,25,24,8,0,158
50102101419,43,31,13,7,246
50102101420,60,48,20,4,279
50102101421,69,53,12,0,377
50102101423,29,16,9,0,181
50102101424,38,40,8,0,183
50102101425,46,23,0,0,195
50102101426,25,22,4,3,164
50102101427,11,3,0,0,46
50102101501,26,23,6,6,130
50102101502,34,16,19,0,175
50102101503,34,20,17,4,240
50102101504,11,22,11,0,134
