SA1_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
50101100101,59,22,23,15,17,18,11,37,9,209
50101100102,92,170,134,90,67,56,44,64,11,718
50101100103,19,7,23,12,8,8,4,15,0,112
50101100104,27,13,30,22,19,19,13,35,4,169
50101100105,18,19,18,9,10,12,5,19,0,117
50101100106,0,0,0,0,0,0,0,0,0,0
50101100107,58,20,25,16,5,14,10,42,11,194
50101100108,0,0,0,0,0,0,0,0,0,0
50101100109,65,39,50,27,23,9,21,53,6,295
50101100110,35,17,22,11,7,5,5,19,3,131
50101100111,40,49,58,32,26,35,21,33,3,293
50101100112,64,36,27,16,21,10,8,18,7,210
50101100113,13,9,18,12,14,14,5,13,0,100
50101100114,30,44,65,23,47,25,28,49,5,316
50101100115,64,15,27,21,21,15,6,27,4,203
50101100116,0,0,0,0,0,0,0,0,0,0
50101100301,16,21,21,9,6,6,0,13,4,95
50101100302,23,27,36,19,20,19,3,19,5,166
50101100303,29,28,18,16,16,9,9,32,0,157
50101100304,35,16,17,11,11,10,17,16,4,136
50101100305,57,26,14,13,10,11,12,29,0,163
50101100306,66,35,52,21,26,22,27,32,0,288
50101100307,35,47,27,9,19,3,4,17,5,168
50101100308,29,41,33,15,15,12,11,31,3,210
50101100310,38,31,35,18,31,28,8,28,0,213
50101100311,30,39,31,15,20,12,3,19,5,175
50101100312,21,29,29,16,13,21,5,19,5,161
50101100313,18,23,25,29,10,9,9,10,0,145
50101100314,39,35,16,12,20,13,6,15,0,143
50101100315,80,57,34,17,19,14,15,28,4,266
50101100316,31,52,28,16,13,17,9,15,0,174
50101100317,40,62,40,25,25,20,5,28,7,256
50101100319,33,27,16,12,10,14,3,14,0,135
50101100320,50,103,64,37,18,21,15,24,4,330
50101100321,42,70,42,23,28,21,7,25,11,259
50101100322,24,21,8,6,5,4,0,7,0,85
50101100323,21,29,27,18,12,9,5,16,5,132
50101100324,24,57,37,21,20,11,7,24,0,193
50101100325,45,56,90,33,30,33,13,41,9,348
50101100326,30,51,55,19,30,25,3,25,3,261
50101100328,60,74,90,57,47,50,24,49,0,463
50101100329,30,43,47,33,29,30,13,25,3,253
50101100330,19,16,12,6,0,3,0,9,0,70
50101100331,53,52,101,50,23,26,15,39,10,367
50101100332,38,16,10,8,7,13,0,9,0,99
50101100401,33,61,38,31,23,19,20,14,0,250
50101100405,44,89,46,38,25,27,3,28,0,301
50101100406,39,67,44,28,19,17,14,32,5,259
50101100407,25,19,22,20,11,12,6,31,0,149
50101100408,31,26,26,17,13,18,5,35,6,169
50101100410,74,51,112,97,43,47,41,91,5,564
50101100411,16,13,22,18,4,16,13,60,0,161
50101100412,23,36,42,18,19,20,3,16,6,179
50101100413,52,81,62,35,31,35,12,31,0,334
50101100414,41,70,38,33,25,21,17,26,3,271
50101100416,59,72,51,20,20,21,10,31,0,279
50101100417,38,89,52,29,18,31,16,36,4,303
50101100418,17,28,15,10,7,14,8,10,6,101
50101100419,19,28,31,30,10,20,17,11,0,158
50101100420,22,35,41,41,13,26,17,29,4,228
50101100421,26,40,37,17,15,20,14,31,6,210
50101100422,48,62,77,53,32,27,26,47,7,365
50101100423,0,0,0,0,0,0,0,0,0,0
50101100424,13,31,30,23,14,20,10,34,0,177
50101100425,24,20,31,27,9,13,8,25,0,152
50101100426,22,24,34,35,11,9,14,34,0,191
50101100427,27,55,42,24,23,20,25,30,3,257
50101100428,0,0,8,0,0,0,0,0,0,8
50101100429,24,35,24,8,14,3,8,17,0,143
50101129301,17,26,32,20,13,28,21,26,4,187
50101129302,14,22,10,6,11,9,0,11,5,83
50101129303,14,22,31,14,3,13,13,26,0,144
50101129304,13,20,12,16,15,13,11,23,4,131
