SA1_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
50302103816,0,0,0,4,3,5,0,3,0,19,0,0,0,0,3,15,4,4,0,35,0,0,0,3,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,7,0,5,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,3,0,6,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,9,6,18,27,7,19,0,97,0,0,0,5,0,0,0,4,0,10,0,12,12,8,5,3,0,0,0,44,0,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,15,0,5,3,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,25,19,13,9,17,3,11,0,94
50302103817,0,0,0,0,3,11,3,11,0,36,0,0,0,3,11,14,8,11,0,58,0,0,0,0,5,9,0,7,0,26,0,3,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,3,0,0,0,10,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0,0,5,7,11,6,8,31,42,18,40,3,164,0,0,4,5,3,3,6,6,0,25,4,11,8,17,14,14,5,5,0,76,0,3,4,0,4,0,0,0,0,13,0,15,3,0,0,0,0,0,0,23,0,6,5,0,4,4,3,4,0,33,0,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,32,28,21,32,30,12,15,0,179
50302103818,0,0,0,0,3,8,0,9,0,21,0,3,0,0,3,13,0,5,0,27,3,0,0,0,3,6,0,0,0,13,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,18,36,6,15,0,88,0,0,6,0,0,3,5,0,0,19,0,8,12,3,3,13,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,3,4,8,0,3,0,4,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,21,7,13,15,8,3,0,83
50302103819,0,0,0,0,0,5,4,10,0,18,0,0,0,0,0,8,3,3,0,24,0,4,0,0,4,4,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,14,8,0,7,24,8,20,0,84,0,0,0,4,0,0,0,0,0,8,0,4,10,3,4,0,0,0,0,36,0,3,0,0,0,0,0,0,0,7,0,9,4,0,0,0,0,0,0,8,0,0,4,0,3,0,0,0,0,6,0,4,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,25,23,12,9,9,0,0,0,86
50302103820,0,0,0,0,0,8,4,14,0,24,0,3,0,0,5,18,3,9,0,40,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,4,17,35,11,26,0,103,0,0,6,0,3,8,0,0,0,15,4,10,9,4,11,14,4,9,0,58,0,0,0,0,0,0,0,0,0,4,0,6,3,0,0,5,0,0,0,13,0,0,3,0,8,3,0,0,0,16,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,25,26,6,18,27,0,12,0,118
50302103821,0,0,0,0,3,7,0,11,0,23,0,5,0,4,4,12,0,9,0,37,0,0,0,0,0,6,3,4,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,11,4,5,16,19,10,27,0,89,0,0,3,5,0,0,0,0,0,7,3,6,8,7,3,5,8,0,0,39,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,3,0,0,8,0,0,0,9,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,18,15,4,8,3,6,4,72
50302103822,0,4,0,7,9,16,10,9,0,54,0,8,3,0,13,27,9,19,0,83,0,0,0,0,3,7,4,0,0,16,0,0,0,0,0,0,0,0,0,6,4,0,0,0,3,3,0,0,0,10,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,19,10,8,34,53,22,38,0,183,0,0,0,0,3,8,4,4,0,22,4,8,20,3,23,11,6,12,0,81,0,0,0,0,0,0,0,0,0,3,4,7,10,0,0,0,0,0,0,24,0,7,4,0,8,0,3,0,0,24,0,8,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,8,35,31,10,34,28,9,15,3,175
50302103823,0,0,0,0,0,7,0,7,0,19,0,4,7,0,0,11,0,7,0,28,0,0,0,4,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,12,10,3,7,21,4,13,0,83,0,0,0,0,0,0,0,3,0,7,3,3,9,3,9,10,4,3,0,42,0,0,0,0,4,0,0,0,0,4,0,8,6,0,0,6,0,0,0,13,0,5,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,15,13,20,16,3,12,0,96
50302103824,0,0,0,3,0,11,3,11,0,29,0,3,0,0,0,15,0,11,0,36,0,0,5,0,4,8,0,3,0,17,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,0,0,5,0,12,0,3,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,4,18,7,6,12,34,13,31,0,122,0,0,0,7,0,4,0,0,0,22,0,12,10,6,11,11,0,5,0,51,0,0,3,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,0,14,0,0,9,0,6,9,0,0,0,22,0,3,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,24,29,9,12,25,4,6,0,125
50302103825,4,0,0,0,6,0,4,8,0,20,0,0,0,0,3,12,4,12,0,30,0,0,0,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,6,3,3,12,15,11,18,0,86,0,0,4,0,0,0,4,3,0,14,0,3,3,3,5,8,0,4,0,35,0,5,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,13,0,5,0,0,3,0,0,0,0,11,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,25,15,6,12,14,3,10,0,89
