SA2_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
501011001,0,12,25,44,0,3,0,49,48,94,271,252,524,322,303,627,8,12,24,609,678,1288,284,257,543,896,946,1849
501011003,0,23,51,73,0,4,6,71,50,124,399,342,744,469,393,868,16,21,39,1338,1373,2710,410,354,763,1770,1745,3512
501011004,0,33,51,80,4,3,4,52,71,124,387,285,674,442,356,802,34,29,64,1158,1240,2397,401,291,694,1588,1568,3152
501011293,0,30,37,64,3,4,4,51,46,103,244,191,436,295,246,541,44,55,99,927,988,1916,244,195,434,1216,1235,2448
501011294,0,52,91,147,3,8,14,100,116,215,408,342,745,508,465,973,95,101,194,2010,2212,4229,408,349,762,2519,2662,5186
501021005,0,76,73,150,4,8,9,75,56,135,426,290,715,503,353,857,123,120,237,2316,2467,4783,432,298,729,2865,2883,5751
501021007,0,13,31,40,0,0,0,46,38,83,163,144,301,209,181,384,26,30,51,572,647,1217,167,146,311,761,813,1583
501021008,0,20,28,49,113,10,127,441,51,496,220,221,436,773,279,1058,173,63,237,955,671,1629,218,225,440,1352,957,2306
501021009,0,23,38,62,4,4,9,93,99,193,297,255,547,390,353,750,63,78,142,832,840,1677,299,261,559,1200,1175,2377
501021010,0,7,16,18,0,0,0,22,21,44,98,77,176,119,101,225,9,6,14,348,363,709,105,79,178,459,448,902
501021011,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,4,0,4
501021012,0,39,58,89,5,4,10,52,59,108,327,232,567,383,296,676,83,101,187,1328,1359,2689,329,240,567,1743,1700,3441
501021014,0,27,28,51,3,5,10,82,68,151,266,206,468,350,274,625,53,39,88,979,910,1888,278,213,483,1302,1164,2461
501021015,0,19,34,60,3,3,8,43,56,100,143,124,266,188,187,376,56,66,116,670,736,1405,147,134,276,869,932,1803
501021016,0,4,13,13,3,0,3,55,65,120,140,102,241,198,172,370,35,27,61,377,460,838,140,103,243,548,592,1139
501021251,0,35,50,83,11,11,16,51,48,105,196,140,335,256,198,454,66,74,144,1399,1484,2884,197,141,339,1660,1698,3359
501021252,0,6,10,14,0,0,0,14,13,23,60,28,85,71,41,111,11,7,17,374,417,789,60,30,88,441,452,896
501021253,0,36,50,80,4,3,6,65,75,141,326,261,587,395,343,740,43,36,81,1176,1292,2467,326,269,595,1542,1598,3144
501021254,0,21,24,47,3,8,9,33,33,68,165,151,316,206,194,397,48,63,107,483,502,981,176,157,332,698,717,1417
501031017,0,16,25,41,3,0,3,37,38,75,270,239,509,313,272,589,18,25,37,609,682,1287,277,251,533,905,958,1859
501031018,0,8,21,33,4,0,3,36,32,72,188,139,326,225,173,402,20,29,53,529,576,1101,194,146,335,743,751,1493
501031019,0,12,21,30,0,3,8,25,26,49,158,137,295,186,168,353,45,47,93,513,518,1029,158,139,302,716,702,1424
501031020,0,16,17,29,0,0,0,37,38,76,247,237,486,288,275,558,13,19,37,376,390,768,251,244,490,639,650,1293
502011021,0,26,44,79,0,9,8,36,29,61,213,131,345,247,165,412,35,47,76,919,996,1917,218,139,357,1172,1185,2355
502011022,0,23,45,70,3,0,3,53,39,93,223,139,365,282,182,464,38,34,74,894,989,1885,232,147,378,1165,1177,2335
502011023,0,32,51,83,5,4,5,101,153,249,237,222,461,341,370,717,109,106,207,865,1073,1931,241,220,466,1220,1395,2611
502011024,0,59,95,151,7,5,9,129,153,277,414,290,708,549,445,992,87,110,197,1964,2199,4165,423,302,724,2471,2609,5087
502011025,0,30,65,90,11,8,20,145,188,329,423,376,802,571,571,1149,57,71,130,744,931,1675,429,379,807,1231,1384,2615
502011026,0,21,21,42,0,0,4,46,41,81,242,155,396,288,195,479,25,25,48,584,649,1234,247,155,400,851,831,1683
502011027,0,84,120,199,0,7,5,70,76,146,484,354,836,561,433,997,98,111,208,2634,2893,5530,492,359,854,3228,3366,6594
502011028,0,30,38,65,6,6,11,114,133,250,296,264,557,408,409,817,89,95,187,912,1120,2030,291,271,567,1296,1491,2785
502011029,0,11,37,45,10,9,10,96,74,170,316,293,613,420,372,790,61,66,133,1042,1194,2233,324,304,627,1434,1565,2991
503011030,0,12,20,32,0,0,0,16,25,40,86,82,163,100,106,208,8,7,13,1040,1013,2059,88,86,170,1134,1106,2244
503011031,0,26,39,68,3,0,4,28,41,69,197,214,414,232,260,485,14,19,34,1151,1238,2392,205,220,427,1370,1478,2856
503011032,0,16,33,44,0,0,0,47,58,102,141,113,260,190,175,358,0,7,7,1022,1040,2068,143,115,259,1166,1169,2339
