SA2_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
501011001,39,37,69,5,0,5,0,0,0,42,37,75,2934,2982,5917,312,290,603,3291,3307,6595
501011003,54,40,91,0,0,4,0,0,0,59,38,97,5433,5528,10964,452,387,837,5942,5958,11900
501011004,73,76,144,3,6,4,0,0,0,72,78,156,4601,4693,9290,420,323,744,5094,5099,10193
501011293,129,105,239,0,0,0,4,0,6,137,108,247,4167,4466,8634,263,220,476,4564,4794,9359
501011294,219,221,439,0,3,6,7,6,9,229,226,451,8505,9464,17971,457,411,861,9192,10095,19292
501021005,264,264,524,4,5,6,0,5,8,270,268,541,8792,9122,17916,465,339,801,9521,9730,19256
501021007,65,66,134,0,0,0,0,0,3,69,64,134,2415,2575,4991,181,151,335,2658,2800,5457
501021008,271,178,452,0,0,4,10,5,14,286,184,469,3030,2992,6019,240,247,483,3552,3422,6976
501021009,190,170,364,4,0,4,5,0,11,200,178,374,3936,3881,7823,324,287,615,4468,4347,8812
501021010,17,10,30,0,0,0,0,0,0,17,10,30,1560,1495,3055,111,94,204,1694,1594,3286
501021011,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,3,0,3,10,0,8
501021012,183,224,402,3,3,5,8,9,21,198,227,427,5512,5782,11295,345,264,611,6051,6273,12327
501021014,136,131,273,3,3,3,5,0,5,143,135,278,4307,4175,8484,304,242,546,4758,4553,9309
501021015,121,177,299,0,0,3,0,0,0,122,181,304,3206,3372,6583,161,148,310,3490,3703,7195
501021016,85,71,159,0,0,0,0,0,0,85,71,159,1878,1927,3800,159,122,280,2114,2120,4234
501021251,140,170,308,0,0,0,0,9,8,141,174,314,4388,4688,9080,208,165,372,4743,5027,9770
501021252,26,22,51,0,0,0,0,0,0,26,24,51,1447,1454,2907,57,29,90,1535,1510,3042
501021253,115,128,241,6,5,6,0,3,4,123,131,251,5679,6172,11853,357,302,655,6157,6603,12760
501021254,164,186,348,0,0,0,6,11,18,167,197,363,2162,2215,4381,195,184,377,2525,2594,5119
501031017,60,50,109,0,0,3,0,0,0,63,53,116,3125,3231,6361,316,278,595,3503,3564,7068
501031018,68,72,138,3,0,5,4,8,10,75,79,153,2753,2859,5612,218,173,391,3039,3112,6155
501031019,109,102,212,4,9,12,0,0,0,113,107,223,2417,2473,4891,175,154,329,2710,2737,5447
501031020,58,54,111,6,3,8,0,0,0,60,56,113,2333,2225,4555,266,254,520,2657,2539,5198
502011021,85,72,159,0,4,5,0,0,0,87,79,164,3925,4015,7943,232,156,390,4250,4250,8498
502011022,104,89,193,3,3,7,4,3,10,107,94,209,4402,4650,9047,251,160,413,4766,4903,9664
502011023,234,252,484,0,3,5,4,5,6,239,257,492,4107,4743,8846,271,256,532,4621,5246,9869
502011024,208,215,425,7,5,12,4,10,12,218,229,449,8834,9806,18644,469,343,813,9525,10379,19905
502011025,166,204,371,0,3,3,0,0,0,167,204,373,4208,4776,8986,474,420,899,4858,5404,10256
502011026,70,65,131,0,0,0,0,0,0,70,63,131,3007,3022,6025,263,179,443,3342,3257,6599
502011027,228,238,469,12,4,17,6,7,15,245,255,494,9474,10370,19845,523,391,917,10244,11014,21261
502011028,190,236,428,6,7,17,0,7,15,201,253,454,4808,5415,10224,334,310,645,5338,5981,11323
502011029,161,155,314,5,3,9,0,0,0,166,153,325,4511,4733,9247,359,333,688,5042,5219,10263
503011030,13,13,22,0,0,0,0,0,0,17,14,30,3240,3347,6593,98,96,188,3351,3453,6805
503011031,30,26,58,0,4,4,0,4,4,30,33,61,4079,4644,8727,224,235,462,4331,4914,9248
503011032,4,14,27,0,0,0,0,0,0,4,14,27,3666,3778,7443,152,126,279,3828,3918,7750
503011033,15,9,21,0,0,3,0,0,0,16,10,23,4142,4298,8436,81,77,156,4238,4386,8621
503011034,49,77,126,0,0,6,0,4,4,51,83,131,4733,5432,10165,250,221,475,5032,5728,10764
