SA2_CODE_2021,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_DSA2_Indig_M,VfDif_SA2_T_DSA2_Indig_F,VfDif_SA2_T_DSA2_Indig_P,VfDif_SA2_T_DSA2_NonInd_M,VfDif_SA2_T_DSA2_NonInd_F,VfDif_SA2_T_DSA2_NonInd_P,VfDif_SA2_T_DSA2_IndSt_nsM,VfDif_SA2_T_DSA2_IndSt_nsF,VfDif_SA2_T_DSA2_IndSt_nsP,VfDif_SA2_T_DSA2_TotM,VfDif_SA2_T_DSA2_TotF,VfDif_SA2_T_DSA2_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LuaH_Eng_onl_Indig_M,LuaH_Eng_onl_Indig_F,LuaH_Eng_onl_Indig_P,LuaH_Eng_onl_NonInd_M,LuaH_Eng_onl_NonInd_F,LuaH_Eng_onl_NonInd_P,LuaH_Eng_on_Ind_sta_nsM,LuaH_Eng_on_Ind_sta_nsF,LuaH_Eng_on_Ind_sta_nsP,LuaH_Eng_only_TotM,LuaH_Eng_only_TotF,LuaH_Eng_only_TotP,LuaH_Aus_Ind_Lang_Ind_M,LuaH_Aus_Ind_Lang_Ind_F,LuaH_Aus_Ind_Lang_Ind_P,LuaH_Aus_Ind_Lang_No_Ind_M,LuaH_Aus_Ind_Lang_No_Ind_F,LuaH_Aus_Ind_Lang_No_Ind_P,Luah_Aus_Ind_Lang_IndSt_nsM,Luah_Aus_Ind_Lang_IndSt_nsF,Luah_Aus_Ind_Lang_IndSt_nsP,Luah_Austn_Indig_Lang_TotM,Luah_Austn_Indig_Lang_TotF,Luah_Austn_Indig_Lang_TotP,LuaH_Oth_Lang_Ind_M,LuaH_Oth_Lang_Ind_F,LuaH_Oth_Lang_Ind_P,LuaH_Oth_Lang_No_Ind_M,LuaH_Oth_Lang_No_Ind_F,LuaH_Oth_Lang_No_Ind_P,Luah_Oth_Lang_IndSt_nsM,Luah_Oth_Lang_IndSt_nsF,Luah_Oth_Lang_IndSt_nsP,Luah_Oth_Lang_TotM,Luah_Oth_Lang_TotF,Luah_Oth_Lang_TotP,UAIndL_SE_Nw_Na_In_M,UAIndL_SE_Nw_Na_In_F,UAIndL_SE_Nw_Na_In_P,UAIndL_SE_Nw_Na_No_In_M,UAIndL_SE_Nw_Na_No_In_F,UAIndL_SE_Nw_Na_No_In_P,UAIndL_SE_Nw_Na_In_st_nsM,UAIndL_SE_Nw_Na_In_st_nsF,UAIndL_SE_Nw_Na_In_st_nsP,UAIndL_SE_Nw_Na_TotM,UAIndL_SE_Nw_Na_TotF,UAIndL_SE_Nw_Na_TotP,UAIndL_SE_Vw_wel_In_M,UAIndL_SE_Vw_wel_In_F,UAIndL_SE_Vw_wel_In_P,UAIndL_SE_Vw_we_No_In_M,UAIndL_SE_Vw_we_No_In_F,UAIndL_SE_Vw_we_No_In_P,UAIndL_SE_Vw_we_I_st_nsM,UAIndL_SE_Vw_we_I_st_nsF,UAIndL_SE_Vw_we_I_st_nsP,UAIndL_SE_Vw_we_TotM,UAIndL_SE_Vw_we_TotF,UAIndL_SE_Vw_we_TotP,Rel_a_Bud_Ind_M,Rel_a_Bud_Ind_F,Rel_a_Bud_Ind_P,Rel_a_Bud_No_In_M,Rel_a_Bud_No_In_F,Rel_a_Bud_No_In_P,Rel_a_Bud_In_st_nsM,Rel_a_Bud_In_st_nsF,Rel_a_Bud_In_st_nsP,Rel_a_Bud_TotM,Rel_a_Bud_TotF,Rel_a_Bud_TotP,Rel_a_Chri_Ind_M,Rel_a_Chri_Ind_F,Rel_a_Chri_Ind_P,Rel_a_Chri_No_In_M,Rel_a_Chri_No_In_F,Rel_a_Chri_No_In_P,Rel_a_Chri_In_st_nsM,Rel_a_Chri_In_st_nsF,Rel_a_Chri_In_st_nsP,Rel_a_Chri_TotM,Rel_a_Chri_TotF,Rel_a_Chri_TotP,Rel_a_Hind_Ind_M,Rel_a_Hind_Ind_F,Rel_a_Hind_Ind_P,Rel_a_Hind_No_In_M,Rel_a_Hind_No_In_F,Rel_a_Hind_No_In_P,Rel_a_Hind_In_st_nsM,Rel_a_Hind_In_st_nsF,Rel_a_Hind_In_st_nsP,Rel_a_Hind_TotM,Rel_a_Hind_TotF,Rel_a_Hind_TotP,Rel_a_Isl_Ind_M,Rel_a_Isl_Ind_F,Rel_a_Isl_Ind_P,Rel_a_Isl_No_In_M,Rel_a_Isl_No_In_F,Rel_a_Isl_No_In_P,Rel_a_Isl_In_st_nsM,Rel_a_Isl_In_st_nsF,Rel_a_Isl_In_st_nsP,Rel_a_Isl_TotM,Rel_a_Isl_TotF,Rel_a_Isl_TotP,Rel_a_Jud_Ind_M,Rel_a_Jud_Ind_F,Rel_a_Jud_Ind_P,Rel_a_Jud_No_In_M,Rel_a_Jud_No_In_F,Rel_a_Jud_No_In_P,Rel_a_Jud_In_st_nsM,Rel_a_Jud_In_st_nsF,Rel_a_Jud_In_st_nsP,Rel_a_Jud_TotM,Rel_a_Jud_TotF,Rel_a_Jud_TotP,Rel_a_Oth_Rel_Ind_M,Rel_a_Oth_Rel_Ind_F,Rel_a_Oth_Rel_Ind_P,Rel_a_Oth_Rel_No_In_M,Rel_a_Oth_Rel_No_In_F,Rel_a_Oth_Rel_No_In_P,Rel_a_Oth_Rel_In_st_nsM,Rel_a_Oth_Rel_In_st_nsF,Rel_a_Oth_Rel_In_st_nsP,Rel_a_Oth_Rel_TotM,Rel_a_Oth_Rel_TotF,Rel_a_Oth_Rel_TotP,Rel_a_Oth_Rel_ORG_Ind_M,Rel_a_Oth_Rel_ORG_Ind_F,Rel_a_Oth_Rel_ORG_Ind_P,Rel_a_Oth_Rel_ORG_No_In_M,Rel_a_Oth_Rel_ORG_No_In_F,Rel_a_Oth_Rel_ORG_No_In_P,Rel_a_Oth_Rel_ORG_In_st_nsM,Rel_a_Oth_Rel_ORG_In_st_nsF,Rel_a_Oth_Rel_ORG_In_st_nsP,Rel_a_Oth_Rel_ORG_TotM,Rel_a_Oth_Rel_ORG_TotF,Rel_a_Oth_Rel_ORG_TotP,Rel_a_Oth_Rel_Tor_Ind_M,Rel_a_Oth_Rel_Tor_Ind_F,Rel_a_Oth_Rel_Tor_Ind_P,Rel_a_Oth_Rel_Tor_No_In_M,Rel_a_Oth_Rel_Tor_No_In_F,Rel_a_Oth_Rel_Torud_No_In_P,Rel_a_Oth_Rel_Tor_In_st_nsM,Rel_a_Oth_Rel_Tor_In_st_nsF,Rel_a_Oth_Rel_Tor_In_st_nsP,Rel_a_Oth_Rel_Tor_TotM,Rel_a_Oth_Rel_Tor_TotF,Rel_a_Oth_Rel_Tor_TotP,Rel_a_SecB_OSB_NRA_Ind_M,Rel_a_SecB_OSB_NRA_Ind_F,Rel_a_SecB_OSB_NRA_Ind_P,Rel_a_SecB_OSB_NRA_No_In_M
501011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,11,229,229,461,14,21,37,252,255,504,10,3,12,243,248,491,14,21,37,269,273,544,37,26,67,2778,2805,5583,25,31,61,2848,2860,5709,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,122,151,272,0,5,3,126,152,279,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,3,3,30,38,67,0,6,3,28,46,73,8,4,16,900,1039,1938,16,21,33,920,1062,1981,0,0,0,3,5,7,0,0,0,3,5,10,0,0,0,4,7,8,0,0,0,4,7,8,0,0,0,5,0,5,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,23,0,0,0,6,16,23,0,0,0,6,16,23,0,0,0,6,16,23,32,25,54,1880
501011003,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,529,588,1116,93,121,207,624,715,1332,3,6,10,551,626,1179,89,122,213,647,745,1400,52,41,93,5122,5141,10261,42,35,74,5220,5216,10428,0,0,0,0,6,4,0,0,0,0,7,5,0,0,0,256,344,594,0,4,3,256,340,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,7,5,0,0,0,51,68,122,3,0,3,58,68,122,13,11,20,1973,2317,4288,19,14,29,2001,2342,4342,0,0,0,23,6,31,0,0,0,23,6,31,0,0,0,4,10,12,0,0,0,4,10,12,0,0,0,11,6,16,0,0,0,11,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,33,0,0,0,18,20,35,0,0,0,18,15,33,0,0,0,18,20,35,43,28,71,3166
501011004,0,5,3,3,0,0,0,3,0,5,0,0,0,3,0,5,3,8,14,336,367,701,88,82,174,424,457,886,3,8,14,352,380,731,88,83,170,442,472,914,72,78,143,4097,4158,8253,19,34,50,4179,4265,8444,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,465,496,962,6,0,6,474,502,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,74,142,0,0,0,72,74,146,23,25,47,1089,1329,2417,11,10,20,1120,1363,2482,0,0,0,14,13,29,0,0,0,14,13,29,0,0,0,10,11,26,0,0,3,12,19,33,0,0,0,5,7,5,0,0,0,5,7,5,0,6,4,0,0,0,0,0,0,0,6,4,0,0,0,27,19,41,0,0,0,27,19,41,0,6,4,27,19,41,0,0,0,28,26,50,44,50,92,3209
501011293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,25,216,205,424,28,15,46,271,225,497,23,3,25,235,213,450,28,15,46,284,237,525,122,107,225,3886,4143,8025,14,18,28,4020,4265,8281,10,4,12,0,0,0,0,0,0,10,4,12,0,0,0,241,278,520,6,0,6,244,277,529,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,3,4,10,0,0,0,27,56,88,0,0,0,29,56,87,47,46,88,1754,2118,3874,13,14,25,1807,2179,3985,0,0,0,17,10,22,0,0,0,17,10,22,0,0,0,45,36,82,0,0,0,49,36,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,53,0,0,0,19,32,53,0,0,0,19,32,53,0,0,0,19,32,53,80,64,142,2185
501011294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,31,465,499,968,104,94,200,578,618,1200,13,20,33,488,519,1006,104,94,200,599,641,1245,208,203,409,8024,8851,16875,44,60,110,8276,9117,17389,17,11,25,0,0,0,0,0,0,17,13,28,3,0,3,401,509,914,0,0,0,404,512,914,0,0,0,0,0,0,0,0,0,0,0,0,11,11,28,0,0,0,0,0,0,11,13,30,0,4,6,53,118,163,0,0,0,55,119,173,66,66,137,3379,4417,7795,18,33,48,3463,4512,7977,0,0,0,34,39,77,0,0,3,38,43,75,0,0,0,51,40,93,0,0,0,52,40,96,0,0,0,4,0,3,0,0,0,4,0,3,0,4,8,0,0,0,0,0,0,0,4,8,0,0,0,37,38,71,0,0,0,38,38,75,3,4,7,37,38,71,0,0,0,39,39,78,146,148,296,4677
501021005,0,0,0,0,0,0,0,0,4,6,0,0,0,0,4,6,11,12,25,241,204,443,43,16,56,292,229,520,11,12,28,259,221,475,43,16,56,314,248,561,245,247,491,8221,8379,16604,20,43,64,8490,8671,17162,8,5,17,0,0,0,0,0,0,8,7,19,10,7,16,508,676,1188,3,0,6,519,689,1211,0,0,0,0,0,0,0,0,0,0,0,0,8,5,17,0,0,0,0,0,0,8,7,19,0,0,4,36,76,116,0,0,0,39,79,117,61,80,143,3488,4140,7626,13,33,42,3560,4253,7813,0,0,0,60,53,109,0,0,0,60,53,109,0,0,3,55,59,115,0,0,0,59,60,115,0,0,0,9,11,15,0,0,0,9,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,80,0,0,0,40,36,80,0,0,0,40,36,80,0,0,0,40,36,80,198,179,376,4871
501021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,57,127,12,7,15,74,62,142,0,0,0,82,70,155,9,7,17,89,75,169,62,59,125,2329,2474,4798,10,11,20,2402,2545,4949,0,8,9,0,0,0,0,0,0,0,8,9,0,3,4,61,76,135,0,0,0,65,78,143,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,8,9,0,5,5,20,22,41,0,0,0,20,21,39,10,27,31,934,1121,2060,11,7,17,954,1152,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,21,0,0,0,4,15,24,0,0,0,4,16,21,0,0,0,4,15,24,50,37,87,1367
501021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,31,117,129,242,30,39,66,155,190,345,12,25,37,124,136,255,29,39,70,165,195,361,159,156,319,2359,2660,5022,17,16,36,2536,2838,5380,3,17,23,0,0,0,0,0,0,3,17,23,5,0,6,232,295,532,0,5,5,241,301,535,0,0,3,0,0,0,0,0,0,0,0,3,4,18,22,0,0,0,0,0,0,4,18,22,0,0,0,17,38,51,0,0,0,14,38,53,57,69,122,1023,1347,2370,11,14,22,1093,1427,2515,0,0,0,4,5,13,0,0,0,4,11,13,0,0,0,23,29,51,0,0,0,23,29,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,45,0,0,0,10,31,46,0,0,0,17,31,45,0,0,0,10,31,46,115,115,225,1470
501021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,27,209,114,329,46,15,61,276,137,413,20,12,33,234,137,367,46,15,58,304,158,455,183,161,344,3776,3704,7476,25,24,55,3985,3886,7873,9,10,15,0,4,4,0,0,0,8,10,22,0,0,0,101,112,218,0,0,3,103,118,214,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,0,4,4,0,0,0,5,9,15,0,0,0,6,21,27,0,0,0,6,24,31,36,37,74,1468,1704,3170,8,9,20,1516,1753,3262,0,0,0,3,9,8,0,0,0,3,9,8,0,0,0,5,8,15,0,0,0,9,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,12,23,30,0,0,0,12,18,34,3,0,9,12,20,33,0,0,0,12,27,39,143,119,261,2295
501021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,50,50,103,10,7,15,65,55,114,4,0,4,56,55,118,10,7,15,69,63,132,13,10,26,1517,1438,2962,8,13,23,1545,1466,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,43,73,0,0,0,30,43,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,20,0,0,0,12,10,20,5,0,4,701,728,1431,11,8,19,711,739,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,8,9,0,0,0,0,9,10,0,0,0,0,9,10,16,6,22,765
