SA2_CODE_2021,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,1_149_M,1_149_F,1_149_P,150_299_M,150_299_F,150_299_P,300_399_M,300_399_F,300_399_P,400_499_M,400_499_F,400_499_P,500_649_M,500_649_F,500_649_P,650_799_M,650_799_F,650_799_P,800_999_M,800_999_F,800_999_P,1000_1249_M,1000_1249_F,1000_1249_P,1250_1499_M,1250_1499_F,1250_1499_P,1500_1749_M,1500_1749_F,1500_1749_P,1750_1999_M,1750_1999_F,1750_1999_P,2000_or_more_M,2000_or_more_F,2000_or_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
501011001,0,3,4,3,0,3,0,0,0,0,0,4,0,3,6,0,4,0,0,0,6,0,3,6,5,0,5,0,0,0,3,0,3,4,0,5,8,0,7,0,0,0,34,19,50
501011003,3,0,0,0,0,0,0,5,4,0,0,4,0,3,4,3,0,5,3,0,0,4,0,9,0,0,6,0,3,3,3,0,3,3,0,3,7,0,12,0,0,3,34,27,58
501011004,11,6,16,6,3,4,4,4,7,7,9,15,0,9,10,0,4,10,0,0,0,4,6,7,3,4,12,4,3,7,0,4,4,0,0,6,3,9,6,0,0,4,51,58,106
501011293,8,4,10,3,8,13,8,7,13,10,10,21,5,8,13,4,13,21,7,3,13,4,5,15,6,0,12,5,0,5,0,4,9,7,4,5,9,0,14,0,5,4,83,64,148
501011294,21,19,38,0,8,13,17,21,37,13,13,25,6,8,14,4,20,29,10,10,21,0,20,20,22,13,37,6,0,12,0,4,9,0,6,3,13,7,19,12,4,13,124,145,273
501021005,14,24,42,10,7,15,14,10,27,14,19,27,10,13,24,5,18,25,10,7,22,11,12,21,13,11,17,12,12,23,7,9,17,10,4,16,30,7,36,9,6,11,158,167,324
501021007,4,8,7,0,0,0,0,7,7,5,6,9,3,7,9,3,4,5,0,0,8,0,0,3,3,0,11,3,0,5,5,0,4,6,0,3,3,0,4,3,0,3,38,42,80
501021008,13,12,23,3,10,11,16,16,29,13,20,36,8,21,29,9,14,25,4,12,13,11,12,23,11,6,17,0,4,4,9,6,10,9,0,13,5,5,8,109,7,119,213,136,351
501021009,21,16,35,3,0,7,15,10,29,13,16,28,12,5,17,5,19,20,6,7,19,6,9,16,7,4,12,14,3,16,8,4,11,7,0,10,5,3,9,6,4,9,134,107,245
501021010,5,0,5,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,7,22
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,11,22,39,0,3,10,13,12,24,3,11,17,0,26,28,3,20,17,3,16,18,4,11,22,10,10,24,3,4,8,7,4,15,6,7,13,19,0,18,0,9,5,105,150,251
501021014,11,11,23,3,5,7,8,8,19,13,15,30,9,11,23,9,9,20,8,13,16,6,6,17,7,9,10,7,3,11,4,0,3,0,0,5,12,3,9,4,3,12,99,100,199
501021015,11,17,30,4,0,7,12,18,26,10,7,13,7,24,28,8,3,15,7,11,14,6,10,16,0,7,7,3,3,6,5,3,5,0,5,3,6,10,18,5,5,14,71,126,199
501021016,8,4,17,0,0,3,0,4,7,4,8,11,4,5,10,5,9,15,5,0,8,5,0,6,0,3,11,0,0,0,6,0,3,3,4,3,12,4,14,0,0,6,57,54,106
501021251,13,13,29,3,7,6,3,4,15,4,12,18,5,11,13,4,13,16,4,14,20,4,13,15,6,7,16,8,4,15,0,0,3,6,6,4,16,3,15,5,0,4,86,114,198
501021252,0,8,12,0,0,4,3,0,5,4,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,21,20,37
501021253,6,7,14,3,3,3,3,10,16,8,11,14,7,5,15,5,13,20,5,8,12,3,5,7,6,11,19,8,3,12,6,3,10,5,0,9,14,7,15,4,0,10,78,98,180
501021254,9,14,23,0,11,17,11,8,22,14,17,29,11,19,34,5,19,25,8,8,22,6,8,17,15,4,17,5,7,9,3,4,4,4,0,4,8,4,8,3,3,12,107,136,246
501031017,0,4,6,0,0,0,4,3,9,6,4,6,4,8,13,4,0,4,0,0,3,5,4,4,0,5,7,3,0,3,0,3,3,4,0,4,13,4,15,0,0,0,41,38,74
501031018,7,6,13,3,0,8,0,5,8,6,10,11,3,3,10,4,10,13,9,9,13,3,0,8,8,5,8,0,6,6,4,8,6,0,0,0,7,0,7,5,0,5,53,58,105
501031019,6,7,13,6,7,5,5,3,11,6,5,9,8,10,12,10,12,22,6,5,12,7,10,17,7,0,10,3,4,6,0,0,3,0,0,0,0,4,5,6,4,4,72,69,141
501031020,8,9,9,0,8,6,0,0,4,8,3,13,3,0,5,4,8,8,0,3,7,0,4,3,0,0,6,6,0,6,0,0,4,0,0,3,3,0,7,0,0,0,45,45,90
