SA2_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
501011001,0,39,39,0,21,20,0,27,27,0,56,55,5,151,155,0,118,116,3,184,186,0,169,174,5,178,186,4,197,197,5,144,146,0,130,126,3,234,240,4,147,147,0,105,105,4,182,192,8,235,240,0,47,47,35,2360,2399
501011003,0,56,58,0,27,31,0,49,46,0,56,56,4,148,153,0,134,134,3,213,219,6,209,214,3,303,305,4,276,283,4,208,208,0,211,211,0,446,445,3,317,324,3,239,243,10,588,602,8,466,476,0,54,54,58,3996,4055
501011004,0,39,44,0,22,25,3,45,45,0,66,68,6,153,156,0,141,147,5,161,164,8,176,184,4,271,278,11,262,266,3,195,203,9,200,207,6,405,412,14,258,270,4,207,213,8,363,369,3,394,396,0,37,39,83,3405,3487
501011293,0,64,64,0,26,26,0,46,48,0,75,75,5,212,214,5,200,205,3,296,296,12,242,249,10,257,271,15,265,277,7,180,187,3,154,163,5,362,369,0,221,225,5,162,170,8,357,363,17,321,332,5,65,68,101,3509,3616
501011294,5,89,86,0,41,43,7,91,96,10,177,187,8,529,538,8,415,418,12,570,583,14,485,495,20,569,584,15,521,533,12,348,360,4,344,354,29,653,684,8,447,455,13,368,381,20,685,702,19,610,633,5,150,160,209,7084,7292
501021005,4,73,77,0,29,29,0,60,61,4,109,116,9,317,332,9,211,225,7,390,395,8,334,342,14,393,409,19,391,410,14,315,322,13,369,379,25,808,840,26,528,549,19,503,524,32,869,904,32,643,673,4,78,86,235,6429,6668
501021007,0,33,40,0,10,10,0,20,19,4,46,44,5,118,115,4,83,86,4,132,136,4,104,109,3,127,132,3,146,150,4,102,109,3,99,100,9,211,220,0,130,131,0,121,124,6,195,199,4,214,218,6,43,40,65,1928,1990
501021008,3,64,63,0,16,16,7,47,52,3,113,120,6,228,233,12,176,184,9,206,213,7,216,227,14,214,230,9,199,209,16,146,161,10,114,125,12,232,246,6,136,138,3,90,100,10,115,125,13,153,165,3,54,57,156,2520,2677
501021009,0,63,63,0,12,13,7,56,62,7,127,139,12,342,353,3,157,162,12,276,287,16,219,232,14,234,246,15,227,244,13,156,166,13,155,166,17,284,299,7,192,201,11,170,181,10,249,260,15,241,251,3,83,87,165,3238,3404
501021010,0,14,14,0,13,13,0,11,14,0,18,18,0,61,59,0,44,47,0,57,57,6,70,68,0,73,75,0,66,68,0,55,55,0,51,59,0,134,134,0,87,86,0,83,85,3,179,185,0,128,129,0,23,23,18,1174,1192
