SA2_CODE_2021,Ofh_Cfnc_Np_UR_One_HATSIP,Ofh_Cfnc_Np_UR_Two_HATSIP,Ofh_Cfnc_Np_UR_Three_HATSIP,Ofh_Cfnc_Np_UR_Four_HATSIP,Ofh_Cfnc_Np_UR_Five_HATSIP,Ofh_Cfnc_Np_UR_Six_m_HATSIP,Ofh_Cfnc_Tot_HATSIP,Ofh_Cfc_Np_UR_One_HATSIP,Ofh_Cfc_Np_UR_Two_HATSIP,Ofh_Cfc_Np_UR_Three_HATSIP,Ofh_Cfc_Np_UR_Four_HATSIP,Ofh_Cfc_Np_UR_Five_HATSIP,Ofh_Cfc_Np_UR_Six_m_HATSIP,Ofh_Cfc_Tot_HATSIP,Ofh_Opf_Np_UR_One_HATSIP,Ofh_Opf_Np_UR_Two_HATSIP,Ofh_Opf_Np_UR_Three_HATSIP,Ofh_Opf_Np_UR_Four_HATSIP,Ofh_Opf_Np_UR_Five_HATSIP,Ofh_Opf_Np_UR_Six_m_HATSIP,Ofh_Opf_Tot_HATSIP,Ofh_Oth_f_Np_UR_One_HATSIP,Ofh_Oth_f_Np_UR_Two_HATSIP,Ofh_Oth_f_Np_UR_Three_HATSIP,Ofh_Oth_f_Np_UR_Four_HATSIP,Ofh_Oth_f_Np_UR_Five_HATSIP,Ofh_Oth_f_Np_UR_Six_m_HATSIP,Ofh_Oth_f_Tot_HATSIP,Ofh_Tot_Np_UR_One_HATSIP,Ofh_Tot_Np_UR_Two_HATSIP,Ofh_Tot_Np_UR_Three_HATSIP,Ofh_Tot_Np_UR_Four_HATSIP,Ofh_Tot_Np_UR_Five_HATSIP,Ofh_Tot_Np_UR_Six_m_HATSIP,Ofh_Tot_Tot_HATSIP,Mul_fh_Np_UR_One_HATSIP,Mul_fh_Np_UR_Two_HATSIP,Mul_fh_Np_UR_Three_HATSIP,Mul_fh_Np_UR_Four_HATSIP,Mul_fh_Np_UR_Five_HATSIP,Mul_fh_Np_UR_Six_m_HATSIP,Mul_fh_Tot_HATSIP,Tot_fh_Np_UR_One_HATSIP,Tot_fh_Np_UR_Two_HATSIP,Tot_fh_Np_UR_Three_HATSIP,Tot_fh_Np_UR_Four_HATSIP,Tot_fh_Np_UR_Five_HATSIP,Tot_fh_Np_UR_Six_m_HATSIP,Tot_fh_Tot_HATSIP,Lone_ph_Np_UR_One_HATSIP,Lone_ph_Np_UR_Two_HATSIP,Lone_ph_Np_UR_Three_HATSIP,Lone_ph_Np_UR_Four_HATSIP,Lone_ph_Np_UR_Five_HATSIP,Lone_ph_Np_UR_Six_m_HATSIP,Lone_ph_Tot_HATSIP,Group_h_Np_UR_One_HATSIP,Group_h_Np_UR_Two_HATSIP,Group_h_Np_UR_Three_HATSIP,Group_h_Np_UR_Four_HATSIP,Group_h_Np_UR_Five_HATSIP,Group_h_Np_UR_Six_m_HATSIP,Group_h_Tot_HATSIP,Tot_Np_UR_One_HATSIP,Tot_Np_UR_Two_HATSIP,Tot_Np_UR_Three_HATSIP,Tot_Np_UR_Four_HATSIP,Tot_Np_UR_Five_HATSIP,Tot_Np_UR_Six_m_HATSIP,Tot_Tot_HATSIP,Ofh_Cfnc_Np_UR_One_Oth_h,Ofh_Cfnc_Np_UR_Two_Oth_h,Ofh_Cfnc_Np_UR_Three_Oth_h,Ofh_Cfnc_Np_UR_Four_Oth_h,Ofh_Cfnc_Np_UR_Five_Oth_h,Ofh_Cfnc_Np_UR_Six_m_Oth_h,Ofh_Cfnc_Tot_Oth_h,Ofh_Cfc_Np_UR_One_Oth_h,Ofh_Cfc_Np_UR_Two_Oth_h,Ofh_Cfc_Np_UR_Three_Oth_h,Ofh_Cfc_Np_UR_Four_Oth_h,Ofh_Cfc_Np_UR_Five_Oth_h,Ofh_Cfc_Np_UR_Six_m_Oth_h,Ofh_Cfc_Tot_Oth_h,Ofh_Opf_Np_UR_One_Oth_h,Ofh_Opf_Np_UR_Two_Oth_h,Ofh_Opf_Np_UR_Three_Oth_h,Ofh_Opf_Np_UR_Four_Oth_h,Ofh_Opf_Np_UR_Five_Oth_h,Ofh_Opf_Np_UR_Six_m_Oth_h,Ofh_Opf_Tot_Oth_h,Ofh_Oth_f_Np_UR_One_Oth_h,Ofh_Oth_f_Np_UR_Two_Oth_h,Ofh_Oth_f_Np_UR_Three_Oth_h,Ofh_Oth_f_Np_UR_Four_Oth_h,Ofh_Oth_f_Np_UR_Five_Oth_h,Ofh_Oth_f_Np_UR_Six_m_Oth_h,Ofh_Oth_f_Tot_Oth_h,Ofh_Tot_Np_UR_One_Oth_h,Ofh_Tot_Np_UR_Two_Oth_h,Ofh_Tot_Np_UR_Three_Oth_h,Ofh_Tot_Np_UR_Four_Oth_h,Ofh_Tot_Np_UR_Five_Oth_h,Ofh_Tot_Np_UR_Six_m_Oth_h,Ofh_Tot_Tot_Oth_h,Mul_fh_Np_UR_One_Oth_h,Mul_fh_Np_UR_Two_Oth_h,Mul_fh_Np_UR_Three_Oth_h,Mul_fh_Np_UR_Four_Oth_h,Mul_fh_Np_UR_Five_Oth_h,Mul_fh_Np_UR_Six_m_Oth_h,Mul_fh_Tot_Oth_h,Tot_fh_Np_UR_One_Oth_h,Tot_fh_Np_UR_Two_Oth_h,Tot_fh_Np_UR_Three_Oth_h,Tot_fh_Np_UR_Four_Oth_h,Tot_fh_Np_UR_Five_Oth_h,Tot_fh_Np_UR_Six_m_Oth_h,Tot_fh_Tot_Oth_h,Lone_ph_Np_UR_One_Oth_h,Lone_ph_Np_UR_Two_Oth_h,Lone_ph_Np_UR_Three_Oth_h,Lone_ph_Np_UR_Four_Oth_h,Lone_ph_Np_UR_Five_Oth_h,Lone_ph_Np_UR_Six_m_Oth_h,Lone_ph_Tot_Oth_h,Group_h_Np_UR_One_Oth_h,Group_h_Np_UR_Two_Oth_h,Group_h_Np_UR_Three_Oth_h,Group_h_Np_UR_Four_Oth_h,Group_h_Np_UR_Five_Oth_h,Group_h_Np_UR_Six_m_Oth_h,Group_h_Tot_Oth_h,Tot_Np_UR_One_Oth_h,Tot_Np_UR_Two_Oth_h,Tot_Np_UR_Three_Oth_h,Tot_Np_UR_Four_Oth_h,Tot_Np_UR_Five_Oth_h,Tot_Np_UR_Six_m_Oth_h,Tot_Tot_Oth_h
501011001,..,3,0,0,0,0,3,..,..,6,10,4,0,13,..,4,3,0,0,0,5,..,0,0,0,0,0,0,..,11,10,10,4,0,24,..,..,..,0,0,0,0,..,11,10,10,3,0,28,12,..,..,..,..,..,12,..,0,0,0,0,0,0,12,7,10,10,3,0,35,..,819,19,11,0,0,846,..,..,223,295,102,26,641,..,73,56,21,5,0,157,..,7,0,0,0,0,14,..,901,292,320,104,30,1649,..,..,..,10,6,13,30,..,901,292,330,115,34,1681,629,..,..,..,..,..,629,..,45,14,0,0,0,56,629,941,311,328,115,34,2360
501011003,..,10,0,0,0,0,17,..,..,6,3,3,4,20,..,0,0,0,0,0,7,..,0,0,0,0,0,0,..,13,9,3,3,9,39,..,..,..,0,0,0,3,..,13,9,7,3,5,41,8,..,..,..,..,..,8,..,3,0,0,0,0,4,8,14,12,6,3,5,58,..,1346,38,7,0,0,1395,..,..,408,621,233,55,1327,..,128,123,33,9,0,292,..,17,7,0,0,0,16,..,1488,582,662,244,56,3030,..,..,..,18,26,25,60,..,1488,582,679,271,80,3094,792,..,..,..,..,..,792,..,84,21,10,0,0,112,792,1570,598,684,271,84,3996
501011004,..,20,0,0,0,0,23,..,..,6,5,7,5,22,..,5,7,3,0,0,23,..,0,0,0,0,0,0,..,25,22,8,7,5,66,..,..,..,0,0,0,6,..,25,22,8,5,5,71,6,..,..,..,..,..,6,..,4,0,0,0,0,4,6,29,22,8,5,5,83,..,860,41,8,6,0,916,..,..,361,505,191,44,1098,..,178,143,53,14,0,385,..,12,0,0,0,0,18,..,1054,548,568,202,44,2417,..,..,..,9,17,16,41,..,1054,548,583,216,63,2456,782,..,..,..,..,..,782,..,93,41,28,4,4,171,782,1143,586,604,221,57,3405
501011293,..,16,5,0,0,0,16,..,..,6,12,11,7,34,..,3,12,6,5,3,25,..,0,0,0,0,0,0,..,23,23,16,14,6,82,..,..,..,0,0,0,4,..,23,23,16,17,9,82,14,..,..,..,..,..,14,..,0,0,0,0,0,3,14,21,20,16,17,9,101,..,1202,31,0,0,0,1236,..,..,302,374,152,35,864,..,167,111,48,10,3,336,..,24,5,0,0,0,29,..,1385,452,420,160,42,2462,..,..,..,7,13,16,32,..,1385,452,426,177,58,2498,922,..,..,..,..,..,922,..,69,17,6,0,0,96,922,1457,469,436,177,58,3509
501011294,..,31,6,0,0,0,35,..,..,22,32,14,15,79,..,11,27,14,6,8,59,..,0,0,0,0,0,0,..,46,50,46,11,19,170,..,..,..,3,0,5,3,..,46,50,42,16,20,176,24,..,..,..,..,..,24,..,8,0,0,0,0,8,24,55,50,42,16,20,209,..,2198,58,15,0,0,2272,..,..,586,830,339,109,1868,..,295,240,106,23,4,673,..,32,3,4,0,0,33,..,2527,890,953,363,111,4848,..,..,..,25,33,39,95,..,2527,890,973,397,151,4941,1974,..,..,..,..,..,1974,..,145,25,4,0,0,177,1974,2667,919,975,399,153,7084
501021005,..,44,4,0,0,0,47,..,..,26,40,24,13,94,..,11,23,11,8,7,55,..,0,0,0,0,0,0,..,51,52,50,30,24,200,..,..,..,0,0,7,7,..,51,52,50,29,31,208,20,..,..,..,..,..,20,..,8,0,0,0,0,10,20,58,52,50,33,31,235,..,1959,56,11,0,0,2028,..,..,718,1003,415,157,2286,..,261,239,112,21,13,637,..,37,8,3,0,0,41,..,2253,1017,1127,436,171,5002,..,..,..,28,35,38,108,..,2253,1017,1156,470,207,5107,1212,..,..,..,..,..,1212,..,93,14,5,0,5,116,1212,2348,1032,1157,471,213,6429
501021007,..,9,6,0,0,0,10,..,..,12,7,6,0,27,..,4,3,0,3,0,12,..,0,0,0,0,0,0,..,10,15,12,10,0,49,..,..,..,0,0,0,4,..,10,15,12,11,6,49,8,..,..,..,..,..,8,..,0,0,0,0,0,0,8,16,15,12,11,6,65,..,666,18,7,0,0,689,..,..,195,233,106,33,565,..,91,55,26,10,4,190,..,7,4,0,0,0,11,..,766,272,261,122,36,1457,..,..,..,12,4,12,25,..,766,272,272,123,45,1482,402,..,..,..,..,..,402,..,37,3,0,0,0,46,402,805,275,274,123,45,1928
501021008,..,21,0,0,0,0,25,..,..,11,16,6,6,34,..,17,18,0,4,5,46,..,4,0,0,0,0,4,..,45,29,20,10,6,116,..,..,..,6,0,6,8,..,45,29,27,12,14,119,26,..,..,..,..,..,26,..,4,0,0,0,0,4,26,46,29,27,12,14,156,..,562,22,3,3,0,590,..,..,162,186,70,29,444,..,193,110,46,15,7,365,..,24,0,0,0,0,31,..,776,295,234,82,37,1429,..,..,..,10,5,8,24,..,776,295,249,94,39,1450,953,..,..,..,..,..,953,..,93,20,3,0,0,119,953,869,318,251,94,41,2520
501021009,..,27,0,0,0,0,26,..,..,11,23,7,7,55,..,15,11,7,3,3,39,..,0,0,0,0,0,0,..,38,22,29,17,13,117,..,..,..,5,3,5,10,..,38,22,31,18,18,121,31,..,..,..,..,..,31,..,6,0,0,0,0,11,31,47,25,31,15,18,165,..,934,32,8,0,0,979,..,..,266,301,145,38,755,..,150,102,57,11,10,327,..,22,0,0,0,0,26,..,1105,401,367,158,51,2092,..,..,..,18,13,11,39,..,1105,401,384,170,64,2129,1043,..,..,..,..,..,1043,..,65,4,0,0,0,71,1043,1177,408,384,170,64,3238
501021010,..,0,0,0,0,0,0,..,..,0,3,0,3,10,..,0,3,0,0,0,4,..,0,0,0,0,0,0,..,3,0,3,0,3,15,..,..,..,0,0,0,0,..,3,0,3,0,3,15,4,..,..,..,..,..,4,..,0,0,0,0,0,0,4,3,0,3,0,3,18,..,420,18,0,0,0,437,..,..,123,165,73,26,384,..,36,22,15,4,0,78,..,0,0,0,0,0,0,..,457,163,184,75,26,900,..,..,..,5,4,4,15,..,457,163,187,83,27,914,244,..,..,..,..,..,244,..,14,0,0,0,0,14,244,476,163,187,83,27,1174
