SA2_CODE_2021,PreSch_Indig_M,PreSch_Indig_F,PreSch_Indig_P,PreSch_NonInd_M,PreSch_NonInd_F,PreSch_NonInd_P,PreSch_Indig_st_nsM,PreSch_Indig_st_nsF,PreSch_Indig_st_nsP,PreSch_TotM,PreSch_TotF,PreSch_TotP,Prim_Indig_M,Prim_Indig_F,Prim_Indig_P,Prim_NonInd_M,Prim_NonInd_F,Prim_NonInd_P,Prim_Indig_st_nsM,Prim_Indig_st_nsF,Prim_Indig_st_nsP,Prim_TotM,Prim_TotF,Prim_TotP,Sec_Indig_M,Sec_Indig_F,Sec_Indig_P,Sec_NonInd_M,Sec_NonInd_F,Sec_NonInd_P,Sec_Indig_st_nsM,Sec_Indig_st_nsF,Sec_Indig_st_nsP,Sec_TotM,Sec_TotF,Sec_TotP,TVE_TAFE_ptp_FT_15_24_Ind_M,TVE_TAFE_ptp_FT_15_24_Ind_F,TVE_TAFE_ptp_FT_15_24_Ind_P,TVE_TAFE_ptp_FT_15_24_NoInd_M,TVE_TAFE_ptp_FT_15_24_NoInd_F,TVE_TAFE_ptp_FT_15_24_NoInd_P,TVE_TAFE_ptp_FT_15_24_In_ns_M,TVE_TAFE_ptp_FT_15_24_In_ns_F,TVE_TAFE_ptp_FT_15_24_In_ns_P,TVE_TAFE_ptp_FT_15_24_Tot_M,TVE_TAFE_ptp_FT_15_24_Tot_F,TVE_TAFE_ptp_FT_15_24_Tot_P,TVE_TAFE_ptp_FT_25_ov_Ind_M,TVE_TAFE_ptp_FT_25_ov_Ind_F,TVE_TAFE_ptp_FT_25_ov_Ind_P,TVE_TAFE_ptp_FT_25_ov_NoInd_M,TVE_TAFE_ptp_FT_25_ov_NoInd_F,TVE_TAFE_ptp_FT_25_ov_NoInd_P,TVE_TAFE_ptp_FT_25_ov_In_ns_M,TVE_TAFE_ptp_FT_25_ov_In_ns_F,TVE_TAFE_ptp_FT_25_ov_In_ns_P,TVE_TAFE_ptp_FT_25_ov_Tot_M,TVE_TAFE_ptp_FT_25_ov_Tot_F,TVE_TAFE_ptp_FT_25_ov_Tot_P,TVE_TAFE_ptp_PT_15_24_Ind_M,TVE_TAFE_ptp_PT_15_24_Ind_F,TVE_TAFE_ptp_PT_15_24_Ind_P,TVE_TAFE_ptp_PT_15_24_NoInd_M,TVE_TAFE_ptp_PT_15_24_NoInd_F,TVE_TAFE_ptp_PT_15_24_NoInd_P,TVE_TAFE_ptp_PT_15_24_In_ns_M,TVE_TAFE_ptp_PT_15_24_In_ns_F,TVE_TAFE_ptp_PT_15_24_In_ns_P,TVE_TAFE_ptp_PT_15_24_Tot_M,TVE_TAFE_ptp_PT_15_24_Tot_F,TVE_TAFE_ptp_PT_15_24_Tot_P,TVE_TAFE_ptp_PT_25_ov_Ind_M,TVE_TAFE_ptp_PT_25_ov_Ind_F,TVE_TAFE_ptp_PT_25_ov_Ind_P,TVE_TAFE_ptp_PT_25_ov_NoInd_M,TVE_TAFE_ptp_PT_25_ov_NoInd_F,TVE_TAFE_ptp_PT_25_ov_NoInd_P,TVE_TAFE_ptp_PT_25_ov_In_ns_M,TVE_TAFE_ptp_PT_25_ov_In_ns_F,TVE_TAFE_ptp_PT_25_ov_In_ns_P,TVE_TAFE_ptp_PT_25_ov_Tot_M,TVE_TAFE_ptp_PT_25_ov_Tot_F,TVE_TAFE_ptp_PT_25_ov_Tot_P,TVE_TAFE_ptp_FT_PT_Ind_M,TVE_TAFE_ptp_FT_PT_Ind_F,TVE_TAFE_ptp_FT_PT_Ind_P,TVE_TAFE_ptp_FT_PT_NoInd_M,TVE_TAFE_ptp_FT_PT_NoInd_F,TVE_TAFE_ptp_FT_PT_NoInd_P,TVE_TAFE_ptp_FT_PT_In_ns_M,TVE_TAFE_ptp_FT_PT_In_ns_F,TVE_TAFE_ptp_FT_PT_In_ns_P,TVE_TAFE_ptp_FT_PT_Tot_M,TVE_TAFE_ptp_FT_PT_Tot_F,TVE_TAFE_ptp_FT_PT_Tot_P,TVE_TAFE_ptp_TVETAFE_Ind_M,TVE_TAFE_ptp_TVETAFE_Ind_F,TVE_TAFE_ptp_TVETAFE_Ind_P,TVE_TAFE_ptp_TVETAFE_NoInd_M,TVE_TAFE_ptp_TVETAFE_NoInd_F,TVE_TAFE_ptp_TVETAFE_NoInd_P,TVE_TAFE_ptp_TVETAFE_In_ns_M,TVE_TAFE_ptp_TVETAFE_In_ns_F,TVE_TAFE_ptp_TVETAFE_In_ns_P,TVE_TAFE_ptp_TVETAFE_Tot_M,TVE_TAFE_ptp_TVETAFE_Tot_F,TVE_TAFE_ptp_TVETAFE_Tot_P,Uni_he_FT_15_24_Ind_M,Uni_he_FT_15_24_Ind_F,Uni_he_FT_15_24_Ind_P,Uni_he_FT_15_24_NoInd_M,Uni_he_FT_15_24_NoInd_F,Uni_he_FT_15_24_NoInd_P,Uni_he_FT_15_24_In_ns_M,Uni_he_FT_15_24_In_ns_F,Uni_he_FT_15_24_In_ns_P,Uni_he_FT_15_24_Tot_M,Uni_he_FT_15_24_Tot_F,Uni_he_FT_15_24_Tot_P,Uni_he_FT_25_ov_Ind_M,Uni_he_FT_25_ov_Ind_F,Uni_he_FT_25_ov_Ind_P,Uni_he_FT_25_ov_NoInd_M,Uni_he_FT_25_ov_NoInd_F,Uni_he_FT_25_ov_NoInd_P,Uni_he_FT_25_ov_In_ns_M,Uni_he_FT_25_ov_In_ns_F,Uni_he_FT_25_ov_In_ns_P,Uni_he_FT_25_ov_Tot_M,Uni_he_FT_25_ov_Tot_F,Uni_he_FT_25_ov_Tot_P,Uni_he_PT_15_24_Ind_M,Uni_he_PT_15_24_Ind_F,Uni_he_PT_15_24_Ind_P,Uni_he_PT_15_24_NoInd_M,Uni_he_PT_15_24_NoInd_F,Uni_he_PT_15_24_NoInd_P,Uni_he_PT_15_24_In_ns_M,Uni_he_PT_15_24_In_ns_F,Uni_he_PT_15_24_In_ns_P,Uni_he_PT_15_24_Tot_M,Uni_he_PT_15_24_Tot_F,Uni_he_PT_15_24_Tot_P,Uni_he_PT_25_ov_Ind_M,Uni_he_PT_25_ov_Ind_F,Uni_he_PT_25_ov_Ind_P,Uni_he_PT_25_ov_NoInd_M,Uni_he_PT_25_ov_NoInd_F,Uni_he_PT_25_ov_NoInd_P,Uni_he_PT_25_ov_In_ns_M,Uni_he_PT_25_ov_In_ns_F,Uni_he_PT_25_ov_In_ns_P,Uni_he_PT_25_ov_Tot_M,Uni_he_PT_25_ov_Tot_F,Uni_he_PT_25_ov_Tot_P,Uni_he_FTPT_ss_ns_Ind_M,Uni_he_FTPT_ss_ns_Ind_F,Uni_he_FTPT_ss_ns_Ind_P,Uni_he_FTPT_ss_ns_NoInd_M,Uni_he_FTPT_ss_ns_NoInd_F,Uni_he_FTPT_ss_ns_NoInd_P,Uni_he_FTPT_ss_ns_In_ns_M,Uni_he_FTPT_ss_ns_In_ns_F,Uni_he_FTPT_ss_ns_In_ns_P,Uni_he_FTPT_ss_ns_Tot_M,Uni_he_FTPT_ss_ns_Tot_F,Uni_he_FTPT_ss_ns_Tot_P,Uni_he_Tot_Uni_he_Ind_M,Uni_he_Tot_Uni_he_Ind_F,Uni_he_Tot_Uni_he_Ind_P,Uni_he_Tot_Uni_he_NoInd_M,Uni_he_Tot_Uni_he_NoInd_F,Uni_he_Tot_Uni_he_NoInd_P,Uni_he_Tot_Uni_he_In_ns_M,Uni_he_Tot_Uni_he_In_ns_F,Uni_he_Tot_Uni_he_In_ns_P,Uni_he_Tot_Uni_he_Tot_M,Uni_he_Tot_Uni_he_Tot_F,Uni_he_Tot_Uni_he_Tot_P,Ter_Tot_Ter_Ind_M,Ter_Tot_Ter_Ind_F,Ter_Tot_Ter_Ind_P,Ter_Tot_Ter_NonInd_M,Ter_Tot_Ter_NonInd_F,Ter_Tot_Ter_NonInd_P,Ter_Tot_Ter_IndSt_ns_M,Ter_Tot_Ter_IndSt_ns_F,Ter_Tot_Ter_IndSt_ns_P,Ter_Tot_Ter_Tot_M,Ter_Tot_Ter_Tot_F,Ter_Tot_Ter_Tot_P,OEI_Ind_M,OEI_Ind_F,OEI_Ind_P,OEI_NonInd_M,OEI_NonInd_F,OEI_NonInd_P,OEI_IndSt_nsM,OEI_IndSt_nsF
501011001,0,0,3,49,55,101,0,0,0,51,58,103,0,4,7,287,253,542,7,0,11,291,260,555,0,0,3,151,167,317,0,0,0,152,170,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,0,0,0,3,7,14,0,0,0,19,8,23,0,0,0,19,3,26,0,0,0,22,55,78,0,0,0,24,55,80,0,0,0,0,3,3,0,0,0,0,3,0,0,0,6,39,72,112,0,0,0,49,72,120,0,0,0,3,7,13,0,0,0,3,7,13,0,0,0,4,13,15,0,0,0,4,13,15,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,6,33,41,0,0,0,6,33,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,57,73,0,0,0,11,57,73,0,0,6,59,128,190,0,0,0,60,134,191,0,0,0,15,25,42,0,0
501011003,4,0,4,91,82,177,0,4,4,96,91,186,9,6,14,599,530,1134,11,5,15,617,541,1160,5,3,6,395,391,790,3,5,11,403,401,806,0,0,0,14,3,18,0,0,0,14,3,18,0,0,0,8,17,27,0,0,0,8,17,30,3,0,3,33,20,54,0,0,0,36,20,61,0,0,0,41,60,101,0,0,0,41,65,103,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,101,101,208,0,0,0,108,103,208,0,0,0,18,27,46,0,0,0,18,33,45,0,0,0,9,34,47,0,0,0,9,34,47,0,0,0,4,8,10,0,0,0,4,8,10,0,3,3,27,79,109,0,0,0,27,85,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,154,212,0,0,0,57,160,213,3,3,4,157,260,417,0,0,0,157,261,424,0,0,3,21,48,70,0,0
501011004,5,6,9,87,88,175,0,0,5,86,100,180,11,12,27,486,432,918,6,6,11,501,449,948,11,6,20,369,339,713,0,4,8,385,347,738,0,0,0,9,10,15,0,0,0,9,10,15,0,0,0,6,17,28,0,0,0,6,17,28,0,0,0,31,11,44,0,0,0,37,11,52,0,4,4,41,94,134,0,0,0,37,97,133,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,90,135,218,0,0,0,95,132,227,0,0,0,6,18,23,0,0,0,6,18,23,0,0,0,20,31,49,0,0,0,20,31,49,0,0,0,0,5,7,0,0,0,0,5,7,0,4,4,21,71,90,0,0,0,21,71,89,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,47,123,164,0,0,0,47,122,167,0,7,11,135,257,391,0,0,0,137,258,397,0,3,3,33,44,80,0,0
501011293,3,7,7,69,73,142,0,0,0,71,81,151,20,21,40,345,311,659,0,0,0,366,338,698,11,18,28,323,314,635,0,0,0,336,329,664,0,0,0,11,8,19,0,0,0,12,8,21,0,0,0,6,25,29,0,0,0,6,27,30,0,0,0,31,16,48,0,0,0,32,16,49,0,4,3,28,49,74,0,0,0,30,51,77,0,0,0,0,0,3,0,0,0,0,0,3,4,3,5,72,101,174,0,0,0,83,100,181,0,3,0,4,17,25,0,0,0,6,17,27,0,0,0,12,22,29,0,0,0,12,27,33,0,0,0,4,16,16,0,0,0,4,16,16,0,0,0,14,51,65,0,0,0,14,53,68,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,36,98,134,0,3,3,35,106,143,0,5,11,110,199,310,0,3,0,114,213,327,0,0,0,30,37,63,0,0
501011294,7,5,14,144,150,291,0,0,0,154,154,308,35,31,66,786,759,1542,5,0,3,825,788,1614,39,34,75,691,659,1352,0,4,10,736,700,1434,0,0,0,35,19,58,0,0,0,36,24,60,0,0,0,15,37,50,0,0,0,15,40,54,0,4,8,76,38,117,0,0,0,76,47,118,0,0,3,53,117,167,0,0,0,53,121,171,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,175,217,389,0,0,0,172,226,404,0,3,3,20,45,69,0,0,0,20,54,68,0,5,5,15,48,62,0,0,0,15,52,64,0,0,0,8,15,20,0,0,0,8,15,20,0,0,0,26,117,144,0,0,0,26,121,146,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,66,233,292,0,0,0,66,236,300,0,15,23,239,443,687,0,0,0,242,465,711,6,6,7,48,85,137,0,0
501021005,11,4,17,187,165,349,0,5,3,200,175,372,60,51,104,963,917,1883,0,0,0,1022,965,1989,37,40,70,767,787,1555,0,0,3,803,828,1634,3,0,5,29,36,67,0,0,0,34,40,73,0,0,0,7,40,46,0,0,0,7,39,49,5,5,8,77,42,116,0,0,0,77,44,120,0,5,4,59,125,184,0,0,0,60,129,188,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16,174,236,412,0,0,0,179,249,432,0,0,0,24,59,80,0,0,0,24,64,83,0,0,0,11,55,59,0,0,0,11,57,65,0,0,0,7,18,24,0,0,0,7,18,24,5,7,9,44,98,140,0,0,0,46,103,151,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,86,229,314,0,0,0,87,232,323,11,16,27,258,467,728,0,0,0,271,486,752,11,0,7,66,70,138,0,0
501021007,0,0,0,38,30,72,0,0,4,39,35,76,15,17,28,217,226,439,0,0,0,229,243,470,8,5,16,200,195,399,3,0,3,216,206,417,0,0,0,9,11,19,0,0,0,9,10,20,0,0,0,0,6,7,0,0,0,0,6,7,0,0,0,19,3,24,0,0,0,19,3,24,0,0,0,10,36,48,0,0,0,18,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,49,54,100,0,0,0,44,54,99,0,0,0,4,13,22,0,0,0,4,13,22,0,6,6,0,13,12,0,0,0,0,14,15,0,0,0,0,4,5,0,0,0,0,4,5,0,0,0,9,42,52,0,0,0,9,42,52,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,18,64,83,0,0,0,18,70,88,0,3,3,66,122,186,0,0,0,64,123,190,0,0,0,13,27,39,0,0
501021008,7,0,7,53,50,97,0,0,0,55,52,107,27,17,36,200,202,399,0,0,3,229,214,446,22,24,48,164,164,328,0,0,0,185,193,378,0,3,3,14,9,24,0,0,0,10,15,29,0,3,3,6,19,24,0,0,0,6,18,29,4,0,4,26,17,38,0,0,0,28,17,42,0,0,0,18,40,57,0,0,0,18,40,57,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,57,88,146,0,0,0,66,87,153,0,0,0,3,33,40,0,0,0,3,37,41,0,0,3,5,24,31,0,0,0,12,24,36,0,0,0,4,0,3,0,0,0,4,0,3,0,0,0,7,30,38,0,0,0,7,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,22,91,114,0,0,0,23,96,121,4,11,12,82,177,255,0,0,0,85,185,274,0,7,9,14,23,37,0,0
501021009,6,11,12,52,68,118,0,0,0,58,74,135,28,33,61,316,264,579,0,0,0,346,297,642,24,23,49,254,223,479,0,0,6,280,252,533,0,0,0,16,15,34,0,0,0,19,20,40,0,0,0,3,13,19,0,0,0,3,14,18,0,0,0,29,22,49,0,0,0,27,19,47,0,0,6,28,42,67,0,0,0,22,43,71,0,0,0,0,0,4,0,0,0,0,0,4,5,4,5,72,100,168,0,0,0,72,102,177,0,0,0,3,21,21,0,0,0,3,21,21,0,0,0,6,15,16,0,0,0,6,17,22,0,0,0,3,0,5,0,0,0,3,0,8,0,0,0,5,17,24,0,0,0,5,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,53,72,0,0,0,19,51,75,5,10,10,93,153,243,0,0,4,98,162,250,0,0,0,22,34,63,0,0
501021010,0,0,0,21,15,34,0,0,0,21,15,42,0,0,4,148,129,269,0,0,0,151,129,279,5,0,4,109,123,229,0,0,0,112,123,239,0,0,0,6,7,12,0,0,0,6,7,12,0,0,0,0,4,10,0,0,0,0,4,10,0,0,3,18,3,22,0,0,0,21,9,24,0,0,0,8,14,20,0,0,0,8,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,28,59,0,0,0,36,30,61,0,0,0,3,8,12,0,0,0,3,8,12,0,0,0,4,5,9,0,0,0,4,5,9,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,3,20,22,0,0,0,8,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,36,41,0,0,0,13,36,45,0,0,4,45,57,105,0,0,0,41,62,110,0,0,0,7,16,18,0,0
