SA2_CODE_2021,Tot_20_24_PD_GD_GCL_M,Tot_20_24_BDL_M,Tot_20_24_ADip_DipL_M,Tot_20_24_Ct_III_IV_M,Tot_20_24_Ct_I_II_M,Tot_20_24_CL_nfd_M,Tot_20_24_LoE_NS_M,Tot_20_24_Tot_M,Tot_25_34_PD_GD_GCL_M,Tot_25_34_BDL_M,Tot_25_34_ADip_DipL_M,Tot_25_34_Ct_III_IV_M,Tot_25_34_Ct_I_II_M,Tot_25_34_CL_nfd_M,Tot_25_34_LoE_NS_M,Tot_25_34_Tot_M,Tot_35_44_PD_GD_GCL_M,Tot_35_44_BDL_M,Tot_35_44_ADip_DipL_M,Tot_35_44_Ct_III_IV_M,Tot_35_44_Ct_I_II_M,Tot_35_44_CL_nfd_M,Tot_35_44_LoE_NS_M,Tot_35_44_Tot_M,Tot_45_54_PD_GD_GCL_M,Tot_45_54_BDL_M,Tot_45_54_ADip_DipL_M,Tot_45_54_Ct_III_IV_M,Tot_45_54_Ct_I_II_M,Tot_45_54_CL_nfd_M,Tot_45_54_LoE_NS_M,Tot_45_54_Tot_M,Tot_55_64_PD_GD_GCL_M,Tot_55_64_BDL_M,Tot_55_64_ADip_DipL_M,Tot_55_64_Ct_III_IV_M,Tot_55_64_Ct_I_II_M,Tot_55_64_CL_nfd_M,Tot_55_64_LoE_NS_M,Tot_55_64_Tot_M,Tot_65ov_PtgdDe_GdDp_GdCt_M,Tot_65ov_BDL_M,Tot_65ov_ADip_DipL_M,Tot_65ov_Ct_III_IV_M,Tot_65ov_Ct_I_II_M,Tot_65ov_CL_nfd_M,Tot_65ov_LoE_NS_M,Tot_65ov_Tot_M,Tot_Tot_PD_GD_GCL_M,Tot_Tot_BDL_M,Tot_Tot_ADip_DipL_M,Tot_Tot_Ct_III_IV_M,Tot_Tot_Ct_I_II_M,Tot_tot_CL_nfd_M,Tot_Tot_LoE_NS_M,Tot_Tot_Tot_M,Ind_15_19_PD_GD_GCL_F,Ind_15_19_BDL_F,Ind_15_19_ADip_DipL_F,Ind_15_19_Ct_III_IV_F,Ind_15_19_Ct_I_II_F,Ind_15_19_CL_nfd_F,Ind_15_19_LoE_NS_F,Ind_15_19_Tot_F,Ind_20_24_PD_GD_GCL_F,Ind_20_24_BDL_F,Ind_20_24_ADip_DipL_F,Ind_20_24_Ct_III_IV_F,Ind_20_24_Ct_I_II_F,Ind_20_24_CL_nfd_F,Ind_20_24_LoE_NS_F,Ind_20_24_Tot_F,Ind_25_34_PD_GD_GCL_F,Ind_25_34_BDL_F,Ind_25_34_ADip_DipL_F,Ind_25_34_Ct_III_IV_F,Ind_25_34_Ct_I_II_F,Ind_25_34_CL_nfd_F,Ind_25_34_LoE_NS_F,Ind_25_34_Tot_F,Ind_35_44_PD_GD_GCL_F,Ind_35_44_BDL_F,Ind_35_44_ADip_DipL_F,Ind_35_44_Ct_III_IV_F,Ind_35_44_Ct_I_II_F,Ind_35_44_CL_nfd_F,Ind_35_44_LoE_NS_F,Ind_35_44_Tot_F,Ind_45_54_PD_GD_GCL_F,Ind_45_54_BDL_F,Ind_45_54_ADip_DipL_F,Ind_45_54_Ct_III_IV_F,Ind_45_54_Ct_I_II_F,Ind_45_54_CL_nfd_F,Ind_45_54_LoE_NS_F,Ind_45_54_Tot_F,Ind_55_64_PD_GD_GCL_F,Ind_55_64_BDL_F,Ind_55_64_ADip_DipL_F,Ind_55_64_Ct_III_IV_F,Ind_55_64_Ct_I_II_F,Ind_55_64_CL_nfd_F,Ind_55_64_LoE_NS_F,Ind_55_64_Tot_F,Ind_65ov_PtgdDe_GdDp_GdCt_F,Ind_65ov_BDL_F,Ind_65ov_ADip_DipL_F,Ind_65ov_Ct_III_IV_F,Ind_65ov_Ct_I_II_F,Ind_65ov_CL_nfd_F,Ind_65ov_LoE_NS_F,Ind_65ov_Tot_F,Ind_Tot_PD_GD_GCL_F,Ind_Tot_BDL_F,Ind_Tot_ADip_DipL_F,Ind_Tot_Ct_III_IV_F,Ind_Tot_Ct_I_II_F,Ind_tot_CL_nfd_F,Ind_Tot_LoE_NS_F,Ind_Tot_Tot_F,NonI_15_19_PD_GD_GCL_F,NonI_15_19_BDL_F,NonI_15_19_ADip_DipL_F,NonI_15_19_Ct_III_IV_F,NonI_15_19_Ct_I_II_F,NonI_15_19_CL_nfd_F,NonI_15_19_LoE_NS_F,NonI_15_19_Tot_F,NonI_20_24_PD_GD_GCL_F,NonI_20_24_BDL_F,NonI_20_24_ADip_DipL_F,NonI_20_24_Ct_III_IV_F,NonI_20_24_Ct_I_II_F,NonI_20_24_CL_nfd_F,NonI_20_24_LoE_NS_F,NonI_20_24_Tot_F,NonI_25_34_PD_GD_GCL_F,NonI_25_34_BDL_F,NonI_25_34_ADip_DipL_F,NonI_25_34_Ct_III_IV_F,NonI_25_34_Ct_I_II_F,NonI_25_34_CL_nfd_F,NonI_25_34_LoE_NS_F,NonI_25_34_Tot_F,NonI_35_44_PD_GD_GCL_F,NonI_35_44_BDL_F,NonI_35_44_ADip_DipL_F,NonI_35_44_Ct_III_IV_F,NonI_35_44_Ct_I_II_F,NonI_35_44_CL_nfd_F,NonI_35_44_LoE_NS_F,NonI_35_44_Tot_F,NonI_45_54_PD_GD_GCL_F,NonI_45_54_BDL_F,NonI_45_54_ADip_DipL_F,NonI_45_54_Ct_III_IV_F,NonI_45_54_Ct_I_II_F,NonI_45_54_CL_nfd_F,NonI_45_54_LoE_NS_F,NonI_45_54_Tot_F,NonI_55_64_PD_GD_GCL_F,NonI_55_64_BDL_F,NonI_55_64_ADip_DipL_F,NonI_55_64_Ct_III_IV_F,NonI_55_64_Ct_I_II_F,NonI_55_64_CL_nfd_F,NonI_55_64_LoE_NS_F,NonI_55_64_Tot_F,NonI_65ov_PtgdDe_GdDp_GdCt_F,NonI_65ov_BDL_F,NonI_65ov_ADip_DipL_F,NonI_65ov_Ct_III_IV_F,NonI_65ov_Ct_I_II_F,NonI_65ov_CL_nfd_F,NonI_65ov_LoE_NS_F,NonI_65ov_Tot_F,NonI_Tot_PD_GD_GCL_F,NonI_Tot_BDL_F,NonI_Tot_ADip_DipL_F,NonI_Tot_Ct_III_IV_F,NonI_Tot_Ct_I_II_F,NonI_tot_CL_nfd_F,NonI_Tot_LoE_NS_F,NonI_Tot_Tot_F,IS_NS_15_19_PD_GD_GCL_F,IS_NS_15_19_BDL_F,IS_NS_15_19_ADip_DipL_F,IS_NS_15_19_Ct_III_IV_F,IS_NS_15_19_Ct_I_II_F,IS_NS_15_19_CL_nfd_F,IS_NS_15_19_LoE_NS_F,IS_NS_15_19_Tot_F,IS_NS_20_24_PD_GD_GCL_F,IS_NS_20_24_BDL_F,IS_NS_20_24_ADip_DipL_F,IS_NS_20_24_Ct_III_IV_F,IS_NS_20_24_Ct_I_II_F,IS_NS_20_24_CL_nfd_F,IS_NS_20_24_LoE_NS_F,IS_NS_20_24_Tot_F
501011001,0,4,6,28,5,0,9,51,4,34,15,91,3,5,31,184,19,75,31,164,5,9,65,353,24,55,42,136,7,11,65,332,27,54,38,153,7,3,51,329,40,76,86,172,0,15,81,464,105,295,215,748,33,41,314,1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,6,0,4,0,0,0,14,0,0,0,6,4,0,0,17,0,0,0,15,0,0,0,18,18,94,26,51,12,8,3,205,42,152,57,89,11,15,18,384,29,96,50,71,9,16,21,285,38,80,66,73,14,23,13,305,29,89,96,33,9,13,68,341,161,510,297,342,50,71,128,1560,0,0,0,0,0,0,9,9,0,0,0,0,0,0,7,6
501011003,0,8,4,60,9,0,15,95,14,86,38,181,11,8,68,401,47,141,94,273,3,11,86,652,49,150,86,251,10,27,97,671,47,125,89,224,0,14,84,584,80,206,158,262,7,22,124,857,232,721,468,1274,57,75,518,3339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,7,4,0,6,0,0,3,15,0,0,0,18,13,0,26,59,3,13,11,30,0,4,9,64,46,164,95,86,4,11,26,429,81,312,130,141,18,17,31,725,89,243,136,107,14,22,25,626,59,164,142,89,13,34,32,534,66,189,156,56,16,46,71,603,337,1080,662,525,88,131,213,3043,0,0,0,0,0,0,12,13,0,0,0,0,0,0,10,10
501011004,0,9,8,42,14,5,20,89,37,102,45,195,3,7,76,472,39,139,85,240,12,9,81,605,50,135,79,228,3,19,120,637,34,102,55,193,4,16,48,450,64,107,77,125,3,13,93,488,222,595,347,1036,61,69,466,2798,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,7,0,0,0,12,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,3,0,0,29,0,0,6,12,3,0,4,29,3,12,9,30,8,4,0,66,43,200,78,81,10,12,23,442,106,259,110,145,13,18,30,682,59,191,123,106,14,21,22,545,51,112,106,70,7,18,23,386,60,115,103,41,9,14,72,422,324,891,533,488,64,95,174,2570,0,0,0,0,0,0,10,12,0,0,0,0,0,0,13,14
501011293,0,5,3,72,17,3,9,106,11,38,31,173,13,5,61,330,18,57,49,178,0,8,47,357,36,62,59,197,7,13,63,443,13,63,60,184,3,8,58,388,33,78,103,273,6,22,94,611,112,297,307,1086,61,57,347,2274,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,5,0,0,4,3,0,0,0,10,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,3,0,0,5,7,3,7,5,12,3,0,5,28,0,0,0,20,8,3,7,41,3,12,10,41,15,5,4,92,29,90,40,94,8,17,9,288,48,132,56,104,9,15,8,377,60,129,94,116,14,23,28,461,37,89,87,112,16,21,32,389,40,99,105,71,7,34,94,460,215,550,400,563,83,124,180,2110,0,0,0,0,0,0,16,16,0,0,0,0,0,0,9,9
501011294,0,5,7,112,26,3,20,179,28,78,57,356,18,9,77,628,39,124,74,457,13,11,104,828,45,117,103,404,9,20,95,790,35,92,118,364,7,23,81,729,68,152,193,566,17,37,196,1224,215,575,549,2298,119,106,594,4463,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,6,3,0,0,12,0,0,0,15,5,3,3,8,0,0,0,18,6,0,3,11,0,0,0,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,11,6,9,31,9,4,5,70,0,0,3,45,31,0,9,93,5,30,25,83,30,6,9,193,49,170,99,246,27,11,33,630,94,285,176,279,20,24,30,911,90,201,185,281,25,43,27,855,75,160,177,191,21,39,55,729,66,199,213,159,31,59,274,998,373,1058,873,1282,193,189,442,4409,0,0,0,0,0,0,21,21,0,0,0,0,0,0,15,15
501021005,0,12,13,126,31,4,32,224,20,88,47,510,26,12,80,775,38,127,103,564,9,25,106,966,36,98,121,464,3,20,91,838,39,91,112,425,4,25,110,810,49,108,101,405,7,28,121,817,192,517,493,2545,136,109,561,4555,0,0,0,5,3,0,5,10,0,0,3,7,0,0,0,14,0,3,0,8,0,0,0,17,0,3,4,9,4,0,0,18,0,3,3,7,0,0,0,14,0,3,0,0,0,0,0,4,0,0,0,3,0,0,5,10,0,13,8,40,3,0,12,82,0,0,0,76,30,4,12,123,3,34,16,119,36,0,8,216,45,201,128,308,48,18,16,766,91,270,166,329,37,40,29,958,63,206,150,282,27,49,38,806,60,135,171,201,21,51,32,672,46,135,142,111,15,47,118,614,322,965,764,1427,210,208,259,4156,0,0,0,0,0,0,11,11,0,0,0,0,0,0,13,13
501021007,0,0,0,37,8,3,15,63,9,24,12,92,4,0,15,152,4,23,27,116,0,0,30,200,6,29,34,131,5,3,43,255,9,33,31,144,0,5,39,265,10,38,35,132,0,16,62,294,39,145,140,661,22,28,222,1262,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,24,0,0,0,16,13,0,11,40,0,5,5,40,9,4,3,60,10,37,20,77,6,9,3,160,24,67,37,78,9,9,3,237,26,80,54,74,5,14,8,262,20,50,57,71,3,15,24,248,15,46,36,35,5,11,58,200,95,285,208,398,56,56,111,1211,0,0,0,0,0,0,7,7,0,0,0,0,0,0,10,10
501021008,0,3,4,54,20,0,19,105,9,48,21,148,19,3,43,283,16,33,29,139,5,5,45,274,7,19,22,131,3,10,34,230,11,20,23,129,0,13,38,231,4,25,26,158,0,8,63,286,50,155,129,767,56,32,264,1442,0,0,0,5,0,0,3,10,0,0,0,3,0,0,0,11,0,0,3,0,0,0,0,3,0,0,0,4,0,0,6,11,0,3,0,4,4,0,0,9,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,5,0,4,9,18,5,0,5,53,0,0,0,20,8,0,3,32,0,17,5,76,9,3,0,114,21,69,32,99,28,4,14,274,26,56,41,85,7,12,10,238,11,42,42,90,8,5,9,216,15,31,52,57,7,13,17,197,16,44,38,40,10,12,67,229,85,262,219,470,79,56,132,1298,0,0,0,0,0,0,13,13,0,0,0,0,0,0,22,22
501021009,0,4,0,72,14,0,18,110,0,12,8,231,17,4,45,312,3,26,23,204,5,16,56,328,8,13,17,222,7,6,57,328,11,9,38,241,0,9,67,374,11,31,48,230,4,23,139,474,30,90,133,1208,56,58,411,1993,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,4,0,0,0,10,0,0,0,11,0,0,0,0,0,0,4,7,0,0,6,0,0,0,0,6,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,5,0,0,6,24,0,4,11,42,0,0,0,32,9,0,0,55,0,7,3,46,16,3,3,92,13,37,38,132,18,15,12,268,17,53,43,135,17,7,16,282,8,46,56,135,12,17,14,291,28,36,46,96,9,17,23,245,7,46,54,49,11,24,107,296,76,228,241,629,102,79,181,1529,0,0,0,0,0,0,22,22,0,0,0,0,0,0,15,15
501021010,0,3,0,22,8,0,4,35,0,10,7,73,5,3,9,102,0,14,13,82,0,0,20,136,3,32,26,92,0,4,29,191,13,27,31,75,4,4,28,173,9,22,25,82,0,9,49,203,34,114,101,427,23,18,143,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,8,0,7,22,3,3,11,21,6,0,0,37,8,24,8,44,10,0,4,98,15,42,19,50,0,3,5,142,7,62,17,57,7,13,7,161,14,43,40,21,3,7,10,138,14,22,35,13,0,4,25,108,60,197,132,214,33,24,57,717,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,3
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,0,12,10,95,29,6,22,165,15,53,43,366,13,8,72,567,29,68,65,330,11,4,74,595,19,69,60,238,3,6,56,453,11,40,47,246,5,15,71,436,21,57,71,274,6,17,126,572,95,297,306,1578,76,61,434,2843,0,0,0,0,3,0,0,3,0,0,0,6,4,0,0,5,0,3,7,4,0,0,0,18,0,4,0,11,3,0,0,16,0,4,0,5,0,0,4,12,0,0,0,6,4,0,0,6,0,0,5,0,0,0,0,5,0,10,17,27,10,4,9,78,0,0,4,47,30,0,0,76,0,21,12,85,20,11,10,156,36,139,74,258,35,10,16,565,45,160,113,212,24,20,19,582,42,91,76,144,21,40,16,430,23,64,81,102,24,27,33,348,18,72,94,69,13,32,91,387,161,545,454,920,149,123,185,2542,0,0,0,0,0,0,4,10,0,0,0,0,0,0,3,3
501021014,0,9,7,78,16,0,25,132,11,48,27,156,13,4,47,305,12,53,28,216,10,6,63,375,12,42,50,240,5,7,78,437,22,33,55,201,6,9,65,394,21,45,54,207,5,16,113,459,71,235,217,1135,65,42,416,2184,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,5,0,0,0,11,0,6,0,0,0,0,0,3,0,0,0,5,0,0,0,4,0,0,5,0,0,0,0,4,0,4,4,18,3,7,3,45,0,0,5,30,22,0,7,63,4,15,10,58,14,7,6,106,21,87,34,114,20,10,14,296,27,98,57,139,17,10,12,357,29,95,68,130,10,23,13,369,25,65,80,111,23,11,21,330,23,58,68,58,13,10,103,333,127,418,325,635,112,62,178,1862,0,0,0,0,0,0,14,14,0,0,0,0,0,0,16,16
501021015,0,6,9,60,20,5,13,109,9,51,40,175,20,5,40,343,11,42,45,161,7,7,34,304,15,29,31,129,8,3,38,246,13,27,32,146,0,6,27,260,10,38,42,202,0,7,68,371,58,194,194,878,62,41,231,1660,0,0,0,0,0,0,3,5,0,0,0,4,0,0,0,8,5,0,0,3,3,0,6,15,0,4,0,0,0,0,0,10,0,0,0,3,0,0,3,6,0,4,3,0,0,0,0,10,0,0,0,3,0,4,3,7,5,10,5,24,6,4,15,57,0,0,4,25,13,0,5,42,5,10,10,60,16,0,3,106,18,90,45,128,23,7,12,325,23,69,45,101,12,14,12,275,20,52,54,109,5,17,15,276,17,41,51,79,6,19,26,238,12,33,43,34,5,18,51,203,97,301,247,536,76,75,132,1458,0,0,0,0,0,0,9,9,0,0,0,0,0,0,7,7
501021016,0,4,0,31,7,0,12,53,0,7,6,77,0,0,26,124,3,10,15,95,3,0,39,163,0,8,24,106,0,3,43,185,4,16,16,117,3,4,38,197,6,19,33,125,0,12,82,277,20,65,93,548,21,21,237,1011,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,8,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,7,0,0,3,0,0,0,3,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,6,17,7,0,4,35,0,0,4,13,8,0,4,23,0,0,3,21,7,0,0,36,3,20,15,56,4,4,6,114,9,35,27,71,10,5,8,155,11,22,26,59,6,13,14,155,13,25,40,51,5,16,11,153,3,17,43,17,3,9,75,175,34,128,155,280,47,44,121,806,0,0,0,0,0,0,11,11,0,0,0,0,0,0,9,9
