SA2_CODE_2021,Med_ag_pe_In_pe,Me_ag_ps_N_In_ps,Med_age_psns_Tot,Me_p_in_wk_In_pe,Me_ps_in_wk_No_In_pe,Med_psnl_inc_wk_Tot,Me_hh_in_wk_Hh_In_pe,Me_hh_in_wk_No_Ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_Hh_In_pe,Me_mo_re_mt_Ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_Hh_Ind_psns,Me_re_wk_No_Oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_Hh_w_In_p,Av_Nu_ps_pe_be_Ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_Hh_wi_Ind_psns,Avg_hh_si_Othr_hhd,Avg_household_size_Tot,P_d_n_x_b_Hh_w_In_p,P_d_n_x_b_No_Oth_hh,P_d_n_x_b_Tot
501011001,31,46,46,817,704,705,1437,1369,1370,2200,1813,1816,300,300,300,0.9,0.8,0.8,2.7,2.4,2.4,7.9,2.2,2.3
501011003,26,44,43,825,880,880,1562,1825,1823,2000,1972,1993,330,420,420,0.9,0.7,0.8,3,2.6,2.6,9.3,1.4,1.5
501011004,23,40,40,507,855,851,1699,1677,1678,1473,1726,1700,363,380,380,0.9,0.8,0.8,3,2.6,2.6,3.7,2.4,2.4
501011293,20,47,46,537,721,717,1343,1383,1381,1733,1733,1733,350,360,360,1,0.7,0.7,3.3,2.3,2.4,6.9,1,1.2
501011294,18,45,45,561,703,701,1527,1346,1351,1755,1733,1733,350,355,350,1,0.7,0.7,3.3,2.4,2.4,6.3,1,1.2
501021005,18,38,38,623,803,798,2055,1905,1910,1733,1733,1733,350,350,350,0.9,0.7,0.7,3.5,2.7,2.7,6.7,0.9,1.1
501021007,20,45,45,537,743,741,1625,1547,1551,1400,1625,1625,310,330,330,1,0.7,0.7,3.2,2.5,2.5,6.5,1.3,1.5
501021008,28,40,39,472,627,619,1261,1111,1122,1300,1300,1300,280,280,280,0.9,0.7,0.7,2.9,2.1,2.2,5.7,2,2.2
501021009,21,45,44,484,595,591,1375,1225,1234,1213,1300,1300,250,250,250,0.9,0.7,0.7,3.1,2.3,2.3,3.7,1.9,2
501021010,22,46,46,575,831,830,1166,1897,1883,1500,1769,1750,330,260,260,0.8,0.7,0.7,3.2,2.5,2.5,5.9,0.9,1
501021011,0,53,53,0,1062,1062,0,966,966,0,0,0,0,669,669,0,0.9,0.9,0,1.4,1.4,0,0,0
501021012,19,39,39,589,779,774,1952,1730,1738,1600,1657,1651,350,350,350,1,0.7,0.7,3.6,2.5,2.6,5.3,0.6,0.8
501021014,27,44,44,477,733,724,1307,1515,1498,1600,1700,1690,255,280,280,1,0.7,0.8,3.1,2.5,2.5,8.5,2.3,2.6
501021015,22,42,41,477,732,723,1392,1356,1358,1600,1503,1506,300,300,300,0.9,0.7,0.7,3.4,2.3,2.3,9.8,1.7,2
501021016,23,49,48,586,622,620,1974,1284,1312,1517,1625,1625,258,260,260,1,0.7,0.7,3.3,2.4,2.4,11.4,1.7,2.1
501021251,19,34,34,627,894,885,1829,2077,2066,1733,1733,1733,320,350,350,0.9,0.8,0.8,3.4,2.8,2.9,7.5,1,1.3
501021252,32,46,46,387,874,865,2299,2344,2342,2167,2080,2080,400,400,400,0.8,0.7,0.7,3.4,2.9,2.9,0,1.3,1.2
501021253,26,47,46,671,833,830,1578,1485,1487,1565,1625,1625,310,310,310,0.9,0.7,0.7,2.7,2.1,2.1,3.1,1,1.1
501021254,23,40,39,484,608,598,1201,1127,1133,1213,1300,1300,260,250,250,1,0.7,0.7,2.9,2.2,2.3,8.3,2,2.4
501031017,34,50,50,687,639,639,1350,1227,1230,1150,1385,1327,260,260,260,0.8,0.7,0.7,2.6,2.3,2.3,2.9,1.2,1.3
501031018,24,49,49,507,663,658,1562,1324,1332,1500,1573,1562,300,285,290,1,0.7,0.7,3.4,2.4,2.4,8.2,1.9,2.1
501031019,20,44,43,560,706,698,1199,1277,1271,1300,1300,1300,270,230,240,1,0.7,0.7,3.1,2.2,2.3,8.5,1,1.4
501031020,37,53,53,522,628,626,1281,1105,1112,1430,1300,1300,250,240,240,0.9,0.7,0.7,2.8,2.2,2.2,6.1,1.9,2.1
502011021,19,46,45,606,638,637,1718,1429,1436,1733,1850,1842,360,343,350,0.9,0.7,0.7,3.5,2.5,2.6,4.9,0.7,0.8
502011022,22,49,49,656,647,647,1446,1289,1294,1972,1733,1733,340,315,320,0.9,0.7,0.7,3.2,2.3,2.3,4.9,0.9,1
502011023,17,49,47,423,547,540,1234,992,1004,1400,1378,1387,300,293,295,1,0.7,0.7,3.6,2.2,2.3,8.2,1.1,1.4
502011024,21,49,49,503,665,662,1771,1367,1377,1831,1733,1733,350,350,350,0.9,0.7,0.7,3.3,2.3,2.4,3.4,0.6,0.7
502011025,23,50,49,471,578,573,966,898,901,1419,1300,1300,270,273,270,1,0.7,0.7,2.7,1.9,1.9,8.7,1.8,2.1
502011026,22,49,49,817,637,639,2094,1338,1348,1950,1777,1799,325,320,320,0.9,0.7,0.7,3.1,2.3,2.4,12.5,1.1,1.4
502011027,17,37,36,785,772,772,1928,1858,1861,1891,1829,1837,360,350,350,0.9,0.7,0.7,3.5,2.7,2.8,3.6,0.9,1
502011028,19,52,51,455,546,543,1052,1033,1034,1408,1500,1500,262,285,280,0.9,0.6,0.7,3.2,2.1,2.2,9.4,1.2,1.6
502011029,20,43,42,539,612,610,1452,1328,1337,1625,1733,1733,300,300,300,0.9,0.8,0.8,3.2,2.5,2.6,6.5,1.8,2
503011030,20,47,47,450,1231,1228,1937,3712,3700,5200,4000,4000,700,750,750,0.8,0.7,0.7,3.3,2.8,2.8,0,0.3,0.3
503011031,20,45,44,374,1118,1115,1875,2069,2068,2050,2800,2800,320,460,460,1,0.8,0.8,2.4,2.2,2.2,8.3,1.2,1.2
503011032,32,44,44,1562,1458,1458,3750,3348,3351,4333,3913,3925,750,550,550,0.9,0.8,0.8,2.9,2.5,2.5,0,1,1
503011033,20,42,42,524,1216,1215,2625,3575,3570,2500,3250,3250,400,600,600,0.9,0.8,0.8,3,3,3,7.1,0.8,0.9
503011034,18,42,42,467,1088,1079,1531,2317,2303,2200,3042,3033,270,310,310,0.9,0.8,0.8,2.5,2.4,2.4,6.4,1.3,1.3
503011035,20,37,37,360,929,920,2374,2613,2610,6075,3519,3521,500,450,450,1.1,0.8,0.8,3.1,2.6,2.6,2.7,2.5,2.6
503011036,16,42,42,90,1183,1178,2437,3172,3167,4333,3250,3250,315,460,450,1,0.8,0.8,3.3,2.7,2.7,0,0.6,0.6
503021037,0,61,61,0,2150,2150,0,4799,4799,0,9999,9999,0,1000,1000,0,0.8,0.8,0,2.2,2.2,0,0,0
503021038,22,37,37,630,1285,1280,2531,2635,2632,2800,2383,2383,430,425,425,1,0.8,0.9,2.7,2.4,2.4,5.9,1.4,1.5
503021039,32,38,38,900,1119,1118,2021,2080,2079,2080,2200,2200,345,340,340,0.8,0.8,0.8,2.2,2.2,2.2,1.2,1.5,1.5
