SA2_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
501011001,0,39,39,0,21,22,0,55,54,0,91,99,5,254,256,0,229,229,3,233,235,3,260,260,5,263,269,4,193,203,3,132,142,0,93,102,0,208,208,8,235,240,0,47,47,31,2353,2405
501011003,0,56,58,0,27,31,3,63,67,0,113,114,6,262,268,5,281,283,7,330,332,8,396,399,6,474,478,3,405,410,0,264,269,4,226,229,8,582,588,8,466,476,0,54,54,58,3999,4056
501011004,0,39,44,0,24,28,8,71,79,5,118,121,0,224,235,7,287,297,9,298,308,14,371,382,7,447,453,13,309,318,3,229,232,3,208,211,9,348,355,3,394,396,0,37,39,81,3404,3498
501011293,0,64,64,0,30,29,0,72,78,4,133,139,9,397,406,15,361,374,8,307,316,10,351,363,9,356,373,3,308,310,4,226,238,4,176,175,9,335,339,17,321,332,5,65,68,97,3502,3604
501011294,5,89,86,3,49,52,14,156,166,11,331,347,19,829,847,23,749,773,18,653,676,24,718,737,19,775,797,9,558,566,16,449,461,10,351,362,14,630,640,19,610,633,5,150,160,209,7097,7303
501021005,4,73,77,0,29,29,11,124,142,17,208,220,8,554,567,25,482,504,17,494,508,15,602,618,29,761,798,17,575,589,18,551,563,10,412,421,34,854,881,32,643,673,4,78,86,241,6440,6676
501021007,0,33,40,0,12,12,5,40,41,4,87,90,5,220,227,8,135,141,8,146,155,4,177,185,8,211,220,0,168,169,3,138,140,5,105,109,3,194,199,4,214,218,6,43,40,63,1923,1986
501021008,3,64,63,0,22,23,13,82,94,12,165,173,23,352,374,13,286,297,18,211,225,18,279,296,17,254,268,3,218,219,6,148,157,10,101,110,5,139,145,13,153,165,3,54,57,157,2528,2666
501021009,0,63,63,0,16,20,10,102,110,16,198,217,15,538,558,18,295,311,15,225,237,22,291,318,10,318,334,6,226,234,14,187,199,4,148,155,12,308,318,15,241,251,3,83,87,160,3239,3412
501021010,0,14,14,0,13,13,0,18,23,0,40,43,0,93,95,0,85,84,0,77,81,5,105,109,4,111,115,0,96,98,0,110,115,0,69,69,0,185,185,0,128,129,0,23,23,9,1167,1196
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
501021012,0,53,53,0,17,19,5,58,61,10,157,167,14,429,445,13,362,378,15,322,341,15,435,452,16,502,513,18,411,428,6,332,343,5,279,284,18,508,522,22,356,379,3,53,54,160,4274,4439
501021014,0,60,61,0,28,29,3,81,81,8,154,168,14,368,381,16,288,304,18,236,254,16,318,332,6,345,351,8,271,270,7,200,207,0,184,187,11,385,392,21,292,304,3,68,74,131,3278,3395
501021015,0,30,30,0,13,15,14,62,70,10,138,149,15,370,387,12,273,285,9,192,205,11,332,341,11,333,349,7,228,238,10,177,184,7,119,123,11,252,257,11,204,214,0,42,41,128,2765,2888
501021016,0,41,41,0,20,20,3,45,41,3,70,79,3,207,217,8,141,146,11,108,117,4,127,133,15,127,138,7,90,94,4,94,101,4,71,78,7,170,172,8,155,164,0,52,52,77,1518,1593
501021251,0,32,34,0,16,17,6,56,62,8,81,90,6,219,231,8,207,216,9,219,235,9,280,294,15,408,428,13,343,351,12,272,283,10,210,217,7,450,459,17,322,339,0,28,31,120,3143,3287
501021252,0,8,8,0,10,14,0,16,18,0,24,29,0,58,58,0,54,53,0,49,49,3,63,66,6,108,116,4,94,95,3,79,86,3,76,77,0,178,178,8,122,123,0,17,17,27,956,987
501021253,3,60,64,4,34,33,5,106,113,3,202,206,6,546,559,18,480,503,10,396,401,16,470,486,23,506,521,8,452,464,10,368,379,10,352,364,14,849,862,10,329,331,0,89,89,140,5239,5375
501021254,4,38,38,0,13,19,13,69,81,19,143,160,20,288,306,15,202,217,14,187,207,11,194,205,16,209,227,10,139,146,3,115,120,6,57,61,5,111,118,12,117,132,6,42,47,154,1924,2084
501031017,0,57,55,0,38,38,3,76,75,7,127,126,11,352,366,7,288,291,7,227,236,3,274,276,8,234,246,5,188,197,3,164,166,3,106,113,5,225,236,8,226,237,0,59,64,70,2641,2722
501031018,0,43,44,0,41,41,0,42,43,10,98,105,6,278,285,11,246,252,7,181,189,9,221,230,9,211,224,6,155,156,6,124,130,0,96,96,5,253,260,15,189,207,3,43,46,87,2221,2308
501031019,0,25,25,0,21,25,3,62,66,7,111,120,6,229,241,14,222,232,15,165,183,12,245,262,13,236,249,3,175,181,5,131,136,0,100,100,3,138,140,3,124,125,0,53,57,84,2037,2142
501031020,4,40,42,0,22,26,0,65,65,0,99,105,12,282,291,14,217,229,4,159,161,0,195,200,7,189,201,4,146,144,0,78,86,0,57,60,4,130,134,7,173,174,0,49,49,56,1901,1967
502011021,0,68,71,3,27,26,9,76,79,0,135,137,4,375,378,4,282,285,8,202,211,17,290,303,7,272,279,4,217,224,7,195,198,5,159,162,6,339,347,11,339,349,0,51,51,85,3027,3100
502011022,6,100,107,0,25,26,0,76,81,6,179,185,12,438,456,8,406,410,7,315,318,10,335,347,11,335,345,10,262,267,11,219,229,6,200,205,11,441,453,11,361,370,3,54,57,112,3746,3856
502011023,6,69,71,0,30,33,15,118,130,10,233,242,30,712,746,26,506,532,24,342,368,22,358,378,5,335,343,4,218,230,7,168,179,3,145,150,10,248,259,27,277,298,5,96,98,194,3855,4057
502011024,0,152,151,0,48,54,9,163,174,16,302,313,18,913,932,19,862,876,15,633,651,17,635,651,15,699,714,17,495,517,9,466,482,14,375,384,17,1003,1023,41,715,755,0,154,158,207,7615,7835
502011025,3,107,109,3,52,50,12,168,184,24,330,356,25,715,736,27,644,671,20,375,395,12,400,413,18,375,387,5,235,244,4,173,179,3,130,132,12,366,378,14,260,272,9,141,151,191,4471,4657
502011026,0,46,46,0,24,25,0,58,59,10,116,129,6,315,326,7,260,265,0,183,183,7,211,220,4,225,230,4,147,147,3,160,160,3,122,127,17,299,316,10,253,266,0,48,51,71,2467,2550
502011027,6,90,97,0,47,51,11,103,117,6,257,264,10,624,641,19,575,590,22,529,552,25,642,672,22,761,786,18,611,628,13,534,551,14,443,454,21,981,1001,30,786,814,7,97,106,224,7080,7324
502011028,6,96,101,0,37,39,11,146,154,26,272,303,26,753,781,34,561,588,14,366,381,9,406,415,14,356,371,17,242,258,4,229,235,8,178,187,9,384,396,14,340,351,8,112,123,200,4478,4683
502011029,0,53,55,0,35,35,6,93,98,5,182,187,21,462,483,19,365,384,15,297,309,9,291,300,19,324,347,6,246,255,9,221,229,5,155,159,13,336,346,21,394,411,3,91,97,151,3545,3695
503011030,0,30,34,0,15,15,0,14,14,0,45,45,0,91,91,0,85,85,0,103,103,5,121,129,0,148,148,0,113,118,0,147,149,0,165,165,4,990,991,0,184,181,0,39,39,9,2290,2307
503011031,0,66,66,0,42,46,4,62,66,0,121,119,0,209,210,0,225,229,0,182,182,0,263,263,3,335,338,4,248,249,6,225,226,0,276,275,6,1236,1240,0,219,219,0,55,55,23,3764,3783
503011032,0,48,48,0,24,24,0,33,30,0,62,62,0,83,85,0,95,95,0,109,111,0,129,129,0,184,184,0,154,154,0,160,160,0,186,192,7,1365,1375,0,214,219,0,31,33,7,2877,2901
503011033,0,31,35,0,16,16,0,30,30,0,59,59,0,86,86,0,111,111,0,118,118,0,144,142,0,209,211,0,201,201,0,206,207,0,205,206,3,1210,1213,0,194,192,0,17,17,3,2837,2844
503011034,0,79,85,0,36,36,4,93,95,6,130,132,0,245,250,5,221,226,0,203,207,3,252,256,9,266,274,5,270,272,5,241,238,3,225,235,8,1409,1418,0,271,274,0,42,46,48,3983,4044
503011035,0,141,141,0,67,62,0,117,119,0,144,144,0,234,236,0,367,363,3,304,309,4,404,407,3,473,476,4,385,391,0,379,377,4,399,404,15,2379,2387,4,400,405,0,53,53,37,6246,6274
503011036,0,45,45,0,32,32,0,37,38,0,73,73,0,179,179,5,159,161,0,117,119,0,211,208,0,220,219,0,211,214,3,221,222,0,208,208,4,1312,1315,3,222,225,0,33,35,15,3280,3293
503021037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,8,8
503021038,0,52,57,0,21,22,0,60,62,0,82,87,3,243,250,0,221,226,0,190,190,0,239,241,0,315,314,12,347,361,8,371,380,7,381,384,11,1697,1708,0,245,244,0,38,38,41,4502,4564
503021039,0,106,106,3,29,34,0,127,127,5,218,219,5,404,406,5,402,408,6,354,358,8,482,486,9,651,654,9,607,610,5,556,556,4,507,513,27,2114,2144,4,369,374,3,74,77,93,7000,7072
503021040,3,54,60,0,19,21,0,55,54,4,116,121,0,212,217,0,207,210,0,204,206,4,245,249,3,298,306,3,281,289,6,307,313,4,322,323,18,1274,1292,3,214,221,3,35,39,51,3843,3921
503021042,0,125,125,0,61,57,0,125,126,6,260,266,0,450,454,3,444,452,7,380,388,3,456,460,8,623,623,10,540,552,4,549,553,4,544,552,16,2557,2574,0,355,356,0,84,85,61,7553,7623
503021043,3,103,107,3,56,59,3,121,125,0,233,235,5,389,397,7,512,520,10,460,469,3,639,642,3,810,811,4,669,671,4,552,556,4,569,571,20,2148,2165,6,375,379,4,71,74,79,7707,7781
503021295,6,154,161,0,34,35,0,90,94,3,154,161,0,253,257,10,253,264,4,265,265,6,379,382,9,517,532,8,451,456,3,489,488,5,410,410,15,1722,1738,5,308,313,0,54,54,74,5533,5610
503021296,0,99,99,0,29,28,3,88,90,8,185,194,7,259,258,5,265,269,0,248,249,8,392,400,8,514,520,7,483,491,10,444,447,0,451,456,24,1431,1457,0,329,334,0,58,58,80,5275,5350
503021297,0,183,182,0,36,36,0,105,112,3,171,170,4,192,193,10,242,245,0,203,211,0,302,308,3,504,510,6,456,469,6,442,452,0,470,471,21,1661,1678,3,280,278,0,53,53,56,5300,5368
504011044,0,88,88,3,43,46,19,121,134,12,240,252,20,590,606,11,512,521,14,424,441,18,523,539,20,633,651,6,539,543,18,513,528,6,458,464,20,1024,1043,13,377,388,5,91,94,185,6176,6338
504011045,3,144,145,11,77,84,13,172,184,15,337,354,14,776,789,22,620,639,19,497,521,12,765,775,19,853,865,6,847,851,11,737,751,12,757,769,38,2132,2170,24,585,610,3,126,133,222,9425,9640
504011046,3,106,112,0,38,40,17,124,139,3,256,262,8,459,471,9,449,462,0,364,363,8,505,513,21,696,717,10,537,544,7,488,494,5,493,505,14,1305,1320,6,330,343,0,74,68,111,6224,6353
504011047,5,173,180,0,67,72,10,201,207,11,368,381,17,926,939,17,756,770,13,681,693,17,835,853,23,1001,1025,10,743,750,11,630,643,7,530,537,19,977,1000,14,572,584,3,125,127,177,8585,8761
504011048,0,75,75,0,17,17,0,65,62,0,89,89,4,316,317,5,271,275,3,242,240,11,284,296,0,312,318,5,282,286,0,230,230,0,168,168,8,384,394,3,173,183,0,34,41,39,2942,2991
504021049,6,12,13,0,6,6,0,30,32,0,32,30,0,77,80,0,55,59,0,48,48,0,96,100,0,99,96,0,86,89,0,74,76,0,64,64,0,145,147,9,126,134,0,21,21,15,971,995
504021050,0,37,37,0,12,11,0,38,38,5,69,70,3,149,153,4,141,147,0,150,152,5,213,218,4,249,248,0,241,248,3,211,213,4,191,198,7,547,553,6,228,233,0,24,24,41,2500,2543
504021051,0,37,35,0,13,11,0,40,40,7,79,90,9,216,216,3,162,166,3,146,151,4,168,173,12,207,216,6,156,162,6,170,171,7,148,147,8,351,359,5,171,178,0,38,38,70,2102,2153
504021052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504021053,0,55,55,0,24,24,3,78,87,0,111,113,4,356,361,9,330,337,7,352,357,8,382,386,12,483,493,12,391,408,11,363,373,4,314,323,12,752,766,19,517,542,0,59,64,101,4567,4689
504021054,7,73,80,4,35,41,19,122,135,22,207,225,23,539,568,27,426,457,25,335,356,22,489,509,35,531,560,11,413,429,20,313,338,7,255,261,22,476,498,34,355,388,10,111,119,288,4680,4964
504031055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031056,9,89,99,0,45,46,7,152,162,12,246,260,11,531,543,19,557,575,20,526,548,16,634,648,13,771,787,7,582,592,8,432,444,6,364,368,13,531,544,17,469,490,0,84,84,158,6013,6190
504031057,8,102,113,0,60,60,19,161,182,13,242,257,24,513,536,20,553,579,20,588,610,20,763,780,29,931,968,25,682,701,9,508,514,11,403,417,26,591,611,17,518,531,5,88,96,246,6703,6955
504031058,0,28,30,0,15,15,4,38,37,0,54,55,6,129,138,4,104,109,0,120,124,8,166,180,11,211,223,4,179,184,0,123,128,0,114,119,4,242,246,4,236,243,0,26,26,45,1785,1857
504031060,0,19,19,0,7,7,0,7,7,0,12,14,0,56,59,3,42,40,3,46,45,0,68,62,0,91,96,0,66,65,0,82,82,0,42,49,7,209,219,3,118,122,0,22,22,16,887,908
