SA2_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
501011001,11,1199,5,1218,0,261,0,264,13,637,11,656,7,95,0,95,0,54,0,52,0,3,0,4,0,59,219,277,34,2301,240,2566,13,1459,13,1484,0,250,0,258,3,511,5,522,0,85,3,88,0,33,0,32,0,5,0,5,0,51,200,242,19,2386,225,2629,23,2660,21,2701,4,516,0,522,20,1148,16,1175,7,177,0,185,0,83,0,84,0,9,0,8,0,107,417,524,50,4690,460,5196
501011003,12,2514,12,2545,7,454,3,458,11,903,3,908,0,135,0,138,5,57,0,59,0,4,0,6,0,49,362,416,31,4113,391,4528,16,2906,5,2934,0,400,0,404,3,775,3,789,0,90,3,91,0,37,0,44,0,3,0,3,0,55,282,336,31,4271,299,4598,34,5419,24,5475,5,851,4,864,13,1676,9,1700,3,223,3,229,3,97,4,101,0,9,0,8,0,108,639,750,60,8385,685,9126
501011004,23,2106,8,2136,5,376,3,380,9,681,0,693,0,87,0,85,0,85,0,85,0,7,0,7,0,71,332,407,36,3410,341,3790,22,2526,10,2558,11,310,9,324,17,559,4,582,3,66,0,77,0,32,0,39,0,5,0,5,0,76,227,305,53,3581,245,3883,49,4635,16,4695,15,684,6,701,27,1241,8,1272,4,155,0,165,0,117,0,119,0,9,0,9,3,150,555,710,93,6993,592,7676
501011293,28,1549,3,1581,13,392,0,405,19,972,4,1001,8,165,0,172,5,118,3,123,0,19,0,22,0,68,216,289,74,3283,232,3593,25,1858,5,1891,6,405,5,413,16,1000,3,1018,7,158,0,166,4,105,0,113,0,3,0,3,0,76,163,236,59,3609,181,3849,50,3414,11,3468,21,793,3,820,31,1971,9,2021,23,317,0,338,7,221,0,238,0,29,0,29,4,146,381,530,139,6895,413,7446
501011294,49,3062,22,3122,12,773,0,783,31,1948,5,1991,7,309,3,321,3,246,0,251,0,43,0,46,9,142,355,509,114,6516,390,7023,59,3761,20,3840,18,873,8,892,37,2106,10,2153,10,285,3,298,3,267,4,272,3,34,0,33,8,208,298,513,132,7526,344,8001,109,6821,36,6964,34,1640,11,1684,74,4053,17,4141,16,592,10,621,10,514,4,527,5,75,0,80,11,352,654,1018,247,14045,729,15026
501021005,54,2843,12,2907,24,856,0,874,49,2059,10,2119,8,324,0,335,4,167,0,166,0,11,0,10,8,80,374,458,143,6334,395,6877,53,3549,10,3610,32,898,3,930,46,1884,13,1947,9,271,5,285,0,140,0,140,0,13,0,13,8,93,247,341,146,6846,280,7275,105,6394,16,6516,51,1754,4,1809,99,3943,19,4059,18,598,5,623,4,305,4,306,0,25,0,28,13,168,625,804,290,13185,679,14153
501021007,9,734,0,745,6,213,5,219,14,667,4,683,5,129,0,136,0,60,0,62,0,3,0,3,0,42,148,191,36,1855,156,2040,15,1029,0,1041,6,272,0,278,12,549,3,563,0,84,0,86,0,38,0,43,0,5,0,9,0,47,121,167,37,2022,125,2185,23,1763,0,1783,13,482,6,505,26,1215,6,1248,5,209,4,220,0,106,0,101,0,10,0,12,0,92,262,352,69,3877,283,4226
501021008,35,847,0,884,14,264,0,273,117,1000,9,1121,12,158,0,174,9,100,0,109,8,25,0,36,9,101,165,272,203,2491,178,2873,31,1038,0,1076,15,282,0,306,51,795,9,848,11,138,0,154,5,101,4,112,0,18,0,18,3,69,182,255,123,2447,200,2763,70,1883,0,1956,32,544,0,575,164,1790,20,1975,23,297,8,324,15,197,5,219,9,44,0,54,12,171,344,528,327,4936,377,5640
501021009,20,868,0,898,19,517,4,544,47,1178,6,1236,15,240,3,259,5,170,5,179,4,13,0,12,5,104,251,357,118,3098,269,3486,25,1167,7,1200,23,475,0,498,36,1104,3,1139,5,182,4,189,0,121,0,124,0,6,0,10,7,115,213,330,97,3167,233,3497,49,2041,14,2098,43,992,9,1047,88,2283,9,2378,20,427,6,454,8,286,6,303,0,18,0,21,9,216,464,688,217,6266,504,6981
501021010,0,524,4,529,0,141,0,143,5,410,5,419,0,69,0,69,0,33,0,33,0,0,0,0,0,22,89,111,13,1208,99,1314,0,661,6,672,4,137,0,141,0,295,7,298,0,36,0,39,0,23,0,23,0,3,0,3,0,15,77,88,7,1166,84,1260,5,1185,8,1200,5,278,0,285,9,704,5,716,0,108,0,103,0,61,0,61,0,0,0,0,0,34,160,194,20,2376,178,2572
