SA2_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
501011001,7,289,290,0,41,46,0,11,11,0,0,0,0,0,0,0,52,57,5,667,673,11,829,842,6,350,357,0,45,45,22,1891,1917,35,2360,2399
501011003,8,364,368,4,43,44,0,14,14,0,0,4,0,4,4,4,61,66,14,923,928,17,1384,1401,11,908,923,0,115,119,42,3330,3371,58,3996,4055
501011004,14,414,429,0,66,67,0,8,8,0,4,4,0,3,3,0,81,82,29,983,1012,20,1078,1104,11,502,511,0,73,72,60,2636,2699,83,3405,3487
501011293,23,274,294,6,21,28,3,10,15,0,0,0,0,0,0,9,31,43,32,794,824,20,1346,1371,10,854,864,0,55,55,62,3049,3114,101,3509,3616
501011294,45,580,621,8,67,76,0,5,7,0,0,0,0,0,0,8,72,83,64,1956,2021,57,2578,2634,10,1470,1479,4,95,95,135,6099,6229,209,7084,7292
501021005,31,385,415,14,43,57,5,11,10,0,0,3,0,0,0,19,54,70,64,1505,1569,64,2295,2357,41,1742,1781,0,124,124,169,5666,5831,235,6429,6668
501021007,13,157,169,5,16,19,0,6,6,0,0,0,0,0,0,5,22,25,20,473,490,18,703,720,6,411,409,0,39,40,44,1626,1659,65,1928,1990
501021008,36,315,352,7,41,47,0,9,10,0,0,0,0,0,0,7,50,57,52,729,771,32,958,986,17,305,323,0,24,26,101,2016,2106,156,2520,2677
501021009,39,308,350,3,45,55,0,8,10,0,3,3,0,0,0,3,56,68,46,891,937,48,1222,1263,6,528,536,0,52,52,100,2693,2788,165,3238,3404
501021010,0,95,100,0,8,10,0,4,4,0,0,0,0,0,0,0,12,14,8,275,280,4,431,441,0,251,248,0,42,42,12,999,1011,18,1174,1192
