SA2_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
501011001,..,10,11,6,0,0,26,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,10,11,6,3,0,25,..,895,294,318,112,29,1642,..,..,..,17,20,19,54,..,..,..,..,..,4,4,..,895,294,336,127,45,1697
501011003,..,17,9,6,6,4,34,..,..,..,0,0,0,3,..,..,..,..,..,0,0,..,17,9,7,6,5,37,..,1479,582,663,242,56,3021,..,..,..,30,52,41,121,..,..,..,..,..,0,0,..,1479,582,689,294,101,3153
501011004,..,28,17,14,5,5,69,..,..,..,0,0,0,4,..,..,..,..,..,0,0,..,28,17,14,7,7,71,..,1048,547,567,205,44,2406,..,..,..,27,27,27,86,..,..,..,..,..,0,0,..,1048,547,589,228,70,2492
501011293,..,21,24,14,16,7,77,..,..,..,0,0,4,5,..,..,..,..,..,0,0,..,21,24,14,15,13,83,..,1378,448,419,161,43,2458,..,..,..,15,30,23,69,..,..,..,..,..,6,6,..,1378,448,431,194,75,2536
501011294,..,44,46,42,14,19,173,..,..,..,3,0,3,12,..,..,..,..,..,0,0,..,44,46,47,13,27,182,..,2518,896,946,362,117,4834,..,..,..,46,63,70,181,..,..,..,..,..,12,12,..,2518,896,991,429,196,5028
501021005,..,53,49,46,28,18,196,..,..,..,0,0,13,18,..,..,..,..,..,0,0,..,53,49,46,29,32,209,..,2250,1021,1122,432,171,4997,..,..,..,59,76,69,202,..,..,..,..,..,14,14,..,2250,1021,1182,507,248,5205
501021007,..,9,16,11,12,5,44,..,..,..,0,0,3,3,..,..,..,..,..,0,0,..,9,16,11,10,4,53,..,760,274,260,121,37,1455,..,..,..,19,11,23,46,..,..,..,..,..,0,0,..,760,274,280,131,61,1502
501021008,..,43,29,21,6,11,111,..,..,..,8,3,6,19,..,..,..,..,..,6,6,..,43,29,30,11,21,135,..,769,295,235,86,34,1422,..,..,..,20,9,12,44,..,..,..,..,..,0,0,..,769,295,261,97,45,1473
501021009,..,38,20,28,16,13,118,..,..,..,4,4,5,10,..,..,..,..,..,0,0,..,38,20,29,21,22,128,..,1105,399,369,160,50,2084,..,..,..,35,23,24,78,..,..,..,..,..,0,0,..,1105,399,402,184,72,2162
501021010,..,4,4,3,0,5,10,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,4,4,3,0,5,10,..,456,164,180,73,20,899,..,..,..,5,11,0,18,..,..,..,..,..,5,5,..,456,164,188,82,31,923
