SA2_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
501011001,8,748,345,1087,0,0,0,33,50,87,0,0,0,33,53,88,28,22,54,2388,2405,4794,21,30,53,2439,2459,4900,11,5,18,473,504,976,7,6,11,485,518,1002,15,13,27,1532,1530,3056,14,22,40,1565,1561,3129,17,18,33,1169,1263,2433,5,8,19,1195,1289,2481
501011003,15,1274,538,1811,0,0,3,53,88,138,0,0,0,57,89,146,47,36,78,4465,4491,8954,34,32,66,4542,4559,9100,13,3,12,848,912,1761,3,0,6,865,915,1781,25,21,47,2899,2779,5680,30,23,50,2956,2827,5783,18,18,37,2151,2345,4496,9,6,16,2176,2367,4544
501011004,13,1036,506,1544,3,3,7,57,64,118,0,0,0,61,66,131,59,65,126,3678,3780,7460,19,29,52,3759,3876,7632,5,13,19,830,815,1639,5,8,10,833,831,1672,33,29,63,2247,2285,4526,12,20,32,2297,2336,4626,29,48,74,1996,2058,4055,8,14,19,2033,2118,4151
501011293,4,1086,576,1664,4,3,11,54,83,136,0,0,0,61,83,141,106,87,195,3371,3597,6967,19,15,29,3490,3698,7186,20,24,47,712,767,1477,5,3,4,739,787,1527,58,47,104,2134,2260,4395,11,16,25,2209,2321,4527,54,53,108,1790,1941,3728,3,4,9,1846,1997,3840
501011294,20,2298,1322,3623,7,9,16,113,193,307,0,0,3,119,197,318,166,176,342,6984,7758,14741,39,55,93,7191,7989,15176,48,40,85,1350,1497,2847,6,7,10,1403,1545,2946,95,99,192,4507,4956,9470,31,42,71,4630,5098,9734,87,97,186,3439,3883,7330,7,19,24,3538,4005,7537
501021005,5,2545,1473,4016,0,3,8,134,210,341,0,0,0,136,219,351,206,225,430,7449,7683,15135,26,35,62,7682,7943,15630,49,41,90,1155,1283,2434,5,8,10,1212,1325,2533,109,111,222,4969,5111,10080,19,33,52,5101,5248,10346,127,124,250,3080,3405,6481,11,10,17,3214,3537,6752
501021007,7,661,412,1070,0,0,0,24,56,82,0,0,0,22,65,84,51,53,104,2074,2202,4276,10,9,24,2133,2273,4403,14,11,24,287,313,603,4,0,4,300,325,623,24,32,55,1504,1575,3079,10,9,17,1537,1616,3155,32,27,57,752,832,1591,0,3,7,784,866,1651
501021008,4,767,490,1257,4,5,7,45,79,129,0,0,0,56,86,140,143,137,271,2079,2411,4493,13,20,33,2235,2560,4795,25,42,70,485,504,991,0,0,0,507,547,1059,77,75,154,1398,1522,2924,8,13,22,1489,1610,3096,64,86,149,1021,1249,2270,4,0,3,1092,1333,2428
501021009,7,1208,656,1865,5,0,3,52,102,150,0,0,0,56,97,154,153,134,290,3336,3270,6609,25,26,50,3518,3429,6945,38,40,80,505,524,1024,3,4,6,546,571,1112,96,76,166,2530,2411,4945,24,24,44,2652,2511,5161,77,77,158,1096,1186,2280,3,9,10,1177,1273,2446
501021010,9,427,218,641,0,0,0,23,33,59,0,0,0,23,33,59,19,6,20,1352,1318,2672,14,12,22,1379,1339,2721,0,3,0,165,149,314,0,0,0,171,147,323,11,7,17,1026,977,2005,12,11,23,1054,998,2048,3,3,9,428,432,852,0,0,0,431,437,861
