SUA_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
5000,1430,4053,13053,14306,15304,12605,3406,497,48,64716,1444,837,1755,1766,2016,2823,1882,523,65,13111,163,255,979,1249,1398,1665,589,68,6,6374,120,182,416,382,358,310,149,80,24,2016,3158,5323,16207,17701,19076,17411,6025,1167,149,86215,186,301,478,408,418,444,92,5,0,2324,202,95,112,110,128,165,88,9,3,908,385,400,594,518,541,609,177,15,3,3237,3540,5720,16796,18220,19619,18017,6198,1183,151,89443,3216,1228,2613,2668,2770,5303,12822,6513,1506,38644,873,1615,5904,6178,6190,4786,2343,983,286,29152,7630,8565,25313,27061,28580,28106,21374,8671,1941,157245,692,2344,5920,5664,7044,5674,1234,166,5,28741,1945,1299,3922,5721,5520,5430,2010,301,13,26166,137,270,1110,928,944,1372,364,39,0,5180,121,124,235,216,218,196,93,53,7,1258,2896,4042,11191,12528,13732,12676,3699,552,30,61352,128,142,251,224,254,213,29,0,0,1246,210,97,201,240,228,229,52,4,0,1267,341,239,451,467,481,445,80,3,3,2513
5001,223,407,1098,1104,1271,1022,235,20,4,5393,361,162,231,232,236,389,268,45,3,1932,14,16,49,52,71,99,29,4,7,342,10,22,28,20,27,20,6,0,0,139,609,610,1402,1405,1613,1529,541,75,16,7798,26,32,51,29,35,30,6,0,0,210,53,15,30,11,12,17,13,0,0,158,78,40,83,44,50,45,22,0,0,370,693,652,1489,1450,1658,1578,563,77,16,8168,399,137,343,270,262,498,1320,1019,417,4663,57,40,101,91,116,104,100,63,39,703,1146,835,1927,1811,2034,2178,1981,1154,471,13533,103,297,566,607,889,609,103,10,0,3178,473,231,603,858,835,833,282,30,5,4154,15,27,101,51,65,90,28,8,0,374,11,11,22,12,20,13,6,4,0,100,604,559,1292,1534,1810,1538,419,48,5,7806,12,17,16,18,16,14,0,0,0,99,50,10,27,18,24,35,4,0,0,168,60,35,46,38,38,48,3,0,0,268
5002,50,173,653,752,681,479,141,9,0,2938,107,48,111,115,108,126,120,21,0,762,10,17,56,83,95,134,80,21,0,491,5,11,32,29,12,16,3,3,0,111,171,241,854,980,896,744,344,58,0,4292,14,24,29,22,21,22,0,0,0,133,9,7,3,13,11,10,3,0,0,51,20,30,35,34,37,33,7,0,0,183,194,269,889,1011,930,777,350,58,0,4476,128,72,148,115,134,310,871,369,44,2186,65,88,213,186,214,214,146,83,15,1220,386,427,1247,1319,1277,1301,1367,503,56,7884,52,149,660,600,550,392,69,3,0,2479,152,99,317,403,253,248,108,17,0,1601,7,30,135,97,92,142,60,4,0,574,8,9,29,22,16,15,4,4,0,101,221,293,1146,1121,916,791,240,34,0,4756,18,8,22,11,15,7,0,0,0,88,7,8,18,15,9,5,0,0,0,68,28,23,44,29,18,19,0,0,0,156
5003,389,1039,2800,3244,3122,2401,457,21,0,13477,710,342,480,406,393,464,360,55,3,3207,48,59,143,133,172,174,53,7,0,794,17,24,82,57,53,29,5,4,0,282,1167,1464,3500,3842,3740,3078,880,82,4,17760,72,96,144,115,106,87,16,0,0,635,115,39,49,17,33,32,16,3,0,306,180,135,193,139,138,118,31,3,0,938,1348,1603,3697,3976,3881,3194,908,85,4,18699,910,236,464,520,493,970,2397,1622,488,8104,89,109,245,207,213,174,160,97,72,1371,2344,1948,4403,4710,4583,4346,3465,1804,569,28180,223,687,1531,1522,1967,1203,130,5,0,7272,1016,578,1417,2082,1800,1396,446,36,0,8767,54,75,253,150,125,145,25,6,0,832,21,30,39,48,37,23,8,0,0,219,1317,1370,3243,3807,3933,2765,613,42,3,17087,55,44,75,58,60,59,9,0,0,353,162,61,89,98,87,53,12,4,0,551,215,100,162,153,142,113,18,4,0,904
5004,193,379,1091,1489,1583,1127,264,27,3,6159,459,166,260,283,331,463,357,48,6,2371,38,23,77,113,122,107,28,7,0,525,23,8,28,31,34,16,3,4,4,146,714,575,1452,1923,2067,1707,662,88,8,9199,17,26,57,29,35,24,3,0,0,200,45,12,14,20,8,15,10,0,0,130,62,42,75,46,49,41,18,0,0,325,774,617,1521,1969,2119,1747,680,88,8,9527,358,82,131,149,215,512,1733,1185,344,4704,47,31,141,129,127,149,140,102,37,904,1172,727,1794,2238,2461,2412,2556,1367,396,15132,111,228,650,762,1027,626,93,10,0,3517,529,258,687,1243,1199,998,353,34,0,5309,42,26,112,117,90,114,34,6,0,539,13,15,16,29,20,17,7,4,0,120,691,530,1464,2148,2339,1759,487,51,5,9481,13,13,20,23,20,16,0,0,0,90,49,7,25,39,32,33,6,0,0,195,54,18,45,55,58,49,9,0,0,284
5005,98,190,428,461,531,429,83,13,0,2239,87,27,68,57,63,97,69,14,0,476,8,0,27,23,23,35,10,4,0,135,9,8,20,21,12,11,3,0,0,78,200,227,536,566,627,570,162,28,0,2924,14,6,3,7,14,8,0,0,0,57,16,0,0,3,4,4,4,0,0,43,28,11,4,13,17,17,10,0,0,96,226,235,544,580,643,588,175,27,0,3023,138,17,33,37,66,150,401,307,91,1238,40,43,81,69,108,81,66,57,11,561,401,295,658,684,818,823,640,398,100,4824,42,102,212,216,315,219,42,0,0,1159,112,86,211,277,247,235,76,17,0,1267,7,11,34,21,21,28,7,0,0,137,8,6,8,5,13,4,0,0,0,47,174,210,465,523,600,482,124,19,0,2606,0,6,8,5,5,0,0,0,0,26,6,5,4,10,8,6,3,0,0,40,12,13,12,15,7,7,3,0,0,71
5006,244,466,1293,1367,1434,1197,262,22,5,6290,347,179,250,198,242,287,187,43,0,1738,15,27,53,69,102,108,40,9,0,420,16,17,51,22,28,15,5,4,0,154,627,691,1645,1659,1804,1608,494,78,7,8610,34,56,66,74,67,55,7,0,0,362,64,13,21,21,20,28,18,0,0,188,102,70,90,93,86,81,20,0,0,550,728,763,1734,1750,1896,1693,516,73,7,9155,417,144,228,240,289,546,1257,828,289,4241,129,80,202,239,197,179,137,117,53,1325,1274,980,2161,2230,2383,2423,1911,1021,352,14727,119,345,727,819,1036,683,119,6,0,3847,543,313,663,835,854,707,246,16,3,4180,21,39,137,75,62,98,23,4,0,460,0,4,26,15,39,15,6,3,3,117,684,695,1547,1744,1990,1506,393,30,3,8599,28,27,23,24,38,20,4,0,0,172,48,24,41,50,40,51,3,0,0,253,71,53,67,74,76,72,8,0,0,423
5007,225,644,1721,1660,1457,1196,262,19,0,7183,209,92,175,139,120,138,84,19,0,970,17,36,52,51,66,83,16,0,0,321,6,30,48,31,28,27,8,3,0,183,463,804,1996,1889,1672,1446,367,34,0,8662,20,33,40,46,42,28,5,0,0,221,37,10,11,4,8,19,6,0,0,94,58,41,58,46,51,50,7,0,0,307,514,844,2049,1938,1717,1495,375,34,0,8969,264,119,197,161,181,249,516,274,47,2002,72,131,320,317,268,286,185,51,12,1647,852,1091,2570,2419,2166,2024,1075,362,64,12617,146,434,958,859,942,606,96,3,0,4039,261,171,536,542,400,357,116,10,0,2395,13,25,116,49,56,47,10,0,0,310,4,20,25,20,22,12,3,3,0,108,424,643,1636,1472,1413,1021,223,15,0,6848,20,20,19,29,18,11,0,0,0,122,27,15,19,20,12,10,0,0,0,111,48,32,42,52,30,24,0,0,0,228
5008,104,311,1153,1387,1061,638,127,0,0,4786,148,46,113,113,89,67,14,5,0,595,10,8,75,88,58,59,13,6,0,327,0,9,34,23,14,12,3,0,0,94,262,378,1380,1617,1220,776,160,11,0,5801,8,10,19,17,15,19,0,0,0,90,28,3,7,0,0,0,5,0,0,47,37,16,26,21,17,16,3,0,0,139,301,392,1402,1633,1234,795,165,11,0,5940,131,35,51,52,58,92,200,69,3,698,72,117,396,511,418,300,95,26,6,1943,506,540,1854,2198,1711,1189,455,108,9,8575,52,216,662,631,522,253,37,0,0,2376,152,61,340,440,247,99,31,4,0,1367,11,14,103,55,24,31,10,0,0,253,10,0,16,5,4,3,0,0,0,48,215,290,1124,1131,804,390,80,4,0,4039,6,4,21,17,16,7,0,0,0,67,17,6,18,9,13,7,0,0,0,63,25,10,31,27,29,10,0,0,0,129
5009,6732,25090,89176,101947,88005,60421,12322,864,51,384605,19300,20351,20534,14921,13127,15018,10804,2139,149,116345,897,1267,3753,3699,3364,3453,1130,135,17,17717,408,1178,2797,2022,1437,912,292,99,27,9170,27334,47885,116262,122589,105921,79809,24549,3241,244,527831,1397,2816,4446,3470,3442,2958,528,34,3,19099,4682,2051,1499,713,736,1011,585,62,4,11350,6085,4867,5945,4185,4177,3975,1115,93,6,30444,33423,52750,122205,126775,110102,83781,25662,3333,250,558271,26851,9317,11280,10033,11993,22081,57605,40528,13540,203220,2203,3070,7184,6468,5224,4058,3281,2825,1878,36186,62472,65134,140668,143273,127319,109917,86545,46683,15668,797681,2826,18426,59696,52642,54574,33981,5300,210,5,227648,25288,26917,42625,54073,44850,35287,11599,1176,57,241875,962,1633,7788,5287,2983,3355,971,104,5,23079,465,942,1857,1262,1079,710,233,89,37,6665,29533,47913,111966,113265,103488,73330,18099,1574,104,499273,894,1516,2571,2277,2234,1445,136,11,0,11086,4726,1995,2870,3067,2212,1826,383,27,3,17098,5617,3510,5437,5346,4444,3272,514,36,7,28190
