SUA_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
5000,134,159,347,365,463,400,180,67,6,2130,2896,4042,11191,12528,13732,12676,3699,552,30,61352,620,1139,3035,3271,3694,4029,2580,882,110,19366,238,1532,6542,6970,6502,4306,599,24,0,26723,358,510,1301,1475,1508,1265,356,48,0,6821,38,92,293,393,462,438,98,5,0,1812,442,857,2448,2741,2743,2573,647,52,3,12501,138,256,605,597,680,596,182,29,0,3087,1271,797,1282,1394,1760,1673,518,70,0,8746,1399,805,1670,1318,1378,1376,454,60,10,8457,97,273,750,948,1358,1584,633,73,5,5730,17,28,86,116,91,89,40,0,0,478,10,68,204,269,273,228,56,12,0,1130,33,82,244,231,309,316,130,29,0,1380,53,236,810,1011,968,872,349,37,3,4346,120,283,806,865,984,852,249,31,0,4198,116,367,1267,1591,2099,2042,482,47,0,8012,143,474,1724,2456,2780,2514,660,44,0,10791,233,599,2148,2439,2860,3163,867,68,0,12367,100,115,260,264,275,256,108,21,0,1398
5001,16,17,35,39,36,41,13,0,0,209,604,559,1292,1534,1810,1538,419,48,5,7806,28,45,96,108,134,140,104,25,7,684,0,5,61,67,60,41,8,0,0,240,57,97,178,146,170,132,39,5,0,830,4,6,27,55,49,47,9,0,0,198,91,144,336,290,298,240,69,3,0,1467,6,37,71,62,103,68,22,0,0,369,358,198,312,296,320,285,90,8,0,1863,409,146,206,182,145,117,47,7,0,1257,7,21,57,97,170,181,56,8,0,590,7,10,24,19,20,14,3,0,0,107,3,20,44,47,61,48,10,0,0,233,0,14,43,36,54,41,18,5,0,217,12,26,112,140,120,123,52,9,0,597,5,29,58,81,94,108,31,0,0,418,8,26,125,222,288,242,51,4,0,968,18,50,197,284,433,348,98,12,0,1450,55,177,463,555,654,640,164,12,0,2718,22,10,44,29,32,30,11,3,0,186
5002,8,12,45,53,29,21,10,8,0,184,221,293,1146,1121,916,791,240,34,0,4756,4,21,47,35,27,68,61,13,0,285,3,9,71,81,60,47,13,0,0,281,5,14,30,38,40,36,12,0,0,176,0,0,16,40,35,18,3,0,0,113,15,41,123,164,164,128,55,4,0,699,3,4,22,19,19,22,11,3,0,112,125,60,113,118,126,147,54,8,0,749,92,73,266,118,93,79,31,9,0,767,13,34,134,135,114,97,37,5,0,583,6,5,19,20,26,13,5,0,0,83,0,3,32,30,26,21,8,4,0,133,0,14,30,33,35,34,21,14,0,167,10,15,60,82,78,72,27,10,0,357,19,20,59,66,67,47,29,0,0,314,7,17,157,207,187,134,27,0,0,744,18,44,193,276,219,168,44,0,0,965,31,102,422,382,309,275,73,4,0,1596,9,6,37,28,33,30,23,4,0,177
5003,33,50,96,117,75,63,24,4,4,458,1317,1370,3243,3807,3933,2765,613,42,3,17087,26,47,111,79,100,97,50,16,0,530,21,140,495,631,580,371,52,0,0,2296,152,291,687,838,745,475,88,3,0,3284,12,41,132,161,168,167,17,5,0,694,154,383,857,883,778,657,164,11,0,3885,29,46,111,141,169,108,25,3,0,633,598,407,699,663,627,498,97,9,0,3600,923,269,367,318,244,137,42,0,0,2308,25,82,192,251,331,367,113,12,0,1378,33,28,60,40,33,16,14,0,0,221,4,20,93,109,131,68,23,3,0,449,16,25,87,87,96,85,29,0,3,435,21,68,251,308,268,181,91,7,0,1203,27,66,152,205,207,178,53,3,0,893,22,93,294,386,460,350,79,6,0,1683,59,96,431,692,901,659,163,5,0,3002,128,402,1057,1239,1234,996,237,10,0,5303,60,42,81,56,50,35,11,0,0,344
5004,24,25,36,64,68,47,21,9,0,301,691,530,1464,2148,2339,1759,487,51,5,9481,33,47,90,129,129,171,109,34,9,746,9,30,173,296,295,141,22,0,0,969,64,68,188,273,228,190,68,10,0,1088,0,0,22,45,54,44,8,0,0,174,103,169,401,491,482,336,99,4,0,2085,8,8,41,57,79,61,24,0,0,280,344,174,283,317,377,371,113,12,0,1986,539,207,364,416,311,251,84,10,0,2182,19,19,52,76,140,136,77,5,0,514,13,6,9,21,25,13,4,0,0,97,0,5,40,68,87,68,22,0,0,290,5,24,48,66,88,60,39,6,0,335,6,20,116,192,245,168,81,14,0,833,28,45,130,186,210,155,48,7,0,806,16,15,95,162,212,155,44,0,0,709,36,36,187,396,461,325,77,6,0,1518,38,103,399,565,614,584,127,8,0,2428,42,15,47,49,46,38,12,0,0,251
5005,5,11,11,12,20,14,13,0,0,94,174,210,465,523,600,482,124,19,0,2606,13,15,82,86,118,90,63,24,4,494,0,11,43,35,40,35,5,0,0,166,14,21,36,30,29,24,7,3,0,164,6,5,13,34,26,13,0,0,0,100,36,51,114,99,82,91,21,0,0,492,14,14,36,52,61,50,3,0,0,229,96,66,98,109,93,78,13,0,0,548,95,53,53,56,53,53,13,0,0,389,3,22,93,119,130,121,28,3,0,520,3,3,0,5,4,3,0,0,0,25,0,8,18,21,13,15,3,0,0,74,0,3,12,12,19,15,3,0,0,65,6,12,40,31,22,30,11,0,0,163,0,5,24,24,30,37,8,3,0,133,4,12,42,65,95,65,13,0,0,288,7,18,91,107,137,104,28,0,0,495,12,47,98,113,141,147,27,4,0,597,8,4,5,9,10,0,0,0,0,35
5006,25,29,34,55,59,44,14,3,3,259,684,695,1547,1744,1990,1506,393,30,3,8599,25,39,83,90,131,109,75,22,3,585,10,62,206,257,244,151,27,0,0,961,38,37,91,93,79,87,31,8,0,462,4,13,28,34,32,45,8,0,0,164,102,168,364,333,260,286,72,3,0,1592,19,29,78,114,105,88,11,4,0,460,365,262,320,294,322,253,69,14,0,1900,433,163,194,150,129,101,30,4,0,1204,21,37,176,191,298,282,91,5,0,1097,12,10,26,20,10,22,0,0,0,104,0,11,36,40,62,46,12,0,0,210,10,13,33,27,45,34,15,4,0,166,8,38,135,139,168,102,46,5,0,642,18,29,87,94,127,101,22,3,0,471,13,43,163,235,308,268,56,5,0,1090,31,85,313,426,503,393,81,5,0,1824,68,189,568,578,669,497,156,4,0,2721,10,20,17,21,33,29,6,0,0,142
5007,18,23,55,61,56,35,12,4,0,269,424,643,1636,1472,1413,1021,223,15,0,6848,3,0,4,5,8,10,4,0,0,28,111,379,1108,1016,827,572,80,3,0,4105,26,55,175,169,115,107,31,0,0,674,7,15,32,55,36,46,8,0,0,198,58,109,264,229,192,192,49,0,0,1079,10,40,119,116,98,59,17,0,0,459,230,143,188,171,186,154,49,4,0,1128,203,109,165,146,123,90,24,8,0,861,11,46,133,151,220,217,85,0,0,863,3,12,15,14,10,5,0,0,0,64,0,8,26,24,19,7,0,0,0,92,8,29,60,57,53,51,7,0,0,268,34,62,146,112,103,82,35,4,0,576,7,35,73,63,76,58,14,0,0,330,11,40,179,176,165,142,32,3,0,741,13,80,225,233,253,212,51,4,0,1082,30,124,365,321,303,264,59,3,0,1463,15,6,23,23,20,22,8,0,0,115
5008,13,21,39,46,22,7,4,0,0,146,215,290,1124,1131,804,390,80,4,0,4039,0,0,9,5,3,6,9,0,0,29,17,99,525,706,460,219,26,0,0,2056,18,23,70,76,60,45,13,0,0,305,4,10,66,67,51,41,8,0,0,233,36,99,385,333,234,151,27,0,0,1275,17,14,46,44,35,23,6,0,0,181,127,54,137,120,91,55,15,0,0,598,119,46,128,107,75,49,16,0,0,543,10,31,115,158,171,101,28,0,0,613,3,7,16,8,3,8,0,0,0,50,3,0,16,17,11,3,0,0,0,48,5,21,47,44,41,33,4,0,0,198,8,11,89,92,48,45,10,0,0,296,17,34,109,97,83,46,11,0,0,390,12,25,124,169,148,94,20,0,0,600,0,44,188,237,197,71,13,0,0,752,26,56,193,192,125,91,17,0,0,706,10,4,19,23,26,13,0,0,0,94
5009,907,1736,4317,4270,3523,2290,710,185,39,17972,29533,47913,111966,113265,103488,73330,18099,1574,104,499273,255,485,1293,1348,1480,1256,715,220,21,7067,413,3005,14672,17697,13859,7780,1406,95,5,58930,2164,3995,10597,12821,12911,9677,2305,266,13,54756,154,518,2371,3179,2767,1945,380,21,0,11339,3206,7773,22232,22375,18007,12948,3073,248,12,89872,723,1855,5349,6374,6160,4457,1127,137,15,26193,14675,16822,18861,14794,13686,10761,3168,337,23,93125,20176,12946,13480,8910,6022,4160,1126,113,9,66947,878,3054,9740,10776,10254,8992,2718,237,9,46656,429,905,2153,2174,1710,1117,315,54,0,8859,173,1313,5825,7332,6179,3649,987,160,12,25629,228,977,3055,3450,3386,2623,1241,266,26,15260,684,5730,20001,23065,17057,10314,3674,513,30,81076,925,3022,7648,7331,6455,5080,1558,180,10,32210,548,3444,12855,15413,15189,11709,2684,230,10,62082,2351,5789,17113,20916,23057,17694,4807,393,16,92136,2161,12063,35150,34246,31424,24888,6730,517,15,147197,2353,2851,4228,3465,2647,1922,726,128,8,18323
