SUA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
5000,7967,13522,6454,4617,10812,7530,125,51021,5072,9009,5901,5457,9688,4381,77,39579,1782,3021,2247,2332,4907,2062,18,16368,505,624,374,330,1808,708,12,4366,47173,64676,30194,25405,62473,48348,1532,279792
5001,835,1659,763,376,793,230,11,4668,506,1123,733,633,903,229,0,4141,307,544,362,385,830,167,3,2598,155,152,95,99,499,116,0,1110,5513,8104,3749,2800,6188,1896,47,28296
5002,479,763,290,152,638,493,9,2824,380,638,332,203,780,336,12,2687,146,184,98,68,248,149,0,882,14,10,9,7,47,29,0,111,3222,4352,1613,1001,3646,2859,123,16818
5003,1558,2936,1366,930,1830,430,14,9065,862,1847,1306,961,1893,384,11,7257,457,834,591,515,1269,286,3,3962,146,247,121,94,644,282,0,1528,11642,16448,7434,5906,13783,3687,89,58989
5004,926,1816,839,467,859,348,10,5276,660,1448,1047,775,1071,314,5,5322,343,634,461,387,784,230,4,2845,131,145,93,74,481,108,0,1036,6441,9444,4627,3378,6296,2068,63,32316
5005,303,520,210,155,284,154,4,1630,151,291,209,186,325,135,0,1302,92,156,111,98,262,122,0,838,39,52,18,17,112,25,0,271,1991,2636,1143,893,1963,1113,23,9751
5006,757,1557,709,462,1055,374,8,4916,453,969,623,561,1048,305,3,3962,234,374,259,265,732,257,9,2128,82,103,67,58,370,147,5,833,5518,8186,3587,2923,7262,3067,42,30597
5007,579,980,381,232,929,498,14,3617,224,418,229,185,544,313,19,1934,73,102,78,64,285,90,0,690,19,17,12,12,107,32,0,199,4419,5831,2191,1741,6118,3156,75,23545
5008,308,501,144,96,406,423,19,1889,94,172,75,59,228,159,11,797,25,26,17,22,60,30,3,187,0,6,0,0,3,3,0,22,2708,3779,1213,1038,3169,3018,94,15017
5009,41780,76015,32610,20220,49478,8856,927,229888,23732,49174,30799,22413,48487,7710,793,183104,11782,21510,14350,11683,34076,7270,263,100938,4712,5921,3038,2225,19129,5574,78,40673,357503,458581,189277,141825,422883,85121,4948,1660133
5010,346,442,150,96,538,530,7,2116,108,159,62,60,240,182,8,813,31,30,17,16,61,44,0,196,9,6,0,0,15,9,0,34,2493,3131,1003,826,3593,3376,56,14480
