SUA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
5000,0,7,3,0,0,0,40,139,0,0,0,0,0,12,15,3,0,0,0,0,0,0,15,54,8,24,85,100,159,83,285,321,18,11,30,82,32,0,36,1256,58,330,207,32,10,10,54,129,16,16,18,54,28,0,79,1047,3,5,6,3,17,30,44,31,0,5,16,23,12,4,4,183,0,0,0,4,8,17,53,44,5,0,8,24,6,0,7,170,0,0,6,7,5,3,0,0,0,0,4,7,0,0,16,43,7,13,55,72,97,45,122,68,12,37,48,38,5,0,41,664,0,0,0,0,0,4,17,15,6,11,12,5,0,0,0,72,39,471,120,89,98,74,116,49,15,6,20,14,9,4,36,1155,14,29,354,1235,1953,1601,2270,1265,141,128,136,194,58,91,585,10056,10,19,11,7,19,8,9,0,0,0,0,0,0,0,0,79,0,0,0,3,8,6,18,40,12,10,13,11,5,4,8,145
5001,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,5,12,6,14,14,0,0,0,0,0,0,3,58,7,50,36,8,0,6,4,8,4,4,0,3,0,0,11,130,0,0,0,0,4,9,7,5,0,0,0,4,0,0,3,25,0,0,0,0,0,3,10,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,9,3,7,0,19,9,4,0,0,0,0,0,20,81,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,4,100,21,14,26,9,6,10,0,0,0,0,4,0,13,208,0,6,48,75,140,77,119,48,3,9,5,7,3,7,33,577,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
5002,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,17,5,14,16,0,0,4,0,0,0,0,86,3,16,14,4,0,6,3,12,3,6,4,3,0,0,0,73,0,0,0,0,0,4,9,6,0,0,4,0,0,0,0,23,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,4,12,3,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,8,7,21,6,4,9,4,13,4,0,0,0,4,4,0,0,78,0,5,30,57,69,42,72,62,0,8,3,5,5,0,22,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,11
5003,3,0,0,0,0,0,3,45,0,0,0,0,6,4,7,8,4,0,0,0,0,0,0,42,4,5,15,23,65,11,75,106,0,3,4,3,0,0,6,322,26,158,61,8,0,0,10,20,0,0,0,0,0,0,18,304,0,0,3,0,3,7,21,13,0,3,0,4,5,3,0,68,0,0,0,0,3,6,38,27,3,0,13,17,3,0,5,118,0,0,0,7,8,11,10,4,0,0,0,0,3,0,0,43,0,3,13,17,27,21,35,41,6,11,13,8,0,0,6,193,0,0,0,0,0,0,19,13,9,10,4,3,0,0,0,66,3,113,33,16,33,20,25,9,0,4,0,0,0,0,0,258,3,6,68,214,410,293,616,392,13,37,20,25,22,14,101,2239,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,42,9,10,6,3,5,3,0,94
5004,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,31,32,20,27,34,3,0,4,0,0,0,3,173,3,25,7,0,5,4,12,19,5,5,9,0,0,0,9,100,0,0,0,0,0,9,12,14,0,0,0,0,0,0,0,47,0,0,0,0,0,0,8,18,6,0,3,0,0,0,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,13,6,10,3,10,0,0,0,0,0,3,64,0,0,0,0,0,0,3,4,4,4,0,0,0,0,0,19,10,65,12,9,11,0,19,13,0,0,5,0,3,0,3,153,5,10,61,160,202,139,180,98,4,26,7,7,0,0,45,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,8,0,3,0,0,0,10,0,27
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,27,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,13,6,0,0,5,0,0,0,0,0,0,0,0,0,26,0,0,16,49,67,57,58,31,6,0,5,9,0,3,15,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,5,9,15,11,5,14,28,0,3,0,0,0,0,0,94,16,39,34,9,0,0,0,7,0,0,0,0,0,0,5,116,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,7,20,6,0,4,3,4,0,0,5,82,0,0,0,0,0,0,5,5,5,5,3,0,0,0,0,24,6,41,10,6,5,5,4,5,0,0,0,0,0,0,6,91,4,4,29,104,133,107,153,78,14,12,3,7,0,0,25,683,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,18,20,0,0,0,0,3,0,0,44
5007,5,6,3,0,0,0,0,40,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,4,13,3,28,34,3,3,3,3,0,0,0,96,4,9,11,0,0,0,0,5,0,0,8,0,0,0,0,42,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,4,12,7,3,0,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,12,7,3,7,8,0,0,0,0,51,0,0,0,0,0,0,7,7,5,0,0,3,5,0,0,20,0,17,7,0,3,0,0,0,0,0,0,4,0,0,0,29,0,6,23,95,213,282,678,470,35,42,60,58,15,16,67,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,26,3,7,0,3,0,0,0,64
5008,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,3,11,8,36,39,4,0,0,7,0,0,0,113,0,0,5,0,0,0,0,8,0,0,0,6,0,0,0,19,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,13,8,0,0,0,0,0,0,0,42,0,0,0,0,0,0,9,4,8,0,3,0,3,0,0,34,0,5,0,7,3,3,12,0,5,0,0,0,5,0,3,39,0,0,7,62,108,107,219,179,7,8,15,14,12,8,29,793,0,0,6,0,3,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,12,28,0,0,3,0,0,0,0,42
5009,220,185,218,288,81,48,66,6161,0,9,29,10,34,943,1157,767,128,114,120,80,31,14,78,3505,49,224,929,1028,2679,1030,3606,4582,232,213,286,399,251,112,224,15844,762,5438,4287,1083,482,390,849,1580,241,157,153,203,108,24,577,16330,7,26,23,82,307,764,1391,609,138,152,221,281,145,88,108,4337,0,3,4,109,359,463,2393,1475,233,243,203,280,73,22,131,5988,3,16,90,204,268,144,188,97,30,15,12,20,16,3,41,1150,59,207,1020,2400,6864,3183,7657,4406,1027,980,1035,937,566,74,566,30984,0,0,0,0,12,59,1010,859,323,390,595,630,233,18,65,4199,268,2683,652,477,681,388,794,388,54,74,66,98,50,16,169,6846,66,188,1674,5161,10067,8184,14315,11189,839,777,864,1026,510,457,1541,56857,38,153,537,664,646,525,354,158,41,23,28,34,16,8,93,3305,11,15,60,94,164,333,1453,2217,441,518,528,737,414,59,110,7156
