SUA_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
5000,1479,4374,11195,11221,9903,8325,6653,2223,366,55741,627,904,2644,2956,3319,2801,1624,547,77,15492,850,1311,4402,5263,7280,9505,7162,2358,381,38510,233,174,483,725,969,1531,1822,976,259,7167,101,85,249,276,434,664,1295,1254,470,4826,21,19,80,114,180,150,106,107,44,821,891,1687,6239,6500,6480,5127,2709,1211,343,31181,4199,8553,25294,27050,28560,28103,21364,8669,1941,153726,1515,4091,10976,10793,9319,8822,5832,1963,447,53749,393,566,1662,1928,2553,3260,1729,521,85,12705,536,746,2225,2826,4716,6797,6476,2202,584,27106,192,123,282,379,537,892,1209,806,272,4693,74,53,147,150,255,412,778,901,465,3235,12,16,50,58,68,77,95,90,53,517,740,1065,2675,2363,2532,2512,2020,1190,501,15608,3452,6660,18019,18503,19979,22778,18130,7675,2413,117603,2985,8463,22170,22010,19216,17154,12483,4193,812,109485,1021,1470,4306,4882,5867,6065,3353,1069,165,28197,1386,2055,6624,8090,12002,16299,13636,4562,963,65617,425,297,772,1106,1507,2428,3024,1780,531,11860
5001,222,443,949,927,906,817,755,357,107,5477,110,122,238,233,254,204,150,57,27,1410,159,195,513,463,621,855,683,327,105,3914,25,15,47,48,77,112,149,136,59,681,4,8,30,24,36,60,101,167,106,535,0,5,14,15,18,10,9,4,12,76,56,46,134,103,128,117,128,101,55,857,572,833,1927,1809,2034,2176,1981,1154,468,12959,212,504,1219,1292,1290,1131,793,415,151,7001,54,96,202,213,288,315,263,102,24,1552,93,116,305,343,565,779,756,443,144,3528,16,14,18,36,45,91,140,154,74,583,5,3,8,19,14,45,86,163,119,459,0,0,5,6,17,12,10,7,10,73,42,42,97,99,96,118,116,156,129,889,425,776,1847,2003,2315,2484,2158,1437,642,14090,434,948,2168,2213,2193,1944,1546,773,258,12480,169,222,440,446,542,524,416,161,52,2964,248,309,816,807,1182,1629,1440,765,245,7445,40,33,68,83,127,201,290,291,136,1266
5002,65,231,744,742,542,472,515,182,9,3498,27,39,97,123,159,136,111,25,0,715,38,58,153,202,291,381,430,129,13,1685,12,11,17,38,41,57,93,38,0,313,0,0,7,12,13,23,61,38,17,182,0,0,7,8,3,6,5,3,0,37,66,89,218,196,227,222,156,87,17,1270,216,427,1245,1317,1277,1301,1367,503,56,7703,106,347,1165,1020,666,626,444,110,12,4497,22,29,99,115,157,217,148,33,0,819,31,34,120,158,209,364,440,105,9,1469,7,10,15,18,30,44,56,24,5,211,3,3,8,8,10,10,40,32,8,124,0,0,0,4,8,3,0,0,0,26,59,83,335,225,223,257,180,71,12,1441,230,502,1747,1551,1306,1518,1307,378,56,8595,172,576,1907,1762,1209,1095,957,292,18,7996,47,65,195,236,313,356,264,58,3,1537,63,87,271,363,501,736,870,235,20,3154,23,22,38,54,68,101,143,64,8,527
5003,477,1170,2240,2371,2026,1504,1131,474,131,11520,186,265,612,697,644,459,277,97,20,3263,241,347,1103,1228,1430,1766,1332,590,109,8154,55,38,131,127,168,267,294,232,65,1384,9,11,26,34,43,88,204,255,130,803,3,0,19,14,19,25,14,14,12,124,98,111,273,238,247,227,219,142,99,1654,1073,1948,4403,4706,4582,4344,3465,1804,571,26891,557,1367,3030,3193,2659,1849,1115,508,162,14436,115,147,553,640,657,685,415,139,43,3397,178,225,772,913,1395,1683,1531,759,245,7699,32,41,91,100,95,179,317,237,121,1214,6,13,29,34,45,74,172,277,182,830,3,0,8,10,7,15,18,20,15,95,73,82,250,193,206,219,208,208,195,1634,969,1873,4731,5084,5070,4702,3773,2144,961,29309,1034,2535,5272,5565,4682,3351,2242,977,291,25957,305,417,1163,1336,1308,1145,683,234,65,6654,417,575,1872,2142,2831,3453,2864,1348,355,15853,93,76,227,230,263,447,612,474,192,2600
5004,255,495,1049,1334,1256,1028,1109,468,101,7096,83,86,219,272,309,275,204,97,20,1567,83,99,299,420,648,810,834,420,73,3681,22,8,44,49,66,89,154,136,42,602,9,9,15,8,23,35,87,128,93,409,0,3,17,8,9,14,4,5,7,69,48,34,146,144,148,159,161,120,61,1018,495,727,1794,2245,2462,2412,2552,1370,396,14442,245,504,1446,1985,1693,1336,1011,426,127,8776,38,43,159,236,368,394,305,110,28,1680,44,75,228,366,605,832,1035,527,156,3873,21,4,23,27,38,79,144,129,80,543,0,0,4,12,15,34,80,130,140,413,0,3,10,4,12,3,4,0,5,45,62,37,147,135,129,180,184,148,106,1123,414,665,2015,2766,2861,2855,2763,1468,643,16458,501,1001,2497,3317,2951,2362,2121,889,228,15864,118,123,379,511,686,669,509,203,47,3253,126,175,527,789,1255,1644,1872,943,229,7559,41,15,63,79,100,167,301,262,125,1148
5005,75,166,344,324,291,243,143,72,28,1695,45,51,99,76,95,99,52,36,6,549,35,29,110,186,259,326,241,110,11,1308,12,3,15,23,33,43,78,51,10,261,5,0,0,7,15,21,44,61,34,173,0,0,0,0,0,0,0,0,6,10,40,43,93,76,128,85,77,73,17,626,208,295,658,684,818,823,635,398,100,4627,70,198,478,428,375,289,182,108,30,2153,8,27,68,81,140,155,84,28,8,604,19,22,74,114,165,237,239,124,34,1037,8,8,9,12,14,34,48,64,33,234,0,0,0,7,9,20,29,49,32,145,0,0,0,0,0,7,7,0,0,14,29,26,65,91,75,71,80,71,20,528,140,283,696,746,775,804,665,439,170,4712,145,368,825,753,672,534,324,177,55,3844,52,78,161,156,230,255,133,58,16,1149,55,53,182,305,427,559,477,231,51,2346,18,8,22,29,51,81,122,114,43,496
5006,209,545,1039,1065,928,721,538,215,53,5314,125,158,314,312,338,278,156,51,13,1747,152,164,517,516,754,984,714,269,79,4151,49,21,51,58,97,131,179,144,43,776,15,7,12,25,37,90,159,193,95,624,0,5,4,10,10,13,14,17,16,94,123,80,217,246,211,199,146,130,60,1419,677,980,2160,2229,2384,2420,1911,1021,352,14123,239,666,1487,1462,1323,862,546,203,72,6852,82,102,276,275,381,447,279,81,15,1939,118,133,316,411,644,832,758,332,117,3660,24,29,45,56,69,100,159,150,58,686,7,10,10,10,22,56,119,170,104,504,0,8,7,9,12,16,17,19,15,99,93,107,213,242,200,178,170,139,92,1434,556,1044,2357,2461,2651,2487,2044,1104,479,15185,446,1211,2526,2525,2248,1583,1083,417,125,12170,207,258,590,586,721,724,437,130,31,3691,272,293,837,930,1400,1813,1473,601,194,7811,68,54,95,110,165,233,338,292,103,1459
5007,155,598,1325,1156,812,560,250,64,8,4929,77,136,317,304,272,203,86,15,0,1421,139,176,516,521,671,750,355,104,17,3246,29,33,42,67,96,115,102,47,7,533,7,15,14,29,31,57,71,54,15,286,3,0,8,14,10,13,11,3,0,67,71,135,335,331,273,316,202,76,16,1761,483,1090,2570,2419,2161,2022,1073,358,64,12239,166,587,1498,1233,862,568,203,70,15,5194,45,78,245,201,241,236,60,12,0,1117,75,142,317,367,480,469,294,100,18,2261,31,16,39,37,56,62,78,35,9,363,6,5,11,28,35,35,58,50,29,256,4,4,5,8,8,8,3,0,3,43,68,86,250,218,181,198,153,54,54,1254,393,912,2362,2084,1850,1577,843,323,136,10482,323,1180,2821,2382,1671,1130,450,130,26,10119,131,215,564,505,509,444,147,27,3,2535,214,319,840,884,1148,1228,641,205,34,5503,60,45,86,104,149,180,180,85,18,895
5008,87,296,927,1058,669,324,121,24,0,3512,40,48,197,232,201,130,35,10,0,889,32,65,265,341,350,350,142,19,4,1569,9,12,44,45,36,54,26,12,0,234,0,0,10,7,20,15,29,9,0,92,0,0,4,9,5,0,0,3,0,24,78,119,408,510,424,317,98,26,6,1988,248,540,1852,2200,1711,1189,455,108,9,8315,78,274,1122,1010,552,253,85,13,3,3389,21,33,121,144,149,83,21,4,0,577,17,32,159,181,216,188,110,26,3,922,7,0,19,14,18,30,25,8,0,118,0,0,0,7,14,11,18,12,7,73,0,4,0,0,3,0,0,0,0,12,53,85,276,230,178,116,65,8,3,1021,178,435,1695,1584,1128,677,330,77,13,6108,163,575,2045,2066,1220,576,212,40,5,6902,58,85,317,370,353,213,59,14,0,1468,49,96,424,518,569,533,255,46,7,2498,21,17,61,59,50,80,46,16,0,353
5009,18007,50985,100724,100986,77474,55934,41715,18667,4789,469293,2778,4545,12151,12465,12709,10736,5928,2667,593,64574,3546,5229,16584,18210,25686,31028,24467,11444,3042,139230,1004,725,2026,2535,3110,4162,5038,3992,1552,24148,260,276,875,1275,1545,2311,4109,5160,2733,18541,54,148,705,876,995,932,808,628,359,5485,2203,3101,7483,6833,5702,4730,4417,4089,2586,41144,27851,65007,140545,143179,127229,109827,86479,46639,15657,762415,18925,53023,118755,117642,88555,62638,39932,17452,5649,522577,1781,3316,9747,10231,13251,14158,8081,3404,968,64943,2609,4020,12889,14491,23522,30212,31076,15787,5754,140363,746,533,1411,1960,2477,3753,5536,4807,2589,23804,214,184,781,1346,1829,2636,4955,6125,4377,22445,48,89,626,997,1110,1242,1104,940,795,6954,2111,2729,7048,6117,4940,4312,4996,5423,4783,42453,26422,63890,151263,152788,135691,118956,95690,53938,24904,823541,36930,104010,219479,218630,166034,118577,81651,36118,10443,991872,4560,7859,21900,22693,25961,24895,14009,6071,1557,129515,6149,9250,29473,32704,49212,61239,55544,27231,8790,279593,1748,1256,3437,4499,5586,7917,10574,8795,4142,47953
